market,strike,close_et,outcome_inferred,entry_contracts,exit_contracts,settled_contracts,max_open_contracts_same_side,gross_pnl_cents_before_fees,entry_zero_fills,exit_zero_fills
KXBTC15M-26MAY010015-15,77099.09,2026-05-01T00:15:00-04:00,yes,2,2,0,2,40,0,0
KXBTC15M-26MAY010115-15,77018.24,2026-05-01T01:15:00-04:00,yes,2,2,0,2,22,0,9
KXBTC15M-26MAY010200-00,77097.32,2026-05-01T02:00:00-04:00,yes,4,4,0,2,26,0,0
KXBTC15M-26MAY010300-00,76983.36,2026-05-01T03:00:00-04:00,yes,4,4,0,2,-6,0,0
KXBTC15M-26MAY010315-15,77015.93,2026-05-01T03:15:00-04:00,unknown,4,4,0,2,14,0,0
KXBTC15M-26MAY010330-30,77016.34,2026-05-01T03:30:00-04:00,no,2,2,0,2,-24,0,0
KXBTC15M-26MAY010400-00,76997.16,2026-05-01T04:00:00-04:00,yes,1,0,1,1,25,0,0
KXBTC15M-26MAY010430-30,77188.32,2026-05-01T04:30:00-04:00,yes,4,0,4,4,54,1,0
KXBTC15M-26MAY010500-00,77353.67,2026-05-01T05:00:00-04:00,yes,2,0,2,2,20,3,0
KXBTC15M-26MAY010530-30,77319.74,2026-05-01T05:30:00-04:00,yes,4,4,0,2,-10,6,3
KXBTC15M-26MAY010630-30,77156.79,2026-05-01T06:30:00-04:00,yes,2,0,2,2,46,1,0
