market,side,qty,entry_price_cents,exit_price_cents,entry_et,exit_et,mode,gross_pnl_cents_before_fees
KXBTC15M-26MAY010015-15,yes,2,61,81,2026-05-01T00:13:03.388355-04:00,2026-05-01T00:13:34.226880-04:00,exit,40
KXBTC15M-26MAY010115-15,yes,2,82,93,2026-05-01T01:05:03.780115-04:00,2026-05-01T01:07:11.206161-04:00,exit,22
KXBTC15M-26MAY010200-00,yes,2,80,84,2026-05-01T01:55:07.054678-04:00,2026-05-01T01:55:38.085272-04:00,exit,8
KXBTC15M-26MAY010200-00,yes,2,79,88,2026-05-01T01:57:05.292617-04:00,2026-05-01T01:57:36.077779-04:00,exit,18
KXBTC15M-26MAY010300-00,no,1,88,77,2026-05-01T02:50:44.477999-04:00,2026-05-01T02:52:53.076023-04:00,exit,-11
KXBTC15M-26MAY010300-00,no,1,88,77,2026-05-01T02:50:44.477999-04:00,2026-05-01T02:52:53.127264-04:00,exit,-11
KXBTC15M-26MAY010300-00,yes,2,85,93,2026-05-01T02:56:03.095268-04:00,2026-05-01T02:56:34.170944-04:00,exit,16
KXBTC15M-26MAY010315-15,yes,2,66,67,2026-05-01T03:10:06.944502-04:00,2026-05-01T03:10:37.586570-04:00,exit,2
KXBTC15M-26MAY010315-15,yes,2,84,90,2026-05-01T03:13:03.772387-04:00,2026-05-01T03:13:35.558347-04:00,exit,12
KXBTC15M-26MAY010330-30,yes,2,76,64,2026-05-01T03:22:04.016619-04:00,2026-05-01T03:22:34.917698-04:00,exit,-24
KXBTC15M-26MAY010530-30,yes,1,87,72,2026-05-01T05:24:38.367160-04:00,2026-05-01T05:25:15.511427-04:00,exit,-15
KXBTC15M-26MAY010530-30,yes,1,87,72,2026-05-01T05:24:38.367160-04:00,2026-05-01T05:25:15.572601-04:00,exit,-15
KXBTC15M-26MAY010530-30,yes,2,85,95,2026-05-01T05:26:57.483657-04:00,2026-05-01T05:28:29.465453-04:00,exit,20
KXBTC15M-26MAY010400-00,yes,1,75,100,2026-05-01T03:49:46.591699-04:00,2026-05-01T04:00:00-04:00,settlement_yes,25
KXBTC15M-26MAY010430-30,yes,2,83,100,2026-05-01T04:15:51.179237-04:00,2026-05-01T04:30:00-04:00,settlement_yes,34
KXBTC15M-26MAY010430-30,yes,2,90,100,2026-05-01T04:17:58.677866-04:00,2026-05-01T04:30:00-04:00,settlement_yes,20
KXBTC15M-26MAY010500-00,yes,2,90,100,2026-05-01T04:58:29.997485-04:00,2026-05-01T05:00:00-04:00,settlement_yes,20
KXBTC15M-26MAY010630-30,yes,2,77,100,2026-05-01T06:16:32.506580-04:00,2026-05-01T06:30:00-04:00,settlement_yes,46
