dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass,median_ask
current,book_margin_locked,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,63.0
current,book_margin_locked,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,64.5
current,book_margin_locked,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,63.5
current,book_margin_locked,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,63.0
current,book_margin_locked,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,62.5
current,book_margin_locked,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,62.0
current,book_margin_locked,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,63.5
current,book_margin_locked,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,65.0
current,book_margin_locked,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,62.0
current,book_margin_locked,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,65.0
current,book_margin_locked,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,66.0
current,book_margin_locked,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,64.0
current,book_margin_locked,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,62.5
current,book_margin_locked,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,67.0
current,book_margin_locked,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,64.0
current,book_margin_locked,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,66.0
current,brownian70_sec120,0,20,19,0.95,12,7,0.631578947368421,-290.0,-0.19463087248322147,False,True,80.0
current,brownian70_sec120,1,20,18,0.9,15,3,0.8333333333333334,102.0,0.07296137339055794,True,True,74.0
current,brownian70_sec120,2,20,19,0.95,14,5,0.7368421052631579,-154.0,-0.0990990990990991,False,True,80.0
current,brownian70_sec120,3,20,20,1.0,19,1,0.95,339.0,0.21716848174247277,True,True,76.0
current,brownian70_sec120,4,20,20,1.0,16,4,0.8,-10.0,-0.006211180124223602,False,True,78.0
current,brownian70_sec120,5,20,20,1.0,17,3,0.85,133.0,0.08487555839183153,True,True,78.0
current,brownian70_sec120,6,20,19,0.95,15,4,0.7894736842105263,12.0,0.008064516129032258,True,True,79.0
current,brownian70_sec120,7,20,18,0.9,15,3,0.8333333333333334,89.0,0.06307583274273565,True,True,80.0
current,brownian70_sec120,8,20,19,0.95,16,3,0.8421052631578947,113.0,0.07599193006052454,True,True,74.0
current,brownian70_sec120,9,20,19,0.95,18,1,0.9473684210526315,343.0,0.2354152367879204,True,True,73.0
current,brownian70_sec120,10,20,19,0.95,16,3,0.8421052631578947,85.0,0.056105610561056105,True,True,80.0
current,brownian70_sec120,11,20,20,1.0,14,6,0.7,-210.0,-0.13043478260869565,False,True,80.0
current,brownian70_sec120,12,20,19,0.95,16,3,0.8421052631578947,71.0,0.04643557880967953,True,True,81.0
current,brownian70_sec120,13,20,18,0.9,17,1,0.9444444444444444,208.0,0.13941018766756033,True,True,80.5
current,brownian70_sec120,14,20,20,1.0,16,4,0.8,77.0,0.050558108995403805,True,True,73.5
current,brownian70_sec120,15,7,6,0.8571428571428571,5,1,0.8333333333333334,4.0,0.008064516129032258,True,True,84.5
current,score_min60_lock_equiv,0,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,False,True,66.5
current,score_min60_lock_equiv,1,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,True,True,66.0
current,score_min60_lock_equiv,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,True,True,67.0
current,score_min60_lock_equiv,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,True,True,68.0
current,score_min60_lock_equiv,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,False,True,65.5
current,score_min60_lock_equiv,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,True,True,67.5
current,score_min60_lock_equiv,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,True,True,69.5
current,score_min60_lock_equiv,7,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,True,True,69.0
current,score_min60_lock_equiv,8,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,True,True,70.5
current,score_min60_lock_equiv,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,True,True,68.0
current,score_min60_lock_equiv,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,False,True,69.0
current,score_min60_lock_equiv,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,False,True,69.0
current,score_min60_lock_equiv,12,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,True,True,71.0
current,score_min60_lock_equiv,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,True,True,70.5
current,score_min60_lock_equiv,14,20,20,1.0,12,8,0.6,-220.0,-0.15492957746478872,False,True,68.5
current,score_min60_lock_equiv,15,7,7,1.0,5,2,0.7142857142857143,-6.0,-0.011857707509881422,False,True,72.0
current,brownian70_skip_book_conflict,0,20,19,0.95,12,7,0.631578947368421,-290.0,-0.19463087248322147,False,True,80.0
current,brownian70_skip_book_conflict,1,20,18,0.9,15,3,0.8333333333333334,102.0,0.07296137339055794,True,True,74.0
current,brownian70_skip_book_conflict,2,20,19,0.95,14,5,0.7368421052631579,-154.0,-0.0990990990990991,False,True,80.0
current,brownian70_skip_book_conflict,3,20,20,1.0,19,1,0.95,339.0,0.21716848174247277,True,True,76.0
current,brownian70_skip_book_conflict,4,20,20,1.0,16,4,0.8,-10.0,-0.006211180124223602,False,True,78.0
current,brownian70_skip_book_conflict,5,20,20,1.0,17,3,0.85,133.0,0.08487555839183153,True,True,78.0
current,brownian70_skip_book_conflict,6,20,19,0.95,15,4,0.7894736842105263,12.0,0.008064516129032258,True,True,79.0
current,brownian70_skip_book_conflict,7,20,18,0.9,15,3,0.8333333333333334,89.0,0.06307583274273565,True,True,80.0
current,brownian70_skip_book_conflict,8,20,19,0.95,16,3,0.8421052631578947,113.0,0.07599193006052454,True,True,74.0
current,brownian70_skip_book_conflict,9,20,19,0.95,18,1,0.9473684210526315,343.0,0.2354152367879204,True,True,73.0
current,brownian70_skip_book_conflict,10,20,19,0.95,16,3,0.8421052631578947,85.0,0.056105610561056105,True,True,80.0
current,brownian70_skip_book_conflict,11,20,20,1.0,14,6,0.7,-210.0,-0.13043478260869565,False,True,80.0
current,brownian70_skip_book_conflict,12,20,19,0.95,16,3,0.8421052631578947,71.0,0.04643557880967953,True,True,81.0
current,brownian70_skip_book_conflict,13,20,18,0.9,17,1,0.9444444444444444,208.0,0.13941018766756033,True,True,80.5
current,brownian70_skip_book_conflict,14,20,20,1.0,16,4,0.8,54.0,0.03492884864165589,True,True,73.5
current,brownian70_skip_book_conflict,15,7,6,0.8571428571428571,5,1,0.8333333333333334,4.0,0.008064516129032258,True,True,84.5
current,book_margin_skip_brownian_conflict,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,63.0
current,book_margin_skip_brownian_conflict,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,64.5
current,book_margin_skip_brownian_conflict,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,63.5
current,book_margin_skip_brownian_conflict,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,63.0
current,book_margin_skip_brownian_conflict,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,62.5
current,book_margin_skip_brownian_conflict,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,62.0
current,book_margin_skip_brownian_conflict,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,63.5
current,book_margin_skip_brownian_conflict,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,65.0
current,book_margin_skip_brownian_conflict,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,62.0
current,book_margin_skip_brownian_conflict,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,65.0
