dataset,candidate,label,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive,conflict_share
current,book_margin_locked,book_margin; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=True,307,305,216,89,0.7081967213114754,0.993485342019544,0.6548416747611736,64.0,65.71147540983607,68.0,0,0,820.467,607.0,20042.0,20649.0,1558.0,951.0,0.07773675281907994,0.04605549905564434,3.1180327868852458,3.0977198697068404,0.677016393442623,0.031180327868852387,184,182,128,54,0.7032967032967034,0.9891304347826086,0.6332840440822117,63.0,65.02197802197803,67.0,0,0,817.645,363.0,11834.0,12197.0,966.0,603.0,0.08162920398850769,0.04943838648848077,3.3131868131868134,3.277173913043478,0.6701648351648352,0.03313186813186819,61,61,43,18,0.7049180327868853,1.0,0.5811059794277963,65.0,66.57377049180327,69.0,0,0,800.821,122.0,4061.0,4183.0,239.0,117.0,0.05885249938438808,0.02797035620368157,1.9180327868852458,1.9180327868852458,0.6857377049180328,0.019180327868852487,62,62,45,17,0.7258064516129032,1.0,0.6040746035801103,65.0,66.88709677419355,69.0,0,0,828.387,122.0,4147.0,4269.0,353.0,231.0,0.08512177477694718,0.054111033028812365,3.725806451612903,3.725806451612903,0.6885483870967742,0.03725806451612901,True,True,True,0.0
current,brownian70_sec120,brownian70; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=True,307,293,241,52,0.8225255972696246,0.9543973941368078,0.7746879406507481,78.0,77.4334470989761,83.0,4,0,648.904,500.0,22688.0,23188.0,1412.0,912.0,0.062235543018335684,0.03933068828704502,3.112627986348123,2.970684039087948,0.7913993174061433,0.031126279863481265,184,175,141,34,0.8057142857142857,0.9510869565217391,0.7407907619629084,78.0,77.13714285714286,83.0,4,0,649.413,303.0,13499.0,13802.0,601.0,298.0,0.04452181643084673,0.02159107375742646,1.7028571428571428,1.6195652173913044,0.7886857142857143,0.017028571428571393,61,60,50,10,0.8333333333333334,0.9836065573770492,0.7196838683638547,77.0,77.26666666666667,83.0,0,0,650.0575,102.0,4636.0,4738.0,364.0,262.0,0.07851596203623813,0.05529759392148586,4.366666666666666,4.295081967213115,0.7896666666666667,0.04366666666666663,62,58,50,8,0.8620689655172413,0.9354838709677419,0.7507409056616206,80.0,78.5,86.0,0,0,622.663,95.0,4553.0,4648.0,447.0,352.0,0.09817702613661322,0.0757314974182444,6.068965517241379,5.67741935483871,0.8013793103448277,0.06068965517241365,True,True,True,0.0
current,score_min60_lock_equiv,score_min60; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=True,307,304,229,75,0.7532894736842105,0.990228013029316,0.701868149722436,68.5,69.5032894736842,73.0,0,0,768.5325,597.0,21129.0,21726.0,1771.0,1174.0,0.08381844857778409,0.05403663812943017,3.861842105263158,3.824104234527687,0.7146710526315789,0.03861842105263158,184,181,136,45,0.7513812154696132,0.9836956521739131,0.6836300138562955,68.0,68.83977900552486,72.0,0,0,766.964,356.0,12460.0,12816.0,1140.0,784.0,0.09149277688603531,0.06117353308364544,4.331491712707182,4.260869565217392,0.7080662983425414,0.043314917127071806,61,61,47,14,0.7704918032786885,1.0,0.65086594876416,69.0,70.39344262295081,75.0,0,0,768.782,119.0,4294.0,4413.0,406.0,287.0,0.09455053563111318,0.06503512349875368,4.704918032786885,4.704918032786885,0.7234426229508197,0.047049180327868756,62,62,46,16,0.7419354838709677,1.0,0.6211887265285198,69.5,70.56451612903226,74.0,0,0,773.2719999999999,122.0,4375.0,4497.0,225.0,103.0,0.05142857142857143,0.022904158327774073,1.6612903225806452,1.6612903225806452,0.7253225806451613,0.01661290322580644,True,True,True,0.0
current,brownian70_skip_book_conflict,brownian70_skip_conflict; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=True,307,293,241,52,0.8225255972696246,0.9543973941368078,0.7746879406507481,78.0,77.51194539249147,83.0,4,0,648.904,500.0,22711.0,23211.0,1389.0,889.0,0.06115979040993351,0.03830080565249235,3.0341296928327646,2.8957654723127035,0.7921843003412969,0.030341296928327655,184,175,141,34,0.8057142857142857,0.9510869565217391,0.7407907619629084,78.0,77.13714285714286,83.0,4,0,649.413,303.0,13499.0,13802.0,601.0,298.0,0.04452181643084673,0.02159107375742646,1.7028571428571428,1.6195652173913044,0.7886857142857143,0.017028571428571393,61,60,50,10,0.8333333333333334,0.9836065573770492,0.7196838683638547,77.0,77.26666666666667,83.0,0,0,650.0575,102.0,4636.0,4738.0,364.0,262.0,0.07851596203623813,0.05529759392148586,4.366666666666666,4.295081967213115,0.7896666666666667,0.04366666666666663,62,58,50,8,0.8620689655172413,0.9354838709677419,0.7507409056616206,80.0,78.89655172413794,86.0,0,0,622.663,95.0,4576.0,4671.0,424.0,329.0,0.09265734265734266,0.07043459644615714,5.672413793103448,5.306451612903226,0.8053448275862071,0.05672413793103426,True,True,True,0.0
current,book_margin_skip_brownian_conflict,book_skip_conflict; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=True,307,305,216,89,0.7081967213114754,0.993485342019544,0.6548416747611736,64.0,65.71147540983607,68.0,0,0,820.467,607.0,20042.0,20649.0,1558.0,951.0,0.07773675281907994,0.04605549905564434,3.1180327868852458,3.0977198697068404,0.677016393442623,0.031180327868852387,184,182,128,54,0.7032967032967034,0.9891304347826086,0.6332840440822117,63.0,65.02197802197803,67.0,0,0,817.645,363.0,11834.0,12197.0,966.0,603.0,0.08162920398850769,0.04943838648848077,3.3131868131868134,3.277173913043478,0.6701648351648352,0.03313186813186819,61,61,43,18,0.7049180327868853,1.0,0.5811059794277963,65.0,66.57377049180327,69.0,0,0,800.821,122.0,4061.0,4183.0,239.0,117.0,0.05885249938438808,0.02797035620368157,1.9180327868852458,1.9180327868852458,0.6857377049180328,0.019180327868852487,62,62,45,17,0.7258064516129032,1.0,0.6040746035801103,65.0,66.88709677419355,69.0,0,0,828.387,122.0,4147.0,4269.0,353.0,231.0,0.08512177477694718,0.054111033028812365,3.725806451612903,3.725806451612903,0.6885483870967742,0.03725806451612901,True,True,True,0.0
current,book_margin_conflict_only,book_conflict_only; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=True,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,0.0
current,book_conflict_only_no_margin,book_conflict_only; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=False,307,179,125,54,0.6983240223463687,0.5830618892508144,0.6274981355696418,64.0,65.70391061452514,68.0,0,0,737.604,354.0,11761.0,12115.0,739.0,385.0,0.06283479295978234,0.03177878662814693,2.1508379888268156,1.254071661237785,0.6768156424581006,0.021508379888268148,184,106,76,30,0.7169811320754716,0.5760869565217391,0.6248100335076636,64.0,65.85849056603773,68.0,0,0,708.3875,210.0,6981.0,7191.0,619.0,409.0,0.0886692450938261,0.056876651369767765,3.858490566037736,2.222826086956522,0.6783962264150943,0.03858490566037731,61,39,26,13,0.6666666666666666,0.639344262295082,0.50977394399346,63.0,64.97435897435898,66.0,0,0,803.6,77.0,2534.0,2611.0,66.0,-11.0,0.026045777426992895,-0.004212945231711987,-0.28205128205128205,-0.18032786885245902,0.6694871794871793,-0.002820512820512655,62,34,23,11,0.6764705882352942,0.5483870967741935,0.508428945939082,64.5,66.05882352941177,69.5,0,0,672.2755,67.0,2246.0,2313.0,54.0,-13.0,0.02404274265360641,-0.005620406398616515,-0.38235294117647056,-0.20967741935483872,0.6802941176470589,-0.003823529411764781,False,False,False,1.0
current,brownian70_conflict_only,brownian_conflict_only; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=True,307,25,7,18,0.28,0.08143322475570032,0.14283853850956563,41.0,40.36,49.0,0,0,313.294,49.0,1009.0,1058.0,-309.0,-358.0,-0.3062438057482656,-0.3383742911153119,-14.32,-1.1661237785016287,0.4232,-0.1432,184,16,4,12,0.25,0.08695652173913043,0.10182067491213048,40.5,40.6875,49.0,0,0,313.2305,32.0,651.0,683.0,-251.0,-283.0,-0.38556067588325654,-0.4143484626647145,-17.6875,-1.5380434782608696,0.426875,-0.176875,61,6,1,5,0.16666666666666666,0.09836065573770492,0.030053369748306667,45.0,39.666666666666664,48.75,0,0,281.8105,11.0,238.0,249.0,-138.0,-149.0,-0.5798319327731093,-0.5983935742971888,-24.833333333333332,-2.442622950819672,0.415,-0.24833333333333332,62,3,2,1,0.6666666666666666,0.04838709677419355,0.20765960080204768,44.0,40.0,45.0,0,0,447.217,6.0,120.0,126.0,80.0,74.0,0.6666666666666666,0.5873015873015873,24.666666666666668,1.1935483870967742,0.42,0.24666666666666665,False,False,False,1.0
current,brownian70_override_book60_on_conflict,brownian70_override_book; brownian>=0.7; book>=0.6; ask<=95; sec>=120; book_margin_gate=True,307,293,241,52,0.8225255972696246,0.9543973941368078,0.7746879406507481,78.0,77.51194539249147,83.0,4,0,648.904,500.0,22711.0,23211.0,1389.0,889.0,0.06115979040993351,0.03830080565249235,3.0341296928327646,2.8957654723127035,0.7921843003412969,0.030341296928327655,184,175,141,34,0.8057142857142857,0.9510869565217391,0.7407907619629084,78.0,77.13714285714286,83.0,4,0,649.413,303.0,13499.0,13802.0,601.0,298.0,0.04452181643084673,0.02159107375742646,1.7028571428571428,1.6195652173913044,0.7886857142857143,0.017028571428571393,61,60,50,10,0.8333333333333334,0.9836065573770492,0.7196838683638547,77.0,77.26666666666667,83.0,0,0,650.0575,102.0,4636.0,4738.0,364.0,262.0,0.07851596203623813,0.05529759392148586,4.366666666666666,4.295081967213115,0.7896666666666667,0.04366666666666663,62,58,50,8,0.8620689655172413,0.9354838709677419,0.7507409056616206,80.0,78.89655172413794,86.0,0,0,622.663,95.0,4576.0,4671.0,424.0,329.0,0.09265734265734266,0.07043459644615714,5.672413793103448,5.306451612903226,0.8053448275862071,0.05672413793103426,True,True,True,0.0
current,brownian70_override_book65_on_conflict,brownian70_override_book; brownian>=0.7; book>=0.65; ask<=95; sec>=120; book_margin_gate=True,307,293,241,52,0.8225255972696246,0.9543973941368078,0.7746879406507481,78.0,77.51194539249147,83.0,4,0,648.904,500.0,22711.0,23211.0,1389.0,889.0,0.06115979040993351,0.03830080565249235,3.0341296928327646,2.8957654723127035,0.7921843003412969,0.030341296928327655,184,175,141,34,0.8057142857142857,0.9510869565217391,0.7407907619629084,78.0,77.13714285714286,83.0,4,0,649.413,303.0,13499.0,13802.0,601.0,298.0,0.04452181643084673,0.02159107375742646,1.7028571428571428,1.6195652173913044,0.7886857142857143,0.017028571428571393,61,60,50,10,0.8333333333333334,0.9836065573770492,0.7196838683638547,77.0,77.26666666666667,83.0,0,0,650.0575,102.0,4636.0,4738.0,364.0,262.0,0.07851596203623813,0.05529759392148586,4.366666666666666,4.295081967213115,0.7896666666666667,0.04366666666666663,62,58,50,8,0.8620689655172413,0.9354838709677419,0.7507409056616206,80.0,78.89655172413794,86.0,0,0,622.663,95.0,4576.0,4671.0,424.0,329.0,0.09265734265734266,0.07043459644615714,5.672413793103448,5.306451612903226,0.8053448275862071,0.05672413793103426,True,True,True,0.0
current,brownian70_override_book55_no_margin_on_conflict,brownian70_override_book; brownian>=0.7; book>=0.55; ask<=95; sec>=120; book_margin_gate=False,307,304,213,91,0.7006578947368421,0.990228013029316,0.6469337762102796,62.0,66.25657894736842,73.0,2,0,788.0135,575.0,20142.0,20717.0,1158.0,583.0,0.05749180816204945,0.028141140126466187,1.917763157894737,1.8990228013029316,0.6814802631578947,0.019177631578947474,184,181,129,52,0.712707182320442,0.9836956521739131,0.6429041448852565,62.0,66.29834254143647,74.0,2,0,779.91,344.0,12000.0,12344.0,900.0,556.0,0.075,0.04504212572909916,3.0718232044198897,3.0217391304347827,0.6819889502762431,0.03071823204419888,61,61,45,16,0.7377049180327869,1.0,0.6156325821638563,63.0,65.78688524590164,71.0,0,0,794.099,115.0,4013.0,4128.0,487.0,372.0,0.12135559431846499,0.09011627906976744,6.098360655737705,6.098360655737705,0.6767213114754098,0.06098360655737711,62,62,39,23,0.6290322580645161,1.0,0.5045796412346052,61.5,66.59677419354838,72.75,0,0,810.771,116.0,4129.0,4245.0,-229.0,-345.0,-0.055461370791959314,-0.0812720848056537,-5.564516129032258,-5.564516129032258,0.6846774193548386,-0.05564516129032249,True,False,False,0.6118421052631579
