dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive,coverage_pass,positive_and_coverage
current,book_margin_locked_equiv,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,False
current,book_margin_locked_equiv,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,True
current,book_margin_locked_equiv,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,True
current,book_margin_locked_equiv,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,True
current,book_margin_locked_equiv,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,False
current,book_margin_locked_equiv,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,False
current,book_margin_locked_equiv,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,True
current,book_margin_locked_equiv,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,True
current,book_margin_locked_equiv,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,True
current,book_margin_locked_equiv,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,True
current,book_margin_locked_equiv,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,False
current,book_margin_locked_equiv,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,False
current,book_margin_locked_equiv,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,True
current,book_margin_locked_equiv,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,True
current,book_margin_locked_equiv,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,False
current,book_margin_locked_equiv,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,True
current,score_min60_locked_equiv,0,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,False,True,False
current,score_min60_locked_equiv,1,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,True,True,True
current,score_min60_locked_equiv,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,True,True,True
current,score_min60_locked_equiv,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,True,True,True
current,score_min60_locked_equiv,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,False,True,False
current,score_min60_locked_equiv,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,True,True,True
current,score_min60_locked_equiv,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,True,True,True
current,score_min60_locked_equiv,7,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,True,True,True
current,score_min60_locked_equiv,8,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,True,True,True
current,score_min60_locked_equiv,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,True,True,True
current,score_min60_locked_equiv,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,False,True,False
current,score_min60_locked_equiv,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,False,True,False
current,score_min60_locked_equiv,12,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,True,True,True
current,score_min60_locked_equiv,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,True,True,True
current,score_min60_locked_equiv,14,20,20,1.0,12,8,0.6,-220.0,-0.15492957746478872,False,True,False
current,score_min60_locked_equiv,15,7,7,1.0,5,2,0.7142857142857143,-6.0,-0.011857707509881422,False,True,False
current,book_margin_edge_ge_m5,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,False
current,book_margin_edge_ge_m5,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,True
current,book_margin_edge_ge_m5,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,True
current,book_margin_edge_ge_m5,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,True
current,book_margin_edge_ge_m5,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,False
current,book_margin_edge_ge_m5,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,False
current,book_margin_edge_ge_m5,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,True
current,book_margin_edge_ge_m5,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,True
current,book_margin_edge_ge_m5,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,True
current,book_margin_edge_ge_m5,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,True
current,book_margin_edge_ge_m5,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,False
current,book_margin_edge_ge_m5,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,False
current,book_margin_edge_ge_m5,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,True
current,book_margin_edge_ge_m5,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,True
current,book_margin_edge_ge_m5,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,False
current,book_margin_edge_ge_m5,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,True
current,book_margin_edge_ge_m3,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,False
current,book_margin_edge_ge_m3,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,True
current,book_margin_edge_ge_m3,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,True
current,book_margin_edge_ge_m3,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,True
current,book_margin_edge_ge_m3,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,False
current,book_margin_edge_ge_m3,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,False
current,book_margin_edge_ge_m3,6,20,20,1.0,16,4,0.8,221.0,0.1602610587382161,True,True,True
current,book_margin_edge_ge_m3,7,20,19,0.95,16,3,0.8421052631578947,289.0,0.2204424103737605,True,True,True
current,book_margin_edge_ge_m3,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,True
current,book_margin_edge_ge_m3,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,True
current,book_margin_edge_ge_m3,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,False
current,book_margin_edge_ge_m3,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,False
current,book_margin_edge_ge_m3,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,True
current,book_margin_edge_ge_m3,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,True
current,book_margin_edge_ge_m3,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,False
current,book_margin_edge_ge_m3,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,True
current,book_margin_edge_ge_0,0,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,1,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,2,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,3,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,4,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,5,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,6,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,7,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,8,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,9,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,10,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,11,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,12,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,13,20,0,0.0,0,0,,0.0,,False,False,False
current,book_margin_edge_ge_0,14,20,0,0.0,0,0,,0.0,,False,False,False
