dataset,candidate,label,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive,all_median_edge
current,book_margin_locked_equiv,choose=book_p_side; book_p_side>=0.6; fair_edge>=-100c; ask<=95; sec>=120; gate=margin_rv15>=0,307,305,216,89,0.7081967213114754,0.993485342019544,0.6548416747611736,64.0,65.71147540983607,68.0,0,0,820.467,607.0,20042.0,20649.0,1558.0,951.0,0.07773675281907994,0.04605549905564434,3.1180327868852458,3.0977198697068404,0.677016393442623,0.031180327868852387,184,182,128,54,0.7032967032967034,0.9891304347826086,0.6332840440822117,63.0,65.02197802197803,67.0,0,0,817.645,363.0,11834.0,12197.0,966.0,603.0,0.08162920398850769,0.04943838648848077,3.3131868131868134,3.277173913043478,0.6701648351648352,0.03313186813186819,61,61,43,18,0.7049180327868853,1.0,0.5811059794277963,65.0,66.57377049180327,69.0,0,0,800.821,122.0,4061.0,4183.0,239.0,117.0,0.05885249938438808,0.02797035620368157,1.9180327868852458,1.9180327868852458,0.6857377049180328,0.019180327868852487,62,62,45,17,0.7258064516129032,1.0,0.6040746035801103,65.0,66.88709677419355,69.0,0,0,828.387,122.0,4147.0,4269.0,353.0,231.0,0.08512177477694718,0.054111033028812365,3.725806451612903,3.725806451612903,0.6885483870967742,0.03725806451612901,True,True,True,-2.5
current,score_min60_locked_equiv,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fair_edge>=-100c; ask<=95; sec>=120; gate=none,307,304,229,75,0.7532894736842105,0.990228013029316,0.701868149722436,68.5,69.5032894736842,73.0,0,0,768.5325,597.0,21129.0,21726.0,1771.0,1174.0,0.08381844857778409,0.05403663812943017,3.861842105263158,3.824104234527687,0.7146710526315789,0.03861842105263158,184,181,136,45,0.7513812154696132,0.9836956521739131,0.6836300138562955,68.0,68.83977900552486,72.0,0,0,766.964,356.0,12460.0,12816.0,1140.0,784.0,0.09149277688603531,0.06117353308364544,4.331491712707182,4.260869565217392,0.7080662983425414,0.043314917127071806,61,61,47,14,0.7704918032786885,1.0,0.65086594876416,69.0,70.39344262295081,75.0,0,0,768.782,119.0,4294.0,4413.0,406.0,287.0,0.09455053563111318,0.06503512349875368,4.704918032786885,4.704918032786885,0.7234426229508197,0.047049180327868756,62,62,46,16,0.7419354838709677,1.0,0.6211887265285198,69.5,70.56451612903226,74.0,0,0,773.2719999999999,122.0,4375.0,4497.0,225.0,103.0,0.05142857142857143,0.022904158327774073,1.6612903225806452,1.6612903225806452,0.7253225806451613,0.01661290322580644,True,True,True,-3.964726873230049
current,book_margin_edge_ge_m5,choose=book_p_side; book_p_side>=0.6; fair_edge>=-5c; ask<=95; sec>=120; gate=margin_rv15>=0,307,305,216,89,0.7081967213114754,0.993485342019544,0.6548416747611736,64.0,65.71147540983607,68.0,0,0,820.467,607.0,20042.0,20649.0,1558.0,951.0,0.07773675281907994,0.04605549905564434,3.1180327868852458,3.0977198697068404,0.677016393442623,0.031180327868852387,184,182,128,54,0.7032967032967034,0.9891304347826086,0.6332840440822117,63.0,65.02197802197803,67.0,0,0,817.645,363.0,11834.0,12197.0,966.0,603.0,0.08162920398850769,0.04943838648848077,3.3131868131868134,3.277173913043478,0.6701648351648352,0.03313186813186819,61,61,43,18,0.7049180327868853,1.0,0.5811059794277963,65.0,66.57377049180327,69.0,0,0,800.821,122.0,4061.0,4183.0,239.0,117.0,0.05885249938438808,0.02797035620368157,1.9180327868852458,1.9180327868852458,0.6857377049180328,0.019180327868852487,62,62,45,17,0.7258064516129032,1.0,0.6040746035801103,65.0,66.88709677419355,69.0,0,0,828.387,122.0,4147.0,4269.0,353.0,231.0,0.08512177477694718,0.054111033028812365,3.725806451612903,3.725806451612903,0.6885483870967742,0.03725806451612901,True,True,True,-2.5
current,book_margin_edge_ge_m3,choose=book_p_side; book_p_side>=0.6; fair_edge>=-3c; ask<=95; sec>=120; gate=margin_rv15>=0,307,305,216,89,0.7081967213114754,0.993485342019544,0.6548416747611736,64.0,65.7344262295082,68.0,0,0,820.467,607.0,20049.0,20656.0,1551.0,944.0,0.0773604668562023,0.045701006971340045,3.095081967213115,3.0749185667752443,0.6772459016393443,0.03095081967213109,184,182,128,54,0.7032967032967034,0.9891304347826086,0.6332840440822117,63.0,65.06043956043956,67.0,0,0,817.645,363.0,11841.0,12204.0,959.0,596.0,0.08098978126847395,0.04883644706653556,3.2747252747252746,3.239130434782609,0.6705494505494505,0.032747252747252875,61,61,43,18,0.7049180327868853,1.0,0.5811059794277963,65.0,66.57377049180327,69.0,0,0,800.821,122.0,4061.0,4183.0,239.0,117.0,0.05885249938438808,0.02797035620368157,1.9180327868852458,1.9180327868852458,0.6857377049180328,0.019180327868852487,62,62,45,17,0.7258064516129032,1.0,0.6040746035801103,65.0,66.88709677419355,69.0,0,0,828.387,122.0,4147.0,4269.0,353.0,231.0,0.08512177477694718,0.054111033028812365,3.725806451612903,3.725806451612903,0.6885483870967742,0.03725806451612901,True,True,True,-2.5
current,book_margin_edge_ge_0,choose=book_p_side; book_p_side>=0.6; fair_edge>=0c; ask<=95; sec>=120; gate=margin_rv15>=0,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,book_margin_edge_ge_2,choose=book_p_side; book_p_side>=0.6; fair_edge>=2c; ask<=95; sec>=120; gate=margin_rv15>=0,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,book_margin_edge_ge_5,choose=book_p_side; book_p_side>=0.6; fair_edge>=5c; ask<=95; sec>=120; gate=margin_rv15>=0,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,book_p625_edge_ge_m3,choose=book_p_side; book_p_side>=0.625; fair_edge>=-3c; ask<=95; sec>=120; gate=margin_rv15>=0,307,305,223,82,0.7311475409836066,0.993485342019544,0.678741962132115,66.0,67.7672131147541,70.0,0,0,796.253,604.0,20669.0,21273.0,1631.0,1027.0,0.07891044559485219,0.04827715883984393,3.3672131147540982,3.3452768729641695,0.6974754098360656,0.033672131147540973,184,182,133,49,0.7307692307692307,0.9891304347826086,0.662049046178774,65.0,66.95604395604396,69.0,0,0,785.6745,362.0,12186.0,12548.0,1114.0,752.0,0.09141637945182997,0.05992986930188078,4.131868131868132,4.086956521739131,0.6894505494505495,0.041318681318681216,61,61,46,15,0.7540983606557377,1.0,0.6331557589001072,68.0,68.95081967213115,72.0,0,0,779.38,121.0,4206.0,4327.0,394.0,273.0,0.0936757013789824,0.06309221169401433,4.475409836065574,4.475409836065574,0.7093442622950817,0.044754098360655914,62,62,44,18,0.7096774193548387,1.0,0.5871235426501359,67.0,68.98387096774194,71.5,0,0,817.969,121.0,4277.0,4398.0,123.0,2.0,0.028758475566986207,0.00045475216007276033,0.03225806451612903,0.03225806451612903,0.7093548387096775,0.000322580645161219,True,True,True,-2.5
current,book_p625_edge_ge_0,choose=book_p_side; book_p_side>=0.625; fair_edge>=0c; ask<=95; sec>=120; gate=margin_rv15>=0,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,book_p65_edge_ge_m3,choose=book_p_side; book_p_side>=0.65; fair_edge>=-3c; ask<=95; sec>=120; gate=margin_rv15>=0,307,303,221,82,0.7293729372937293,0.9869706840390879,0.6767075770179919,69.0,70.55775577557756,72.0,0,0,770.596,597.0,21379.0,21976.0,721.0,124.0,0.03372468310023855,0.005642519111758282,0.40924092409240925,0.40390879478827363,0.7252805280528053,0.004092409240924022,184,180,130,50,0.7222222222222222,0.9782608695652174,0.652666840879483,69.0,70.40555555555555,72.0,0,0,760.7539999999999,355.0,12673.0,13028.0,327.0,-28.0,0.025802888029669374,-0.0021492170709241634,-0.15555555555555556,-0.15217391304347827,0.7237777777777776,-0.0015555555555554212,61,61,47,14,0.7704918032786885,1.0,0.65086594876416,69.0,70.70491803278688,73.0,0,0,772.385,121.0,4313.0,4434.0,387.0,266.0,0.08972872710410387,0.05999097880018042,4.360655737704918,4.360655737704918,0.7268852459016393,0.043606557377049215,62,62,44,18,0.7096774193548387,1.0,0.5871235426501359,69.0,70.85483870967742,72.0,0,0,806.7964999999999,121.0,4393.0,4514.0,7.0,-114.0,0.0015934441156385158,-0.02525476295968099,-1.8387096774193548,-1.8387096774193548,0.7280645161290323,-0.01838709677419359,True,False,False,-2.5
current,book_p65_edge_ge_0,choose=book_p_side; book_p_side>=0.65; fair_edge>=0c; ask<=95; sec>=120; gate=margin_rv15>=0,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,score_min60_edge_ge_m5,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fair_edge>=-5c; ask<=95; sec>=120; gate=none,307,295,224,71,0.7593220338983051,0.9609120521172638,0.7074056654156952,67.0,69.4135593220339,73.0,2,0,713.751,561.0,20477.0,21038.0,1923.0,1362.0,0.09391024075792352,0.06473999429603575,4.6169491525423725,4.436482084690554,0.7131525423728814,0.04616949152542371,184,176,135,41,0.7670454545454546,0.9565217391304348,0.6992983206797873,66.0,69.28977272727273,73.0,0,0,718.275,332.0,12195.0,12527.0,1305.0,973.0,0.1070110701107011,0.0776722279875469,5.528409090909091,5.288043478260869,0.7117613636363637,0.05528409090909092,61,61,46,15,0.7540983606557377,1.0,0.6331557589001072,69.0,70.21311475409836,74.0,0,0,665.548,117.0,4283.0,4400.0,317.0,200.0,0.07401354190987626,0.045454545454545456,3.278688524590164,3.278688524590164,0.7213114754098362,0.032786885245901454,62,58,43,15,0.7413793103448276,0.9354838709677419,0.6162261423525958,67.0,68.94827586206897,71.0,2,0,723.1765,112.0,3999.0,4111.0,301.0,189.0,0.07526881720430108,0.04597421551933836,3.2586206896551726,3.0483870967741935,0.7087931034482758,0.032586206896551784,True,True,True,-2.5761335879673624
current,score_min60_edge_ge_m3,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fair_edge>=-3c; ask<=95; sec>=120; gate=none,307,282,214,68,0.7588652482269503,0.9185667752442996,0.7056740352565074,67.0,70.04964539007092,74.0,4,0,705.1959999999999,528.0,19754.0,20282.0,1646.0,1118.0,0.08332489622354966,0.05512276895769648,3.9645390070921986,3.6416938110749184,0.7192198581560283,0.03964539007092205,184,167,128,39,0.7664670658682635,0.907608695652174,0.696751777164329,66.0,69.38922155688623,73.0,0,0,707.467,314.0,11588.0,11902.0,1212.0,898.0,0.10459095616154643,0.07544950428499411,5.377245508982036,4.880434782608695,0.7126946107784432,0.053772455089820315,61,60,44,16,0.7333333333333333,0.9836065573770492,0.6099128690331636,69.5,72.21666666666667,76.25,1,0,658.021,109.0,4333.0,4442.0,67.0,-42.0,0.015462727902146318,-0.00945520036019811,-0.7,-0.6885245901639344,0.7403333333333335,-0.007000000000000228,62,55,42,13,0.7636363636363637,0.8870967741935484,0.6365163381083228,67.0,69.69090909090909,73.0,3,0,710.591,105.0,3833.0,3938.0,367.0,262.0,0.09574745630054787,0.06653123412899949,4.763636363636364,4.225806451612903,0.716,0.0476363636363637,True,False,False,-2.5
current,score_min60_edge_ge_0,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fair_edge>=0c; ask<=95; sec>=120; gate=none,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,score_min60_edge_ge_2,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fair_edge>=2c; ask<=95; sec>=120; gate=none,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,score_min60_edge_ge_5,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fair_edge>=5c; ask<=95; sec>=120; gate=none,307,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,184,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,61,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,62,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
v21,book_margin_locked_equiv,choose=book_p_side; book_p_side>=0.6; fair_edge>=-100c; ask<=95; sec>=120; gate=margin_rv15>=0,221,219,156,63,0.7123287671232876,0.9909502262443439,0.6491214398502179,66.0,67.32420091324201,70.5,0,0,779.813589,431.0,14744.0,15175.0,856.0,425.0,0.05805751492132393,0.02800658978583196,1.9406392694063928,1.9230769230769231,0.6929223744292238,0.019406392694063856,132,131,90,41,0.6870229007633588,0.9924242424242424,0.6032467934308663,66.0,67.33587786259542,71.0,0,0,779.94713,259.0,8821.0,9080.0,179.0,-80.0,0.020292483845369007,-0.00881057268722467,-0.6106870229007634,-0.6060606060606061,0.6931297709923665,-0.006106870229007688,44,44,32,12,0.7272727272727273,1.0,0.581511269075488,64.5,65.93181818181819,67.0,0,0,779.7111965,87.0,2901.0,2988.0,299.0,212.0,0.10306790761806274,0.07095046854082998,4.818181818181818,4.818181818181818,0.6790909090909091,0.048181818181818215,45,44,34,10,0.7727272727272727,0.9777777777777777,0.6300764193536366,67.0,68.68181818181819,71.25,0,0,779.378346,85.0,3022.0,3107.0,378.0,293.0,0.12508272667107875,0.09430318635339556,6.659090909090909,6.511111111111111,0.7061363636363637,0.06659090909090903,True,False,True,-2.5
