dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_seconds_to_close
current,book_margin_locked,split,holdout,59,43,16,0.7288135593220338,252.0,4.271186440677966,64.0,826.274
current,book_margin_locked,split,train,176,125,51,0.7102272727272727,692.0,3.9318181818181817,63.0,817.645
current,book_margin_locked,split,validation,58,40,18,0.6896551724137931,44.0,0.7586206896551724,65.0,810.8530000000001
current,book_margin_locked,side,no,148,105,43,0.7094594594594594,473.0,3.195945945945946,64.0,818.6895
current,book_margin_locked,side,yes,145,103,42,0.7103448275862069,515.0,3.5517241379310347,64.0,821.446
current,book_margin_locked,hour,0,9,6,3,0.6666666666666666,0.0,0.0,64.0,832.096
current,book_margin_locked,hour,1,8,6,2,0.75,49.0,6.125,64.5,809.2909999999999
current,book_margin_locked,hour,10,12,11,1,0.9166666666666666,268.0,22.333333333333332,66.0,775.8485000000001
current,book_margin_locked,hour,11,12,8,4,0.6666666666666666,-58.0,-4.833333333333333,69.0,804.9715000000001
current,book_margin_locked,hour,12,12,11,1,0.9166666666666666,288.0,24.0,65.0,825.0095
current,book_margin_locked,hour,13,12,8,4,0.6666666666666666,-18.0,-1.5,67.0,827.2049999999999
current,book_margin_locked,hour,14,11,8,3,0.7272727272727273,59.0,5.363636363636363,64.0,776.205
current,book_margin_locked,hour,15,12,9,3,0.75,74.0,6.166666666666667,62.5,798.4590000000001
current,book_margin_locked,hour,16,8,5,3,0.625,-57.0,-7.125,64.0,809.0225
current,book_margin_locked,hour,17,12,8,4,0.6666666666666666,-2.0,-0.16666666666666666,64.0,800.0575
current,book_margin_locked,hour,18,12,10,2,0.8333333333333334,204.0,17.0,62.5,801.116
current,book_margin_locked,hour,19,12,9,3,0.75,105.0,8.75,62.0,852.205
current,book_margin_locked,hour,2,14,8,6,0.5714285714285714,-136.0,-9.714285714285714,62.0,820.813
current,book_margin_locked,hour,20,12,10,2,0.8333333333333334,207.0,17.25,63.0,807.9565
current,book_margin_locked,hour,21,12,9,3,0.75,87.0,7.25,64.0,843.3575
