dataset,candidate,label,min_seconds_to_close,max_seconds_to_close,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,book_margin_locked,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; sec_to_close<=none,120.0,,295,293,208,85,0.7098976109215017,0.9932203389830508,0.6554849789037972,64.0,65.62798634812286,68.0,0,0,819.463,583.0,19229.0,19812.0,1571.0,988.0,0.08169951635550471,0.049868766404199474,3.372013651877133,3.3491525423728814,0.6761774744027303,0.03372013651877137,177,176,125,51,0.7102272727272727,0.9943502824858758,0.6392822662609565,63.0,65.0965909090909,67.25,0,0,817.645,351.0,11457.0,11808.0,1043.0,692.0,0.09103604783102033,0.05860433604336043,3.9318181818181817,3.9096045197740112,0.6709090909090909,0.03931818181818181,59,58,40,18,0.6896551724137931,0.9830508474576272,0.5619693557571829,65.0,66.20689655172414,68.75,0,0,810.8530000000001,116.0,3840.0,3956.0,160.0,44.0,0.041666666666666664,0.011122345803842264,0.7586206896551724,0.7457627118644068,0.6820689655172415,0.0075862068965516505,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,64.0,66.64406779661017,69.0,0,0,826.274,116.0,3932.0,4048.0,368.0,252.0,0.0935910478128179,0.06225296442687747,4.271186440677966,4.271186440677966,0.6861016949152542,0.042711864406779654,True,True,True
current,book_margin_wait480_locked,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=480; margin_rv15>=0; sec_to_close<=none,480.0,,295,285,203,82,0.712280701754386,0.9661016949152542,0.6571742236963677,64.0,65.66666666666667,68.0,0,0,822.776,567.0,18715.0,19282.0,1585.0,1018.0,0.0846914239914507,0.0527953531791308,3.5719298245614035,3.450847457627119,0.6765614035087719,0.03571929824561404,177,170,122,48,0.7176470588235294,0.96045197740113,0.6457500619980103,63.0,65.11764705882354,67.75,0,0,823.95,339.0,11070.0,11409.0,1130.0,791.0,0.1020776874435411,0.06933122973091418,4.652941176470589,4.468926553672317,0.6711176470588236,0.04652941176470582,59,56,38,18,0.6785714285714286,0.9491525423728814,0.5482263990973854,65.0,66.30357142857143,69.0,0,0,811.4365,112.0,3713.0,3825.0,87.0,-25.0,0.023431187718825748,-0.006535947712418301,-0.44642857142857145,-0.423728813559322,0.6830357142857143,-0.004464285714285698,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,64.0,66.64406779661017,69.0,0,0,826.274,116.0,3932.0,4048.0,368.0,252.0,0.0935910478128179,0.06225296442687747,4.271186440677966,4.271186440677966,0.6861016949152542,0.042711864406779654,True,False,False
current,book_margin_max780,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; sec_to_close<=780,120.0,780.0,295,293,207,86,0.7064846416382252,0.9932203389830508,0.6519409046421875,66.0,68.19112627986348,72.0,1,0,765.957,572.0,19980.0,20552.0,720.0,148.0,0.036036036036036036,0.007201245620864149,0.5051194539249146,0.5016949152542373,0.701433447098976,0.005051194539249182,177,176,123,53,0.6988636363636364,0.9943502824858758,0.627434179362726,66.0,67.7159090909091,70.25,0,0,765.5795,344.0,11918.0,12262.0,382.0,38.0,0.03205235777815069,0.0030990050562714074,0.2159090909090909,0.21468926553672316,0.6967045454545454,0.002159090909090944,59,58,44,14,0.7586206896551724,0.9830508474576272,0.6347001974698658,66.5,68.27586206896552,72.75,0,0,766.0375,115.0,3960.0,4075.0,440.0,325.0,0.1111111111111111,0.07975460122699386,5.603448275862069,5.508474576271187,0.7025862068965517,0.05603448275862066,59,59,40,19,0.6779661016949152,1.0,0.5510500442652536,67.0,69.52542372881356,74.0,1,0,766.535,113.0,4102.0,4215.0,-102.0,-215.0,-0.024865919063871283,-0.051008303677342826,-3.6440677966101696,-3.6440677966101696,0.714406779661017,-0.03644067796610173,True,False,False
current,book_margin_window360_780,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=360; margin_rv15>=0; sec_to_close<=780,360.0,780.0,295,291,206,85,0.7079037800687286,0.9864406779661017,0.6532200227040902,66.0,68.19931271477664,72.0,1,0,766.037,568.0,19846.0,20414.0,754.0,186.0,0.03799254257784944,0.009111394141275595,0.6391752577319587,0.6305084745762712,0.7015120274914088,0.00639175257731972,177,174,122,52,0.7011494252873564,0.9830508474576272,0.629387762728364,66.0,67.72413793103448,70.75,0,0,765.6585,340.0,11784.0,12124.0,416.0,76.0,0.035302104548540394,0.006268558231606731,0.4367816091954023,0.4293785310734463,0.6967816091954022,0.004367816091954135,59,58,44,14,0.7586206896551724,0.9830508474576272,0.6347001974698658,66.5,68.27586206896552,72.75,0,0,766.0375,115.0,3960.0,4075.0,440.0,325.0,0.1111111111111111,0.07975460122699386,5.603448275862069,5.508474576271187,0.7025862068965517,0.05603448275862066,59,59,40,19,0.6779661016949152,1.0,0.5510500442652536,67.0,69.52542372881356,74.0,1,0,766.535,113.0,4102.0,4215.0,-102.0,-215.0,-0.024865919063871283,-0.051008303677342826,-3.6440677966101696,-3.6440677966101696,0.714406779661017,-0.03644067796610173,True,False,False
current,book_margin_window480_780,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=480; margin_rv15>=0; sec_to_close<=780,480.0,780.0,295,283,200,83,0.7067137809187279,0.9593220338983051,0.6511867917261835,67.0,68.25441696113074,72.0,1,0,766.215,553.0,19316.0,19869.0,684.0,131.0,0.03541105819010147,0.006593185364135085,0.4628975265017668,0.4440677966101695,0.7020848056537102,0.00462897526501771,177,169,119,50,0.7041420118343196,0.9548022598870056,0.631408840336715,67.0,67.86390532544378,71.0,0,0,765.906,330.0,11469.0,11799.0,431.0,101.0,0.03757956229836952,0.008560047461649293,0.5976331360946746,0.5706214689265536,0.6981656804733728,0.005976331360946774,59,56,42,14,0.75,0.9491525423728814,0.6230735785233251,67.0,68.44642857142857,73.0,0,0,766.463,111.0,3833.0,3944.0,367.0,256.0,0.09574745630054787,0.06490872210953347,4.571428571428571,4.338983050847458,0.7042857142857143,0.04571428571428571,59,58,39,19,0.6724137931034483,0.9830508474576272,0.544240546784708,67.0,69.20689655172414,73.0,1,0,766.7365,112.0,4014.0,4126.0,-114.0,-226.0,-0.028400597907324365,-0.054774600096946194,-3.896551724137931,-3.830508474576271,0.7113793103448277,-0.03896551724137942,True,False,False
current,book_margin_window540_780,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=540; margin_rv15>=0; sec_to_close<=780,540.0,780.0,295,277,196,81,0.7075812274368231,0.9389830508474576,0.6514665461039617,67.0,68.27075812274369,72.0,1,0,766.535,541.0,18911.0,19452.0,689.0,148.0,0.036433821585320714,0.0076084721365412295,0.5342960288808665,0.5016949152542373,0.7022382671480144,0.005342960288808651,177,164,116,48,0.7073170731707317,0.9265536723163842,0.6335745765085699,67.0,67.92073170731707,71.0,0,0,766.2465,320.0,11139.0,11459.0,461.0,141.0,0.04138612083669988,0.012304738633388603,0.8597560975609756,0.7966101694915254,0.698719512195122,0.008597560975609708,59,55,41,14,0.7454545454545455,0.9322033898305084,0.6169812871823414,67.0,68.32727272727273,72.5,0,0,766.808,109.0,3758.0,3867.0,342.0,233.0,0.09100585417775413,0.06025342642875614,4.236363636363636,3.9491525423728815,0.7030909090909089,0.0423636363636366,59,58,39,19,0.6724137931034483,0.9830508474576272,0.544240546784708,67.0,69.20689655172414,73.0,1,0,766.7365,112.0,4014.0,4126.0,-114.0,-226.0,-0.028400597907324365,-0.054774600096946194,-3.896551724137931,-3.830508474576271,0.7113793103448277,-0.03896551724137942,True,False,False
current,book_margin_window600_780,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=600; margin_rv15>=0; sec_to_close<=780,600.0,780.0,295,266,186,80,0.6992481203007519,0.9016949152542373,0.6416222496593339,67.0,68.3157894736842,72.0,1,0,766.9705,519.0,18172.0,18691.0,428.0,-91.0,0.023552718467972706,-0.004868653362580922,-0.34210526315789475,-0.30847457627118646,0.7026691729323308,-0.0034210526315788803,177,158,110,48,0.6962025316455697,0.8926553672316384,0.6205388090949906,67.0,67.9620253164557,71.0,0,0,766.789,308.0,10738.0,11046.0,262.0,-46.0,0.024399329484075246,-0.00416440340394713,-0.2911392405063291,-0.2598870056497175,0.699113924050633,-0.002911392405063329,59,51,38,13,0.7450980392156863,0.864406779661017,0.6113171816155625,66.0,68.25490196078431,72.5,0,0,768.281,101.0,3481.0,3582.0,319.0,218.0,0.09164033323757541,0.060859854829704074,4.2745098039215685,3.694915254237288,0.7023529411764706,0.04274509803921567,59,57,38,19,0.6666666666666666,0.9661016949152542,0.5372251158005142,67.0,69.35087719298245,73.0,1,0,766.938,110.0,3953.0,4063.0,-153.0,-263.0,-0.038704781178851504,-0.06473049470834359,-4.614035087719298,-4.4576271186440675,0.7128070175438597,-0.04614035087719304,True,False,False
current,book_margin_window480_720,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=480; margin_rv15>=0; sec_to_close<=720,480.0,720.0,295,280,198,82,0.7071428571428572,0.9491525423728814,0.6513243065965064,68.0,70.35357142857143,76.25,1,0,708.4845,530.0,19699.0,20229.0,101.0,-429.0,0.005127163815422103,-0.021207177814029365,-1.5321428571428573,-1.4542372881355932,0.7224642857142857,-0.015321428571428486,177,168,119,49,0.7083333333333334,0.9491525423728814,0.635557815810591,68.0,69.91666666666667,76.25,0,0,708.0475,322.0,11746.0,12068.0,154.0,-168.0,0.013110846245530394,-0.013921113689095127,-1.0,-0.9491525423728814,0.7183333333333334,-0.010000000000000009,59,55,40,15,0.7272727272727273,0.9322033898305084,0.5976780188832919,70.0,71.18181818181819,75.5,0,0,708.667,104.0,3915.0,4019.0,85.0,-19.0,0.021711366538952746,-0.004727544165215228,-0.34545454545454546,-0.3220338983050847,0.7307272727272727,-0.003454545454545377,59,57,39,18,0.6842105263157895,0.9661016949152542,0.5552022530213655,68.0,70.84210526315789,77.0,1,0,709.234,104.0,4038.0,4142.0,-138.0,-242.0,-0.03417533432392273,-0.05842588121680348,-4.245614035087719,-4.101694915254237,0.7266666666666666,-0.04245614035087708,True,False,False
current,book_margin_window540_720,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=540; margin_rv15>=0; sec_to_close<=720,540.0,720.0,295,272,194,78,0.7132352941176471,0.9220338983050848,0.656813110524314,68.0,70.48529411764706,77.0,1,0,708.7570000000001,514.0,19172.0,19686.0,228.0,-286.0,0.011892343000208638,-0.014528091029157777,-1.0514705882352942,-0.9694915254237289,0.72375,-0.010514705882352926,177,161,116,45,0.7204968944099379,0.9096045197740112,0.646660690263054,68.0,70.14906832298136,77.0,0,0,708.621,308.0,11294.0,11602.0,306.0,-2.0,0.02709403222950239,-0.00017238407171177384,-0.012422360248447204,-0.011299435028248588,0.7206211180124223,-0.0001242236024844301,59,54,39,15,0.7222222222222222,0.9152542372881356,0.5910955707120474,70.0,71.11111111111111,75.75,0,0,709.0219999999999,102.0,3840.0,3942.0,60.0,-42.0,0.015625,-0.0106544901065449,-0.7777777777777778,-0.711864406779661,0.73,-0.007777777777777772,59,57,39,18,0.6842105263157895,0.9661016949152542,0.5552022530213655,68.0,70.84210526315789,77.0,1,0,709.234,104.0,4038.0,4142.0,-138.0,-242.0,-0.03417533432392273,-0.05842588121680348,-4.245614035087719,-4.101694915254237,0.7266666666666666,-0.04245614035087708,True,False,False
current,book_margin_window600_720,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=600; margin_rv15>=0; sec_to_close<=720,600.0,720.0,295,257,183,74,0.7120622568093385,0.8711864406779661,0.6539004534484035,69.0,70.70817120622569,77.0,1,0,709.377,484.0,18172.0,18656.0,128.0,-356.0,0.007043803653973145,-0.019082332761578044,-1.3852140077821011,-1.2067796610169492,0.7259143968871595,-0.013852140077820985,177,152,109,43,0.7171052631578947,0.8587570621468926,0.6408366269338925,68.0,70.34868421052632,77.0,0,0,709.2725,290.0,10693.0,10983.0,207.0,-83.0,0.019358458804825587,-0.007557133752162433,-0.5460526315789473,-0.4689265536723164,0.7225657894736842,-0.005460526315789527,59,50,36,14,0.72,0.847457627118644,0.5833487630404344,70.0,71.26,75.75,0,0,710.3355,94.0,3563.0,3657.0,37.0,-57.0,0.010384507437552624,-0.015586546349466776,-1.14,-0.9661016949152542,0.7314,-0.011400000000000077,59,55,38,17,0.6909090909090909,0.9322033898305084,0.5597140984246408,69.0,71.2,77.0,1,0,709.497,100.0,3916.0,4016.0,-116.0,-216.0,-0.0296220633299285,-0.053784860557768925,-3.9272727272727272,-3.6610169491525424,0.7301818181818182,-0.03927272727272724,True,False,False
current,book_margin_window480_660,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=480; margin_rv15>=0; sec_to_close<=660,480.0,660.0,295,274,201,73,0.7335766423357665,0.9288135593220339,0.6782643179395047,73.0,73.77007299270073,82.0,3,0,649.267,487.0,20213.0,20700.0,-113.0,-600.0,-0.005590461584129026,-0.028985507246376812,-2.18978102189781,-2.0338983050847457,0.7554744525547445,-0.021897810218978075,177,162,118,44,0.7283950617283951,0.9152542372881356,0.6552036599903256,70.0,73.30246913580247,81.0,1,0,648.627,291.0,11875.0,12166.0,-75.0,-366.0,-0.00631578947368421,-0.03008384021042249,-2.259259259259259,-2.0677966101694913,0.7509876543209877,-0.02259259259259261,59,55,40,15,0.7272727272727273,0.9322033898305084,0.5976780188832919,75.0,75.83636363636364,84.0,0,0,649.994,95.0,4171.0,4266.0,-171.0,-266.0,-0.04099736274274754,-0.06235349273323957,-4.836363636363636,-4.508474576271187,0.7756363636363636,-0.048363636363636275,59,57,43,14,0.7543859649122807,0.9661016949152542,0.628977037672441,71.0,73.10526315789474,81.0,2,0,650.557,101.0,4167.0,4268.0,133.0,32.0,0.031917446604271656,0.007497656982193065,0.5614035087719298,0.5423728813559322,0.7487719298245614,0.0056140350877192935,True,False,False
