dataset,rule,side,markets,retention,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,delta_vs_total_net_cents
current,ask>=85,inside,114,0.37748344370860926,98,16,0.8596491228070176,-271.0,-0.026908946479992056,-450.0
current,ask>=85,outside,188,0.6225165562913907,162,26,0.8617021276595744,450.0,0.02857142857142857,271.0
current,ask>=90,inside,18,0.059602649006622516,15,3,0.8333333333333334,-166.0,-0.09963985594237695,-345.0
current,ask>=90,outside,284,0.9403973509933775,245,39,0.8626760563380281,345.0,0.014282757193127717,166.0
current,seconds_to_close>=600,inside,131,0.4337748344370861,109,22,0.8320610687022901,-197.0,-0.017752545733081014,-376.0
current,seconds_to_close>=600,outside,171,0.5662251655629139,151,20,0.8830409356725146,376.0,0.025536538983971745,197.0
current,margin_dollars<=25,inside,126,0.41721854304635764,113,13,0.8968253968253969,499.0,0.04619942597907601,320.0
current,margin_dollars<=25,outside,176,0.5827814569536424,147,29,0.8352272727272727,-320.0,-0.02130492676431425,-499.0
current,margin_rv15<=0.50,inside,135,0.4470198675496689,117,18,0.8666666666666667,140.0,0.012110726643598616,-39.0
current,margin_rv15<=0.50,outside,167,0.5529801324503312,143,24,0.8562874251497006,39.0,0.0027347310847766638,-140.0
current,brownian15<0.55,inside,21,0.0695364238410596,20,1,0.9523809523809523,190.0,0.10497237569060773,11.0
current,brownian15<0.55,outside,281,0.9304635761589404,240,41,0.8540925266903915,-11.0,-0.00045812336012660866,-190.0
current,score_min<0.65,inside,88,0.2913907284768212,74,14,0.8409090909090909,-160.0,-0.021164021164021163,-339.0
current,score_min<0.65,outside,214,0.7086092715231788,186,28,0.8691588785046729,339.0,0.01856415311319205,160.0
current,signed_move_15m<=-100,inside,9,0.029801324503311258,9,0,1.0,135.0,0.17647058823529413,-44.0
current,signed_move_15m<=-100,outside,293,0.9701986754966887,251,42,0.856655290102389,44.0,0.001756066411238825,-135.0
current,signed_move_30m<=-250,inside,10,0.033112582781456956,8,2,0.8,-47.0,-0.05548996458087367,-226.0
current,signed_move_30m<=-250,outside,292,0.9668874172185431,252,40,0.863013698630137,226.0,0.009049411387843357,47.0
current,adverse15>=100,inside,9,0.029801324503311258,9,0,1.0,135.0,0.17647058823529413,-44.0
current,adverse15>=100,outside,293,0.9701986754966887,251,42,0.856655290102389,44.0,0.001756066411238825,-135.0
current,adverse30>=250,inside,10,0.033112582781456956,8,2,0.8,-47.0,-0.05548996458087367,-226.0
current,adverse30>=250,outside,292,0.9668874172185431,252,40,0.863013698630137,226.0,0.009049411387843357,47.0
v21,ask>=85,inside,99,0.515625,86,13,0.8686868686868687,-288.0,-0.032403240324032405,-587.0
v21,ask>=85,outside,93,0.484375,84,9,0.9032258064516129,587.0,0.07513119160373737,288.0
v21,ask>=90,inside,38,0.19791666666666666,34,4,0.8947368421052632,-127.0,-0.036007938758151406,-426.0
v21,ask>=90,outside,154,0.8020833333333334,136,18,0.8831168831168831,426.0,0.032336420221648704,127.0
v21,seconds_to_close>=600,inside,61,0.3177083333333333,53,8,0.8688524590163934,57.0,0.010871638374976159,-242.0
v21,seconds_to_close>=600,outside,131,0.6822916666666666,117,14,0.8931297709923665,242.0,0.021120614417873974,-57.0
v21,margin_dollars<=25,inside,7,0.036458333333333336,6,1,0.8571428571428571,0.0,0.0,-299.0
v21,margin_dollars<=25,outside,185,0.9635416666666666,164,21,0.8864864864864865,299.0,0.018570275138190175,0.0
v21,margin_rv15<=0.50,inside,7,0.036458333333333336,5,2,0.7142857142857143,-93.0,-0.15682967959527824,-392.0
v21,margin_rv15<=0.50,outside,185,0.9635416666666666,165,20,0.8918918918918919,392.0,0.02433573379687112,93.0
v21,brownian15<0.55,inside,1,0.005208333333333333,1,0,1.0,15.0,0.17647058823529413,-284.0
v21,brownian15<0.55,outside,191,0.9947916666666666,169,22,0.8848167539267016,284.0,0.017091959557053442,-15.0
v21,score_min<0.65,inside,2,0.010416666666666666,2,0,1.0,31.0,0.1834319526627219,-268.0
v21,score_min<0.65,outside,190,0.9895833333333334,168,22,0.8842105263157894,268.0,0.016210984756835228,-31.0
v21,signed_move_15m<=-100,inside,1,0.005208333333333333,1,0,1.0,15.0,0.17647058823529413,-284.0
v21,signed_move_15m<=-100,outside,191,0.9947916666666666,169,22,0.8848167539267016,284.0,0.017091959557053442,-15.0
v21,signed_move_30m<=-250,inside,3,0.015625,3,0,1.0,33.0,0.12359550561797752,-266.0
v21,signed_move_30m<=-250,outside,189,0.984375,167,22,0.8835978835978836,266.0,0.01618595594499209,-33.0
v21,adverse15>=100,inside,1,0.005208333333333333,1,0,1.0,15.0,0.17647058823529413,-284.0
v21,adverse15>=100,outside,191,0.9947916666666666,169,22,0.8848167539267016,284.0,0.017091959557053442,-15.0
v21,adverse30>=250,inside,3,0.015625,3,0,1.0,33.0,0.12359550561797752,-266.0
v21,adverse30>=250,outside,189,0.984375,167,22,0.8835978835978836,266.0,0.01618595594499209,-33.0
