dataset,group,bucket,markets,wins,losses,accuracy,break_even,net_pnl_cents,net_roi_on_cost,median_ask,pass
current,source,refmargin_score_switch:book_margin,21,20,1,0.9523809523809523,0.7438095238095238,438.0,0.28040973111395645,72.0,True
current,source,refmargin_score_switch:book_margin_after_reference,61,42,19,0.6885245901639344,0.7640983606557377,-461.0,-0.09890581420296074,73.0,False
current,source,refmargin_score_switch:score_min60_gap020,210,159,51,0.7571428571428571,0.6973333333333334,1256.0,0.08576891559683146,67.5,True
current,split,holdout,59,44,15,0.7457627118644068,0.7293220338983052,97.0,0.022542412270508946,69.0,True
current,split,train,175,131,44,0.7485714285714286,0.709542857142857,683.0,0.05500523475879842,68.0,True
current,split,validation,58,46,12,0.7931034482758621,0.7150000000000001,453.0,0.10923559199421268,68.0,True
current,entry_hour_utc,0,9,6,3,0.6666666666666666,0.7100000000000001,-39.0,-0.06103286384976526,69.0,False
current,entry_hour_utc,1,8,7,1,0.875,0.73125,115.0,0.19658119658119658,68.5,False
current,entry_hour_utc,2,14,9,5,0.6428571428571429,0.7028571428571428,-84.0,-0.08536585365853659,67.5,False
current,entry_hour_utc,3,16,10,6,0.625,0.7268749999999999,-163.0,-0.14015477214101463,70.5,False
current,entry_hour_utc,4,16,12,4,0.75,0.715,56.0,0.04895104895104895,69.0,False
current,entry_hour_utc,5,16,12,4,0.75,0.699375,81.0,0.07238605898123325,67.5,False
current,entry_hour_utc,6,15,14,1,0.9333333333333333,0.7020000000000001,347.0,0.3295346628679962,67.0,False
current,entry_hour_utc,7,12,10,2,0.8333333333333334,0.6966666666666667,164.0,0.19617224880382775,65.5,False
current,entry_hour_utc,8,12,5,7,0.4166666666666667,0.7066666666666666,-348.0,-0.41037735849056606,69.0,False
current,entry_hour_utc,9,12,7,5,0.5833333333333334,0.7241666666666666,-169.0,-0.19447640966628307,69.0,False
current,entry_hour_utc,10,12,11,1,0.9166666666666666,0.7225,233.0,0.2687427912341407,69.0,False
current,entry_hour_utc,11,12,9,3,0.75,0.7325,21.0,0.023890784982935155,70.5,False
current,entry_hour_utc,12,12,11,1,0.9166666666666666,0.7241666666666666,231.0,0.26582278481012656,69.0,False
current,entry_hour_utc,13,12,8,4,0.6666666666666666,0.7225,-67.0,-0.07727797001153403,66.5,False
current,entry_hour_utc,14,11,8,3,0.7272727272727273,0.7145454545454546,14.0,0.017811704834605598,67.0,False
current,entry_hour_utc,15,11,8,3,0.7272727272727273,0.7109090909090909,18.0,0.023017902813299233,68.0,False
current,entry_hour_utc,16,8,5,3,0.625,0.71,-68.0,-0.11971830985915492,68.0,False
current,entry_hour_utc,17,12,8,4,0.6666666666666666,0.7083333333333334,-50.0,-0.058823529411764705,69.0,False
current,entry_hour_utc,18,12,10,2,0.8333333333333334,0.7358333333333333,117.0,0.13250283125707815,72.5,False
current,entry_hour_utc,19,12,11,1,0.9166666666666666,0.7116666666666666,246.0,0.28805620608899296,68.5,False
current,entry_hour_utc,20,12,10,2,0.8333333333333334,0.7075,151.0,0.17785630153121318,69.0,False
current,entry_hour_utc,21,12,10,2,0.8333333333333334,0.7483333333333334,102.0,0.11358574610244988,73.0,False
current,entry_hour_utc,22,12,9,3,0.75,0.7125,45.0,0.05263157894736842,67.5,False
current,entry_hour_utc,23,12,11,1,0.9166666666666666,0.6833333333333335,280.0,0.34146341463414637,64.5,False
current,ask_bucket,ask<=60,0,0,0,,,0.0,,,False
current,ask_bucket,60<ask<=70,183,132,51,0.7213114754098361,0.6749726775956284,848.0,0.06865284974093264,66.0,True
current,ask_bucket,ask>70,109,89,20,0.8165137614678899,0.7811926605504586,385.0,0.04521432765707575,75.0,True
v21,source,refmargin_score_switch:book_margin,51,39,12,0.7647058823529411,0.7572549019607843,38.0,0.00983946141895391,73.0,True
v21,source,refmargin_score_switch:book_margin_after_reference,26,23,3,0.8846153846153846,0.7923076923076924,240.0,0.11650485436893204,78.5,True
v21,source,refmargin_score_switch:score_min60_gap020,141,99,42,0.7021276595744681,0.6839716312056738,256.0,0.026545002073828285,66.0,True
v21,split,holdout,44,34,10,0.7727272727272727,0.7374999999999999,155.0,0.04776579352850539,70.0,True
v21,split,train,130,92,38,0.7076923076923077,0.7091538461538461,-19.0,-0.0020609610586831543,68.0,False
v21,split,validation,44,35,9,0.7954545454545454,0.705,398.0,0.1283043197936815,67.0,True
v21,entry_hour_utc,0,7,4,3,0.5714285714285714,0.7085714285714285,-96.0,-0.1935483870967742,71.0,False
v21,entry_hour_utc,1,8,6,2,0.75,0.675,60.0,0.1111111111111111,65.0,False
v21,entry_hour_utc,2,8,5,3,0.625,0.7012499999999999,-61.0,-0.10873440285204991,67.0,False
v21,entry_hour_utc,3,8,3,5,0.375,0.70625,-265.0,-0.4690265486725664,66.0,False
v21,entry_hour_utc,4,10,7,3,0.7,0.74,-40.0,-0.05405405405405406,70.5,False
v21,entry_hour_utc,5,12,10,2,0.8333333333333334,0.715,142.0,0.1655011655011655,68.0,False
v21,entry_hour_utc,6,8,5,3,0.625,0.675,-40.0,-0.07407407407407407,63.5,False
v21,entry_hour_utc,7,8,8,0,1.0,0.6675,266.0,0.49812734082397003,64.0,False
v21,entry_hour_utc,8,6,2,4,0.3333333333333333,0.725,-235.0,-0.5402298850574713,70.5,False
v21,entry_hour_utc,9,8,7,1,0.875,0.715,128.0,0.22377622377622378,69.0,False
v21,entry_hour_utc,10,10,9,1,0.9,0.759,141.0,0.1857707509881423,73.0,False
v21,entry_hour_utc,11,12,11,1,0.9166666666666666,0.7141666666666667,243.0,0.28354725787631274,67.0,False
v21,entry_hour_utc,12,12,10,2,0.8333333333333334,0.7374999999999999,115.0,0.12994350282485875,71.0,False
v21,entry_hour_utc,13,12,7,5,0.5833333333333334,0.7291666666666666,-175.0,-0.2,70.5,False
v21,entry_hour_utc,14,12,9,3,0.75,0.7016666666666665,58.0,0.0688836104513064,67.0,False
v21,entry_hour_utc,15,12,8,4,0.6666666666666666,0.7308333333333333,-77.0,-0.08779931584948689,70.0,False
v21,entry_hour_utc,16,9,7,2,0.7777777777777778,0.6822222222222223,86.0,0.14006514657980457,66.0,False
v21,entry_hour_utc,17,8,6,2,0.75,0.69625,43.0,0.07719928186714542,65.5,False
v21,entry_hour_utc,18,8,5,3,0.625,0.73125,-85.0,-0.1452991452991453,71.5,False
v21,entry_hour_utc,19,8,6,2,0.75,0.71875,25.0,0.043478260869565216,69.0,False
v21,entry_hour_utc,20,8,4,4,0.5,0.70625,-165.0,-0.2920353982300885,66.5,False
v21,entry_hour_utc,21,8,7,1,0.875,0.7162499999999999,127.0,0.22164048865619546,67.5,False
v21,entry_hour_utc,22,8,7,1,0.875,0.74875,101.0,0.1686143572621035,72.0,False
v21,entry_hour_utc,23,8,8,0,1.0,0.7024999999999999,238.0,0.4234875444839858,69.0,False
v21,ask_bucket,ask<=60,0,0,0,,,0.0,,,False
v21,ask_bucket,60<ask<=70,139,101,38,0.7266187050359713,0.6731654676258992,743.0,0.07940579245484664,65.0,True
v21,ask_bucket,ask>70,79,60,19,0.759493670886076,0.7859493670886076,-209.0,-0.033660814946046065,75.0,False
