dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,brownian70_sec120,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,19,0.95,12,7,0.631578947368421,-290.0,-0.19463087248322147,80.0,False,True
current,brownian70_sec120,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,18,0.9,15,3,0.8333333333333334,102.0,0.07296137339055794,74.0,True,True
current,brownian70_sec120,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,-154.0,-0.0990990990990991,80.0,False,True
current,brownian70_sec120,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,19,1,0.95,339.0,0.21716848174247277,76.0,True,True
current,brownian70_sec120,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,16,4,0.8,-10.0,-0.006211180124223602,78.0,False,True
current,brownian70_sec120,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,17,3,0.85,133.0,0.08487555839183153,78.0,True,True
current,brownian70_sec120,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,12.0,0.008064516129032258,79.0,True,True
current,brownian70_sec120,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,18,0.9,15,3,0.8333333333333334,89.0,0.06307583274273565,80.0,True,True
current,brownian70_sec120,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,19,0.95,16,3,0.8421052631578947,113.0,0.07599193006052454,74.0,True,True
current,brownian70_sec120,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,343.0,0.2354152367879204,73.0,True,True
current,brownian70_sec120,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,19,0.95,16,3,0.8421052631578947,85.0,0.056105610561056105,80.0,True,True
current,brownian70_sec120,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,14,6,0.7,-210.0,-0.13043478260869565,80.0,False,True
current,brownian70_sec120,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,19,0.95,16,3,0.8421052631578947,71.0,0.04643557880967953,81.0,True,True
current,brownian70_sec120,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,18,0.9,17,1,0.9444444444444444,208.0,0.13941018766756033,80.5,True,True
current,brownian70_sec120,14,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,20,20,1.0,16,4,0.8,77.0,0.050558108995403805,73.5,True,True
current,brownian70_sec120,15,2026-05-04 08:15:00+00:00,2026-05-04 09:45:00+00:00,7,6,0.8571428571428571,5,1,0.8333333333333334,4.0,0.008064516129032258,84.5,True,True
current,brownian70_sec60,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,19,0.95,12,7,0.631578947368421,-290.0,-0.19463087248322147,80.0,False,True
current,brownian70_sec60,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,19,0.95,16,3,0.8421052631578947,116.0,0.07816711590296496,74.0,True,True
current,brownian70_sec60,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,-154.0,-0.0990990990990991,80.0,False,True
current,brownian70_sec60,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,19,1,0.95,339.0,0.21716848174247277,76.0,True,True
current,brownian70_sec60,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,16,4,0.8,-10.0,-0.006211180124223602,78.0,False,True
current,brownian70_sec60,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,17,3,0.85,133.0,0.08487555839183153,78.0,True,True
current,brownian70_sec60,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,12.0,0.008064516129032258,79.0,True,True
current,brownian70_sec60,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,29.0,0.01971447994561523,80.0,True,True
current,brownian70_sec60,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,17,3,0.85,122.0,0.07731305449936629,77.0,True,True
current,brownian70_sec60,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,343.0,0.2354152367879204,73.0,True,True
current,brownian70_sec60,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,19,0.95,16,3,0.8421052631578947,85.0,0.056105610561056105,80.0,True,True
current,brownian70_sec60,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,14,6,0.7,-210.0,-0.13043478260869565,80.0,False,True
current,brownian70_sec60,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,19,0.95,16,3,0.8421052631578947,71.0,0.04643557880967953,81.0,True,True
current,brownian70_sec60,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,19,0.95,18,1,0.9473684210526315,214.0,0.13493064312736444,81.0,True,True
current,brownian70_sec60,14,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,20,20,1.0,16,4,0.8,77.0,0.050558108995403805,73.5,True,True
current,brownian70_sec60,15,2026-05-04 08:15:00+00:00,2026-05-04 09:45:00+00:00,7,6,0.8571428571428571,5,1,0.8333333333333334,4.0,0.008064516129032258,84.5,True,True
current,brownian70_ask90_sec120,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,17,0.85,10,7,0.5882352941176471,-298.0,-0.2295839753466872,79.0,False,True
current,brownian70_ask90_sec120,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,17,0.85,14,3,0.8235294117647058,97.0,0.07444359171143515,74.0,True,True
current,brownian70_ask90_sec120,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,17,0.85,12,5,0.7058823529411765,-163.0,-0.11958914159941306,77.0,False,True
current,brownian70_ask90_sec120,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,19,0.95,18,1,0.9473684210526315,335.0,0.22866894197952217,76.0,True,True
current,brownian70_ask90_sec120,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,-15.0,-0.009900990099009901,78.0,False,True
current,brownian70_ask90_sec120,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,19,0.95,16,3,0.8421052631578947,125.0,0.0847457627118644,78.0,True,True
current,brownian70_ask90_sec120,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,12.0,0.008064516129032258,79.0,True,True
current,brownian70_ask90_sec120,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,17,0.85,14,3,0.8235294117647058,84.0,0.06382978723404255,80.0,True,True
current,brownian70_ask90_sec120,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,19,0.95,16,3,0.8421052631578947,113.0,0.07599193006052454,74.0,True,True
current,brownian70_ask90_sec120,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,343.0,0.2354152367879204,73.0,True,True
current,brownian70_ask90_sec120,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,18,0.9,15,3,0.8333333333333334,79.0,0.055594651653764954,79.0,True,True
current,brownian70_ask90_sec120,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,14,6,0.7,-210.0,-0.13043478260869565,80.0,False,True
current,brownian70_ask90_sec120,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,17,0.85,14,3,0.8235294117647058,60.0,0.04477611940298507,81.0,True,True
current,brownian70_ask90_sec120,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,17,0.85,16,1,0.9411764705882353,210.0,0.1510791366906475,80.0,True,True
current,brownian70_ask90_sec120,14,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,20,20,1.0,16,4,0.8,84.0,0.055408970976253295,73.5,True,True
current,brownian70_ask90_sec120,15,2026-05-04 08:15:00+00:00,2026-05-04 09:45:00+00:00,7,6,0.8571428571428571,5,1,0.8333333333333334,8.0,0.016260162601626018,84.5,True,True
current,score_min60_lock_equiv,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.5,False,True
current,score_min60_lock_equiv,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,score_min60_lock_equiv,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,score_min60_lock_equiv,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
