file,candidate,current_all_net_pnl_cents,current_validation_net_pnl_cents,current_holdout_net_pnl_cents,v21_all_net_pnl_cents,v21_train_net_pnl_cents,v21_validation_net_pnl_cents,v21_holdout_net_pnl_cents
cross_dataset_profit_frontier_20260502_212020Z.csv,brownian70_sec120,165.0,100.0,88.0,132.0,-337.0,341.0,128.0
cross_dataset_profit_frontier_20260502_212020Z.csv,brownian70_sec60,119.0,100.0,28.0,38.0,-431.0,341.0,128.0
cross_dataset_profit_frontier_20260502_212020Z.csv,brownian70_ask90_sec120,121.0,92.0,83.0,80.0,-362.0,327.0,115.0
cross_dataset_profit_frontier_20260502_212020Z.csv,score_min60_lock_equiv,585.0,22.0,202.0,534.0,-19.0,398.0,155.0
cross_dataset_profit_frontier_20260502_212556Z.csv,brownian70_sec120,136.0,105.0,99.0,132.0,-337.0,341.0,128.0
cross_dataset_profit_frontier_20260502_212556Z.csv,brownian70_sec60,90.0,105.0,39.0,38.0,-431.0,341.0,128.0
cross_dataset_profit_frontier_20260502_212556Z.csv,brownian70_ask90_sec120,92.0,97.0,94.0,80.0,-362.0,327.0,115.0
cross_dataset_profit_frontier_20260502_212556Z.csv,score_min60_lock_equiv,469.0,43.0,104.0,534.0,-19.0,398.0,155.0
cross_dataset_profit_frontier_20260503_134129Z.csv,brownian70_sec120,591.0,204.0,331.0,132.0,-337.0,341.0,128.0
cross_dataset_profit_frontier_20260503_134129Z.csv,brownian70_sec60,554.0,153.0,331.0,38.0,-431.0,341.0,128.0
cross_dataset_profit_frontier_20260503_134129Z.csv,brownian70_ask90_sec120,541.0,199.0,325.0,80.0,-362.0,327.0,115.0
cross_dataset_profit_frontier_20260503_134129Z.csv,score_min60_lock_equiv,1195.0,325.0,476.0,534.0,-19.0,398.0,155.0
cross_dataset_profit_frontier_20260503_221153Z.csv,brownian70_sec120,623.0,529.0,-49.0,132.0,-337.0,341.0,128.0
cross_dataset_profit_frontier_20260503_221153Z.csv,brownian70_sec60,586.0,538.0,-49.0,38.0,-431.0,341.0,128.0
cross_dataset_profit_frontier_20260503_221153Z.csv,brownian70_ask90_sec120,562.0,523.0,-60.0,80.0,-362.0,327.0,115.0
cross_dataset_profit_frontier_20260503_221153Z.csv,score_min60_lock_equiv,1301.0,838.0,47.0,534.0,-19.0,398.0,155.0
cross_dataset_profit_frontier_20260504_035415Z.csv,brownian70_sec120,749.0,526.0,11.0,132.0,-337.0,341.0,128.0
cross_dataset_profit_frontier_20260504_035415Z.csv,brownian70_sec60,718.0,535.0,17.0,38.0,-431.0,341.0,128.0
cross_dataset_profit_frontier_20260504_035415Z.csv,brownian70_ask90_sec120,690.0,520.0,2.0,80.0,-362.0,327.0,115.0
cross_dataset_profit_frontier_20260504_035415Z.csv,score_min60_lock_equiv,1318.0,748.0,25.0,534.0,-19.0,398.0,155.0
cross_dataset_profit_frontier_20260504_055140Z.csv,brownian70_sec120,812.0,275.0,332.0,132.0,-337.0,341.0,128.0
cross_dataset_profit_frontier_20260504_055140Z.csv,brownian70_sec60,781.0,275.0,338.0,38.0,-431.0,341.0,128.0
cross_dataset_profit_frontier_20260504_055140Z.csv,brownian70_ask90_sec120,753.0,269.0,323.0,80.0,-362.0,327.0,115.0
cross_dataset_profit_frontier_20260504_055140Z.csv,score_min60_lock_equiv,1190.0,531.0,60.0,534.0,-19.0,398.0,155.0
cross_dataset_profit_frontier_20260504_100602Z.csv,brownian70_sec120,912.0,262.0,352.0,132.0,-337.0,341.0,128.0
cross_dataset_profit_frontier_20260504_100602Z.csv,brownian70_sec60,881.0,262.0,358.0,38.0,-431.0,341.0,128.0
cross_dataset_profit_frontier_20260504_100602Z.csv,brownian70_ask90_sec120,864.0,256.0,354.0,80.0,-362.0,327.0,115.0
cross_dataset_profit_frontier_20260504_100602Z.csv,score_min60_lock_equiv,1174.0,287.0,103.0,534.0,-19.0,398.0,155.0
cross_dataset_profit_frontier_latest.csv,brownian70_sec120,912.0,262.0,352.0,132.0,-337.0,341.0,128.0
cross_dataset_profit_frontier_latest.csv,brownian70_sec60,881.0,262.0,358.0,38.0,-431.0,341.0,128.0
cross_dataset_profit_frontier_latest.csv,brownian70_ask90_sec120,864.0,256.0,354.0,80.0,-362.0,327.0,115.0
cross_dataset_profit_frontier_latest.csv,score_min60_lock_equiv,1174.0,287.0,103.0,534.0,-19.0,398.0,155.0
