dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,net_pnl_cents,positive_net,coverage_pass
current,baseline_book_margin,0,20,20,1.0,12,8,-123.0,False,True
current,baseline_book_margin,1,20,20,1.0,14,6,59.0,True,True
current,baseline_book_margin,2,20,20,1.0,15,5,139.0,True,True
current,baseline_book_margin,3,20,20,1.0,16,4,274.0,True,True
current,baseline_book_margin,4,20,20,1.0,12,8,-117.0,False,True
current,baseline_book_margin,5,20,20,1.0,12,8,-129.0,False,True
current,baseline_book_margin,6,20,20,1.0,16,4,220.0,True,True
current,baseline_book_margin,7,20,19,0.95,16,3,297.0,True,True
current,baseline_book_margin,8,20,20,1.0,14,6,75.0,True,True
current,baseline_book_margin,9,20,19,0.95,15,4,200.0,True,True
current,baseline_book_margin,10,20,20,1.0,12,8,-164.0,False,True
current,baseline_book_margin,11,20,20,1.0,13,7,-73.0,False,True
current,baseline_book_margin,12,20,20,1.0,16,4,258.0,True,True
current,baseline_book_margin,13,20,20,1.0,17,3,285.0,True,True
current,baseline_book_margin,14,20,20,1.0,11,9,-260.0,False,True
current,baseline_book_margin,15,20,20,1.0,15,5,129.0,True,True
current,baseline_book_margin,16,6,6,1.0,3,3,-119.0,False,True
v21,baseline_book_margin,0,20,19,0.95,16,3,223.0,True,True
v21,baseline_book_margin,1,20,20,1.0,11,9,-283.0,False,True
v21,baseline_book_margin,2,20,20,1.0,13,7,-104.0,False,True
v21,baseline_book_margin,3,20,20,1.0,13,7,-84.0,False,True
v21,baseline_book_margin,4,20,20,1.0,14,6,32.0,True,True
v21,baseline_book_margin,5,20,20,1.0,14,6,40.0,True,True
v21,baseline_book_margin,6,20,20,1.0,17,3,343.0,True,True
v21,baseline_book_margin,7,20,20,1.0,16,4,230.0,True,True
v21,baseline_book_margin,8,20,20,1.0,10,10,-332.0,False,True
v21,baseline_book_margin,9,20,20,1.0,17,3,292.0,True,True
v21,baseline_book_margin,10,20,19,0.95,14,5,31.0,True,True
v21,baseline_book_margin,11,1,1,1.0,1,0,37.0,True,True
current,touch_first_t0.4_ask55_book0.5,0,20,20,1.0,13,7,112.0,True,True
current,touch_first_t0.4_ask55_book0.5,1,20,20,1.0,11,9,-125.0,False,True
current,touch_first_t0.4_ask55_book0.5,2,20,20,1.0,13,7,32.0,True,True
current,touch_first_t0.4_ask55_book0.5,3,20,20,1.0,16,4,375.0,True,True
current,touch_first_t0.4_ask55_book0.5,4,20,20,1.0,8,12,-381.0,False,True
current,touch_first_t0.4_ask55_book0.5,5,20,20,1.0,10,10,-217.0,False,True
current,touch_first_t0.4_ask55_book0.5,6,20,20,1.0,14,6,183.0,True,True
current,touch_first_t0.4_ask55_book0.5,7,20,19,0.95,11,8,-77.0,False,True
current,touch_first_t0.4_ask55_book0.5,8,20,20,1.0,14,6,153.0,True,True
current,touch_first_t0.4_ask55_book0.5,9,20,19,0.95,9,10,-267.0,False,True
current,touch_first_t0.4_ask55_book0.5,10,20,20,1.0,9,11,-356.0,False,True
current,touch_first_t0.4_ask55_book0.5,11,20,20,1.0,10,10,-264.0,False,True
current,touch_first_t0.4_ask55_book0.5,12,20,20,1.0,12,8,5.0,True,True
current,touch_first_t0.4_ask55_book0.5,13,20,20,1.0,15,5,136.0,True,True
current,touch_first_t0.4_ask55_book0.5,14,20,20,1.0,11,9,-172.0,False,True
current,touch_first_t0.4_ask55_book0.5,15,20,20,1.0,13,7,101.0,True,True
current,touch_first_t0.4_ask55_book0.5,16,6,6,1.0,3,3,-74.0,False,True
v21,touch_first_t0.4_ask55_book0.5,0,20,19,0.95,16,3,331.0,True,True
v21,touch_first_t0.4_ask55_book0.5,1,20,20,1.0,14,6,105.0,True,True
v21,touch_first_t0.4_ask55_book0.5,2,20,20,1.0,13,7,27.0,True,True
v21,touch_first_t0.4_ask55_book0.5,3,20,20,1.0,12,8,-54.0,False,True
v21,touch_first_t0.4_ask55_book0.5,4,20,20,1.0,13,7,74.0,True,True
v21,touch_first_t0.4_ask55_book0.5,5,20,20,1.0,13,7,49.0,True,True
v21,touch_first_t0.4_ask55_book0.5,6,20,20,1.0,16,4,419.0,True,True
v21,touch_first_t0.4_ask55_book0.5,7,20,20,1.0,12,8,-36.0,False,True
v21,touch_first_t0.4_ask55_book0.5,8,20,20,1.0,10,10,-191.0,False,True
v21,touch_first_t0.4_ask55_book0.5,9,20,20,1.0,15,5,231.0,True,True
v21,touch_first_t0.4_ask55_book0.5,10,20,19,0.95,9,10,-263.0,False,True
v21,touch_first_t0.4_ask55_book0.5,11,1,1,1.0,1,0,45.0,True,True
current,touch_first_t0.4_ask55_book0.55,0,20,20,1.0,12,8,-123.0,False,True
current,touch_first_t0.4_ask55_book0.55,1,20,20,1.0,14,6,59.0,True,True
current,touch_first_t0.4_ask55_book0.55,2,20,20,1.0,15,5,139.0,True,True
current,touch_first_t0.4_ask55_book0.55,3,20,20,1.0,16,4,274.0,True,True
current,touch_first_t0.4_ask55_book0.55,4,20,20,1.0,12,8,-117.0,False,True
current,touch_first_t0.4_ask55_book0.55,5,20,20,1.0,12,8,-129.0,False,True
current,touch_first_t0.4_ask55_book0.55,6,20,20,1.0,16,4,220.0,True,True
current,touch_first_t0.4_ask55_book0.55,7,20,19,0.95,16,3,297.0,True,True
current,touch_first_t0.4_ask55_book0.55,8,20,20,1.0,14,6,75.0,True,True
current,touch_first_t0.4_ask55_book0.55,9,20,19,0.95,15,4,200.0,True,True
current,touch_first_t0.4_ask55_book0.55,10,20,20,1.0,12,8,-164.0,False,True
current,touch_first_t0.4_ask55_book0.55,11,20,20,1.0,13,7,-73.0,False,True
current,touch_first_t0.4_ask55_book0.55,12,20,20,1.0,16,4,258.0,True,True
current,touch_first_t0.4_ask55_book0.55,13,20,20,1.0,17,3,285.0,True,True
current,touch_first_t0.4_ask55_book0.55,14,20,20,1.0,11,9,-260.0,False,True
current,touch_first_t0.4_ask55_book0.55,15,20,20,1.0,15,5,129.0,True,True
current,touch_first_t0.4_ask55_book0.55,16,6,6,1.0,3,3,-119.0,False,True
v21,touch_first_t0.4_ask55_book0.55,0,20,19,0.95,16,3,223.0,True,True
v21,touch_first_t0.4_ask55_book0.55,1,20,20,1.0,11,9,-283.0,False,True
v21,touch_first_t0.4_ask55_book0.55,2,20,20,1.0,13,7,-104.0,False,True
v21,touch_first_t0.4_ask55_book0.55,3,20,20,1.0,13,7,-84.0,False,True
v21,touch_first_t0.4_ask55_book0.55,4,20,20,1.0,14,6,32.0,True,True
v21,touch_first_t0.4_ask55_book0.55,5,20,20,1.0,14,6,40.0,True,True
v21,touch_first_t0.4_ask55_book0.55,6,20,20,1.0,17,3,343.0,True,True
v21,touch_first_t0.4_ask55_book0.55,7,20,20,1.0,16,4,230.0,True,True
v21,touch_first_t0.4_ask55_book0.55,8,20,20,1.0,10,10,-332.0,False,True
v21,touch_first_t0.4_ask55_book0.55,9,20,20,1.0,17,3,292.0,True,True
v21,touch_first_t0.4_ask55_book0.55,10,20,19,0.95,14,5,31.0,True,True
v21,touch_first_t0.4_ask55_book0.55,11,1,1,1.0,1,0,37.0,True,True
