label,chooser,min_score,ask_max,min_seconds_to_close,gate,current_target_pass,v21_target_pass,both_target_pass,both_wilson_pass,both_coverage_pass,nondegenerate,min_split_accuracy,min_all_accuracy,min_all_coverage,min_all_wilson,max_median_ask,current_all_base_markets,current_all_markets,current_all_wins,current_all_losses,current_all_accuracy,current_all_coverage,current_all_wilson95_lower,current_all_median_ask,current_all_ask_ge_95,current_all_ask_eq_100,current_all_median_seconds_to_close,current_train_base_markets,current_train_markets,current_train_wins,current_train_losses,current_train_accuracy,current_train_coverage,current_train_wilson95_lower,current_train_median_ask,current_train_ask_ge_95,current_train_ask_eq_100,current_train_median_seconds_to_close,current_validation_base_markets,current_validation_markets,current_validation_wins,current_validation_losses,current_validation_accuracy,current_validation_coverage,current_validation_wilson95_lower,current_validation_median_ask,current_validation_ask_ge_95,current_validation_ask_eq_100,current_validation_median_seconds_to_close,current_holdout_base_markets,current_holdout_markets,current_holdout_wins,current_holdout_losses,current_holdout_accuracy,current_holdout_coverage,current_holdout_wilson95_lower,current_holdout_median_ask,current_holdout_ask_ge_95,current_holdout_ask_eq_100,current_holdout_median_seconds_to_close,v21_all_base_markets,v21_all_markets,v21_all_wins,v21_all_losses,v21_all_accuracy,v21_all_coverage,v21_all_wilson95_lower,v21_all_median_ask,v21_all_ask_ge_95,v21_all_ask_eq_100,v21_all_median_seconds_to_close,v21_train_base_markets,v21_train_markets,v21_train_wins,v21_train_losses,v21_train_accuracy,v21_train_coverage,v21_train_wilson95_lower,v21_train_median_ask,v21_train_ask_ge_95,v21_train_ask_eq_100,v21_train_median_seconds_to_close,v21_validation_base_markets,v21_validation_markets,v21_validation_wins,v21_validation_losses,v21_validation_accuracy,v21_validation_coverage,v21_validation_wilson95_lower,v21_validation_median_ask,v21_validation_ask_ge_95,v21_validation_ask_eq_100,v21_validation_median_seconds_to_close,v21_holdout_base_markets,v21_holdout_markets,v21_holdout_wins,v21_holdout_losses,v21_holdout_accuracy,v21_holdout_coverage,v21_holdout_wilson95_lower,v21_holdout_median_ask,v21_holdout_ask_ge_95,v21_holdout_ask_eq_100,v21_holdout_median_seconds_to_close
choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=60; adverse15<=10_or_margin_rv15>=0.5,book_p_side,0.8,95.0,60.0,adverse15<=10_or_margin_rv15>=0.5,False,False,False,False,True,True,0.8333333333333334,0.8571428571428571,0.9230769230769231,0.7931730121161726,85.0,159,154,132,22,0.8571428571428571,0.9685534591194969,0.7931730121161726,84.0,4,0,513.924,95,92,79,13,0.8586956521739131,0.968421052631579,0.7731141979919699,84.0,2,0,525.889,32,32,28,4,0.875,1.0,0.7193169451834978,85.0,2,0,431.48,32,30,25,5,0.8333333333333334,0.9375,0.6643564949358397,83.5,0,0,553.796,221,204,179,25,0.8774509803921569,0.9230769230769231,0.825351293652429,85.0,3,0,479.8034005,132,122,106,16,0.8688524590163934,0.9242424242424242,0.7975497130263897,85.0,2,0,479.8034005,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,85.0,1,0,539.3179379999999,45,40,36,4,0.9,0.8888888888888888,0.769482247724777,85.5,0,0,479.429585
choose=score_mean_book_rv15; score_mean_book_rv15>=0.8; ask<=95; sec_to_close>=60,score_mean_book_rv15,0.8,95.0,60.0,none,False,False,False,False,True,True,0.8292682926829268,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,159,147,129,18,0.8775510204081632,0.9245283018867925,0.8147476677042025,86.0,8,0,468.639,95,88,77,11,0.875,0.9263157894736842,0.7898824415232533,86.0,4,0,497.6305,32,31,27,4,0.8709677419354839,0.96875,0.7114759374369357,88.0,4,0,418.997,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.0,0,0,522.0609999999999,221,191,166,25,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,4,0,479.513487,132,113,99,14,0.8761061946902655,0.8560606060606061,0.8027361011146767,87.0,1,0,479.170424,44,41,34,7,0.8292682926829268,0.9318181818181818,0.6873738759959582,88.0,3,0,479.330211,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718
choose=score_mean_book_rv15; score_mean_book_rv15>=0.8; ask<=95; sec_to_close>=60; adverse15<=10_or_margin_rv15>=0.5,score_mean_book_rv15,0.8,95.0,60.0,adverse15<=10_or_margin_rv15>=0.5,False,False,False,False,True,True,0.8292682926829268,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,159,147,129,18,0.8775510204081632,0.9245283018867925,0.8147476677042025,86.0,8,0,468.639,95,88,77,11,0.875,0.9263157894736842,0.7898824415232533,86.0,4,0,497.6305,32,31,27,4,0.8709677419354839,0.96875,0.7114759374369357,88.0,4,0,418.997,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.0,0,0,522.0609999999999,221,191,166,25,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,4,0,479.513487,132,113,99,14,0.8761061946902655,0.8560606060606061,0.8027361011146767,87.0,1,0,479.170424,44,41,34,7,0.8292682926829268,0.9318181818181818,0.6873738759959582,88.0,3,0,479.330211,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718
choose=score_mean_book_rv15; score_mean_book_rv15>=0.8; ask<=95; sec_to_close>=60; brownian15>=0.55_and_brownian30>=0.55,score_mean_book_rv15,0.8,95.0,60.0,brownian15>=0.55_and_brownian30>=0.55,False,False,False,False,True,True,0.8292682926829268,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,159,147,129,18,0.8775510204081632,0.9245283018867925,0.8147476677042025,86.0,8,0,468.639,95,88,77,11,0.875,0.9263157894736842,0.7898824415232533,86.0,4,0,497.6305,32,31,27,4,0.8709677419354839,0.96875,0.7114759374369357,88.0,4,0,418.997,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.0,0,0,522.0609999999999,221,191,166,25,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,4,0,479.513487,132,113,99,14,0.8761061946902655,0.8560606060606061,0.8027361011146767,87.0,1,0,479.170424,44,41,34,7,0.8292682926829268,0.9318181818181818,0.6873738759959582,88.0,3,0,479.330211,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718
choose=score_mean_book_rv15; score_mean_book_rv15>=0.8; ask<=95; sec_to_close>=60; spread<=4,score_mean_book_rv15,0.8,95.0,60.0,spread<=4,False,False,False,False,True,True,0.8292682926829268,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,159,147,129,18,0.8775510204081632,0.9245283018867925,0.8147476677042025,86.0,8,0,468.639,95,88,77,11,0.875,0.9263157894736842,0.7898824415232533,86.0,4,0,497.6305,32,31,27,4,0.8709677419354839,0.96875,0.7114759374369357,88.0,4,0,418.997,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.0,0,0,522.0609999999999,221,191,166,25,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,4,0,479.513487,132,113,99,14,0.8761061946902655,0.8560606060606061,0.8027361011146767,87.0,1,0,479.170424,44,41,34,7,0.8292682926829268,0.9318181818181818,0.6873738759959582,88.0,3,0,479.330211,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718
choose=score_mean_book_rv15; score_mean_book_rv15>=0.8; ask<=95; sec_to_close>=60; margin_rv15>=0,score_mean_book_rv15,0.8,95.0,60.0,margin_rv15>=0,False,False,False,False,True,True,0.8292682926829268,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,159,147,129,18,0.8775510204081632,0.9245283018867925,0.8147476677042025,86.0,8,0,468.639,95,88,77,11,0.875,0.9263157894736842,0.7898824415232533,86.0,4,0,497.6305,32,31,27,4,0.8709677419354839,0.96875,0.7114759374369357,88.0,4,0,418.997,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.0,0,0,522.0609999999999,221,191,166,25,0.8691099476439791,0.8642533936651584,0.8139182587885877,87.0,4,0,479.513487,132,113,99,14,0.8761061946902655,0.8560606060606061,0.8027361011146767,87.0,1,0,479.170424,44,41,34,7,0.8292682926829268,0.9318181818181818,0.6873738759959582,88.0,3,0,479.330211,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718
choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; adverse15<=10_or_margin_rv15>=0.5,book_p_side,0.8,95.0,120.0,adverse15<=10_or_margin_rv15>=0.5,False,False,False,False,True,True,0.8214285714285714,0.8503401360544217,0.8642533936651584,0.7837937554085953,85.0,159,147,125,22,0.8503401360544217,0.9245283018867925,0.7837937554085953,84.0,3,0,529.733,95,87,74,13,0.8505747126436781,0.9157894736842105,0.7609539966071731,84.0,1,0,536.639,32,32,28,4,0.875,1.0,0.7193169451834978,85.0,2,0,431.48,32,28,23,5,0.8214285714285714,0.875,0.6440857521065705,83.0,0,0,566.0764999999999,221,191,170,21,0.8900523560209425,0.8642533936651584,0.8377694128413457,85.0,3,0,539.12744,132,110,97,13,0.8818181818181818,0.8333333333333334,0.8082495498597607,84.5,2,0,539.2159945000001,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,85.0,1,0,539.3179379999999,45,39,36,3,0.9230769230769231,0.8666666666666667,0.7967892883204502,85.0,0,0,479.513487
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=120,score_regime_blend,0.8,95.0,120.0,none,False,False,False,False,True,True,0.8181818181818182,0.8299319727891157,0.8778280542986425,0.7609894313410643,83.0,159,147,122,25,0.8299319727891157,0.9245283018867925,0.7609894313410643,83.0,3,0,561.798,95,88,72,16,0.8181818181818182,0.9263157894736842,0.7248774097917623,82.0,2,0,586.3975,32,31,26,5,0.8387096774193549,0.96875,0.6736564604120674,83.0,1,0,507.853,32,28,24,4,0.8571428571428571,0.875,0.685101978364747,83.0,0,0,573.575,221,194,165,29,0.8505154639175257,0.8778280542986425,0.7935601983403645,83.0,3,0,539.8282745,132,117,96,21,0.8205128205128205,0.8863636363636364,0.741146913021092,83.0,1,0,599.231457,44,41,37,4,0.9024390243902439,0.9318181818181818,0.7745231869447661,83.0,2,0,539.605619,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=120; adverse15<=10_or_margin_rv15>=0.5,score_regime_blend,0.8,95.0,120.0,adverse15<=10_or_margin_rv15>=0.5,False,False,False,False,True,True,0.8181818181818182,0.8299319727891157,0.8778280542986425,0.7609894313410643,83.0,159,147,122,25,0.8299319727891157,0.9245283018867925,0.7609894313410643,83.0,3,0,559.117,95,88,72,16,0.8181818181818182,0.9263157894736842,0.7248774097917623,82.0,2,0,586.0699999999999,32,31,26,5,0.8387096774193549,0.96875,0.6736564604120674,83.0,1,0,507.853,32,28,24,4,0.8571428571428571,0.875,0.685101978364747,82.5,0,0,573.575,221,194,165,29,0.8505154639175257,0.8778280542986425,0.7935601983403645,83.0,3,0,539.8282745,132,117,96,21,0.8205128205128205,0.8863636363636364,0.741146913021092,83.0,1,0,599.231457,44,41,37,4,0.9024390243902439,0.9318181818181818,0.7745231869447661,83.0,2,0,539.605619,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=120; brownian15>=0.55_and_brownian30>=0.55,score_regime_blend,0.8,95.0,120.0,brownian15>=0.55_and_brownian30>=0.55,False,False,False,False,True,True,0.8181818181818182,0.8299319727891157,0.8778280542986425,0.7609894313410643,83.0,159,147,122,25,0.8299319727891157,0.9245283018867925,0.7609894313410643,83.0,3,0,561.798,95,88,72,16,0.8181818181818182,0.9263157894736842,0.7248774097917623,82.0,2,0,586.3975,32,31,26,5,0.8387096774193549,0.96875,0.6736564604120674,83.0,1,0,507.853,32,28,24,4,0.8571428571428571,0.875,0.685101978364747,83.0,0,0,573.575,221,194,165,29,0.8505154639175257,0.8778280542986425,0.7935601983403645,83.0,3,0,539.8282745,132,117,96,21,0.8205128205128205,0.8863636363636364,0.741146913021092,83.0,1,0,599.231457,44,41,37,4,0.9024390243902439,0.9318181818181818,0.7745231869447661,83.0,2,0,539.605619,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
