blockers,blocker_count,current_target_pass,v21_target_pass,both_target_pass,both_wilson_pass,both_coverage_pass,min_split_accuracy,min_all_accuracy,min_all_coverage,min_all_wilson,max_median_ask,min_all_roi,current_all_base_markets,current_all_markets,current_all_wins,current_all_losses,current_all_accuracy,current_all_coverage,current_all_wilson95_lower,current_all_median_ask,current_all_ask_ge_95,current_all_ask_eq_100,current_all_median_seconds_to_close,current_all_gross_pnl_cents,current_all_stake_cents,current_all_gross_roi,current_train_base_markets,current_train_markets,current_train_wins,current_train_losses,current_train_accuracy,current_train_coverage,current_train_wilson95_lower,current_train_median_ask,current_train_ask_ge_95,current_train_ask_eq_100,current_train_median_seconds_to_close,current_train_gross_pnl_cents,current_train_stake_cents,current_train_gross_roi,current_validation_base_markets,current_validation_markets,current_validation_wins,current_validation_losses,current_validation_accuracy,current_validation_coverage,current_validation_wilson95_lower,current_validation_median_ask,current_validation_ask_ge_95,current_validation_ask_eq_100,current_validation_median_seconds_to_close,current_validation_gross_pnl_cents,current_validation_stake_cents,current_validation_gross_roi,current_holdout_base_markets,current_holdout_markets,current_holdout_wins,current_holdout_losses,current_holdout_accuracy,current_holdout_coverage,current_holdout_wilson95_lower,current_holdout_median_ask,current_holdout_ask_ge_95,current_holdout_ask_eq_100,current_holdout_median_seconds_to_close,current_holdout_gross_pnl_cents,current_holdout_stake_cents,current_holdout_gross_roi,v21_all_base_markets,v21_all_markets,v21_all_wins,v21_all_losses,v21_all_accuracy,v21_all_coverage,v21_all_wilson95_lower,v21_all_median_ask,v21_all_ask_ge_95,v21_all_ask_eq_100,v21_all_median_seconds_to_close,v21_all_gross_pnl_cents,v21_all_stake_cents,v21_all_gross_roi,v21_train_base_markets,v21_train_markets,v21_train_wins,v21_train_losses,v21_train_accuracy,v21_train_coverage,v21_train_wilson95_lower,v21_train_median_ask,v21_train_ask_ge_95,v21_train_ask_eq_100,v21_train_median_seconds_to_close,v21_train_gross_pnl_cents,v21_train_stake_cents,v21_train_gross_roi,v21_validation_base_markets,v21_validation_markets,v21_validation_wins,v21_validation_losses,v21_validation_accuracy,v21_validation_coverage,v21_validation_wilson95_lower,v21_validation_median_ask,v21_validation_ask_ge_95,v21_validation_ask_eq_100,v21_validation_median_seconds_to_close,v21_validation_gross_pnl_cents,v21_validation_stake_cents,v21_validation_gross_roi,v21_holdout_base_markets,v21_holdout_markets,v21_holdout_wins,v21_holdout_losses,v21_holdout_accuracy,v21_holdout_coverage,v21_holdout_wilson95_lower,v21_holdout_median_ask,v21_holdout_ask_ge_95,v21_holdout_ask_eq_100,v21_holdout_median_seconds_to_close,v21_holdout_gross_pnl_cents,v21_holdout_stake_cents,v21_holdout_gross_roi
drift_p_5m_rv_15m>=0.8 AND book_p_side>=0.8,2,False,False,False,False,True,0.8666666666666667,0.8857142857142857,0.8416289592760181,0.8224092535736809,87.0,0.014884979702300407,159,140,124,16,0.8857142857142857,0.8805031446540881,0.8224092535736809,86.0,9,0,475.2885,213.0,12187.0,0.017477640108312136,95,82,73,9,0.8902439024390244,0.8631578947368421,0.804387633588628,86.0,5,0,525.596,178.0,7122.0,0.02499297950014041,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,412.909,-34.0,2634.0,-0.012908124525436599,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,69.0,2431.0,0.028383381324557796,221,186,165,21,0.8870967741935484,0.8416289592760181,0.8335689543144769,87.0,5,0,479.5603585,242.0,16258.0,0.014884979702300407,132,110,97,13,0.8818181818181818,0.8333333333333334,0.8082495498597607,87.5,2,0,479.471673,66.0,9634.0,0.006850736973219846,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,-7.0,3407.0,-0.002054593484003522,45,37,34,3,0.918918918918919,0.8222222222222222,0.7869932065071162,87.0,0,0,479.513487,183.0,3217.0,0.05688529686042897
drift_p_5m_rv_15m>=0.8,1,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
drift_p_5m_rv_15m>=0.8 AND signed_move_5m>=0,2,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
drift_p_5m_rv_15m>=0.8 AND abs_book_rv15_gap<=0.3,2,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
drift_p_5m_rv_15m>=0.8 AND abs_book_rv15_gap<=0.4,2,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
drift_p_5m_rv_15m>=0.8 AND abs_book_rv30_gap<=0.3,2,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
drift_p_5m_rv_15m>=0.8 AND abs_book_rv30_gap<=0.4,2,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
drift_p_5m_rv_15m>=0.8 AND spread_cents<=3,2,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
drift_p_5m_rv_15m>=0.8 AND spread_cents<=4,2,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
drift_p_5m_rv_15m>=0.8 AND spread_cents<=5,2,False,False,False,False,True,0.8666666666666667,0.8770053475935828,0.8461538461538461,0.8153934543235097,87.0,0.009727866026351435,159,141,124,17,0.8794326241134752,0.8867924528301887,0.8153934543235097,86.0,9,0,476.158,196.0,12204.0,0.016060308095706327,95,83,73,10,0.8795180722891566,0.8736842105263158,0.7922368486742836,86.0,5,0,527.039,128.0,7172.0,0.01784718349135527,32,30,26,4,0.8666666666666667,0.9375,0.703186733179637,87.5,4,0,423.9625,-14.0,2614.0,-0.005355776587605203,32,28,25,3,0.8928571428571429,0.875,0.7280414845132784,87.5,0,0,522.0609999999999,82.0,2418.0,0.03391232423490488,221,187,164,23,0.8770053475935828,0.8461538461538461,0.8222058893631614,87.0,4,0,479.655718,158.0,16242.0,0.009727866026351435,132,111,97,14,0.8738738738738738,0.8409090909090909,0.799374063637868,87.0,1,0,479.772922,48.0,9652.0,0.004973062577704103,44,39,34,5,0.8717948717948718,0.8863636363636364,0.7329425662025455,87.0,3,0,479.60723,1.0,3399.0,0.0002942041776993233,45,37,33,4,0.8918918918918919,0.8222222222222222,0.7529146845587399,87.0,0,0,479.655718,109.0,3191.0,0.034158570980883735
