dataset,policy,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even
current,frontier_v2,295,293,184,109,0.6279863481228669,0.9932203389830508,0.5713206128846628,61.0,60.74061433447099,66.0,0,0,834.833,583.0,17797.0,18380.0,603.0,20.0,0.03388211496319604,0.001088139281828074,0.06825938566552901,0.06779661016949153,0.6273037542662117,0.0006825938566552558,177,176,112,64,0.6363636363636364,0.9943502824858758,0.5630850284080872,60.0,59.90909090909091,65.0,0,0,836.2015,351.0,10544.0,10895.0,656.0,305.0,0.0622154779969651,0.02799449288664525,1.7329545454545454,1.7231638418079096,0.6190340909090909,0.01732954545454546,59,58,38,20,0.6551724137931034,0.9830508474576272,0.5266777656614042,60.0,60.36206896551724,65.75,0,0,831.0070000000001,116.0,3501.0,3617.0,299.0,183.0,0.08540417023707512,0.05059441526126624,3.1551724137931036,3.1016949152542375,0.6236206896551725,0.03155172413793095,59,59,34,25,0.576271186440678,1.0,0.4493448280003429,64.0,63.59322033898305,69.0,0,0,832.096,116.0,3752.0,3868.0,-352.0,-468.0,-0.09381663113006397,-0.12099276111685625,-7.932203389830509,-7.932203389830509,0.655593220338983,-0.07932203389830506
current,book_margin,295,293,208,85,0.7098976109215017,0.9932203389830508,0.6554849789037972,64.0,65.62798634812286,68.0,0,0,819.463,583.0,19229.0,19812.0,1571.0,988.0,0.08169951635550471,0.049868766404199474,3.372013651877133,3.3491525423728814,0.6761774744027303,0.03372013651877137,177,176,125,51,0.7102272727272727,0.9943502824858758,0.6392822662609565,63.0,65.0965909090909,67.25,0,0,817.645,351.0,11457.0,11808.0,1043.0,692.0,0.09103604783102033,0.05860433604336043,3.9318181818181817,3.9096045197740112,0.6709090909090909,0.03931818181818181,59,58,40,18,0.6896551724137931,0.9830508474576272,0.5619693557571829,65.0,66.20689655172414,68.75,0,0,810.8530000000001,116.0,3840.0,3956.0,160.0,44.0,0.041666666666666664,0.011122345803842264,0.7586206896551724,0.7457627118644068,0.6820689655172415,0.0075862068965516505,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,64.0,66.64406779661017,69.0,0,0,826.274,116.0,3932.0,4048.0,368.0,252.0,0.0935910478128179,0.06225296442687747,4.271186440677966,4.271186440677966,0.6861016949152542,0.042711864406779654
current,book_margin_early,295,285,203,82,0.712280701754386,0.9661016949152542,0.6571742236963677,64.0,65.66666666666667,68.0,0,0,822.776,567.0,18715.0,19282.0,1585.0,1018.0,0.0846914239914507,0.0527953531791308,3.5719298245614035,3.450847457627119,0.6765614035087719,0.03571929824561404,177,170,122,48,0.7176470588235294,0.96045197740113,0.6457500619980103,63.0,65.11764705882354,67.75,0,0,823.95,339.0,11070.0,11409.0,1130.0,791.0,0.1020776874435411,0.06933122973091418,4.652941176470589,4.468926553672317,0.6711176470588236,0.04652941176470582,59,56,38,18,0.6785714285714286,0.9491525423728814,0.5482263990973854,65.0,66.30357142857143,69.0,0,0,811.4365,112.0,3713.0,3825.0,87.0,-25.0,0.023431187718825748,-0.006535947712418301,-0.44642857142857145,-0.423728813559322,0.6830357142857143,-0.004464285714285698,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,64.0,66.64406779661017,69.0,0,0,826.274,116.0,3932.0,4048.0,368.0,252.0,0.0935910478128179,0.06225296442687747,4.271186440677966,4.271186440677966,0.6861016949152542,0.042711864406779654
current,book_margin_gap015,295,264,189,75,0.7159090909090909,0.8949152542372881,0.6587146784276703,63.0,64.79545454545455,66.0,0,0,818.7919999999999,527.0,17106.0,17633.0,1794.0,1267.0,0.10487548228691687,0.07185391028185788,4.799242424242424,4.294915254237288,0.6679166666666666,0.047992424242424336,177,160,117,43,0.73125,0.903954802259887,0.6577316340908197,63.0,64.25,65.25,0,0,821.9145,320.0,10280.0,10600.0,1420.0,1100.0,0.13813229571984437,0.10377358490566038,6.875,6.214689265536723,0.6625,0.06874999999999998,59,52,36,16,0.6923076923076923,0.8813559322033898,0.5573041117529433,64.0,65.61538461538461,68.0,0,0,805.779,104.0,3412.0,3516.0,188.0,84.0,0.05509964830011723,0.023890784982935155,1.6153846153846154,1.423728813559322,0.6761538461538461,0.016153846153846185,59,52,36,16,0.6923076923076923,0.8813559322033898,0.5573041117529433,63.5,65.65384615384616,67.0,0,0,825.9960000000001,103.0,3414.0,3517.0,186.0,83.0,0.054481546572934976,0.023599658800113735,1.5961538461538463,1.4067796610169492,0.6763461538461539,0.01596153846153836
current,score_min60,295,292,221,71,0.7568493150684932,0.9898305084745763,0.7045171643411514,68.0,69.52054794520548,73.0,0,0,768.285,573.0,20300.0,20873.0,1800.0,1227.0,0.08866995073891626,0.05878407512096968,4.2020547945205475,4.159322033898305,0.7148287671232877,0.04202054794520549,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,68.0,69.02285714285715,72.5,0,0,766.964,344.0,12079.0,12423.0,1021.0,677.0,0.08452686480668929,0.054495693471786205,3.8685714285714288,3.824858757062147,0.7098857142857142,0.03868571428571432,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.55172413793103,73.75,0,0,770.818,113.0,4034.0,4147.0,566.0,453.0,0.14030738720872582,0.10923559199421268,7.810344827586207,7.677966101694915,0.7150000000000001,0.07810344827586202,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,69.0,70.96610169491525,75.0,0,0,771.657,116.0,4187.0,4303.0,213.0,97.0,0.05087174588010509,0.022542412270508946,1.6440677966101696,1.6440677966101696,0.7293220338983052,0.016440677966101602
current,score_min60_gap020,295,290,221,69,0.7620689655172413,0.9830508474576272,0.7098353414814217,68.0,69.43793103448276,73.0,0,0,768.285,569.0,20137.0,20706.0,1963.0,1394.0,0.0974822466107166,0.06732348111658457,4.8068965517241375,4.725423728813559,0.714,0.04806896551724138,177,173,131,42,0.7572254335260116,0.9774011299435028,0.688198090611941,68.0,68.878612716763,72.0,0,0,766.964,340.0,11916.0,12256.0,1184.0,844.0,0.09936220208123532,0.06886422976501305,4.878612716763006,4.768361581920904,0.7084393063583815,0.04878612716763009,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.55172413793103,73.75,0,0,770.818,113.0,4034.0,4147.0,566.0,453.0,0.14030738720872582,0.10923559199421268,7.810344827586207,7.677966101694915,0.7150000000000001,0.07810344827586202,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,69.0,70.96610169491525,75.0,0,0,771.657,116.0,4187.0,4303.0,213.0,97.0,0.05087174588010509,0.022542412270508946,1.6440677966101696,1.6440677966101696,0.7293220338983052,0.016440677966101602
v21,frontier_v2,221,219,149,70,0.680365296803653,0.9909502262443439,0.6159494431339545,60.0,60.20091324200913,65.0,0,0,839.811894,433.0,13184.0,13617.0,1716.0,1283.0,0.13015776699029127,0.09422045971946831,5.858447488584475,5.8054298642533935,0.6217808219178083,0.05858447488584473,132,131,87,44,0.6641221374045801,0.9924242424242424,0.5795924913457884,60.0,60.0763358778626,65.0,0,0,839.822694,259.0,7870.0,8129.0,830.0,571.0,0.10546378653113088,0.07024234223151679,4.358778625954199,4.325757575757576,0.6205343511450382,0.04358778625954196,44,44,28,16,0.6363636363636364,1.0,0.48866376879043444,60.0,59.54545454545455,64.25,0,0,839.8762744999999,88.0,2620.0,2708.0,180.0,92.0,0.06870229007633588,0.033973412112259974,2.090909090909091,2.090909090909091,0.6154545454545455,0.020909090909090877,45,44,34,10,0.7727272727272727,0.9777777777777777,0.6300764193536366,60.5,61.22727272727273,67.0,0,0,839.5514605000001,86.0,2694.0,2780.0,706.0,620.0,0.26206384558277657,0.22302158273381295,14.090909090909092,13.777777777777779,0.6318181818181817,0.14090909090909098
v21,book_margin,221,219,156,63,0.7123287671232876,0.9909502262443439,0.6491214398502179,66.0,67.32420091324201,70.5,0,0,779.813589,431.0,14744.0,15175.0,856.0,425.0,0.05805751492132393,0.02800658978583196,1.9406392694063928,1.9230769230769231,0.6929223744292238,0.019406392694063856,132,131,90,41,0.6870229007633588,0.9924242424242424,0.6032467934308663,66.0,67.33587786259542,71.0,0,0,779.94713,259.0,8821.0,9080.0,179.0,-80.0,0.020292483845369007,-0.00881057268722467,-0.6106870229007634,-0.6060606060606061,0.6931297709923665,-0.006106870229007688,44,44,32,12,0.7272727272727273,1.0,0.581511269075488,64.5,65.93181818181819,67.0,0,0,779.7111965,87.0,2901.0,2988.0,299.0,212.0,0.10306790761806274,0.07095046854082998,4.818181818181818,4.818181818181818,0.6790909090909091,0.048181818181818215,45,44,34,10,0.7727272727272727,0.9777777777777777,0.6300764193536366,67.0,68.68181818181819,71.25,0,0,779.378346,85.0,3022.0,3107.0,378.0,293.0,0.12508272667107875,0.09430318635339556,6.659090909090909,6.511111111111111,0.7061363636363637,0.06659090909090903
v21,book_margin_early,221,208,151,57,0.7259615384615384,0.9411764705882353,0.6616616811648351,66.0,67.16346153846153,70.0,0,0,779.9349755000001,411.0,13970.0,14381.0,1130.0,719.0,0.08088761632068718,0.04999652319032056,3.456730769230769,3.253393665158371,0.6913942307692308,0.03456730769230765,132,124,88,36,0.7096774193548387,0.9393939393939394,0.6244416488936401,65.5,67.16129032258064,70.25,0,0,809.5333945,246.0,8328.0,8574.0,472.0,226.0,0.056676272814601344,0.02635875903895498,1.8225806451612903,1.7121212121212122,0.6914516129032258,0.01822580645161298,44,42,31,11,0.7380952380952381,0.9545454545454546,0.5893126929422804,64.5,66.04761904761905,67.0,0,0,779.746739,83.0,2774.0,2857.0,326.0,243.0,0.11751982696467195,0.08505425271263563,5.785714285714286,5.5227272727272725,0.6802380952380952,0.05785714285714294,45,42,32,10,0.7619047619047619,0.9333333333333333,0.6147245613168169,67.0,68.28571428571429,71.0,0,0,779.4613555000001,82.0,2868.0,2950.0,332.0,250.0,0.11576011157601115,0.0847457627118644,5.9523809523809526,5.555555555555555,0.7023809523809523,0.059523809523809534
v21,book_margin_gap015,221,214,151,63,0.705607476635514,0.9683257918552036,0.6413499222889913,65.5,67.1588785046729,70.0,0,0,779.7981850000001,422.0,14372.0,14794.0,728.0,306.0,0.050654049540773724,0.020684061105853725,1.4299065420560748,1.3846153846153846,0.6913084112149533,0.014299065420560697,132,128,87,41,0.6796875,0.9696969696969697,0.5946341124452171,66.0,67.28125,70.25,0,0,779.9419275,253.0,8612.0,8865.0,88.0,-165.0,0.010218300046446818,-0.018612521150592216,-1.2890625,-1.25,0.692578125,-0.012890625000000044,44,44,32,12,0.7272727272727273,1.0,0.581511269075488,64.5,65.93181818181819,67.0,0,0,779.7111965,87.0,2901.0,2988.0,299.0,212.0,0.10306790761806274,0.07095046854082998,4.818181818181818,4.818181818181818,0.6790909090909091,0.048181818181818215,45,42,32,10,0.7619047619047619,0.9333333333333333,0.6147245613168169,67.0,68.07142857142857,71.0,0,0,779.279792,82.0,2859.0,2941.0,341.0,259.0,0.1192724728926198,0.08806528391703503,6.166666666666667,5.7555555555555555,0.7002380952380951,0.06166666666666676
