dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,hazard45_sec60_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,58.0,0.04022191400832178,68.5,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,7,20,19,0.95,16,3,0.8421052631578947,233.0,0.17044623262618874,68.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-23.0,-0.016163035839775124,69.0,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,182.0,0.12834978843441466,69.5,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,14,15,15,1.0,9,6,0.6,-168.0,-0.15730337078651685,69.0,False,True
current,hazard45_sec60_else_score_min60,0,20,20,1.0,13,7,0.65,-63.0,-0.046221570066030816,64.5,False,True
current,hazard45_sec60_else_score_min60,1,20,20,1.0,16,4,0.8,213.0,0.15356885364095169,66.0,True,True
