dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,hazard45_sec60_else_logit_thresh55_edge15,selector,fallback_logit_thresh55_edge15,115,84,31,0.7304347826086957,458.0,3.982608695652174,66.0
current,hazard45_sec60_else_logit_thresh55_edge15,selector,hazard_primary_0.45,177,133,44,0.751412429378531,660.0,3.7288135593220337,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,split,holdout,59,43,16,0.7288135593220338,49.0,0.8305084745762712,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,split,train,175,128,47,0.7314285714285714,565.0,3.2285714285714286,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,split,validation,58,46,12,0.7931034482758621,504.0,8.689655172413794,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,side,no,145,108,37,0.7448275862068966,587.0,4.048275862068966,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,side,yes,147,109,38,0.7414965986394558,531.0,3.6122448979591835,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,0,9,6,3,0.6666666666666666,-31.0,-3.4444444444444446,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,1,8,6,2,0.75,28.0,3.5,68.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,10,12,11,1,0.9166666666666666,271.0,22.583333333333332,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,11,12,9,3,0.75,29.0,2.4166666666666665,70.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,12,12,11,1,0.9166666666666666,227.0,18.916666666666668,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,13,12,7,5,0.5833333333333334,-161.0,-13.416666666666666,66.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,14,11,8,3,0.7272727272727273,13.0,1.1818181818181819,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,15,11,8,3,0.7272727272727273,35.0,3.1818181818181817,66.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,16,8,5,3,0.625,-72.0,-9.0,68.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,17,12,10,2,0.8333333333333334,162.0,13.5,68.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,18,12,8,4,0.6666666666666666,-44.0,-3.6666666666666665,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,19,12,11,1,0.9166666666666666,243.0,20.25,67.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,2,14,9,5,0.6428571428571429,-85.0,-6.071428571428571,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,20,12,9,3,0.75,77.0,6.416666666666667,67.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,21,12,10,2,0.8333333333333334,113.0,9.416666666666666,71.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,22,12,10,2,0.8333333333333334,148.0,12.333333333333334,67.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,23,12,11,1,0.9166666666666666,277.0,23.083333333333332,64.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,3,16,9,7,0.5625,-247.0,-15.4375,69.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,4,16,12,4,0.75,87.0,5.4375,67.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,5,16,12,4,0.75,111.0,6.9375,66.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,6,15,14,1,0.9333333333333333,355.0,23.666666666666668,67.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,7,12,9,3,0.75,75.0,6.25,65.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,8,12,5,7,0.4166666666666667,-344.0,-28.666666666666668,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,9,12,7,5,0.5833333333333334,-149.0,-12.416666666666666,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,ask,ask<=60,25,16,9,0.64,111.0,4.44,58.0
current,hazard45_sec60_else_logit_thresh55_edge15,ask,ask<=70,180,130,50,0.7222222222222222,724.0,4.022222222222222,67.0
current,hazard45_sec60_else_logit_thresh55_edge15,ask,ask<=80,72,59,13,0.8194444444444444,382.0,5.305555555555555,74.0
current,hazard45_sec60_else_logit_thresh55_edge15,ask,ask<=95,15,12,3,0.8,-99.0,-6.6,85.0
current,hazard45_sec60_else_logit_thresh55_edge15,time,sec<=300,4,3,1,0.75,-6.0,-1.5,74.0
current,hazard45_sec60_else_logit_thresh55_edge15,time,sec<=600,42,33,9,0.7857142857142857,278.0,6.619047619047619,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,time,sec<=900,246,181,65,0.7357723577235772,846.0,3.4390243902439024,68.0
current,hazard45_sec60_else_score_min60,selector,fallback_score_min60,79,57,22,0.7215189873417721,160.0,2.0253164556962027,63.0
current,hazard45_sec60_else_score_min60,selector,hazard_primary_0.45,213,163,50,0.7652582159624414,1108.0,5.2018779342723,69.0
current,hazard45_sec60_else_score_min60,split,holdout,59,43,16,0.7288135593220338,20.0,0.3389830508474576,69.0
current,hazard45_sec60_else_score_min60,split,train,175,131,44,0.7485714285714286,775.0,4.428571428571429,68.0
current,hazard45_sec60_else_score_min60,split,validation,58,46,12,0.7931034482758621,473.0,8.155172413793103,68.0
current,hazard45_sec60_else_score_min60,side,no,144,109,35,0.7569444444444444,694.0,4.819444444444445,69.0
current,hazard45_sec60_else_score_min60,side,yes,148,111,37,0.75,574.0,3.8783783783783785,68.0
current,hazard45_sec60_else_score_min60,hour,0,9,6,3,0.6666666666666666,-39.0,-4.333333333333333,69.0
current,hazard45_sec60_else_score_min60,hour,1,8,7,1,0.875,115.0,14.375,68.5
current,hazard45_sec60_else_score_min60,hour,10,12,11,1,0.9166666666666666,243.0,20.25,69.0
current,hazard45_sec60_else_score_min60,hour,11,12,9,3,0.75,27.0,2.25,70.5
current,hazard45_sec60_else_score_min60,hour,12,12,11,1,0.9166666666666666,231.0,19.25,69.0
current,hazard45_sec60_else_score_min60,hour,13,12,7,5,0.5833333333333334,-157.0,-13.083333333333334,65.0
