dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,logit_edge10,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,67.5,False,True
current,logit_edge10,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,15,5,0.75,141.0,0.10375275938189846,66.0,True,True
current,logit_edge10,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,20,1.0,15,5,0.75,96.0,0.06837606837606838,69.0,True,True
current,logit_edge10,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,18,2,0.9,342.0,0.2345679012345679,72.5,True,True
current,logit_edge10,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,13,7,0.65,-97.0,-0.06943450250536864,68.0,False,True
current,logit_edge10,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,15,5,0.75,101.0,0.07219442458899214,67.5,True,True
current,logit_edge10,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,14,6,0.7,-43.0,-0.0297990297990298,69.5,False,True
current,logit_edge10,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,12,7,0.631578947368421,-119.0,-0.09021986353297953,68.0,False,True
current,logit_edge10,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,16,4,0.8,167.0,0.11653872993719469,69.5,True,True
current,logit_edge10,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,429.0,0.31291028446389496,71.0,True,True
current,logit_edge10,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-40.0,-0.027777777777777776,69.0,False,True
current,logit_edge10,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-158.0,-0.1083676268861454,69.0,False,True
current,logit_edge10,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,15,5,0.75,60.0,0.041666666666666664,71.0,True,True
current,logit_edge10,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,104.0,0.06951871657754011,72.0,True,True
current,logit_edge10,14,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,12,1.0,7,5,0.5833333333333334,-166.0,-0.19168591224018475,69.0,False,True
current,logit_thresh55_edge15,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,67.5,False,True
current,logit_thresh55_edge15,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,15,5,0.75,111.0,0.07991360691144708,67.5,True,True
current,logit_thresh55_edge15,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,51.0,0.03780578206078577,70.0,True,True
current,logit_thresh55_edge15,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,18,2,0.9,342.0,0.2345679012345679,72.5,True,True
current,logit_thresh55_edge15,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,14,6,0.7,-9.0,-0.0063875088715401,68.0,False,True
current,logit_thresh55_edge15,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,16,4,0.8,187.0,0.13234253361641896,67.5,True,True
current,logit_thresh55_edge15,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,42.0,0.02880658436213992,69.5,True,True
current,logit_thresh55_edge15,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,70.0,True,True
current,logit_thresh55_edge15,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,16,4,0.8,164.0,0.11420612813370473,69.5,True,True
current,logit_thresh55_edge15,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,429.0,0.31291028446389496,71.0,True,True
current,logit_thresh55_edge15,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-40.0,-0.027777777777777776,69.0,False,True
current,logit_thresh55_edge15,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-158.0,-0.1083676268861454,69.0,False,True
current,logit_thresh55_edge15,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,16,4,0.8,145.0,0.09965635738831616,71.0,True,True
current,logit_thresh55_edge15,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,104.0,0.06951871657754011,72.0,True,True
current,logit_thresh55_edge15,14,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,12,1.0,7,5,0.5833333333333334,-166.0,-0.19168591224018475,69.0,False,True
current,book60,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,67.5,False,True
current,book60,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,15,5,0.75,113.0,0.08147080028839221,66.0,True,True
current,book60,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,20,1.0,15,5,0.75,88.0,0.06232294617563739,69.0,True,True
current,book60,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,18,2,0.9,342.0,0.2345679012345679,72.5,True,True
current,book60,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,14,6,0.7,-8.0,-0.005681818181818182,68.0,False,True
current,book60,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,15,5,0.75,88.0,0.06232294617563739,67.5,True,True
current,book60,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,46.0,0.03163686382393398,69.5,True,True
current,book60,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,20,1.0,15,5,0.75,68.0,0.04748603351955307,69.0,True,True
current,book60,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,16,4,0.8,186.0,0.13154172560113153,69.0,True,True
current,book60,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,429.0,0.31291028446389496,71.0,True,True
current,book60,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-40.0,-0.027777777777777776,69.0,False,True
current,book60,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-142.0,-0.09847434119278779,69.0,False,True
current,book60,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,15,5,0.75,50.0,0.034482758620689655,71.0,True,True
current,book60,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,111.0,0.0745466756212223,72.0,True,True
current,book60,14,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,12,1.0,7,5,0.5833333333333334,-166.0,-0.19168591224018475,69.0,False,True
current,score_min60,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,67.5,False,True
current,score_min60,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,15,5,0.75,95.0,0.06761565836298933,67.5,True,True
current,score_min60,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,51.0,0.03780578206078577,70.0,True,True
current,score_min60,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,18,2,0.9,342.0,0.2345679012345679,72.5,True,True
current,score_min60,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,14,6,0.7,-9.0,-0.0063875088715401,68.0,False,True
current,score_min60,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,16,4,0.8,187.0,0.13234253361641896,67.5,True,True
current,score_min60,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,46.0,0.03163686382393398,69.5,True,True
current,score_min60,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,70.0,True,True
current,score_min60,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,16,4,0.8,164.0,0.11420612813370473,69.5,True,True
current,score_min60,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,429.0,0.31291028446389496,71.0,True,True
current,score_min60,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-40.0,-0.027777777777777776,69.0,False,True
current,score_min60,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-158.0,-0.1083676268861454,69.0,False,True
current,score_min60,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,16,4,0.8,148.0,0.10192837465564739,71.0,True,True
current,score_min60,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,104.0,0.06951871657754011,72.0,True,True
current,score_min60,14,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,12,1.0,7,5,0.5833333333333334,-166.0,-0.19168591224018475,69.0,False,True
v21,logit_edge10,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,17,2,0.8947368421052632,318.0,0.2301013024602026,70.0,True,True
v21,logit_edge10,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,12,8,0.6,-208.0,-0.14772727272727273,67.5,False,True
v21,logit_edge10,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,13,7,0.65,-138.0,-0.09596662030598054,68.0,False,True
v21,logit_edge10,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,15,5,0.75,102.0,0.07296137339055794,68.5,True,True
v21,logit_edge10,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,20,1.0,14,6,0.7,54.0,0.04011887072808321,67.0,True,True
v21,logit_edge10,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,15,5,0.75,54.0,0.03734439834024896,70.0,True,True
v21,logit_edge10,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,17,3,0.85,253.0,0.17484450587422254,68.0,True,True
v21,logit_edge10,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,18,2,0.9,373.0,0.2613875262789068,68.5,True,True
v21,logit_edge10,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,12,8,0.6,-229.0,-0.1602519244226732,69.5,False,True
v21,logit_edge10,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,20,1.0,17,3,0.85,250.0,0.1724137931034483,70.0,True,True
v21,logit_edge10,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,19,0.95,12,7,0.631578947368421,-108.0,-0.08256880733944955,68.0,False,True
v21,logit_edge10,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,69.0,True,True
v21,logit_thresh55_edge15,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,17,2,0.8947368421052632,318.0,0.2301013024602026,70.0,True,True
v21,logit_thresh55_edge15,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,12,8,0.6,-208.0,-0.14772727272727273,67.5,False,True
v21,logit_thresh55_edge15,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,13,7,0.65,-138.0,-0.09596662030598054,68.0,False,True
v21,logit_thresh55_edge15,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,15,5,0.75,102.0,0.07296137339055794,68.5,True,True
