market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,trust_state,outcome_method,outcome_source,close_dt,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv30,score_mean_book_rv15_drift5,score_min_book_rv15,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,blend_book_hazard_50_50,blend_book_hazard_70_30,blend_book_hazard_30_70,blend_book_rv_hazard_mean,blend_book_rv_hazard_min,blend_mean_minus_half_disagreement,blend_mean_minus_disagreement,blend_logit_book_hazard_mean,blend_logit_book_rv_hazard_mean,blend_scoremin_hazard_min,blend_hazard_kinetic_mean,blend_hazard_kinetic_min,split,selector,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p
KXBTC15M-26APR300045-45,KXBTC15M-26APR300045-45|2026-04-30T04:34:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300045-45|2026-04-30T04:34:00+00:00|no,2026-04-30 04:34:41.053024+00:00,2026-04-30 04:34:00+00:00,no,no,True,True,1,92.0,92.0,92.0,0.92,8.0,84.0,0.0,75508.0,75682.34,618.946976,,1,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 04:45:00+00:00,-1.0,174.3399999999965,7.007616377254713,54.28076305143571,,,58.54749083537739,2.977753572569012,0.9985481532893996,73.64416920292199,2.3673293064059604,0.9910415086278004,73.50065968628374,2.371951500083349,0.9911527934018792,73.20239322049241,2.3816161238727296,0.9913815723812124,75516.89,8.889999999999418,0.1481666666666569,0.0,266.04731027732385,0.9998484319829224,0.9998525041387766,0.9998606897795386,75587.06,79.05999999999767,0.4392222222222093,0.0,446.1952662364329,0.9999999993142944,0.9999999993629504,0.999999999454058,75668.95,160.9499999999971,0.5364999999999903,0.0,506.4050526239905,0.9999999999969302,0.9999999999972063,0.9999999999977076,75641.28,133.27999999999884,0.2221333333333314,0.0,311.828754935462,0.9999885348588012,0.9999889493015208,0.9999897702552164,75680.01,172.00999999999476,0.1911222222222164,0.0,292.6345214908373,0.9999646069323916,0.9999657427571724,0.9999680071901668,75842.25,334.25,0.1856944444444444,0.0,289.2750148488854,0.9999571741307478,0.999958519127508,0.9999612034850488,75857.3,349.3000000000029,0.0970277777777785,0.0,234.39504964355257,0.9992707216322758,0.999286219187346,0.9993176469343774,-0.0710415086278003,True,0.9555207543139002,0.9555763967009396,0.970347169541577,0.92,0.92,0.9573124525877261,0.07104150862780034,0.07115279340187919,0.017916982744399235,0.9820830172556008,0.017694413196241543,0.9823055868037585,0.01723685523757501,0.982763144762425,0.9820830172556008,0.017916982744399235,0.0,0.9883539612161405,0.9884986314224429,0.9501769806080704,0.9581769806077634,0.9155207543139002,0.9510415086278003,0.9635207543132863,1.0820830172552938,0.9355207543139001,0.92931245258834,0.9417290560394602,0.9540276724185336,0.92,0.9394880033045356,0.9249483341905377,0.9372896562585998,0.9668081431061433,0.92,0.9572811314705434,0.9510415086278003,train,fallback_score_min60,1,93.0,8.0,7.0,0.93
KXBTC15M-26APR300100-00,KXBTC15M-26APR300100-00|2026-04-30T04:46:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300100-00|2026-04-30T04:46:00+00:00|yes,2026-04-30 04:46:00.785149+00:00,2026-04-30 04:46:00+00:00,yes,yes,True,True,1,69.0,68.0,68.5,0.685,31.5,37.0,1.0,75492.69,75440.22,839.214851,,413,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:00:00+00:00,1.0,52.47000000000117,1.8112336739645771,14.029755710709765,,,231.8087389390928,0.2263503966249846,0.5895355477585519,163.1550535441626,0.3215959227753779,0.6261205834815107,127.94491648903792,0.4100983566978739,0.6591331009333936,108.52645854882768,0.4834765706133691,0.6856213041929073,75378.94,113.75,1.8958333333333333,0.0,1643.4814883541676,1.0,1.0,1.0,75414.45,78.24000000000524,0.4346666666666958,0.0,417.2487219013589,0.9947267334767976,0.9994452110793876,0.9999396432979548,75434.28,58.41000000000349,0.1947000000000116,0.0,215.86513148971093,0.9070935166039612,0.9542148963423134,0.9766524522726672,75488.0,4.690000000002328,0.0078166666666705,0.0,59.02986275198775,0.6412500884514156,0.677733180694476,0.7067522173527718,75587.06,-94.36999999999534,-0.1048555555555503,94.36999999999534,-35.52633943207228,0.4138135601416741,0.3906332225264617,0.3717008814856595,75761.91,-269.2200000000012,-0.1495666666666673,269.2200000000012,-73.04856788123271,0.3271759013700426,0.284020959618975,0.2504435701738648,75916.84,-424.1499999999942,-0.1178194444444428,424.1499999999942,-46.40582751434469,0.3880412912571701,0.3584138975386962,0.3344714720318463,0.0588794165184893,True,0.6555602917407554,0.6720665504666968,0.7394047000284907,0.6261205834815107,0.6261205834815107,0.7117548783652454,0.05887941651848938,0.02586689906660644,0.7477588330369787,0.25224116696302135,0.6817337981332128,0.3182662018667872,0.6287573916141853,0.3712426083858147,0.25224116696302135,0.7477588330369787,1.0,0.5139567585259639,0.5568730312134117,0.583728379262982,0.605937730923378,0.4980602917407554,0.4686205834815107,0.6184789950615475,0.14295051862341746,0.5768102917407554,0.6200861750444532,0.5335344084370575,0.5932470556543404,0.4686205834815107,0.5475751923300549,0.5019033290057695,0.5806839437992172,0.5960237276581866,0.4686205834815107,0.5435497892715291,0.4686205834815107,train,hazard_primary,2,71.0,31.0,29.0,0.71
KXBTC15M-26APR300115-15,KXBTC15M-26APR300115-15|2026-04-30T05:02:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300115-15|2026-04-30T05:02:00+00:00|yes,2026-04-30 05:02:00.541939+00:00,2026-04-30 05:02:00+00:00,yes,yes,True,True,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,75512.2,75467.68,779.458061,,1329,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:15:00+00:00,1.0,44.52000000000408,1.5946257737515204,12.35191813034551,,,96.34817408809538,0.4620741432971784,0.6779859241073795,90.3122889312997,0.4929561693854344,0.6889782211980446,132.3459121968976,0.336391198345208,0.6317120570662863,110.90393414007193,0.401428500667751,0.6559476653019883,75485.99,26.20999999999185,0.4368333333331975,0.0,385.0132629800649,0.9999899209591844,0.9981878982342014,0.9997413094481284,75458.92,53.27999999999884,0.2959999999999935,0.0,275.2395860559991,0.998846779976812,0.9812233989862756,0.9934636715910076,75434.61,77.58999999999651,0.2586333333333216,0.0,246.1138365099617,0.996786310807421,0.96853073731492,0.9867621596940576,75457.92,54.27999999999884,0.0904666666666647,0.0,115.0349725851359,0.8986233853799623,0.8076309314639434,0.8501900397439305,75433.25,78.94999999999709,0.0877222222222189,0.0,112.895793239946,0.894361211841262,0.8031802577749639,0.8456515695108248,75558.33,-46.13000000000466,-0.0256277777777803,46.13000000000466,24.5442220255965,0.6071007813254288,0.5735639458571609,0.5875747219246418,75902.86,-390.6600000000035,-0.1085166666666676,390.6600000000035,-40.06419058618002,0.3286592603332995,0.3810503718201052,0.3589557972449644,0.0060217788019553,True,0.6919891105990224,0.6633560285331431,0.7935881773351552,0.6889782211980446,0.6889782211980446,0.7535507285208976,0.006021778801955313,0.06328794293371365,0.6220435576039107,0.3779564423960893,0.7365758858674274,0.2634241141325726,0.6881046693960233,0.3118953306039767,0.2634241141325726,0.7365758858674274,0.0,0.5956716875574579,0.5212256741861722,0.6300858437787289,0.660264474859471,0.5394891105990223,0.5364782211980447,0.7218463727605064,0.4776350734768314,0.6157391105990223,0.6474434663594133,0.5840347548386312,0.6401521474653631,0.5364782211980447,0.6034772748326691,0.5668024021999751,0.618901045182854,0.6429917789858959,0.5364782211980447,0.6291622969792756,0.5364782211980447,train,hazard_primary,2,72.0,30.0,28.0,0.72
KXBTC15M-26APR300130-30,KXBTC15M-26APR300130-30|2026-04-30T05:16:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300130-30|2026-04-30T05:16:00+00:00|no,2026-04-30 05:16:00.106287+00:00,2026-04-30 05:16:00+00:00,no,no,True,True,1,65.0,64.0,64.5,0.645,35.5,29.0,1.0,75542.48,75591.08,839.893713,,2049,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:30:00+00:00,-1.0,48.60000000000582,1.6769654075716998,12.989718191382254,,,102.10705016629228,0.475971051174777,0.6829524990307905,123.2890888449254,0.3941954673794007,0.6532816340750109,115.00045832070208,0.4226070113953361,0.6637089948867471,122.33369280932524,0.3972740369716129,0.6544173045548961,75586.08,43.60000000000582,0.7266666666667637,0.0,658.9227647800874,0.9999999546750962,0.9999999949707756,0.9999999640333216,75590.25,47.77000000000408,0.2653888888889115,0.0,271.49845927785816,0.9861718958991904,0.9908833683833662,0.9867677547147063,75559.86,17.380000000004657,0.0579333333333488,0.0,97.25784243981886,0.78490310966215,0.8011446809794834,0.7866993273378786,75537.99,-4.489999999990687,-0.0074833333333178,4.489999999990687,42.314795381068855,0.6342820384279824,0.6435459629580954,0.6352897480215713,75485.99,-56.48999999999069,-0.0627666666666563,56.48999999999069,-4.117328719285489,0.4866795086713851,0.4857198338045755,0.4865755180343879,75492.69,-49.7899999999936,-0.0276611111111075,49.7899999999936,25.367606683192143,0.581509677445902,0.5872929898586363,0.582137211275755,75761.91,219.4300000000076,0.0609527777777798,0.0,99.79385484544926,0.7908659986362061,0.8072396507598311,0.7926787710961265,-0.0082816340750109,True,0.6491408170375055,0.6543544974433735,0.6943949145790537,0.645,0.645,0.6754651121549333,0.008281634075010924,0.018708994886747043,0.6934367318499781,0.3065632681500219,0.6725820102265059,0.3274179897734941,0.6911653908902078,0.3088346091097922,0.3065632681500219,0.6934367318499781,1.0,0.5492661242975142,0.5628216933527712,0.5793830621487572,0.5933733731149722,0.4716408170375055,0.47578163407501095,0.5916214389699355,0.18505357911623688,0.5603908170375055,0.5942344902225032,0.5265471438525077,0.5913544227166739,0.47578163407501095,0.5504583176218812,0.5095622125270886,0.5621990463897147,0.5933647958454891,0.47578163407501095,0.5337015365224732,0.47578163407501095,train,hazard_primary,2,67.0,35.0,33.0,0.67
KXBTC15M-26APR300145-45,KXBTC15M-26APR300145-45|2026-04-30T05:31:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300145-45|2026-04-30T05:31:00+00:00|yes,2026-04-30 05:31:00.501471+00:00,2026-04-30 05:31:00+00:00,yes,yes,True,True,1,77.0,76.0,76.5,0.765,23.5,53.0,1.0,75471.69,75401.12,839.498529,,2819,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:45:00+00:00,1.0,70.57000000000698,2.4356234552314127,18.86625815948685,,,178.505814833609,0.3953372615104306,0.6537029981655641,148.96970375009974,0.4737204829136927,0.6821503775442355,135.25705919630147,0.5217472597684327,0.6990768425554834,135.103686302695,0.522339559572767,0.6992830349585395,75392.39,79.30000000000291,1.3216666666667152,0.0,1180.1072224950476,0.9999999999999988,1.0,1.0,75363.59,108.10000000000582,0.6005555555555879,0.0,574.7355054717009,0.9999428569782208,0.9999892736625172,0.999989502271068,75411.59,60.10000000000582,0.2003333333333527,0.0,238.74953864302327,0.9454964302696064,0.9612310561334644,0.9613991010511748,75501.13,-29.44000000000233,-0.0490666666666705,29.44000000000233,29.37860551040373,0.5781691595713114,0.585975982326734,0.5860720564519625,75542.48,-70.7899999999936,-0.0786555555555484,70.7899999999936,4.53877681344629,0.5121530071072603,0.5133846633607626,0.5133998522343896,75485.99,-14.30000000000291,-0.007944444444446,14.30000000000291,63.90065057517229,0.66602042883014,0.6816931075196127,0.6818844515443427,75587.06,-115.36999999999534,-0.0320472222222209,115.36999999999534,43.666404085916405,0.6152858227342809,0.6265918332443503,0.6267306113430869,0.0828496224557645,True,0.7235751887721178,0.7320384212777418,0.7975489359379474,0.6821503775442355,0.6821503775442355,0.7762443993171919,0.08284962245576455,0.0659231574445166,0.6356992449115291,0.36430075508847093,0.6018463148890332,0.3981536851109668,0.601433930082921,0.398566069917079,0.36430075508847093,0.6356992449115291,1.0,0.586795490807506,0.6087998953221284,0.6641477454037531,0.6821973884307138,0.6060751887721177,0.5646503775442355,0.686174474826039,0.25885039811543153,0.6648251887721177,0.7048951132632706,0.6247552642809648,0.670600251696157,0.5646503775442355,0.6295006838560291,0.5884011160159011,0.6726452901139472,0.6758299179597322,0.5646503775442355,0.6254124261851373,0.5646503775442355,train,hazard_primary,2,79.0,23.0,21.0,0.79
KXBTC15M-26APR300200-00,KXBTC15M-26APR300200-00|2026-04-30T05:49:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300200-00|2026-04-30T05:49:00+00:00|no,2026-04-30 05:49:00.176510+00:00,2026-04-30 05:49:00+00:00,no,no,True,True,1,71.0,70.0,70.5,0.705,29.5,41.0,1.0,75638.2,75683.98,659.82349,,3611,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 06:00:00+00:00,-1.0,45.77999999999884,1.7822224173633157,13.805035483371292,,,13.260487566022809,3.452361745528904,0.9997221489140924,129.17311627967877,0.3544081099729638,0.6384834711912525,130.48906148582998,0.3508340046186182,0.6371435576505879,112.8398912494931,0.4057075870338938,0.6575212665261919,75647.66,9.460000000006405,0.1576666666667733,0.0,149.8121702567359,0.8769304484161544,0.8745326865149285,0.9078535434585316,75664.2,26.0,0.1444444444444444,0.0,141.08783744444327,0.8626358352391534,0.8602011425301282,0.8944116792892003,75684.23,46.02999999999884,0.1534333333333294,0.0,147.0189174823296,0.8724719384650108,0.8700602917085404,0.903695280493287,75675.27,37.070000000006985,0.0617833333333449,0.0,86.54609462383985,0.7485713682295139,0.7464128706655287,0.7784537045222981,75529.54,-108.66000000000348,-0.1207333333333372,108.66000000000348,-33.882689359337064,0.3965433474348704,0.3975633215541581,0.3819847447447776,75529.62,-108.58000000000176,-0.0603222222222231,108.58000000000176,5.977980808775975,0.5184559941497973,0.5182700015146238,0.5211251018463242,75449.07,-189.1299999999901,-0.0525361111111083,189.1299999999901,11.11543981563954,0.5342869514837362,0.5339420170711774,0.5392348639125323,0.0665165288087474,True,0.6717417355956262,0.671071778825294,0.7386518032187545,0.6384834711912525,0.6384834711912525,0.7185394290503779,0.06651652880874748,0.06785644234941202,0.723033057617495,0.27696694238250497,0.7257128846988241,0.2742871153011759,0.6849574669476162,0.31504253305238383,0.2742871153011759,0.7257128846988241,1.0,0.5300285125486282,0.5282866249457643,0.6027642562743141,0.6195114501208152,0.5242417355956261,0.49098347119125246,0.6257361232886284,0.16421413622900605,0.5979917355956262,0.6407950413573756,0.5551884298338767,0.6114889807941682,0.49098347119125246,0.5667726610017161,0.522056341209264,0.6029031131003493,0.6149055733729348,0.49098347119125246,0.5583597972399404,0.49098347119125246,train,hazard_primary,2,73.0,29.0,27.0,0.73
KXBTC15M-26APR300615-15,KXBTC15M-26APR300615-15|2026-04-30T10:13:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300615-15|2026-04-30T10:13:00+00:00|yes,2026-04-30 10:13:26.328810+00:00,2026-04-30 10:13:00+00:00,yes,no,True,False,1,90.0,89.0,89.5,0.895,10.5,79.0,1.0,76106.93,76100.82,93.67119,,4191,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:15:00+00:00,1.0,6.10999999998603,0.6313034918135975,4.8900558203933056,,,12.753328141448437,0.4790906289103055,0.6840629219528924,18.10290146151172,0.3375149565375694,0.6321356303778635,29.09294220765661,0.2100165722797887,0.5831726306687689,37.09393735871919,0.1647169439280306,0.5654166100870046,76098.1,8.829999999987194,0.1471666666664532,0.0,19.89527679496604,0.8641182330069358,0.7529657960431513,0.7041411334115837,76115.49,-8.560000000012224,-0.0475555555556234,8.560000000012224,1.6554145199796697,0.5364303802572999,0.5226879302792983,0.5177979405692635,76110.17,-3.2400000000052387,-0.0108000000000174,3.2400000000052387,5.098351147984395,0.6108870396662537,0.5695558762166435,0.5546602010461035,76088.04,18.889999999999414,0.0314833333333323,0.0,9.05908129848594,0.6916108449557437,0.6222457019169969,0.5964697800329507,76093.59,13.339999999996508,0.0148222222222183,0.0,7.498415193985666,0.6606400909457801,0.6016962169637203,0.5800989606505141,76113.55,-6.620000000009895,-0.0036777777777832,6.620000000009895,5.765498178985515,0.6249413724569403,0.5785459852455123,0.5617586996432502,76042.49,64.43999999998778,0.0178999999999966,0.0,7.786714300985713,0.6664517369887597,0.6055154753946105,0.5831344701365988,0.2628643696221365,True,0.7635678151889318,0.7390863153343845,0.7126742233480391,0.6321356303778635,0.6108870396662537,0.7593180970466098,0.26286436962213655,0.3118273693312311,0.7357287392442731,0.26427126075572693,0.8336547386624622,0.1663452613375378,0.8691667798259908,0.13083322017400922,0.1663452613375378,0.8336547386624622,0.0,0.5217763194912225,0.45812441986939956,0.7031381597456113,0.6747268637122366,0.7110678151889318,0.5796356303778636,0.6962452231221825,0.3253599647223523,0.7373178151889318,0.800390689113359,0.6742449412645045,0.7022570869185758,0.5796356303778636,0.6332746792490171,0.5642922715794585,0.774180769491159,0.7314209002771667,0.5796356303778636,0.637940426750023,0.5796356303778636,train,fallback_score_min60,1,91.0,-90.0,-91.0,0.91
KXBTC15M-26APR300630-30,KXBTC15M-26APR300630-30|2026-04-30T10:17:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300630-30|2026-04-30T10:17:00+00:00|no,2026-04-30 10:17:00.650489+00:00,2026-04-30 10:17:00+00:00,no,no,True,True,1,60.0,59.0,59.5,0.595,40.5,19.0,1.0,76014.15,76046.47,779.349511,,4360,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:30:00+00:00,-1.0,32.320000000006985,1.1577244852424298,8.967695301680969,,,110.7175062433417,0.2919140892585867,0.6148238446127463,78.94235276335856,0.4094126773354601,0.6588815811179787,85.85748996211092,0.3764377460169155,0.6467042555695754,111.08296111842002,0.2909537131041388,0.6144566398579266,76042.51,28.360000000000586,0.4726666666666764,0.0,400.6925355326812,0.9999998070261732,0.999998471474892,0.9998452086707952,76067.11,52.9600000000064,0.2942222222222578,0.0,261.62194501425694,0.9995402880251844,0.998844945973766,0.9907434859915109,76098.1,83.95000000001164,0.2798333333333721,0.0,250.40797149487057,0.9992431283529196,0.9982303904714098,0.9879095529550324,76096.89,82.74000000000524,0.1379000000000087,0.0,139.79229756691382,0.961704259535584,0.9482576866110316,0.8958853812637249,76088.56,74.41000000000349,0.0826777777777816,0.0,96.75488568168778,0.889832864238884,0.8701127408370872,0.8081269209671157,76073.48,59.33000000000175,0.032961111111112,0.0,58.00822582646885,0.7687746897177752,0.7503634253211473,0.6992366615898454,76086.74,72.59000000001106,0.0201638888888919,0.0,48.03471694542327,0.7285648880560129,0.712079607491245,0.6672826367212022,-0.0638815811179787,True,0.6269407905589893,0.6208521277847877,0.7510415698236327,0.595,0.595,0.6950131000059775,0.0638815811179787,0.051704255569575475,0.6822368377640426,0.31776316223595735,0.7065914888608491,0.2934085111391509,0.7710867202841467,0.2289132797158533,0.2934085111391509,0.7065914888608491,0.0,0.5565460554533722,0.5407155322404481,0.5555230277266862,0.5959473405619782,0.4244407905589893,0.45638158111797866,0.6672894162295733,0.4176874750712493,0.5256907905589894,0.5534144743353936,0.49796710678258505,0.5700877207453191,0.45638158111797866,0.5278245990290059,0.4855614773126928,0.5261954974085906,0.5718386409431689,0.45638158111797866,0.5618354986737759,0.45638158111797866,train,hazard_primary,2,62.0,40.0,38.0,0.62
KXBTC15M-26APR300645-45,KXBTC15M-26APR300645-45|2026-04-30T10:31:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300645-45|2026-04-30T10:31:00+00:00|yes,2026-04-30 10:31:00.470382+00:00,2026-04-30 10:31:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76016.56,75967.08,839.529618,,5093,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:45:00+00:00,1.0,49.479999999995925,1.7077003985831378,13.22779040804852,,,110.6430258921157,0.4472039660976211,0.6726361009817649,87.79378694485337,0.5635934127215199,0.7134845645576559,81.82447770866072,0.6047090233337195,0.7273138242128087,94.81478818140069,0.5218595215899259,0.6991159282258175,75964.49,52.06999999999243,0.8678333333332072,0.0,778.0517868208901,1.0,1.0,1.0,76000.7,15.860000000000582,0.0881111111111143,0.0,123.4518874526653,0.9201613117893852,0.9343174193969506,0.9035472751275933,75977.2,39.36000000000058,0.1312000000000019,0.0,159.62628588159757,0.9654828864736807,0.9744618294656768,0.953866531821091,76011.05,5.509999999994761,0.0091833333333246,0.0,57.1896803252886,0.7426088125993472,0.7577024856975347,0.7268030563342158,76042.51,-25.94999999999709,-0.0288333333333301,25.94999999999709,25.27356268099864,0.6132784663778673,0.6212918187719345,0.6050949362929713,76086.96,-70.40000000000873,-0.0391111111111159,70.40000000000873,16.64506382932519,0.5751858581284721,0.5805981847567989,0.5696776148140288,76277.55,-260.99000000000524,-0.0724972222222236,260.99000000000524,-11.383565278288636,0.4484167111274516,0.4446769670664554,0.452217383956507,0.0015154354423441,True,0.7142422822788279,0.7211569121064043,0.7979891503437789,0.7134845645576559,0.7134845645576559,0.7646419466620329,0.0015154354423441152,0.012313824212808688,0.5730308708846883,0.4269691291153117,0.5453723515743827,0.4546276484256173,0.601768143548365,0.39823185645163495,0.4269691291153117,0.5730308708846883,0.5189999999999418,0.6275299339249526,0.6455079714766512,0.6570149669624763,0.6820632556098444,0.5717422822788278,0.5709845645576559,0.709888859573567,0.41971741776269145,0.6429922822788279,0.6717953693672967,0.6141891951903591,0.6664897097051039,0.5709845645576559,0.632722124907522,0.5989545401099401,0.6463038002866834,0.6695189932416705,0.5709845645576559,0.6404367120656114,0.5709845645576559,train,hazard_primary,2,74.0,28.0,26.0,0.74
KXBTC15M-26APR300715-15,KXBTC15M-26APR300715-15|2026-04-30T11:02:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300715-15|2026-04-30T11:02:00+00:00|yes,2026-04-30 11:02:00.682774+00:00,2026-04-30 11:02:00+00:00,yes,yes,True,True,1,64.0,63.0,63.5,0.635,36.5,27.0,1.0,76028.0,76009.5,779.317226,,6823,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 11:15:00+00:00,1.0,18.5,0.6626963680450078,5.133223994060913,,,37.94622696523466,0.4875320019813621,0.6870593150339429,54.29760102195683,0.3407148686462037,0.6333408779147178,70.92574048501115,0.2608361911132903,0.6028905831147292,74.53329691595394,0.2482112125116533,0.5980145042836934,76017.83,10.169999999998254,0.1694999999999709,0.0,150.5942698069773,0.997227138106603,0.9831342493144613,0.97833404654631,75989.64,38.36000000000058,0.2131111111111143,0.0,184.5811599408914,0.9996623737388616,0.9953720732441532,0.993365981644344,75984.26,43.74000000000524,0.1458000000000174,0.0,132.1244515508136,0.992519849433296,0.9687587458905876,0.9618599793255592,76021.45,6.55000000000291,0.0109166666666715,0.0,27.007546383837116,0.6905459754493111,0.6483190666380302,0.6414567870330935,76024.0,4.0,0.0044444444444444,0.0,21.963632115555555,0.6570791705382552,0.6215943519927246,0.6158816495449217,76020.89,7.110000000000582,0.0039500000000003,0.0,21.57830304270025,0.6544667051492974,0.6195266990163149,0.6139052993654215,76088.56,-60.55999999999767,-0.0168222222222215,60.55999999999767,5.390152442622727,0.5395382676988432,0.5302893076820652,0.528825865349484,0.0016591220852821,True,0.6341704389573589,0.6189452915573646,0.753620242449338,0.6333408779147178,0.6333408779147178,0.7060062332610745,0.001659122085282183,0.0321094168852708,0.7333182441705643,0.26668175582943565,0.7942188337705416,0.2057811662294584,0.8039709914326132,0.1960290085673868,0.2057811662294584,0.7942188337705416,0.0,0.5233431412891332,0.48375775804914795,0.5609215706445666,0.5966735555878961,0.4516704389573589,0.45084087791471783,0.669174408844018,0.36593374077276525,0.542920438957359,0.5797522633744153,0.5060886145403025,0.5730605852764786,0.45084087791471783,0.529848066214253,0.48663554715202734,0.5444391614860153,0.5746894058262957,0.45084087791471783,0.5600076433793679,0.45084087791471783,train,hazard_primary,2,66.0,36.0,34.0,0.66
