policy,label,current_all_base_markets,current_all_markets,current_all_wins,current_all_losses,current_all_accuracy,current_all_coverage,current_all_wilson95_lower,current_all_median_ask,current_all_mean_ask,current_all_p75_ask,current_all_ask_ge_95,current_all_ask_eq_100,current_all_median_seconds_to_close,current_all_entry_fee_cents,current_all_ask_cost_cents,current_all_entry_cost_cents,current_all_gross_pnl_cents,current_all_net_pnl_cents,current_all_gross_roi_on_ask,current_all_net_roi_on_cost,current_all_net_edge_per_selected_cents,current_all_net_edge_per_base_market_cents,current_all_fee_aware_break_even_accuracy,current_all_accuracy_minus_break_even,current_train_base_markets,current_train_markets,current_train_wins,current_train_losses,current_train_accuracy,current_train_coverage,current_train_wilson95_lower,current_train_median_ask,current_train_mean_ask,current_train_p75_ask,current_train_ask_ge_95,current_train_ask_eq_100,current_train_median_seconds_to_close,current_train_entry_fee_cents,current_train_ask_cost_cents,current_train_entry_cost_cents,current_train_gross_pnl_cents,current_train_net_pnl_cents,current_train_gross_roi_on_ask,current_train_net_roi_on_cost,current_train_net_edge_per_selected_cents,current_train_net_edge_per_base_market_cents,current_train_fee_aware_break_even_accuracy,current_train_accuracy_minus_break_even,current_validation_base_markets,current_validation_markets,current_validation_wins,current_validation_losses,current_validation_accuracy,current_validation_coverage,current_validation_wilson95_lower,current_validation_median_ask,current_validation_mean_ask,current_validation_p75_ask,current_validation_ask_ge_95,current_validation_ask_eq_100,current_validation_median_seconds_to_close,current_validation_entry_fee_cents,current_validation_ask_cost_cents,current_validation_entry_cost_cents,current_validation_gross_pnl_cents,current_validation_net_pnl_cents,current_validation_gross_roi_on_ask,current_validation_net_roi_on_cost,current_validation_net_edge_per_selected_cents,current_validation_net_edge_per_base_market_cents,current_validation_fee_aware_break_even_accuracy,current_validation_accuracy_minus_break_even,current_holdout_base_markets,current_holdout_markets,current_holdout_wins,current_holdout_losses,current_holdout_accuracy,current_holdout_coverage,current_holdout_wilson95_lower,current_holdout_median_ask,current_holdout_mean_ask,current_holdout_p75_ask,current_holdout_ask_ge_95,current_holdout_ask_eq_100,current_holdout_median_seconds_to_close,current_holdout_entry_fee_cents,current_holdout_ask_cost_cents,current_holdout_entry_cost_cents,current_holdout_gross_pnl_cents,current_holdout_net_pnl_cents,current_holdout_gross_roi_on_ask,current_holdout_net_roi_on_cost,current_holdout_net_edge_per_selected_cents,current_holdout_net_edge_per_base_market_cents,current_holdout_fee_aware_break_even_accuracy,current_holdout_accuracy_minus_break_even,v21_all_base_markets,v21_all_markets,v21_all_wins,v21_all_losses,v21_all_accuracy,v21_all_coverage,v21_all_wilson95_lower,v21_all_median_ask,v21_all_mean_ask,v21_all_p75_ask,v21_all_ask_ge_95,v21_all_ask_eq_100,v21_all_median_seconds_to_close,v21_all_entry_fee_cents,v21_all_ask_cost_cents,v21_all_entry_cost_cents,v21_all_gross_pnl_cents,v21_all_net_pnl_cents,v21_all_gross_roi_on_ask,v21_all_net_roi_on_cost,v21_all_net_edge_per_selected_cents,v21_all_net_edge_per_base_market_cents,v21_all_fee_aware_break_even_accuracy,v21_all_accuracy_minus_break_even,v21_train_base_markets,v21_train_markets,v21_train_wins,v21_train_losses,v21_train_accuracy,v21_train_coverage,v21_train_wilson95_lower,v21_train_median_ask,v21_train_mean_ask,v21_train_p75_ask,v21_train_ask_ge_95,v21_train_ask_eq_100,v21_train_median_seconds_to_close,v21_train_entry_fee_cents,v21_train_ask_cost_cents,v21_train_entry_cost_cents,v21_train_gross_pnl_cents,v21_train_net_pnl_cents,v21_train_gross_roi_on_ask,v21_train_net_roi_on_cost,v21_train_net_edge_per_selected_cents,v21_train_net_edge_per_base_market_cents,v21_train_fee_aware_break_even_accuracy,v21_train_accuracy_minus_break_even,v21_validation_base_markets,v21_validation_markets,v21_validation_wins,v21_validation_losses,v21_validation_accuracy,v21_validation_coverage,v21_validation_wilson95_lower,v21_validation_median_ask,v21_validation_mean_ask,v21_validation_p75_ask,v21_validation_ask_ge_95,v21_validation_ask_eq_100,v21_validation_median_seconds_to_close,v21_validation_entry_fee_cents,v21_validation_ask_cost_cents,v21_validation_entry_cost_cents,v21_validation_gross_pnl_cents,v21_validation_net_pnl_cents,v21_validation_gross_roi_on_ask,v21_validation_net_roi_on_cost,v21_validation_net_edge_per_selected_cents,v21_validation_net_edge_per_base_market_cents,v21_validation_fee_aware_break_even_accuracy,v21_validation_accuracy_minus_break_even,v21_holdout_base_markets,v21_holdout_markets,v21_holdout_wins,v21_holdout_losses,v21_holdout_accuracy,v21_holdout_coverage,v21_holdout_wilson95_lower,v21_holdout_median_ask,v21_holdout_mean_ask,v21_holdout_p75_ask,v21_holdout_ask_ge_95,v21_holdout_ask_eq_100,v21_holdout_median_seconds_to_close,v21_holdout_entry_fee_cents,v21_holdout_ask_cost_cents,v21_holdout_entry_cost_cents,v21_holdout_gross_pnl_cents,v21_holdout_net_pnl_cents,v21_holdout_gross_roi_on_ask,v21_holdout_net_roi_on_cost,v21_holdout_net_edge_per_selected_cents,v21_holdout_net_edge_per_base_market_cents,v21_holdout_fee_aware_break_even_accuracy,v21_holdout_accuracy_minus_break_even,combined_all_net_pnl_cents,min_oos_coverage,strict_80_oos_coverage_pass,both_oos_positive,both_all_positive
base,hazard>=0.45; ask<=80; sec>=60; touch_loss<=0.80,295,280,210,70,0.75,0.9491525423728814,0.6961285392763563,69.0,69.72857142857143,73.0,0,0,766.711,560.0,19524.0,20084.0,1476.0,916.0,0.07559926244622003,0.04560844453296156,3.2714285714285714,3.1050847457627118,0.7172857142857143,0.032714285714285696,177,166,123,43,0.7409638554216867,0.9378531073446328,0.6694009420855891,69.0,69.15060240963855,73.0,0,0,766.4145000000001,332.0,11479.0,11811.0,821.0,489.0,0.0715219095740047,0.04140208280416561,2.9457831325301207,2.76271186440678,0.7115060240963855,0.02945783132530122,59,57,45,12,0.7894736842105263,0.9661016949152542,0.6671387891680949,69.0,70.0701754385965,74.0,0,0,768.281,114.0,3994.0,4108.0,506.0,392.0,0.12669003505257886,0.09542356377799416,6.87719298245614,6.6440677966101696,0.7207017543859648,0.06877192982456148,59,57,42,15,0.7368421052631579,0.9661016949152542,0.6102342073651618,70.0,71.0701754385965,75.0,0,0,766.037,114.0,4051.0,4165.0,149.0,35.0,0.0367810417180943,0.008403361344537815,0.6140350877192983,0.5932203389830508,0.730701754385965,0.0061403508771928905,221,204,153,51,0.75,0.9230769230769231,0.6863298230089772,68.0,69.05882352941177,72.25,0,0,779.2975665,408.0,14088.0,14496.0,1212.0,804.0,0.08603066439522998,0.055463576158940396,3.9411764705882355,3.6380090497737556,0.7105882352941175,0.03941176470588248,132,124,88,36,0.7096774193548387,0.9393939393939394,0.6244416488936401,68.0,68.41129032258064,72.0,0,0,779.466718,248.0,8483.0,8731.0,317.0,69.0,0.03736885535777437,0.007902874813881572,0.5564516129032258,0.5227272727272727,0.7041129032258064,0.005564516129032304,44,40,34,6,0.85,0.9090909090909091,0.709276756335103,69.5,70.25,74.25,0,0,719.772034,80.0,2810.0,2890.0,590.0,510.0,0.2099644128113879,0.17647058823529413,12.75,11.590909090909092,0.7224999999999999,0.12750000000000006,45,40,31,9,0.775,0.8888888888888888,0.6249690325768998,69.5,69.875,75.25,0,0,779.160447,80.0,2795.0,2875.0,305.0,225.0,0.10912343470483005,0.0782608695652174,5.625,5.0,0.71875,0.05625000000000002,1720.0,0.8888888888888888,True,True,True
margin65,hazard>=0.45; ask<=80; sec>=60; touch_loss<=0.80; margin_sigma<=0.65,295,266,199,67,0.7481203007518797,0.9016949152542373,0.6926741624694547,69.0,69.5375939849624,73.0,0,0,761.961,532.0,18497.0,19029.0,1403.0,871.0,0.07585013786019354,0.04577224236691366,3.274436090225564,2.952542372881356,0.7153759398496241,0.03274436090225563,177,158,117,41,0.740506329113924,0.8926553672316384,0.6670215229981383,69.0,68.77848101265823,72.0,0,0,757.7560000000001,316.0,10867.0,11183.0,833.0,517.0,0.07665409036532622,0.04623088616650273,3.2721518987341773,2.92090395480226,0.7077848101265822,0.03272151898734177,59,54,42,12,0.7777777777777778,0.9152542372881356,0.6506132834036111,69.0,69.53703703703704,73.0,0,0,767.2145,108.0,3755.0,3863.0,445.0,337.0,0.118508655126498,0.08723789800673053,6.2407407407407405,5.711864406779661,0.7153703703703701,0.06240740740740769,59,54,40,14,0.7407407407407407,0.9152542372881356,0.6106910949571831,71.0,71.75925925925925,75.0,0,0,725.7745,108.0,3875.0,3983.0,125.0,17.0,0.03225806451612903,0.004268139593271403,0.3148148148148148,0.288135593220339,0.7375925925925927,0.003148148148148011,221,192,142,50,0.7395833333333334,0.8687782805429864,0.6732400664495174,68.0,68.30208333333333,71.0,0,0,779.1568050000001,384.0,13114.0,13498.0,1086.0,702.0,0.08281226170504805,0.05200770484516225,3.65625,3.176470588235294,0.7030208333333334,0.03656249999999994,132,117,81,36,0.6923076923076923,0.8863636363636364,0.603677430479789,68.0,67.86324786324786,71.0,0,0,779.457895,234.0,7940.0,8174.0,160.0,-74.0,0.020151133501259445,-0.009053095179838513,-0.6324786324786325,-0.5606060606060606,0.6986324786324787,-0.006324786324786391,44,37,31,6,0.8378378378378378,0.8409090909090909,0.6886351629906503,67.0,69.05405405405405,72.0,0,0,719.677835,74.0,2555.0,2629.0,545.0,471.0,0.21330724070450097,0.1791555724610118,12.72972972972973,10.704545454545455,0.7105405405405405,0.12729729729729733,45,38,30,8,0.7894736842105263,0.8444444444444444,0.636542205246726,68.0,68.92105263157895,71.75,0,0,719.5251415,76.0,2619.0,2695.0,381.0,305.0,0.145475372279496,0.11317254174397032,8.026315789473685,6.777777777777778,0.7092105263157895,0.08026315789473681,1573.0,0.8409090909090909,True,True,True
sec840_margin75,hazard>=0.45; ask<=80; sec>=60; touch_loss<=0.80; margin_sigma<=0.75; sec<=840,295,270,201,69,0.7444444444444445,0.9152542372881356,0.6892413418306099,70.0,70.14814814814815,73.0,0,0,764.6614999999999,540.0,18940.0,19480.0,1160.0,620.0,0.061246040126715945,0.03182751540041068,2.2962962962962963,2.1016949152542375,0.7214814814814814,0.022962962962963074,177,161,118,43,0.7329192546583851,0.9096045197740112,0.6597330621103198,70.0,69.74534161490683,73.0,0,0,750.294,322.0,11229.0,11551.0,571.0,249.0,0.050850476444919405,0.021556575188295384,1.546583850931677,1.4067796610169492,0.7174534161490684,0.01546583850931671,59,54,42,12,0.7777777777777778,0.9152542372881356,0.6506132834036111,69.0,69.88888888888889,74.0,0,0,767.951,108.0,3774.0,3882.0,426.0,318.0,0.11287758346581876,0.08191653786707882,5.888888888888889,5.389830508474576,0.7188888888888886,0.05888888888888921,59,55,41,14,0.7454545454545455,0.9322033898305084,0.6169812871823414,71.0,71.58181818181818,75.0,0,0,759.928,110.0,3937.0,4047.0,163.0,53.0,0.04140208280416561,0.01309612058314801,0.9636363636363636,0.8983050847457628,0.7358181818181818,0.009636363636363665,221,199,148,51,0.7437185929648241,0.9004524886877828,0.6788455905544694,68.0,69.17085427135679,72.0,0,0,779.152426,398.0,13765.0,14163.0,1035.0,637.0,0.0751907010533963,0.04497634681917673,3.201005025125628,2.8823529411764706,0.7117085427135679,0.03201005025125625,132,122,85,37,0.6967213114754098,0.9242424242424242,0.6101788071372826,68.0,68.5,72.0,0,0,779.4039769999999,244.0,8357.0,8601.0,143.0,-101.0,0.017111403613736986,-0.011742820602255552,-0.8278688524590164,-0.7651515151515151,0.7050000000000001,-0.008278688524590239,44,38,32,6,0.8421052631578947,0.8636363636363636,0.6958318822077686,68.5,69.78947368421052,73.5,0,0,719.7238895,76.0,2652.0,2728.0,548.0,472.0,0.2066365007541478,0.17302052785923755,12.421052631578947,10.727272727272727,0.7178947368421053,0.12421052631578944,45,39,31,8,0.7948717948717948,0.8666666666666667,0.644660319864177,70.0,70.66666666666667,75.0,0,0,719.536687,78.0,2756.0,2834.0,344.0,266.0,0.12481857764876633,0.09386026817219478,6.82051282051282,5.911111111111111,0.7266666666666667,0.06820512820512814,1257.0,0.8636363636363636,True,True,True
sec840_score65,hazard>=0.45; ask<=80; sec>=60; touch_loss<=0.80; hazard<=0.65; sec<=840,295,272,202,70,0.7426470588235294,0.9220338983050848,0.687566306472977,70.0,70.0845588235294,73.0,0,0,764.6614999999999,544.0,19063.0,19607.0,1137.0,593.0,0.059644337197712845,0.03024430050492171,2.1801470588235294,2.010169491525424,0.7208455882352941,0.02180147058823534,177,162,118,44,0.7283950617283951,0.9152542372881356,0.6552036599903256,69.5,69.64197530864197,73.0,0,0,738.0074999999999,324.0,11282.0,11606.0,518.0,194.0,0.045913845062932106,0.016715491986903325,1.1975308641975309,1.0960451977401129,0.7164197530864198,0.011975308641975269,59,55,43,12,0.7818181818181819,0.9322033898305084,0.6562996597815998,69.0,69.94545454545455,74.0,0,0,767.621,110.0,3847.0,3957.0,453.0,343.0,0.11775409409929816,0.08668182966894111,6.236363636363636,5.813559322033898,0.7194545454545453,0.06236363636363651,59,55,41,14,0.7454545454545455,0.9322033898305084,0.6169812871823414,71.0,71.52727272727273,75.0,0,0,765.62,110.0,3934.0,4044.0,166.0,56.0,0.042196237925775294,0.013847675568743818,1.018181818181818,0.9491525423728814,0.7352727272727272,0.010181818181818292,221,199,148,51,0.7437185929648241,0.9004524886877828,0.6788455905544694,68.0,69.10050251256281,72.0,0,0,779.152426,398.0,13751.0,14149.0,1049.0,651.0,0.07628536106464984,0.046010318750441724,3.271356783919598,2.9457013574660635,0.7110050251256281,0.03271356783919599,132,122,85,37,0.6967213114754098,0.9242424242424242,0.6101788071372826,68.0,68.5,72.0,0,0,779.4039769999999,244.0,8357.0,8601.0,143.0,-101.0,0.017111403613736986,-0.011742820602255552,-0.8278688524590164,-0.7651515151515151,0.7050000000000001,-0.008278688524590239,44,38,32,6,0.8421052631578947,0.8636363636363636,0.6958318822077686,68.5,69.44736842105263,72.0,0,0,719.7780144999999,76.0,2639.0,2715.0,561.0,485.0,0.2125805229253505,0.17863720073664824,12.763157894736842,11.022727272727273,0.7144736842105264,0.12763157894736832,45,39,31,8,0.7948717948717948,0.8666666666666667,0.644660319864177,70.0,70.64102564102564,75.0,0,0,719.513596,78.0,2755.0,2833.0,345.0,267.0,0.12522686025408347,0.09424638192728556,6.846153846153846,5.933333333333334,0.7264102564102565,0.06846153846153835,1244.0,0.8636363636363636,True,True,True
ask75_margin75,hazard>=0.45; ask<=75; sec>=60; touch_loss<=0.80; margin_sigma<=0.75,295,262,193,69,0.7366412213740458,0.888135593220339,0.6801647343438777,69.0,68.29389312977099,72.0,0,0,765.573,524.0,17893.0,18417.0,1407.0,883.0,0.07863410272173475,0.047944833577672805,3.3702290076335877,2.993220338983051,0.70293893129771,0.03370229007633574,177,157,116,41,0.7388535031847133,0.8870056497175142,0.6650251105767633,68.0,67.77707006369427,72.0,0,0,765.684,314.0,10641.0,10955.0,959.0,645.0,0.09012310873038248,0.058877225011410315,4.10828025477707,3.6440677966101696,0.6977707006369427,0.041082802547770636,59,52,39,13,0.75,0.8813559322033898,0.6179354205740265,68.0,68.67307692307692,73.0,0,0,767.2145,104.0,3571.0,3675.0,329.0,225.0,0.0921310557266872,0.061224489795918366,4.326923076923077,3.8135593220338984,0.706730769230769,0.04326923076923095,59,53,38,15,0.7169811320754716,0.8983050847457628,0.5842971358358297,70.0,69.45283018867924,72.0,0,0,723.289,106.0,3681.0,3787.0,119.0,13.0,0.03232817169247487,0.003432796408766834,0.24528301886792453,0.22033898305084745,0.7145283018867925,0.002452830188679145,221,190,144,46,0.7578947368421053,0.8597285067873304,0.6922657611211555,68.0,67.87368421052632,71.0,0,0,779.2975665,380.0,12896.0,13276.0,1504.0,1124.0,0.11662531017369727,0.08466405543838505,5.91578947368421,5.085972850678733,0.6987368421052631,0.05915789473684219,132,120,86,34,0.7166666666666667,0.9090909090909091,0.6302979754694596,68.0,67.85833333333333,71.0,0,0,779.466718,240.0,8143.0,8383.0,457.0,217.0,0.056121822424167994,0.025885721102230703,1.8083333333333333,1.643939393939394,0.6985833333333334,0.01808333333333323,44,34,29,5,0.8529411764705882,0.7727272727272727,0.6987194350454783,67.0,68.29411764705883,71.0,0,0,719.900004,68.0,2322.0,2390.0,578.0,510.0,0.24892334194659776,0.21338912133891214,15.0,11.590909090909092,0.7029411764705882,0.15000000000000002,45,36,29,7,0.8055555555555556,0.8,0.6497195700482261,67.5,67.52777777777777,71.0,0,0,749.3077345,72.0,2431.0,2503.0,469.0,397.0,0.19292472233648705,0.15860966839792248,11.027777777777779,8.822222222222223,0.6952777777777778,0.11027777777777781,2007.0,0.7727272727272727,False,True,True
ask75_score65_margin75,hazard>=0.45; ask<=75; sec>=60; touch_loss<=0.80; hazard<=0.65; margin_sigma<=0.75,295,262,193,69,0.7366412213740458,0.888135593220339,0.6801647343438777,69.0,68.29389312977099,72.0,0,0,765.573,524.0,17893.0,18417.0,1407.0,883.0,0.07863410272173475,0.047944833577672805,3.3702290076335877,2.993220338983051,0.70293893129771,0.03370229007633574,177,157,116,41,0.7388535031847133,0.8870056497175142,0.6650251105767633,68.0,67.77707006369427,72.0,0,0,765.684,314.0,10641.0,10955.0,959.0,645.0,0.09012310873038248,0.058877225011410315,4.10828025477707,3.6440677966101696,0.6977707006369427,0.041082802547770636,59,52,39,13,0.75,0.8813559322033898,0.6179354205740265,68.0,68.67307692307692,73.0,0,0,767.2145,104.0,3571.0,3675.0,329.0,225.0,0.0921310557266872,0.061224489795918366,4.326923076923077,3.8135593220338984,0.706730769230769,0.04326923076923095,59,53,38,15,0.7169811320754716,0.8983050847457628,0.5842971358358297,70.0,69.45283018867924,72.0,0,0,723.289,106.0,3681.0,3787.0,119.0,13.0,0.03232817169247487,0.003432796408766834,0.24528301886792453,0.22033898305084745,0.7145283018867925,0.002452830188679145,221,190,144,46,0.7578947368421053,0.8597285067873304,0.6922657611211555,68.0,67.87368421052632,71.0,0,0,779.2975665,380.0,12896.0,13276.0,1504.0,1124.0,0.11662531017369727,0.08466405543838505,5.91578947368421,5.085972850678733,0.6987368421052631,0.05915789473684219,132,120,86,34,0.7166666666666667,0.9090909090909091,0.6302979754694596,68.0,67.85833333333333,71.0,0,0,779.466718,240.0,8143.0,8383.0,457.0,217.0,0.056121822424167994,0.025885721102230703,1.8083333333333333,1.643939393939394,0.6985833333333334,0.01808333333333323,44,34,29,5,0.8529411764705882,0.7727272727272727,0.6987194350454783,67.0,68.29411764705883,71.0,0,0,719.900004,68.0,2322.0,2390.0,578.0,510.0,0.24892334194659776,0.21338912133891214,15.0,11.590909090909092,0.7029411764705882,0.15000000000000002,45,36,29,7,0.8055555555555556,0.8,0.6497195700482261,67.5,67.52777777777777,71.0,0,0,749.3077345,72.0,2431.0,2503.0,469.0,397.0,0.19292472233648705,0.15860966839792248,11.027777777777779,8.822222222222223,0.6952777777777778,0.11027777777777781,2007.0,0.7727272727272727,False,True,True
ask75,hazard>=0.45; ask<=75; sec>=60; touch_loss<=0.80,295,267,196,71,0.7340823970037453,0.9050847457627119,0.6780394084007166,69.0,68.37827715355806,72.0,0,0,765.62,534.0,18257.0,18791.0,1343.0,809.0,0.07356082598455387,0.04305252514501623,3.0299625468164795,2.7423728813559323,0.7037827715355807,0.03029962546816467,177,159,116,43,0.7295597484276729,0.8983050847457628,0.6557066643750368,68.0,67.9245283018868,72.0,0,0,765.684,318.0,10800.0,11118.0,800.0,482.0,0.07407407407407407,0.043353121064939736,3.0314465408805034,2.7231638418079096,0.6992452830188679,0.030314465408805003,59,53,40,13,0.7547169811320755,0.8983050847457628,0.6243344231264808,68.0,68.83018867924528,73.0,0,0,766.808,106.0,3648.0,3754.0,352.0,246.0,0.09649122807017543,0.06553010122535961,4.6415094339622645,4.169491525423729,0.7083018867924525,0.046415094339622986,59,55,40,15,0.7272727272727273,0.9322033898305084,0.5976780188832919,69.0,69.25454545454545,72.0,0,0,729.328,110.0,3809.0,3919.0,191.0,81.0,0.050144394854292465,0.02066853789231947,1.4727272727272727,1.3728813559322033,0.7125454545454545,0.014727272727272811,221,191,145,46,0.7591623036649214,0.8642533936651584,0.693796191124511,68.0,67.93193717277487,71.0,0,0,779.317226,382.0,12975.0,13357.0,1525.0,1143.0,0.11753371868978806,0.08557310773377255,5.984293193717278,5.171945701357466,0.6993193717277486,0.05984293193717283,132,120,86,34,0.7166666666666667,0.9090909090909091,0.6302979754694596,68.0,67.85833333333333,71.0,0,0,779.466718,240.0,8143.0,8383.0,457.0,217.0,0.056121822424167994,0.025885721102230703,1.8083333333333333,1.643939393939394,0.6985833333333334,0.01808333333333323,44,35,30,5,0.8571428571428571,0.7954545454545454,0.7062444591340484,67.0,68.57142857142857,71.5,0,0,719.973849,70.0,2400.0,2470.0,600.0,530.0,0.25,0.2145748987854251,15.142857142857142,12.045454545454545,0.7057142857142857,0.15142857142857136,45,36,29,7,0.8055555555555556,0.8,0.6497195700482261,67.5,67.55555555555556,71.0,0,0,749.3077345,72.0,2432.0,2504.0,468.0,396.0,0.1924342105263158,0.15814696485623003,11.0,8.8,0.6955555555555556,0.10999999999999999,1952.0,0.7954545454545454,False,True,True
ask75_score65,hazard>=0.45; ask<=75; sec>=60; touch_loss<=0.80; hazard<=0.65,295,265,194,71,0.7320754716981132,0.8983050847457628,0.6757155783195572,69.0,68.29433962264152,72.0,0,0,765.62,530.0,18098.0,18628.0,1302.0,772.0,0.07194165101116146,0.04144298904874383,2.913207547169811,2.616949152542373,0.7029433962264152,0.029132075471697938,177,159,116,43,0.7295597484276729,0.8983050847457628,0.6557066643750368,68.0,67.79874213836477,72.0,0,0,765.684,318.0,10780.0,11098.0,820.0,502.0,0.07606679035250463,0.045233375382951885,3.157232704402516,2.8361581920903953,0.6979874213836478,0.03157232704402513,59,53,40,13,0.7547169811320755,0.8983050847457628,0.6243344231264808,68.0,68.73584905660377,73.0,0,0,766.808,106.0,3643.0,3749.0,357.0,251.0,0.09799615701345045,0.06695118698319552,4.735849056603773,4.254237288135593,0.7073584905660375,0.047358490566038025,59,53,38,15,0.7169811320754716,0.8983050847457628,0.5842971358358297,69.0,69.33962264150944,72.0,0,0,729.328,106.0,3675.0,3781.0,125.0,19.0,0.034013605442176874,0.005025125628140704,0.3584905660377358,0.3220338983050847,0.7133962264150944,0.00358490566037728,221,191,145,46,0.7591623036649214,0.8642533936651584,0.693796191124511,68.0,67.92670157068063,71.0,0,0,779.317226,382.0,12974.0,13356.0,1526.0,1144.0,0.11761985509480499,0.08565438754117999,5.989528795811518,5.176470588235294,0.6992670157068063,0.05989528795811516,132,120,86,34,0.7166666666666667,0.9090909090909091,0.6302979754694596,68.0,67.85833333333333,71.0,0,0,779.466718,240.0,8143.0,8383.0,457.0,217.0,0.056121822424167994,0.025885721102230703,1.8083333333333333,1.643939393939394,0.6985833333333334,0.01808333333333323,44,35,30,5,0.8571428571428571,0.7954545454545454,0.7062444591340484,67.0,68.57142857142857,71.5,0,0,719.973849,70.0,2400.0,2470.0,600.0,530.0,0.25,0.2145748987854251,15.142857142857142,12.045454545454545,0.7057142857142857,0.15142857142857136,45,36,29,7,0.8055555555555556,0.8,0.6497195700482261,67.5,67.52777777777777,71.0,0,0,749.3077345,72.0,2431.0,2503.0,469.0,397.0,0.19292472233648705,0.15860966839792248,11.027777777777779,8.822222222222223,0.6952777777777778,0.11027777777777781,1916.0,0.7954545454545454,False,True,True
score65_margin75,hazard>=0.45; ask<=80; sec>=60; touch_loss<=0.80; hazard<=0.65; margin_sigma<=0.75,295,271,202,69,0.7453874538745388,0.9186440677966101,0.6903399622555373,69.0,69.49077490774907,73.0,0,0,766.535,542.0,18832.0,19374.0,1368.0,826.0,0.07264231096006797,0.0426344585526995,3.047970479704797,2.8,0.7149077490774907,0.03047970479704809,177,162,120,42,0.7407407407407407,0.9152542372881356,0.6682353386442116,69.0,68.80246913580247,73.0,0,0,766.184,324.0,11146.0,11470.0,854.0,530.0,0.0766194150367845,0.046207497820401046,3.271604938271605,2.994350282485876,0.7080246913580247,0.032716049382715995,59,54,42,12,0.7777777777777778,0.9152542372881356,0.6506132834036111,69.0,69.74074074074075,73.75,0,0,768.5315,108.0,3766.0,3874.0,434.0,326.0,0.11524163568773234,0.08415074858027878,6.037037037037037,5.52542372881356,0.7174074074074072,0.06037037037037063,59,55,40,15,0.7272727272727273,0.9322033898305084,0.5976780188832919,71.0,71.27272727272727,75.0,0,0,765.62,110.0,3920.0,4030.0,80.0,-30.0,0.02040816326530612,-0.007444168734491315,-0.5454545454545454,-0.5084745762711864,0.7327272727272727,-0.005454545454545379,221,199,149,50,0.7487437185929648,0.9004524886877828,0.6841582829343081,68.0,68.63819095477388,72.0,0,0,779.277907,398.0,13659.0,14057.0,1241.0,843.0,0.09085584596236913,0.05997012164757772,4.236180904522613,3.81447963800905,0.7063819095477386,0.04236180904522624,132,122,86,36,0.7049180327868853,0.9242424242424242,0.6187324662537962,68.0,68.14754098360656,71.0,0,0,779.466718,244.0,8314.0,8558.0,286.0,42.0,0.034399807553524175,0.004907688712315962,0.3442622950819672,0.3181818181818182,0.7014754098360656,0.0034426229508196515,44,37,31,6,0.8378378378378378,0.8409090909090909,0.6886351629906503,67.0,69.21621621621621,72.0,0,0,719.826159,74.0,2561.0,2635.0,539.0,465.0,0.210464662241312,0.17647058823529413,12.567567567567568,10.568181818181818,0.7121621621621622,0.1256756756756756,45,40,32,8,0.8,0.8888888888888888,0.6524269365360051,69.5,69.6,74.25,0,0,779.105852,80.0,2784.0,2864.0,416.0,336.0,0.14942528735632185,0.11731843575418995,8.4,7.466666666666667,0.716,0.08400000000000007,1669.0,0.8409090909090909,True,False,True
margin75,hazard>=0.45; ask<=80; sec>=60; touch_loss<=0.80; margin_sigma<=0.75,295,271,202,69,0.7453874538745388,0.9186440677966101,0.6903399622555373,69.0,69.56457564575646,73.0,0,0,766.614,542.0,18852.0,19394.0,1348.0,806.0,0.07150434967112243,0.04155924512735898,2.974169741697417,2.7322033898305085,0.7156457564575646,0.02974169741697419,177,162,120,42,0.7407407407407407,0.9152542372881356,0.6682353386442116,69.0,68.92592592592592,73.0,0,0,766.4145000000001,324.0,11166.0,11490.0,834.0,510.0,0.07469102632993015,0.044386422976501305,3.1481481481481484,2.8813559322033897,0.7092592592592593,0.031481481481481444,59,54,42,12,0.7777777777777778,0.9152542372881356,0.6506132834036111,69.0,69.74074074074075,73.75,0,0,768.5315,108.0,3766.0,3874.0,434.0,326.0,0.11524163568773234,0.08415074858027878,6.037037037037037,5.52542372881356,0.7174074074074072,0.06037037037037063,59,55,40,15,0.7272727272727273,0.9322033898305084,0.5976780188832919,71.0,71.27272727272727,75.0,0,0,765.62,110.0,3920.0,4030.0,80.0,-30.0,0.02040816326530612,-0.007444168734491315,-0.5454545454545454,-0.5084745762711864,0.7327272727272727,-0.005454545454545379,221,200,150,50,0.75,0.9049773755656109,0.6856590168795417,68.0,68.755,72.0,0,0,779.2625275,400.0,13751.0,14151.0,1249.0,849.0,0.09082975783579376,0.059995760016959936,4.245,3.841628959276018,0.7075499999999999,0.0424500000000001,132,122,86,36,0.7049180327868853,0.9242424242424242,0.6187324662537962,68.0,68.14754098360656,71.0,0,0,779.466718,244.0,8314.0,8558.0,286.0,42.0,0.034399807553524175,0.004907688712315962,0.3442622950819672,0.3181818181818182,0.7014754098360656,0.0034426229508196515,44,38,32,6,0.8421052631578947,0.8636363636363636,0.6958318822077686,68.5,69.78947368421052,73.5,0,0,719.772034,76.0,2652.0,2728.0,548.0,472.0,0.2066365007541478,0.17302052785923755,12.421052631578947,10.727272727272727,0.7178947368421053,0.12421052631578944,45,40,32,8,0.8,0.8888888888888888,0.6524269365360051,69.5,69.625,74.25,0,0,779.160447,80.0,2785.0,2865.0,415.0,335.0,0.1490125673249551,0.1169284467713787,8.375,7.444444444444445,0.7162499999999999,0.0837500000000001,1655.0,0.8636363636363636,True,False,True
