dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,hazard_ask65_else_score60_ask70,0,20,19,0.95,13,6,0.6842105263157895,55.0,0.04417670682730924,63.0,True,True
current,hazard_ask65_else_score60_ask70,1,20,18,0.9,14,4,0.7777777777777778,189.0,0.15606936416184972,65.0,True,True
current,hazard_ask65_else_score60_ask70,2,20,17,0.85,12,5,0.7058823529411765,50.0,0.043478260869565216,65.0,True,True
current,hazard_ask65_else_score60_ask70,3,20,17,0.85,14,3,0.8235294117647058,235.0,0.2017167381974249,67.0,True,True
current,hazard_ask65_else_score60_ask70,4,20,17,0.85,10,7,0.5882352941176471,-128.0,-0.11347517730496454,63.0,False,True
current,hazard_ask65_else_score60_ask70,5,20,19,0.95,14,5,0.7368421052631579,136.0,0.10759493670886076,64.0,True,True
current,hazard_ask65_else_score60_ask70,6,20,18,0.9,13,5,0.7222222222222222,133.0,0.11396743787489289,65.5,True,True
current,hazard_ask65_else_score60_ask70,7,20,13,0.65,9,4,0.6923076923076923,29.0,0.03329506314580941,66.0,True,False
current,hazard_ask65_else_score60_ask70,8,20,16,0.8,14,2,0.875,322.0,0.2987012987012987,66.5,True,True
current,hazard_ask65_else_score60_ask70,9,20,17,0.85,16,1,0.9411764705882353,448.0,0.3888888888888889,68.0,True,True
current,hazard_ask65_else_score60_ask70,10,20,17,0.85,11,6,0.6470588235294118,-57.0,-0.049265341400172864,67.0,False,True
current,hazard_ask65_else_score60_ask70,11,20,16,0.8,9,7,0.5625,-172.0,-0.16044776119402984,64.5,False,True
current,hazard_ask65_else_score60_ask70,12,20,18,0.9,14,4,0.7777777777777778,199.0,0.16569525395503748,65.5,True,True
current,hazard_ask65_else_score60_ask70,13,20,18,0.9,14,4,0.7777777777777778,144.0,0.11464968152866242,68.0,True,True
current,hazard_ask65_else_score60_ask70,14,15,13,0.8666666666666667,7,6,0.5384615384615384,-186.0,-0.20993227990970656,66.0,False,True
current,hazard_ask65_else_logit55_edge15_ask70,0,20,19,0.95,13,6,0.6842105263157895,58.0,0.04669887278582931,63.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,1,20,19,0.95,14,5,0.7368421052631579,127.0,0.0997643362136685,65.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,2,20,17,0.85,12,5,0.7058823529411765,53.0,0.046207497820401046,65.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,3,20,17,0.85,13,4,0.7647058823529411,140.0,0.1206896551724138,66.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,4,20,17,0.85,10,7,0.5882352941176471,-120.0,-0.10714285714285714,64.0,False,True
current,hazard_ask65_else_logit55_edge15_ask70,5,20,19,0.95,12,7,0.631578947368421,-81.0,-0.06323185011709602,65.0,False,True
current,hazard_ask65_else_logit55_edge15_ask70,6,20,18,0.9,13,5,0.7222222222222222,125.0,0.10638297872340426,66.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,7,20,14,0.7,11,3,0.7857142857142857,152.0,0.16033755274261605,67.0,True,False
current,hazard_ask65_else_logit55_edge15_ask70,8,20,17,0.85,14,3,0.8235294117647058,258.0,0.22591943957968477,66.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,9,20,18,0.9,17,1,0.9444444444444444,483.0,0.39687756778964667,67.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,10,20,17,0.85,12,5,0.7058823529411765,36.0,0.030927835051546393,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,11,20,17,0.85,9,8,0.5294117647058824,-244.0,-0.21328671328671328,66.0,False,True
current,hazard_ask65_else_logit55_edge15_ask70,12,20,18,0.9,14,4,0.7777777777777778,195.0,0.16182572614107885,66.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,13,20,18,0.9,14,4,0.7777777777777778,146.0,0.11642743221690591,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask70,14,15,13,0.8666666666666667,7,6,0.5384615384615384,-181.0,-0.2054483541430193,66.0,False,True
current,hazard_ask65_else_score60_ask75,0,20,20,1.0,13,7,0.65,-54.0,-0.03988183161004431,64.5,False,True
current,hazard_ask65_else_score60_ask75,1,20,19,0.95,15,4,0.7894736842105263,207.0,0.16009280742459397,65.0,True,True
current,hazard_ask65_else_score60_ask75,2,20,19,0.95,14,5,0.7368421052631579,84.0,0.06382978723404255,67.0,True,True
current,hazard_ask65_else_score60_ask75,3,20,19,0.95,16,3,0.8421052631578947,267.0,0.2003000750187547,68.0,True,True
current,hazard_ask65_else_score60_ask75,4,20,19,0.95,12,7,0.631578947368421,-76.0,-0.05956112852664577,65.0,False,True
current,hazard_ask65_else_score60_ask75,5,20,19,0.95,14,5,0.7368421052631579,100.0,0.07692307692307693,66.0,True,True
current,hazard_ask65_else_score60_ask75,6,20,18,0.9,13,5,0.7222222222222222,73.0,0.059494702526487364,67.0,True,True
current,hazard_ask65_else_score60_ask75,7,20,15,0.75,11,4,0.7333333333333333,69.0,0.06692531522793405,68.0,True,False
current,hazard_ask65_else_score60_ask75,8,20,19,0.95,15,4,0.7894736842105263,172.0,0.12951807228915663,69.0,True,True
current,hazard_ask65_else_score60_ask75,9,20,18,0.9,17,1,0.9444444444444444,457.0,0.3676588897827836,68.0,True,True
current,hazard_ask65_else_score60_ask75,10,20,19,0.95,13,6,0.6842105263157895,-38.0,-0.028400597907324365,69.0,False,True
current,hazard_ask65_else_score60_ask75,11,20,17,0.85,9,8,0.5294117647058824,-278.0,-0.23599320882852293,68.0,False,True
current,hazard_ask65_else_score60_ask75,12,20,20,1.0,16,4,0.8,214.0,0.1544011544011544,69.0,True,True
current,hazard_ask65_else_score60_ask75,13,20,19,0.95,15,4,0.7894736842105263,150.0,0.1111111111111111,69.0,True,True
current,hazard_ask65_else_score60_ask75,14,15,14,0.9333333333333333,8,6,0.5714285714285714,-181.0,-0.18450560652395515,68.5,False,True
current,hazard_ask65_else_logit55_edge15_ask75,0,20,20,1.0,13,7,0.65,-47.0,-0.034892353377876766,64.5,False,True
current,hazard_ask65_else_logit55_edge15_ask75,1,20,20,1.0,15,5,0.75,145.0,0.1070110701107011,66.0,True,True
current,hazard_ask65_else_logit55_edge15_ask75,2,20,19,0.95,14,5,0.7368421052631579,87.0,0.06626047220106626,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask75,3,20,19,0.95,15,4,0.7894736842105263,172.0,0.12951807228915663,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask75,4,20,19,0.95,12,7,0.631578947368421,-87.0,-0.0675990675990676,67.0,False,True
current,hazard_ask65_else_logit55_edge15_ask75,5,20,19,0.95,12,7,0.631578947368421,-99.0,-0.07621247113163972,66.0,False,True
current,hazard_ask65_else_logit55_edge15_ask75,6,20,18,0.9,13,5,0.7222222222222222,108.0,0.09060402684563758,66.0,True,True
current,hazard_ask65_else_logit55_edge15_ask75,7,20,15,0.75,12,3,0.8,177.0,0.17302052785923755,67.0,True,False
current,hazard_ask65_else_logit55_edge15_ask75,8,20,19,0.95,15,4,0.7894736842105263,186.0,0.1415525114155251,67.0,True,True
current,hazard_ask65_else_logit55_edge15_ask75,9,20,18,0.9,17,1,0.9444444444444444,472.0,0.38436482084690554,67.0,True,True
current,hazard_ask65_else_logit55_edge15_ask75,10,20,19,0.95,13,6,0.6842105263157895,-32.0,-0.024024024024024024,69.0,False,True
current,hazard_ask65_else_logit55_edge15_ask75,11,20,17,0.85,9,8,0.5294117647058824,-276.0,-0.23469387755102042,67.0,False,True
current,hazard_ask65_else_logit55_edge15_ask75,12,20,20,1.0,16,4,0.8,218.0,0.1577424023154848,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask75,13,20,19,0.95,15,4,0.7894736842105263,157.0,0.1169024571854058,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask75,14,15,14,0.9333333333333333,8,6,0.5714285714285714,-175.0,-0.1794871794871795,68.5,False,True
current,hazard_ask65_else_score60_ask80,0,20,20,1.0,13,7,0.65,-54.0,-0.03988183161004431,64.5,False,True
current,hazard_ask65_else_score60_ask80,1,20,19,0.95,15,4,0.7894736842105263,199.0,0.15295926210607225,65.0,True,True
current,hazard_ask65_else_score60_ask80,2,20,19,0.95,14,5,0.7368421052631579,79.0,0.05980317940953823,67.0,True,True
current,hazard_ask65_else_score60_ask80,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard_ask65_else_score60_ask80,4,20,20,1.0,13,7,0.65,-57.0,-0.04200442151805453,65.5,False,True
current,hazard_ask65_else_score60_ask80,5,20,20,1.0,15,5,0.75,105.0,0.07526881720430108,66.5,True,True
current,hazard_ask65_else_score60_ask80,6,20,20,1.0,15,5,0.75,46.0,0.03163686382393398,69.5,True,True
current,hazard_ask65_else_score60_ask80,7,20,17,0.85,13,4,0.7647058823529411,103.0,0.0860484544695071,68.0,True,True
current,hazard_ask65_else_score60_ask80,8,20,19,0.95,15,4,0.7894736842105263,172.0,0.12951807228915663,69.0,True,True
current,hazard_ask65_else_score60_ask80,9,20,19,0.95,18,1,0.9473684210526315,458.0,0.3412816691505216,68.0,True,True
current,hazard_ask65_else_score60_ask80,10,20,20,1.0,14,6,0.7,-25.0,-0.017543859649122806,69.0,False,True
current,hazard_ask65_else_score60_ask80,11,20,19,0.95,12,7,0.631578947368421,-145.0,-0.10780669144981413,69.0,False,True
current,hazard_ask65_else_score60_ask80,12,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,70.5,True,True
current,hazard_ask65_else_score60_ask80,13,20,19,0.95,15,4,0.7894736842105263,108.0,0.07758620689655173,69.0,True,True
current,hazard_ask65_else_score60_ask80,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard_ask65_else_logit55_edge15_ask80,0,20,20,1.0,13,7,0.65,-47.0,-0.034892353377876766,64.5,False,True
current,hazard_ask65_else_logit55_edge15_ask80,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard_ask65_else_logit55_edge15_ask80,2,20,19,0.95,14,5,0.7368421052631579,82.0,0.0622154779969651,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask80,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask80,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard_ask65_else_logit55_edge15_ask80,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard_ask65_else_logit55_edge15_ask80,6,20,20,1.0,15,5,0.75,61.0,0.0423905489923558,68.5,True,True
current,hazard_ask65_else_logit55_edge15_ask80,7,20,17,0.85,14,3,0.8235294117647058,216.0,0.18243243243243243,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask80,8,20,19,0.95,15,4,0.7894736842105263,186.0,0.1415525114155251,67.0,True,True
current,hazard_ask65_else_logit55_edge15_ask80,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard_ask65_else_logit55_edge15_ask80,10,20,20,1.0,14,6,0.7,-15.0,-0.01060070671378092,69.0,False,True
current,hazard_ask65_else_logit55_edge15_ask80,11,20,19,0.95,12,7,0.631578947368421,-143.0,-0.10647803425167536,68.0,False,True
current,hazard_ask65_else_logit55_edge15_ask80,12,20,20,1.0,16,4,0.8,197.0,0.14041339985744833,69.0,True,True
current,hazard_ask65_else_logit55_edge15_ask80,13,20,19,0.95,15,4,0.7894736842105263,132.0,0.09649122807017543,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask80,14,15,15,1.0,9,6,0.6,-167.0,-0.15651358950328023,69.0,False,True
current,hazard_ask65_else_score60_ask95,0,20,20,1.0,13,7,0.65,-63.0,-0.046221570066030816,64.5,False,True
current,hazard_ask65_else_score60_ask95,1,20,20,1.0,16,4,0.8,213.0,0.15356885364095169,66.0,True,True
current,hazard_ask65_else_score60_ask95,2,20,19,0.95,14,5,0.7368421052631579,77.0,0.0582010582010582,67.0,True,True
current,hazard_ask65_else_score60_ask95,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard_ask65_else_score60_ask95,4,20,20,1.0,13,7,0.65,-57.0,-0.04200442151805453,65.5,False,True
current,hazard_ask65_else_score60_ask95,5,20,20,1.0,15,5,0.75,102.0,0.07296137339055794,66.5,True,True
current,hazard_ask65_else_score60_ask95,6,20,20,1.0,15,5,0.75,38.0,0.025991792065663474,69.5,True,True
current,hazard_ask65_else_score60_ask95,7,20,19,0.95,15,4,0.7894736842105263,120.0,0.08695652173913043,69.0,True,True
current,hazard_ask65_else_score60_ask95,8,20,20,1.0,16,4,0.8,185.0,0.13074204946996468,69.5,True,True
current,hazard_ask65_else_score60_ask95,9,20,19,0.95,18,1,0.9473684210526315,458.0,0.3412816691505216,68.0,True,True
current,hazard_ask65_else_score60_ask95,10,20,20,1.0,14,6,0.7,-30.0,-0.02097902097902098,69.0,False,True
current,hazard_ask65_else_score60_ask95,11,20,20,1.0,13,7,0.65,-145.0,-0.10034602076124567,69.0,False,True
current,hazard_ask65_else_score60_ask95,12,20,20,1.0,16,4,0.8,178.0,0.12517580872011252,70.5,True,True
current,hazard_ask65_else_score60_ask95,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard_ask65_else_score60_ask95,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard_ask65_else_logit55_edge15_ask95,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard_ask65_else_logit55_edge15_ask95,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard_ask65_else_logit55_edge15_ask95,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask95,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask95,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard_ask65_else_logit55_edge15_ask95,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard_ask65_else_logit55_edge15_ask95,6,20,20,1.0,15,5,0.75,53.0,0.036627505183137524,68.5,True,True
current,hazard_ask65_else_logit55_edge15_ask95,7,20,19,0.95,16,3,0.8421052631578947,238.0,0.17474302496328928,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask95,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard_ask65_else_logit55_edge15_ask95,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard_ask65_else_logit55_edge15_ask95,10,20,20,1.0,14,6,0.7,-20.0,-0.014084507042253521,69.0,False,True
current,hazard_ask65_else_logit55_edge15_ask95,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard_ask65_else_logit55_edge15_ask95,12,20,20,1.0,16,4,0.8,196.0,0.1396011396011396,69.0,True,True
current,hazard_ask65_else_logit55_edge15_ask95,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard_ask65_else_logit55_edge15_ask95,14,15,15,1.0,9,6,0.6,-167.0,-0.15651358950328023,69.0,False,True
current,hazard_ask70_else_score60_ask70,0,20,19,0.95,13,6,0.6842105263157895,55.0,0.04417670682730924,63.0,True,True
current,hazard_ask70_else_score60_ask70,1,20,18,0.9,14,4,0.7777777777777778,189.0,0.15606936416184972,65.0,True,True
