dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,hazard_ask65_else_score60_ask70,selector,fallback_score60_ask70,189,140,49,0.7407407407407407,1033.0,5.465608465608466,68.0
current,hazard_ask65_else_score60_ask70,selector,hazard_primary_ask65,64,44,20,0.6875,364.0,5.6875,63.0
current,hazard_ask65_else_score60_ask70,split,holdout,53,37,16,0.6981132075471698,79.0,1.490566037735849,68.0
current,hazard_ask65_else_score60_ask70,split,train,151,110,41,0.7284768211920529,915.0,6.059602649006623,65.0
current,hazard_ask65_else_score60_ask70,split,validation,49,37,12,0.7551020408163265,403.0,8.224489795918368,66.0
current,hazard_ask65_else_score60_ask70,side,no,126,92,34,0.7301587301587301,761.0,6.0396825396825395,66.0
current,hazard_ask65_else_score60_ask70,side,yes,127,92,35,0.7244094488188977,636.0,5.0078740157480315,66.0
current,hazard_ask65_else_score60_ask70,hour,0,9,6,3,0.6666666666666666,-15.0,-1.6666666666666667,68.0
current,hazard_ask65_else_score60_ask70,hour,1,6,5,1,0.8333333333333334,86.0,14.333333333333334,68.0
current,hazard_ask65_else_score60_ask70,hour,10,10,9,1,0.9,242.0,24.2,64.0
current,hazard_ask65_else_score60_ask70,hour,11,8,5,3,0.625,-44.0,-5.5,68.0
current,hazard_ask65_else_score60_ask70,hour,12,10,9,1,0.9,218.0,21.8,68.0
current,hazard_ask65_else_score60_ask70,hour,13,9,4,5,0.4444444444444444,-181.0,-20.11111111111111,63.0
current,hazard_ask65_else_score60_ask70,hour,14,10,7,3,0.7,15.0,1.5,67.0
current,hazard_ask65_else_score60_ask70,hour,15,9,6,3,0.6666666666666666,-2.0,-0.2222222222222222,65.0
current,hazard_ask65_else_score60_ask70,hour,16,8,5,3,0.625,-50.0,-6.25,68.0
current,hazard_ask65_else_score60_ask70,hour,17,11,8,3,0.7272727272727273,68.0,6.181818181818182,65.0
