dataset,candidate,label,hazard_ask_max,fallback,fallback_ask_max,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,hazard_ask65_else_score60_ask70,hazard_ask<=65_else_score60_ask70_ask<=70,65.0,score60_ask70,70.0,295,253,184,69,0.7272727272727273,0.8576271186440678,0.6693011721124994,66.0,65.20553359683794,68.0,0,0,765.62,506.0,16497.0,17003.0,1903.0,1397.0,0.11535430684366854,0.0821619714168088,5.521739130434782,4.735593220338983,0.6720553359683793,0.055217391304347996,177,151,110,41,0.7284768211920529,0.8531073446327684,0.6525283570060955,65.0,64.78807947019868,68.0,0,0,765.329,302.0,9783.0,10085.0,1217.0,915.0,0.12439946846570582,0.09072880515617253,6.059602649006623,5.169491525423729,0.6678807947019867,0.060596026490066235,59,49,37,12,0.7551020408163265,0.8305084745762712,0.6191368101239605,66.0,65.28571428571429,68.0,0,0,768.782,98.0,3199.0,3297.0,501.0,403.0,0.15661144107533603,0.12223233242341523,8.224489795918368,6.830508474576271,0.6728571428571428,0.08224489795918366,59,53,37,16,0.6981132075471698,0.8983050847457628,0.5646316733114987,68.0,66.32075471698113,69.0,0,0,729.328,106.0,3515.0,3621.0,185.0,79.0,0.05263157894736842,0.021817177575255454,1.490566037735849,1.3389830508474576,0.6832075471698114,0.01490566037735841,True,True,True
current,hazard_ask65_else_logit55_edge15_ask70,hazard_ask<=65_else_logit55_edge15_ask70_ask<=70,65.0,logit55_edge15_ask70,70.0,295,258,185,73,0.7170542635658915,0.8745762711864407,0.6592192689066185,66.0,65.25968992248062,68.0,0,0,767.4705,516.0,16837.0,17353.0,1663.0,1147.0,0.09877056482746333,0.06609808102345416,4.445736434108527,3.888135593220339,0.6725968992248063,0.04445736434108527,177,154,109,45,0.7077922077922078,0.8700564971751412,0.6316076918242138,66.0,64.84415584415585,68.0,0,0,766.789,308.0,9986.0,10294.0,914.0,606.0,0.09152813939515321,0.05886924421993394,3.935064935064935,3.4237288135593222,0.6684415584415584,0.03935064935064936,59,51,39,12,0.7647058823529411,0.864406779661017,0.632377748398347,67.0,65.47058823529412,68.0,0,0,767.621,102.0,3339.0,3441.0,561.0,459.0,0.16801437556154536,0.13339145597210114,9.0,7.779661016949152,0.6747058823529412,0.08999999999999997,59,53,37,16,0.6981132075471698,0.8983050847457628,0.5646316733114987,67.0,66.26415094339623,69.0,0,0,771.607,106.0,3512.0,3618.0,188.0,82.0,0.05353075170842825,0.022664455500276397,1.5471698113207548,1.3898305084745763,0.6826415094339623,0.015471698113207477,True,True,True
current,hazard_ask65_else_score60_ask75,hazard_ask<=65_else_score60_ask75_ask<=75,65.0,score60_ask75,75.0,295,274,201,73,0.7335766423357665,0.9288135593220339,0.6782643179395047,68.0,67.10218978102189,71.0,0,0,768.715,548.0,18386.0,18934.0,1714.0,1166.0,0.09322310453606004,0.06158233865004754,4.255474452554744,3.952542372881356,0.691021897810219,0.04255474452554742,177,164,120,44,0.7317073170731707,0.9265536723163842,0.6591643121695944,67.0,66.6829268292683,70.0,0,0,768.7239999999999,328.0,10936.0,11264.0,1064.0,736.0,0.09729334308705194,0.06534090909090909,4.487804878048781,4.15819209039548,0.686829268292683,0.044878048780487734,59,53,40,13,0.7547169811320755,0.8983050847457628,0.6243344231264808,68.0,67.22641509433963,71.0,0,0,768.782,106.0,3563.0,3669.0,437.0,331.0,0.12264945270839181,0.09021531752521122,6.245283018867925,5.610169491525424,0.692264150943396,0.06245283018867953,59,57,41,16,0.7192982456140351,0.9661016949152542,0.5916980132395605,69.0,68.19298245614036,71.0,0,0,766.535,114.0,3887.0,4001.0,213.0,99.0,0.05479804476459995,0.02474381404648838,1.736842105263158,1.6779661016949152,0.7019298245614035,0.01736842105263159,True,True,True
current,hazard_ask65_else_logit55_edge15_ask75,hazard_ask<=65_else_logit55_edge15_ask75_ask<=75,65.0,logit55_edge15_ask75,75.0,295,275,199,76,0.7236363636363636,0.9322033898305084,0.6679758832067071,67.0,66.70545454545454,70.0,0,0,771.492,550.0,18344.0,18894.0,1556.0,1006.0,0.08482337549062363,0.053244416216788396,3.658181818181818,3.4101694915254237,0.6870545454545455,0.03658181818181816,177,165,118,47,0.7151515151515152,0.9322033898305084,0.6420014429554517,67.0,66.26666666666667,70.0,0,0,771.09,330.0,10934.0,11264.0,866.0,536.0,0.07920248765319188,0.04758522727272727,3.2484848484848485,3.0282485875706215,0.6826666666666668,0.03248484848484845,59,53,40,13,0.7547169811320755,0.8983050847457628,0.6243344231264808,67.0,66.79245283018868,69.0,0,0,768.782,106.0,3540.0,3646.0,460.0,354.0,0.12994350282485875,0.09709270433351619,6.679245283018868,6.0,0.6879245283018867,0.06679245283018886,59,57,41,16,0.7192982456140351,0.9661016949152542,0.5916980132395605,68.0,67.89473684210526,71.0,0,0,773.162,114.0,3870.0,3984.0,230.0,116.0,0.059431524547803614,0.029116465863453816,2.0350877192982457,1.9661016949152543,0.6989473684210525,0.020350877192982564,True,True,True
current,hazard_ask65_else_score60_ask80,hazard_ask<=65_else_score60_ask80_ask<=80,65.0,score60_ask80,80.0,295,286,214,72,0.7482517482517482,0.9694915254237289,0.6948872508074208,68.0,68.41608391608392,73.0,0,0,769.929,572.0,19567.0,20139.0,1833.0,1261.0,0.09367813154801452,0.06261482695267888,4.409090909090909,4.274576271186441,0.7041608391608392,0.04409090909090907,177,171,127,44,0.7426900584795322,0.9661016949152542,0.6723414122547268,68.0,67.86549707602339,72.0,0,0,769.427,342.0,11605.0,11947.0,1095.0,753.0,0.0943558810857389,0.06302837532434921,4.4035087719298245,4.254237288135593,0.6986549707602339,0.044035087719298316,59,57,45,12,0.7894736842105263,0.9661016949152542,0.6671387891680949,68.0,68.56140350877193,73.0,0,0,771.492,114.0,3908.0,4022.0,592.0,478.0,0.15148413510747186,0.11884634510193934,8.385964912280702,8.101694915254237,0.7056140350877194,0.08385964912280697,59,58,42,16,0.7241379310344828,0.9830508474576272,0.5979534481052067,69.0,69.89655172413794,73.75,0,0,770.869,116.0,4054.0,4170.0,146.0,30.0,0.036013813517513565,0.007194244604316547,0.5172413793103449,0.5084745762711864,0.7189655172413795,0.005172413793103292,True,True,True
current,hazard_ask65_else_logit55_edge15_ask80,hazard_ask<=65_else_logit55_edge15_ask80_ask<=80,65.0,logit55_edge15_ask80,80.0,295,287,212,75,0.7386759581881533,0.9728813559322034,0.6849315627548482,68.0,67.90592334494774,71.0,0,0,772.011,574.0,19489.0,20063.0,1711.0,1137.0,0.087793114064344,0.056671484822808156,3.961672473867596,3.854237288135593,0.6990592334494773,0.03961672473867606,177,172,125,47,0.7267441860465116,0.9717514124293786,0.6557384467913617,67.5,67.45348837209302,71.0,0,0,771.6614999999999,344.0,11602.0,11946.0,898.0,554.0,0.07740044819858645,0.04637535576762096,3.2209302325581395,3.1299435028248586,0.6945348837209303,0.03220930232558128,59,57,45,12,0.7894736842105263,0.9661016949152542,0.6671387891680949,68.0,68.08771929824562,71.0,0,0,771.492,114.0,3881.0,3995.0,619.0,505.0,0.15949497552177275,0.12640801001251564,8.859649122807017,8.559322033898304,0.7008771929824561,0.08859649122807023,59,58,42,16,0.7241379310344828,0.9830508474576272,0.5979534481052067,69.0,69.06896551724138,71.75,0,0,773.6915,116.0,4006.0,4122.0,194.0,78.0,0.048427358961557664,0.018922852983988356,1.3448275862068966,1.3220338983050848,0.7106896551724138,0.013448275862068981,True,True,True
current,hazard_ask65_else_score60_ask95,hazard_ask<=65_else_score60_ask95_ask<=95,65.0,score60_ask95,95.0,295,292,220,72,0.7534246575342466,0.9898305084745763,0.700908955633246,68.0,69.03767123287672,73.0,0,0,770.1125,573.0,20159.0,20732.0,1841.0,1268.0,0.09132397440349224,0.06116148948485433,4.342465753424658,4.2983050847457624,0.71,0.043424657534246625,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,68.0,68.46285714285715,72.0,0,0,769.427,344.0,11981.0,12325.0,1119.0,775.0,0.09339787997662967,0.06288032454361055,4.428571428571429,4.378531073446328,0.7042857142857143,0.04428571428571426,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.20689655172414,73.75,0,0,771.7515,113.0,4014.0,4127.0,586.0,473.0,0.14598903836571997,0.11461109764962442,8.155172413793103,8.016949152542374,0.711551724137931,0.0815517241379311,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,70.57627118644068,75.0,0,0,773.162,116.0,4164.0,4280.0,136.0,20.0,0.03266090297790586,0.004672897196261682,0.3389830508474576,0.3389830508474576,0.7254237288135594,0.003389830508474412,True,True,True
current,hazard_ask65_else_logit55_edge15_ask95,hazard_ask<=65_else_logit55_edge15_ask95_ask<=95,65.0,logit55_edge15_ask95,95.0,295,292,217,75,0.7431506849315068,0.9898305084745763,0.6901086563374786,68.0,68.46232876712328,72.0,0,0,772.2335,573.0,19991.0,20564.0,1709.0,1136.0,0.08548846981141514,0.055242170783894186,3.8904109589041096,3.8508474576271188,0.7042465753424657,0.038904109589041114,177,175,128,47,0.7314285714285714,0.9887005649717514,0.6613100443245806,68.0,67.94285714285714,71.5,0,0,771.257,345.0,11890.0,12235.0,910.0,565.0,0.07653490328006729,0.04617899468737229,3.2285714285714286,3.1920903954802258,0.6991428571428572,0.03228571428571425,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,68.62068965517241,71.0,0,0,771.7515,113.0,3980.0,4093.0,620.0,507.0,0.15577889447236182,0.1238700219887613,8.741379310344827,8.59322033898305,0.7056896551724138,0.08741379310344832,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,69.84745762711864,72.0,0,0,774.221,115.0,4121.0,4236.0,179.0,64.0,0.04343605920892987,0.015108593012275733,1.0847457627118644,1.0847457627118644,0.7179661016949153,0.010847457627118584,True,True,True
current,hazard_ask70_else_score60_ask70,hazard_ask<=70_else_score60_ask70_ask<=70,70.0,score60_ask70,70.0,295,253,184,69,0.7272727272727273,0.8576271186440678,0.6693011721124994,66.0,65.20553359683794,68.0,0,0,765.62,506.0,16497.0,17003.0,1903.0,1397.0,0.11535430684366854,0.0821619714168088,5.521739130434782,4.735593220338983,0.6720553359683793,0.055217391304347996,177,151,110,41,0.7284768211920529,0.8531073446327684,0.6525283570060955,65.0,64.78807947019868,68.0,0,0,765.329,302.0,9783.0,10085.0,1217.0,915.0,0.12439946846570582,0.09072880515617253,6.059602649006623,5.169491525423729,0.6678807947019867,0.060596026490066235,59,49,37,12,0.7551020408163265,0.8305084745762712,0.6191368101239605,66.0,65.28571428571429,68.0,0,0,768.782,98.0,3199.0,3297.0,501.0,403.0,0.15661144107533603,0.12223233242341523,8.224489795918368,6.830508474576271,0.6728571428571428,0.08224489795918366,59,53,37,16,0.6981132075471698,0.8983050847457628,0.5646316733114987,68.0,66.32075471698113,69.0,0,0,729.328,106.0,3515.0,3621.0,185.0,79.0,0.05263157894736842,0.021817177575255454,1.490566037735849,1.3389830508474576,0.6832075471698114,0.01490566037735841,True,True,True
current,hazard_ask70_else_logit55_edge15_ask70,hazard_ask<=70_else_logit55_edge15_ask70_ask<=70,70.0,logit55_edge15_ask70,70.0,295,258,185,73,0.7170542635658915,0.8745762711864407,0.6592192689066185,66.0,65.25968992248062,68.0,0,0,767.4705,516.0,16837.0,17353.0,1663.0,1147.0,0.09877056482746333,0.06609808102345416,4.445736434108527,3.888135593220339,0.6725968992248063,0.04445736434108527,177,154,109,45,0.7077922077922078,0.8700564971751412,0.6316076918242138,66.0,64.84415584415585,68.0,0,0,766.789,308.0,9986.0,10294.0,914.0,606.0,0.09152813939515321,0.05886924421993394,3.935064935064935,3.4237288135593222,0.6684415584415584,0.03935064935064936,59,51,39,12,0.7647058823529411,0.864406779661017,0.632377748398347,67.0,65.47058823529412,68.0,0,0,767.621,102.0,3339.0,3441.0,561.0,459.0,0.16801437556154536,0.13339145597210114,9.0,7.779661016949152,0.6747058823529412,0.08999999999999997,59,53,37,16,0.6981132075471698,0.8983050847457628,0.5646316733114987,67.0,66.26415094339623,69.0,0,0,771.607,106.0,3512.0,3618.0,188.0,82.0,0.05353075170842825,0.022664455500276397,1.5471698113207548,1.3898305084745763,0.6826415094339623,0.015471698113207477,True,True,True
