dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,hazard45_sec60_else_logit_thresh55_edge15,0,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,67.5,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,111.0,0.07991360691144708,67.5,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,51.0,0.03780578206078577,70.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,3,20,20,1.0,18,2,0.9,342.0,0.2345679012345679,72.5,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,4,20,20,1.0,14,6,0.7,-9.0,-0.0063875088715401,68.0,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,5,20,20,1.0,16,4,0.8,187.0,0.13234253361641896,67.5,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,42.0,0.02880658436213992,69.5,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,7,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,70.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,164.0,0.11420612813370473,69.5,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,429.0,0.31291028446389496,71.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-40.0,-0.027777777777777776,69.0,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-158.0,-0.1083676268861454,69.0,False,True
current,hazard45_sec60_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,145.0,0.09965635738831616,71.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,104.0,0.06951871657754011,72.0,True,True
current,hazard45_sec60_else_logit_thresh55_edge15,14,15,15,1.0,10,5,0.6666666666666666,-90.0,-0.08256880733944955,69.0,False,True
current,hazard45_sec60_else_score_min60,0,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,67.5,False,True
current,hazard45_sec60_else_score_min60,1,20,20,1.0,15,5,0.75,95.0,0.06761565836298933,67.5,True,True
current,hazard45_sec60_else_score_min60,2,20,19,0.95,14,5,0.7368421052631579,51.0,0.03780578206078577,70.0,True,True
