dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,hazard45_sec60_else_logit_thresh55_edge15,selector,fallback_logit_thresh55_edge15,12,11,1,0.9166666666666666,197.0,16.416666666666668,67.5
current,hazard45_sec60_else_logit_thresh55_edge15,selector,hazard_primary_0.45,280,210,70,0.75,916.0,3.2714285714285714,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,split,holdout,59,44,15,0.7457627118644068,75.0,1.271186440677966,70.0
current,hazard45_sec60_else_logit_thresh55_edge15,split,train,175,131,44,0.7485714285714286,630.0,3.6,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,split,validation,58,46,12,0.7931034482758621,408.0,7.0344827586206895,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,side,no,145,110,35,0.7586206896551724,628.0,4.3310344827586205,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,side,yes,147,111,36,0.7551020408163265,485.0,3.2993197278911564,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,0,9,6,3,0.6666666666666666,-55.0,-6.111111111111111,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,1,8,7,1,0.875,112.0,14.0,70.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,10,12,11,1,0.9166666666666666,255.0,21.25,68.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,11,12,9,3,0.75,30.0,2.5,70.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,12,12,11,1,0.9166666666666666,227.0,18.916666666666668,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,13,12,7,5,0.5833333333333334,-190.0,-15.833333333333334,72.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,14,11,7,4,0.6363636363636364,-103.0,-9.363636363636363,73.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,15,11,8,3,0.7272727272727273,21.0,1.9090909090909092,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,16,8,5,3,0.625,-67.0,-8.375,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,17,12,9,3,0.75,52.0,4.333333333333333,69.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,18,12,9,3,0.75,34.0,2.8333333333333335,72.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,19,12,11,1,0.9166666666666666,230.0,19.166666666666668,70.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,2,14,9,5,0.6428571428571429,-120.0,-8.571428571428571,71.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,20,12,10,2,0.8333333333333334,148.0,12.333333333333334,71.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,21,12,10,2,0.8333333333333334,86.0,7.166666666666667,73.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,22,12,10,2,0.8333333333333334,143.0,11.916666666666666,69.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,23,12,11,1,0.9166666666666666,250.0,20.833333333333332,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,3,16,12,4,0.75,32.0,2.0,70.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,4,16,12,4,0.75,63.0,3.9375,69.5
current,hazard45_sec60_else_logit_thresh55_edge15,hour,5,16,12,4,0.75,93.0,5.8125,68.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,6,15,14,1,0.9333333333333333,334.0,22.266666666666666,67.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,7,12,9,3,0.75,58.0,4.833333333333333,67.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,8,12,5,7,0.4166666666666667,-353.0,-29.416666666666668,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,hour,9,12,7,5,0.5833333333333334,-167.0,-13.916666666666666,69.0
current,hazard45_sec60_else_logit_thresh55_edge15,ask,ask<=60,17,10,7,0.5882352941176471,-5.0,-0.29411764705882354,57.0
current,hazard45_sec60_else_logit_thresh55_edge15,ask,ask<=70,148,109,39,0.7364864864864865,730.0,4.9324324324324325,67.0
current,hazard45_sec60_else_logit_thresh55_edge15,ask,ask<=80,122,97,25,0.7950819672131147,329.0,2.69672131147541,74.0
current,hazard45_sec60_else_logit_thresh55_edge15,ask,ask<=95,5,5,0,1.0,59.0,11.8,86.0
current,hazard45_sec60_else_logit_thresh55_edge15,time,sec<=300,6,5,1,0.8333333333333334,50.0,8.333333333333334,74.0
current,hazard45_sec60_else_logit_thresh55_edge15,time,sec<=600,57,41,16,0.7192982456140351,-52.0,-0.9122807017543859,71.0
current,hazard45_sec60_else_logit_thresh55_edge15,time,sec<=900,229,175,54,0.7641921397379913,1115.0,4.868995633187773,69.0
current,hazard45_sec60_else_score_min60,selector,fallback_score_min60,12,11,1,0.9166666666666666,188.0,15.666666666666666,72.0
current,hazard45_sec60_else_score_min60,selector,hazard_primary_0.45,280,210,70,0.75,916.0,3.2714285714285714,69.0
current,hazard45_sec60_else_score_min60,split,holdout,59,44,15,0.7457627118644068,78.0,1.3220338983050848,70.0
current,hazard45_sec60_else_score_min60,split,train,175,131,44,0.7485714285714286,618.0,3.5314285714285716,69.0
current,hazard45_sec60_else_score_min60,split,validation,58,46,12,0.7931034482758621,408.0,7.0344827586206895,69.0
current,hazard45_sec60_else_score_min60,side,no,145,110,35,0.7586206896551724,627.0,4.324137931034483,69.0
current,hazard45_sec60_else_score_min60,side,yes,147,111,36,0.7551020408163265,477.0,3.2448979591836733,69.0
current,hazard45_sec60_else_score_min60,hour,0,9,6,3,0.6666666666666666,-55.0,-6.111111111111111,69.0
current,hazard45_sec60_else_score_min60,hour,1,8,7,1,0.875,112.0,14.0,70.0
current,hazard45_sec60_else_score_min60,hour,10,12,11,1,0.9166666666666666,240.0,20.0,69.0
current,hazard45_sec60_else_score_min60,hour,11,12,9,3,0.75,30.0,2.5,70.5
current,hazard45_sec60_else_score_min60,hour,12,12,11,1,0.9166666666666666,231.0,19.25,69.0
current,hazard45_sec60_else_score_min60,hour,13,12,7,5,0.5833333333333334,-190.0,-15.833333333333334,72.5
current,hazard45_sec60_else_score_min60,hour,14,11,7,4,0.6363636363636364,-103.0,-9.363636363636363,73.0
current,hazard45_sec60_else_score_min60,hour,15,11,8,3,0.7272727272727273,21.0,1.9090909090909092,68.0
current,hazard45_sec60_else_score_min60,hour,16,8,5,3,0.625,-67.0,-8.375,68.0
current,hazard45_sec60_else_score_min60,hour,17,12,9,3,0.75,52.0,4.333333333333333,69.5
current,hazard45_sec60_else_score_min60,hour,18,12,9,3,0.75,34.0,2.8333333333333335,72.5
current,hazard45_sec60_else_score_min60,hour,19,12,11,1,0.9166666666666666,233.0,19.416666666666668,70.0
current,hazard45_sec60_else_score_min60,hour,2,14,9,5,0.6428571428571429,-120.0,-8.571428571428571,71.0
current,hazard45_sec60_else_score_min60,hour,20,12,10,2,0.8333333333333334,148.0,12.333333333333334,71.5
current,hazard45_sec60_else_score_min60,hour,21,12,10,2,0.8333333333333334,86.0,7.166666666666667,73.0
current,hazard45_sec60_else_score_min60,hour,22,12,10,2,0.8333333333333334,143.0,11.916666666666666,69.5
current,hazard45_sec60_else_score_min60,hour,23,12,11,1,0.9166666666666666,250.0,20.833333333333332,68.0
current,hazard45_sec60_else_score_min60,hour,3,16,12,4,0.75,32.0,2.0,70.5
