dataset,candidate,label,hazard_min_score,fallback,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,hazard45_sec60_else_logit_thresh55_edge15,hazard>=0.45; sec>=60_else_hazard_primary_else_logit_thresh55_edge15: blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=60,0.45,logit_thresh55_edge15,295,292,221,71,0.7568493150684932,0.9898305084745763,0.7045171643411514,69.0,69.88698630136986,73.25,0,0,766.375,580.0,20407.0,20987.0,1693.0,1113.0,0.08296172881854266,0.05303282984704817,3.8116438356164384,3.772881355932203,0.7187328767123288,0.038116438356164406,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,69.0,69.26857142857143,73.0,0,0,766.153,348.0,12122.0,12470.0,978.0,630.0,0.08067975581587197,0.05052125100240577,3.6,3.559322033898305,0.7125714285714285,0.03600000000000003,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,69.0,70.29310344827586,74.0,0,0,767.951,115.0,4077.0,4192.0,523.0,408.0,0.12828059847927398,0.09732824427480916,7.0344827586206895,6.915254237288136,0.7227586206896551,0.07034482758620697,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,70.0,71.32203389830508,75.0,0,0,766.037,117.0,4208.0,4325.0,192.0,75.0,0.045627376425855515,0.017341040462427744,1.271186440677966,1.271186440677966,0.7330508474576272,0.012711864406779627,True,True,True
current,hazard45_sec60_else_score_min60,hazard>=0.45; sec>=60_else_hazard_primary_else_score_min60: score_min_book_rv15>=0.6; ask<=95; sec>=60,0.45,score_min60,295,292,221,71,0.7568493150684932,0.9898305084745763,0.7045171643411514,69.0,69.92123287671232,74.0,0,0,766.2465,579.0,20417.0,20996.0,1683.0,1104.0,0.08243130724396336,0.05258144408458754,3.780821917808219,3.7423728813559323,0.719041095890411,0.03780821917808219,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,69.0,69.34285714285714,73.0,0,0,766.153,347.0,12135.0,12482.0,965.0,618.0,0.07952204367531933,0.04951129626662394,3.5314285714285716,3.4915254237288136,0.7132571428571428,0.03531428571428574,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,69.0,70.29310344827586,74.0,0,0,767.951,115.0,4077.0,4192.0,523.0,408.0,0.12828059847927398,0.09732824427480916,7.0344827586206895,6.915254237288136,0.7227586206896551,0.07034482758620697,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,70.0,71.27118644067797,75.0,0,0,766.037,117.0,4205.0,4322.0,195.0,78.0,0.04637336504161712,0.018047200370198982,1.3220338983050848,1.3220338983050848,0.7325423728813559,0.013220338983050861,True,True,True
current,hazard45_sec600_else_logit_thresh55_edge15,hazard>=0.45; sec>=600_else_hazard_primary_else_logit_thresh55_edge15: blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=600,0.45,logit_thresh55_edge15,295,246,180,66,0.7317073170731707,0.8338983050847457,0.6730892539381174,69.0,69.21951219512195,73.0,0,0,773.5775000000001,489.0,17028.0,17517.0,972.0,483.0,0.05708245243128964,0.027573214591539646,1.9634146341463414,1.6372881355932203,0.7120731707317074,0.01963414634146332,177,146,107,39,0.7328767123287672,0.8248587570621468,0.6558113171496185,68.0,68.34931506849315,72.0,0,0,773.02,291.0,9979.0,10270.0,721.0,430.0,0.07225172863012326,0.04186952288218111,2.9452054794520546,2.4293785310734464,0.7034246575342465,0.02945205479452062,59,47,35,12,0.7446808510638298,0.7966101694915254,0.6049182446958253,69.0,69.93617021276596,73.5,0,0,773.575,93.0,3287.0,3380.0,213.0,120.0,0.0648007301490721,0.03550295857988166,2.5531914893617023,2.0338983050847457,0.7191489361702127,0.025531914893617058,59,53,38,15,0.7169811320754716,0.8983050847457628,0.5842971358358297,70.0,70.98113207547169,74.0,0,0,774.359,105.0,3762.0,3867.0,38.0,-67.0,0.010101010101010102,-0.017326092578226013,-1.2641509433962264,-1.1355932203389831,0.729622641509434,-0.012641509433962361,False,False,False
current,hazard45_sec600_else_score_min60,hazard>=0.45; sec>=600_else_hazard_primary_else_score_min60: score_min_book_rv15>=0.6; ask<=95; sec>=600,0.45,score_min60,295,241,181,60,0.7510373443983402,0.8169491525423729,0.6927925600105828,69.0,69.37759336099585,73.0,0,0,773.58,478.0,16720.0,17198.0,1380.0,902.0,0.08253588516746412,0.05244795906500756,3.7427385892116183,3.057627118644068,0.713609958506224,0.03742738589211625,177,141,107,34,0.7588652482269503,0.7966101694915254,0.6819973043374526,68.0,68.52482269503547,72.0,0,0,773.58,280.0,9662.0,9942.0,1038.0,758.0,0.1074311736700476,0.07624220478776907,5.375886524822695,4.2824858757062145,0.7051063829787233,0.05375886524822704,59,47,36,11,0.7659574468085106,0.7966101694915254,0.627757424498444,69.0,69.85106382978724,73.5,0,0,773.575,93.0,3283.0,3376.0,317.0,224.0,0.09655802619555284,0.06635071090047394,4.76595744680851,3.7966101694915255,0.7182978723404255,0.04765957446808511,59,53,38,15,0.7169811320754716,0.8983050847457628,0.5842971358358297,71.0,71.22641509433963,75.0,0,0,774.221,105.0,3775.0,3880.0,25.0,-80.0,0.006622516556291391,-0.020618556701030927,-1.509433962264151,-1.3559322033898304,0.7320754716981133,-0.015094339622641617,False,False,False
current,hazard50_sec60_else_logit_thresh55_edge15,hazard>=0.5; sec>=60_else_hazard_primary_else_logit_thresh55_edge15: blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=60,0.5,logit_thresh55_edge15,295,292,229,63,0.7842465753424658,0.9898305084745763,0.7335374772109675,72.0,72.17465753424658,77.0,0,0,711.721,580.0,21075.0,21655.0,1825.0,1245.0,0.08659549228944247,0.05749249595936273,4.263698630136986,4.220338983050848,0.741609589041096,0.042636986301369806,177,175,138,37,0.7885714285714286,0.9887005649717514,0.7222094404453513,72.0,71.77142857142857,76.0,0,0,706.858,348.0,12560.0,12908.0,1240.0,892.0,0.09872611464968153,0.06910443136039665,5.097142857142857,5.03954802259887,0.7376,0.050971428571428556,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,73.0,72.86206896551724,76.75,0,0,715.6925,115.0,4226.0,4341.0,374.0,259.0,0.08849976336961665,0.059663671964985024,4.4655172413793105,4.389830508474576,0.7484482758620689,0.04465517241379324,59,59,45,14,0.7627118644067796,1.0,0.6402510929359725,73.0,72.69491525423729,77.0,0,0,717.776,117.0,4289.0,4406.0,211.0,94.0,0.04919561669386804,0.021334543803903767,1.5932203389830508,1.5932203389830508,0.7467796610169491,0.01593220338983048,True,True,True
current,hazard50_sec60_else_score_min60,hazard>=0.5; sec>=60_else_hazard_primary_else_score_min60: score_min_book_rv15>=0.6; ask<=95; sec>=60,0.5,score_min60,295,292,228,64,0.7808219178082192,0.9898305084745763,0.7298942795746145,73.0,72.22945205479452,77.0,0,0,711.721,579.0,21091.0,21670.0,1709.0,1130.0,0.08102982314731402,0.05214582371942778,3.8698630136986303,3.830508474576271,0.7421232876712329,0.03869863013698627,177,175,137,38,0.7828571428571428,0.9887005649717514,0.716050202167958,72.0,71.85142857142857,76.5,0,0,706.858,347.0,12574.0,12921.0,1126.0,779.0,0.08954986480038174,0.06028945128086061,4.451428571428571,4.401129943502825,0.7383428571428572,0.04451428571428562,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,73.0,72.86206896551724,76.75,0,0,715.6925,115.0,4226.0,4341.0,374.0,259.0,0.08849976336961665,0.059663671964985024,4.4655172413793105,4.389830508474576,0.7484482758620689,0.04465517241379324,59,59,45,14,0.7627118644067796,1.0,0.6402510929359725,73.0,72.72881355932203,77.0,0,0,717.776,117.0,4291.0,4408.0,209.0,92.0,0.04870659519925425,0.020871143375680582,1.5593220338983051,1.5593220338983051,0.7471186440677966,0.015593220338983027,True,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,hazard>=0.5; sec>=600_else_hazard_primary_else_logit_thresh55_edge15: blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=600,0.5,logit_thresh55_edge15,295,246,183,63,0.7439024390243902,0.8338983050847457,0.6859001896719311,70.0,70.57723577235772,75.0,0,0,768.285,489.0,17362.0,17851.0,938.0,449.0,0.054026033867066,0.025152652512464287,1.8252032520325203,1.5220338983050847,0.725650406504065,0.018252032520325256,177,146,110,36,0.7534246575342466,0.8248587570621468,0.6776101544103553,69.0,69.68493150684931,74.0,0,0,769.1134999999999,291.0,10174.0,10465.0,826.0,535.0,0.08118734027914291,0.05112279025322503,3.664383561643836,3.022598870056497,0.7167808219178082,0.03664383561643836,59,47,35,12,0.7446808510638298,0.7966101694915254,0.6049182446958253,73.0,72.08510638297872,76.0,0,0,765.696,93.0,3388.0,3481.0,112.0,19.0,0.03305785123966942,0.005458201666187877,0.40425531914893614,0.3220338983050847,0.7406382978723405,0.004042553191489273,59,53,38,15,0.7169811320754716,0.8983050847457628,0.5842971358358297,71.0,71.69811320754717,77.0,0,0,766.037,105.0,3800.0,3905.0,0.0,-105.0,0.0,-0.026888604353393086,-1.9811320754716981,-1.7796610169491525,0.7367924528301886,-0.01981132075471692,False,False,False
current,hazard50_sec600_else_score_min60,hazard>=0.5; sec>=600_else_hazard_primary_else_score_min60: score_min_book_rv15>=0.6; ask<=95; sec>=600,0.5,score_min60,295,240,183,57,0.7625,0.8135593220338984,0.7047918603605975,71.0,70.94583333333334,75.0,0,0,767.5405000000001,476.0,17027.0,17503.0,1273.0,797.0,0.07476361073589005,0.0455350511340913,3.3208333333333333,2.701694915254237,0.7292916666666668,0.03320833333333317,177,140,109,31,0.7785714285714286,0.7909604519774012,0.7028717397504771,70.0,70.19285714285714,74.0,0,0,768.5325,278.0,9827.0,10105.0,1073.0,795.0,0.10918896916658187,0.07867392380009897,5.678571428571429,4.491525423728813,0.7217857142857143,0.05678571428571433,59,47,36,11,0.7659574468085106,0.7966101694915254,0.627757424498444,73.0,71.95744680851064,76.0,0,0,766.118,93.0,3382.0,3475.0,218.0,125.0,0.06445890005913661,0.03597122302158273,2.6595744680851063,2.1186440677966103,0.7393617021276596,0.02659574468085102,59,53,38,15,0.7169811320754716,0.8983050847457628,0.5842971358358297,72.0,72.0377358490566,77.0,0,0,756.647,105.0,3818.0,3923.0,-18.0,-123.0,-0.004714510214772132,-0.03135355595207749,-2.3207547169811322,-2.0847457627118646,0.740188679245283,-0.023207547169811327,False,False,False
current,hazard55_sec60_else_logit_thresh55_edge15,hazard>=0.55; sec>=60_else_hazard_primary_else_logit_thresh55_edge15: blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=60,0.55,logit_thresh55_edge15,295,292,231,61,0.791095890410959,0.9898305084745763,0.7408380374220266,74.0,73.54109589041096,78.0,0,0,659.1695,580.0,21474.0,22054.0,1626.0,1046.0,0.07571947471360715,0.04742903781626916,3.5821917808219177,3.545762711864407,0.7552739726027397,0.035821917808219306,177,175,135,40,0.7714285714285715,0.9887005649717514,0.70378065281443,74.0,73.40571428571428,78.0,0,0,650.482,348.0,12846.0,13194.0,654.0,306.0,0.05091078935077067,0.023192360163710776,1.7485714285714287,1.728813559322034,0.7539428571428571,0.017485714285714327,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,74.0,73.67241379310344,77.0,0,0,676.3040000000001,115.0,4273.0,4388.0,327.0,212.0,0.07652703018956236,0.04831358249772106,3.6551724137931036,3.593220338983051,0.7565517241379309,0.036551724137931174,59,59,50,9,0.847457627118644,1.0,0.7348201621622643,75.0,73.8135593220339,78.0,0,0,678.711,117.0,4355.0,4472.0,645.0,528.0,0.14810562571756603,0.11806797853309481,8.94915254237288,8.94915254237288,0.7579661016949152,0.08949152542372885,True,True,True
current,hazard55_sec60_else_score_min60,hazard>=0.55; sec>=60_else_hazard_primary_else_score_min60: score_min_book_rv15>=0.6; ask<=95; sec>=60,0.55,score_min60,295,292,230,62,0.7876712328767124,0.9898305084745763,0.7371853694535371,74.0,73.73972602739725,78.0,0,0,657.8634999999999,579.0,21532.0,22111.0,1468.0,889.0,0.06817759613598365,0.04020623219212157,3.0445205479452055,3.013559322033898,0.7572260273972603,0.030445205479452064,177,175,134,41,0.7657142857142857,0.9887005649717514,0.6976694889938984,74.0,73.66857142857143,78.0,0,0,649.796,347.0,12892.0,13239.0,508.0,161.0,0.03940428172510084,0.012161039353425485,0.92,0.9096045197740112,0.7565142857142858,0.009199999999999875,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,74.0,73.63793103448276,77.0,0,0,694.8530000000001,115.0,4271.0,4386.0,329.0,214.0,0.07703114024818544,0.04879160966712266,3.689655172413793,3.6271186440677967,0.7562068965517241,0.03689655172413797,59,59,50,9,0.847457627118644,1.0,0.7348201621622643,75.0,74.05084745762711,78.0,0,0,666.518,117.0,4369.0,4486.0,631.0,514.0,0.14442664225223162,0.11457868925546144,8.711864406779661,8.711864406779661,0.7603389830508475,0.08711864406779657,True,True,True
