dataset,candidate,label,hazard_min_score,hazard_max_seconds,fallback,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,hazard45_nomax_else_score_min60,hazard>=0.45; sec>=60; hazard_no_max_else_score_min60,0.45,,score_min60,295,292,220,72,0.7534246575342466,0.9898305084745763,0.700908955633246,68.0,69.03767123287672,73.0,0,0,770.1125,573.0,20159.0,20732.0,1841.0,1268.0,0.09132397440349224,0.06116148948485433,4.342465753424658,4.2983050847457624,0.71,0.043424657534246625,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,68.0,68.46285714285715,72.0,0,0,769.427,344.0,11981.0,12325.0,1119.0,775.0,0.09339787997662967,0.06288032454361055,4.428571428571429,4.378531073446328,0.7042857142857143,0.04428571428571426,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.20689655172414,73.75,0,0,771.7515,113.0,4014.0,4127.0,586.0,473.0,0.14598903836571997,0.11461109764962442,8.155172413793103,8.016949152542374,0.711551724137931,0.0815517241379311,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,70.57627118644068,75.0,0,0,773.162,116.0,4164.0,4280.0,136.0,20.0,0.03266090297790586,0.004672897196261682,0.3389830508474576,0.3389830508474576,0.7254237288135594,0.003389830508474412,True,True,True
current,hazard45_nomax_else_logit_thresh55_edge15,hazard>=0.45; sec>=60; hazard_no_max_else_logit_thresh55_edge15,0.45,,logit_thresh55_edge15,295,292,217,75,0.7431506849315068,0.9898305084745763,0.6901086563374786,68.0,68.52397260273973,72.0,0,0,772.2335,573.0,20009.0,20582.0,1691.0,1118.0,0.08451196961367384,0.05431930813332038,3.828767123287671,3.7898305084745765,0.7048630136986301,0.038287671232876686,177,175,128,47,0.7314285714285714,0.9887005649717514,0.6613100443245806,68.0,67.94285714285714,72.0,0,0,771.257,345.0,11890.0,12235.0,910.0,565.0,0.07653490328006729,0.04617899468737229,3.2285714285714286,3.1920903954802258,0.6991428571428572,0.03228571428571425,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,68.67241379310344,71.0,0,0,771.7515,113.0,3983.0,4096.0,617.0,504.0,0.15490836053226212,0.123046875,8.689655172413794,8.542372881355933,0.7062068965517241,0.08689655172413802,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,70.10169491525424,72.5,0,0,774.221,115.0,4136.0,4251.0,164.0,49.0,0.039651837524177946,0.011526699600094096,0.8305084745762712,0.8305084745762712,0.7205084745762713,0.008305084745762525,True,True,True
current,hazard45_max900_else_score_min60,hazard>=0.45; sec>=60; hazard_max900_else_score_min60,0.45,900.0,score_min60,295,292,220,72,0.7534246575342466,0.9898305084745763,0.700908955633246,68.0,69.03767123287672,73.0,0,0,770.1125,573.0,20159.0,20732.0,1841.0,1268.0,0.09132397440349224,0.06116148948485433,4.342465753424658,4.2983050847457624,0.71,0.043424657534246625,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,68.0,68.46285714285715,72.0,0,0,769.427,344.0,11981.0,12325.0,1119.0,775.0,0.09339787997662967,0.06288032454361055,4.428571428571429,4.378531073446328,0.7042857142857143,0.04428571428571426,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.20689655172414,73.75,0,0,771.7515,113.0,4014.0,4127.0,586.0,473.0,0.14598903836571997,0.11461109764962442,8.155172413793103,8.016949152542374,0.711551724137931,0.0815517241379311,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,70.57627118644068,75.0,0,0,773.162,116.0,4164.0,4280.0,136.0,20.0,0.03266090297790586,0.004672897196261682,0.3389830508474576,0.3389830508474576,0.7254237288135594,0.003389830508474412,True,True,True
current,hazard45_max900_else_logit_thresh55_edge15,hazard>=0.45; sec>=60; hazard_max900_else_logit_thresh55_edge15,0.45,900.0,logit_thresh55_edge15,295,292,217,75,0.7431506849315068,0.9898305084745763,0.6901086563374786,68.0,68.52397260273973,72.0,0,0,772.2335,573.0,20009.0,20582.0,1691.0,1118.0,0.08451196961367384,0.05431930813332038,3.828767123287671,3.7898305084745765,0.7048630136986301,0.038287671232876686,177,175,128,47,0.7314285714285714,0.9887005649717514,0.6613100443245806,68.0,67.94285714285714,72.0,0,0,771.257,345.0,11890.0,12235.0,910.0,565.0,0.07653490328006729,0.04617899468737229,3.2285714285714286,3.1920903954802258,0.6991428571428572,0.03228571428571425,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,68.67241379310344,71.0,0,0,771.7515,113.0,3983.0,4096.0,617.0,504.0,0.15490836053226212,0.123046875,8.689655172413794,8.542372881355933,0.7062068965517241,0.08689655172413802,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,70.10169491525424,72.5,0,0,774.221,115.0,4136.0,4251.0,164.0,49.0,0.039651837524177946,0.011526699600094096,0.8305084745762712,0.8305084745762712,0.7205084745762713,0.008305084745762525,True,True,True
current,hazard45_max780_else_score_min60,hazard>=0.45; sec>=60; hazard_max780_else_score_min60,0.45,780.0,score_min60,295,292,221,71,0.7568493150684932,0.9898305084745763,0.7045171643411514,68.0,69.3972602739726,73.0,0,0,768.715,573.0,20264.0,20837.0,1836.0,1263.0,0.09060402684563758,0.06061333205355857,4.325342465753424,4.28135593220339,0.7135958904109589,0.043253424657534234,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,68.0,68.94285714285714,72.5,0,0,767.761,344.0,12065.0,12409.0,1035.0,691.0,0.08578532946539577,0.05568538963655412,3.9485714285714284,3.903954802259887,0.7090857142857143,0.039485714285714235,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.17241379310344,73.75,0,0,771.7515,113.0,4012.0,4125.0,588.0,475.0,0.1465603190428714,0.11515151515151516,8.189655172413794,8.05084745762712,0.7112068965517241,0.08189655172413801,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,69.0,70.96610169491525,75.0,0,0,771.657,116.0,4187.0,4303.0,213.0,97.0,0.05087174588010509,0.022542412270508946,1.6440677966101696,1.6440677966101696,0.7293220338983052,0.016440677966101602,True,True,True
current,hazard45_max780_else_logit_thresh55_edge15,hazard>=0.45; sec>=60; hazard_max780_else_logit_thresh55_edge15,0.45,780.0,logit_thresh55_edge15,295,292,217,75,0.7431506849315068,0.9898305084745763,0.6901086563374786,68.0,68.48287671232876,72.0,0,0,772.2335,573.0,19997.0,20570.0,1703.0,1130.0,0.08516277441616242,0.054934370442391835,3.8698630136986303,3.830508474576271,0.7044520547945206,0.03869863013698627,177,175,128,47,0.7314285714285714,0.9887005649717514,0.6613100443245806,68.0,67.94285714285714,72.0,0,0,771.257,345.0,11890.0,12235.0,910.0,565.0,0.07653490328006729,0.04617899468737229,3.2285714285714286,3.1920903954802258,0.6991428571428572,0.03228571428571425,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,68.67241379310344,71.0,0,0,771.7515,113.0,3983.0,4096.0,617.0,504.0,0.15490836053226212,0.123046875,8.689655172413794,8.542372881355933,0.7062068965517241,0.08689655172413802,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,69.89830508474576,72.0,0,0,774.221,115.0,4124.0,4239.0,176.0,61.0,0.04267701260911736,0.014390186364708658,1.0338983050847457,1.0338983050847457,0.7184745762711866,0.010338983050847239,True,True,True
current,hazard45_max660_else_score_min60,hazard>=0.45; sec>=60; hazard_max660_else_score_min60,0.45,660.0,score_min60,295,292,221,71,0.7568493150684932,0.9898305084745763,0.7045171643411514,68.0,69.47945205479452,73.0,0,0,768.285,573.0,20288.0,20861.0,1812.0,1239.0,0.08931388012618297,0.059393125928766596,4.243150684931507,4.2,0.7144178082191781,0.04243150684931507,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,68.0,69.02285714285715,72.5,0,0,766.964,344.0,12079.0,12423.0,1021.0,677.0,0.08452686480668929,0.054495693471786205,3.8685714285714288,3.824858757062147,0.7098857142857142,0.03868571428571432,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.34482758620689,73.75,0,0,770.818,113.0,4022.0,4135.0,578.0,465.0,0.14370959721531576,0.1124546553808948,8.017241379310345,7.88135593220339,0.7129310344827586,0.08017241379310347,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,69.0,70.96610169491525,75.0,0,0,771.657,116.0,4187.0,4303.0,213.0,97.0,0.05087174588010509,0.022542412270508946,1.6440677966101696,1.6440677966101696,0.7293220338983052,0.016440677966101602,True,True,True
current,hazard45_max660_else_logit_thresh55_edge15,hazard>=0.45; sec>=60; hazard_max660_else_logit_thresh55_edge15,0.45,660.0,logit_thresh55_edge15,295,292,217,75,0.7431506849315068,0.9898305084745763,0.6901086563374786,68.0,68.47260273972603,72.0,0,0,772.2335,573.0,19994.0,20567.0,1706.0,1133.0,0.0853255976793038,0.05508824816453542,3.8801369863013697,3.840677966101695,0.7043493150684932,0.038801369863013635,177,175,128,47,0.7314285714285714,0.9887005649717514,0.6613100443245806,68.0,67.94285714285714,72.0,0,0,771.257,345.0,11890.0,12235.0,910.0,565.0,0.07653490328006729,0.04617899468737229,3.2285714285714286,3.1920903954802258,0.6991428571428572,0.03228571428571425,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,68.67241379310344,71.0,0,0,771.7515,113.0,3983.0,4096.0,617.0,504.0,0.15490836053226212,0.123046875,8.689655172413794,8.542372881355933,0.7062068965517241,0.08689655172413802,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,69.84745762711864,72.0,0,0,774.221,115.0,4121.0,4236.0,179.0,64.0,0.04343605920892987,0.015108593012275733,1.0847457627118644,1.0847457627118644,0.7179661016949153,0.010847457627118584,True,True,True
current,hazard45_max540_else_score_min60,hazard>=0.45; sec>=60; hazard_max540_else_score_min60,0.45,540.0,score_min60,295,292,221,71,0.7568493150684932,0.9898305084745763,0.7045171643411514,68.0,69.52054794520548,73.0,0,0,768.285,573.0,20300.0,20873.0,1800.0,1227.0,0.08866995073891626,0.05878407512096968,4.2020547945205475,4.159322033898305,0.7148287671232877,0.04202054794520549,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,68.0,69.02285714285715,72.5,0,0,766.964,344.0,12079.0,12423.0,1021.0,677.0,0.08452686480668929,0.054495693471786205,3.8685714285714288,3.824858757062147,0.7098857142857142,0.03868571428571432,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.55172413793103,73.75,0,0,770.818,113.0,4034.0,4147.0,566.0,453.0,0.14030738720872582,0.10923559199421268,7.810344827586207,7.677966101694915,0.7150000000000001,0.07810344827586202,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,69.0,70.96610169491525,75.0,0,0,771.657,116.0,4187.0,4303.0,213.0,97.0,0.05087174588010509,0.022542412270508946,1.6440677966101696,1.6440677966101696,0.7293220338983052,0.016440677966101602,True,True,True
current,hazard45_max540_else_logit_thresh55_edge15,hazard>=0.45; sec>=60; hazard_max540_else_logit_thresh55_edge15,0.45,540.0,logit_thresh55_edge15,295,292,217,75,0.7431506849315068,0.9898305084745763,0.6901086563374786,68.0,68.45547945205479,72.0,0,0,772.2335,573.0,19989.0,20562.0,1711.0,1138.0,0.08559707839311621,0.05534481081606848,3.8972602739726026,3.857627118644068,0.7041780821917808,0.038972602739726026,177,175,128,47,0.7314285714285714,0.9887005649717514,0.6613100443245806,68.0,67.91428571428571,71.5,0,0,771.257,345.0,11885.0,12230.0,915.0,570.0,0.07698779974758098,0.04660670482420278,3.257142857142857,3.2203389830508473,0.698857142857143,0.032571428571428473,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,68.67241379310344,71.0,0,0,771.7515,113.0,3983.0,4096.0,617.0,504.0,0.15490836053226212,0.123046875,8.689655172413794,8.542372881355933,0.7062068965517241,0.08689655172413802,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,69.84745762711864,72.0,0,0,774.221,115.0,4121.0,4236.0,179.0,64.0,0.04343605920892987,0.015108593012275733,1.0847457627118644,1.0847457627118644,0.7179661016949153,0.010847457627118584,True,True,True
current,hazard45_max420_else_score_min60,hazard>=0.45; sec>=60; hazard_max420_else_score_min60,0.45,420.0,score_min60,295,292,221,71,0.7568493150684932,0.9898305084745763,0.7045171643411514,68.0,69.52054794520548,73.0,0,0,768.285,573.0,20300.0,20873.0,1800.0,1227.0,0.08866995073891626,0.05878407512096968,4.2020547945205475,4.159322033898305,0.7148287671232877,0.04202054794520549,177,175,131,44,0.7485714285714286,0.9887005649717514,0.6794258610309706,68.0,69.02285714285715,72.5,0,0,766.964,344.0,12079.0,12423.0,1021.0,677.0,0.08452686480668929,0.054495693471786205,3.8685714285714288,3.824858757062147,0.7098857142857142,0.03868571428571432,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,68.0,69.55172413793103,73.75,0,0,770.818,113.0,4034.0,4147.0,566.0,453.0,0.14030738720872582,0.10923559199421268,7.810344827586207,7.677966101694915,0.7150000000000001,0.07810344827586202,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,69.0,70.96610169491525,75.0,0,0,771.657,116.0,4187.0,4303.0,213.0,97.0,0.05087174588010509,0.022542412270508946,1.6440677966101696,1.6440677966101696,0.7293220338983052,0.016440677966101602,True,True,True
