dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass,fade_selected
current,book_margin_baseline,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,0
current,book_margin_baseline,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,0
current,book_margin_baseline,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,0
current,book_margin_baseline,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,0
current,book_margin_baseline,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,book_margin_baseline,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,0
current,book_margin_baseline,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,0
current,book_margin_baseline,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,0
current,book_margin_baseline,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,0
current,book_margin_baseline,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,0
current,book_margin_baseline,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,0
current,book_margin_baseline,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,0
current,book_margin_baseline,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,0
current,book_margin_baseline,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,0
current,book_margin_baseline,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,0
current,book_margin_baseline,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,0
v21,book_margin_baseline,0,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,True,True,0
v21,book_margin_baseline,1,20,20,1.0,11,9,0.55,-283.0,-0.20462762111352134,False,True,0
v21,book_margin_baseline,2,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,False,True,0
v21,book_margin_baseline,3,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,False,True,0
v21,book_margin_baseline,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,True,True,0
v21,book_margin_baseline,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,True,True,0
v21,book_margin_baseline,6,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,True,True,0
v21,book_margin_baseline,7,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,True,True,0
v21,book_margin_baseline,8,20,20,1.0,10,10,0.5,-332.0,-0.24924924924924924,False,True,0
v21,book_margin_baseline,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,True,True,0
v21,book_margin_baseline,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True,0
v21,book_margin_baseline,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,book55_margin_baseline,0,20,20,1.0,14,6,0.7,152.0,0.12179487179487179,True,True,0
current,book55_margin_baseline,1,20,20,1.0,14,6,0.7,126.0,0.0989010989010989,True,True,0
current,book55_margin_baseline,2,20,20,1.0,16,4,0.8,304.0,0.2345679012345679,True,True,0
current,book55_margin_baseline,3,20,20,1.0,17,3,0.85,443.0,0.3524264120922832,True,True,0
current,book55_margin_baseline,4,20,20,1.0,11,9,0.55,-142.0,-0.1143317230273752,False,True,0
current,book55_margin_baseline,5,20,20,1.0,9,11,0.45,-357.0,-0.2840095465393795,False,True,0
current,book55_margin_baseline,6,20,20,1.0,15,5,0.75,192.0,0.14678899082568808,True,True,0
current,book55_margin_baseline,7,20,19,0.95,12,7,0.631578947368421,-33.0,-0.0267639902676399,False,True,0
current,book55_margin_baseline,8,20,20,1.0,13,7,0.65,7.0,0.005413766434648105,True,True,0
current,book55_margin_baseline,9,20,19,0.95,13,6,0.6842105263157895,70.0,0.056910569105691054,True,True,0
current,book55_margin_baseline,10,20,20,1.0,9,11,0.45,-378.0,-0.29577464788732394,False,True,0
current,book55_margin_baseline,11,20,20,1.0,9,11,0.45,-383.0,-0.2985190958690569,False,True,0
current,book55_margin_baseline,12,20,20,1.0,14,6,0.7,147.0,0.11731843575418995,True,True,0
current,book55_margin_baseline,13,20,20,1.0,16,4,0.8,225.0,0.16363636363636364,True,True,0
current,book55_margin_baseline,14,20,20,1.0,11,9,0.55,-200.0,-0.15384615384615385,False,True,0
current,book55_margin_baseline,15,7,7,1.0,5,2,0.7142857142857143,51.0,0.11358574610244988,True,True,0
v21,book55_margin_baseline,0,20,19,0.95,13,6,0.6842105263157895,66.0,0.05348460291734198,True,True,0
v21,book55_margin_baseline,1,20,20,1.0,11,9,0.55,-237.0,-0.17726252804786835,False,True,0
v21,book55_margin_baseline,2,20,20,1.0,12,8,0.6,-71.0,-0.05586152635719906,False,True,0
v21,book55_margin_baseline,3,20,20,1.0,16,4,0.8,303.0,0.2336160370084811,True,True,0
v21,book55_margin_baseline,4,20,20,1.0,13,7,0.65,42.0,0.033386327503974564,True,True,0
v21,book55_margin_baseline,5,20,20,1.0,15,5,0.75,174.0,0.13122171945701358,True,True,0
v21,book55_margin_baseline,6,20,20,1.0,16,4,0.8,327.0,0.25687352710133543,True,True,0
v21,book55_margin_baseline,7,20,20,1.0,15,5,0.75,233.0,0.18389897395422258,True,True,0
v21,book55_margin_baseline,8,20,20,1.0,9,11,0.45,-362.0,-0.2868462757527734,False,True,0
v21,book55_margin_baseline,9,20,20,1.0,14,6,0.7,66.0,0.049475262368815595,True,True,0
v21,book55_margin_baseline,10,20,19,0.95,12,7,0.631578947368421,-78.0,-0.06103286384976526,False,True,0
v21,book55_margin_baseline,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,mean55_baseline,0,20,20,1.0,13,7,0.65,71.0,0.05777054515866558,True,True,0
current,mean55_baseline,1,20,20,1.0,14,6,0.7,131.0,0.10323089046493301,True,True,0
current,mean55_baseline,2,20,20,1.0,13,7,0.65,38.0,0.030110935023771792,True,True,0
current,mean55_baseline,3,20,20,1.0,16,4,0.8,309.0,0.2393493415956623,True,True,0
current,mean55_baseline,4,20,20,1.0,8,12,0.4,-408.0,-0.33774834437086093,False,True,0
current,mean55_baseline,5,20,20,1.0,8,12,0.4,-425.0,-0.3469387755102041,False,True,0
current,mean55_baseline,6,20,20,1.0,15,5,0.75,194.0,0.14854517611026033,True,True,0
current,mean55_baseline,7,20,19,0.95,13,6,0.6842105263157895,95.0,0.07883817427385892,True,True,0
current,mean55_baseline,8,20,20,1.0,12,8,0.6,-77.0,-0.060297572435395456,False,True,0
current,mean55_baseline,9,20,19,0.95,12,7,0.631578947368421,-25.0,-0.02040816326530612,False,True,0
current,mean55_baseline,10,20,20,1.0,10,10,0.5,-281.0,-0.21935987509758,False,True,0
current,mean55_baseline,11,20,20,1.0,10,10,0.5,-277.0,-0.2169146436961629,False,True,0
current,mean55_baseline,12,20,20,1.0,14,6,0.7,141.0,0.11199364575059571,True,True,0
current,mean55_baseline,13,20,20,1.0,16,4,0.8,228.0,0.1661807580174927,True,True,0
current,mean55_baseline,14,20,20,1.0,11,9,0.55,-184.0,-0.14330218068535824,False,True,0
current,mean55_baseline,15,7,7,1.0,5,2,0.7142857142857143,55.0,0.12359550561797752,True,True,0
v21,mean55_baseline,0,20,19,0.95,14,5,0.7368421052631579,188.0,0.1551155115511551,True,True,0
v21,mean55_baseline,1,20,20,1.0,12,8,0.6,-108.0,-0.08256880733944955,False,True,0
v21,mean55_baseline,2,20,20,1.0,14,6,0.7,92.0,0.07033639143730887,True,True,0
v21,mean55_baseline,3,20,20,1.0,17,3,0.85,436.0,0.3449367088607595,True,True,0
v21,mean55_baseline,4,20,20,1.0,12,8,0.6,-57.0,-0.045346062052505964,False,True,0
v21,mean55_baseline,5,20,20,1.0,12,8,0.6,-74.0,-0.058084772370486655,False,True,0
v21,mean55_baseline,6,20,20,1.0,16,4,0.8,336.0,0.26582278481012656,True,True,0
v21,mean55_baseline,7,20,20,1.0,10,10,0.5,-228.0,-0.18566775244299674,False,True,0
v21,mean55_baseline,8,20,20,1.0,13,7,0.65,35.0,0.02766798418972332,True,True,0
v21,mean55_baseline,9,20,20,1.0,14,6,0.7,67.0,0.05026256564141035,True,True,0
v21,mean55_baseline,10,20,19,0.95,13,6,0.6842105263157895,26.0,0.02040816326530612,True,True,0
v21,mean55_baseline,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,min55_baseline,0,20,20,1.0,14,6,0.7,130.0,0.10236220472440945,True,True,0
current,min55_baseline,1,20,20,1.0,15,5,0.75,180.0,0.13636363636363635,True,True,0
current,min55_baseline,2,20,20,1.0,15,5,0.75,170.0,0.12781954887218044,True,True,0
current,min55_baseline,3,20,20,1.0,16,4,0.8,270.0,0.20300751879699247,True,True,0
current,min55_baseline,4,20,20,1.0,11,9,0.55,-169.0,-0.13317572892040977,False,True,0
current,min55_baseline,5,20,20,1.0,10,10,0.5,-289.0,-0.22420480993017844,False,True,0
current,min55_baseline,6,20,20,1.0,16,4,0.8,222.0,0.16110304789550073,True,True,0
current,min55_baseline,7,20,19,0.95,12,7,0.631578947368421,-55.0,-0.043824701195219126,False,True,0
current,min55_baseline,8,20,20,1.0,14,6,0.7,82.0,0.0622154779969651,True,True,0
current,min55_baseline,9,20,19,0.95,15,4,0.7894736842105263,243.0,0.19331742243436753,True,True,0
current,min55_baseline,10,20,20,1.0,12,8,0.6,-159.0,-0.11699779249448124,False,True,0
current,min55_baseline,11,20,20,1.0,11,9,0.55,-221.0,-0.16729750189250567,False,True,0
current,min55_baseline,12,20,20,1.0,15,5,0.75,158.0,0.11773472429210134,True,True,0
current,min55_baseline,13,20,20,1.0,15,5,0.75,79.0,0.055594651653764954,True,True,0
current,min55_baseline,14,20,20,1.0,11,9,0.55,-247.0,-0.18337045285820341,False,True,0
current,min55_baseline,15,7,7,1.0,5,2,0.7142857142857143,24.0,0.05042016806722689,True,True,0
v21,min55_baseline,0,20,19,0.95,15,4,0.7894736842105263,238.0,0.18858954041204437,True,True,0
v21,min55_baseline,1,20,20,1.0,11,9,0.55,-257.0,-0.18938835666912307,False,True,0
v21,min55_baseline,2,20,20,1.0,14,6,0.7,61.0,0.04555638536221061,True,True,0
v21,min55_baseline,3,20,20,1.0,16,4,0.8,284.0,0.21580547112462006,True,True,0
v21,min55_baseline,4,20,20,1.0,13,7,0.65,31.0,0.02442868400315209,True,True,0
v21,min55_baseline,5,20,20,1.0,14,6,0.7,69.0,0.051840721262208865,True,True,0
v21,min55_baseline,6,20,20,1.0,16,4,0.8,312.0,0.2422360248447205,True,True,0
v21,min55_baseline,7,20,20,1.0,15,5,0.75,183.0,0.13895216400911162,True,True,0
v21,min55_baseline,8,20,20,1.0,11,9,0.55,-183.0,-0.1426344505066251,False,True,0
v21,min55_baseline,9,20,20,1.0,14,6,0.7,64.0,0.04790419161676647,True,True,0
v21,min55_baseline,10,20,19,0.95,13,6,0.6842105263157895,-7.0,-0.005355776587605203,False,True,0
v21,min55_baseline,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,regime55_baseline,0,20,20,1.0,11,9,0.55,-70.0,-0.05982905982905983,False,True,0
current,regime55_baseline,1,20,20,1.0,12,8,0.6,40.0,0.034482758620689655,True,True,0
current,regime55_baseline,2,20,20,1.0,12,8,0.6,20.0,0.01694915254237288,True,True,0
current,regime55_baseline,3,20,20,1.0,15,5,0.75,313.0,0.2636899747262005,True,True,0
current,regime55_baseline,4,20,20,1.0,8,12,0.4,-341.0,-0.2988606485539001,False,True,0
current,regime55_baseline,5,20,20,1.0,8,12,0.4,-403.0,-0.3349958437240233,False,True,0
current,regime55_baseline,6,20,20,1.0,11,9,0.55,-97.0,-0.0810359231411863,False,True,0
current,regime55_baseline,7,20,19,0.95,9,10,0.47368421052631576,-201.0,-0.18256130790190736,False,True,0
current,regime55_baseline,8,20,20,1.0,11,9,0.55,-109.0,-0.09015715467328371,False,True,0
current,regime55_baseline,9,20,19,0.95,11,8,0.5789473684210527,-34.0,-0.029982363315696647,False,True,0
current,regime55_baseline,10,20,20,1.0,6,14,0.3,-561.0,-0.48320413436692505,False,True,0
current,regime55_baseline,11,20,20,1.0,9,11,0.45,-327.0,-0.2665036674816626,False,True,0
current,regime55_baseline,12,20,20,1.0,11,9,0.55,-92.0,-0.07718120805369127,False,True,0
current,regime55_baseline,13,20,20,1.0,14,6,0.7,89.0,0.06788710907704043,True,True,0
current,regime55_baseline,14,20,20,1.0,9,11,0.45,-341.0,-0.2747784045124899,False,True,0
current,regime55_baseline,15,7,7,1.0,2,5,0.2857142857142857,-198.0,-0.49748743718592964,False,True,0
v21,regime55_baseline,0,20,19,0.95,9,10,0.47368421052631576,-211.0,-0.18991899189918993,False,True,0
v21,regime55_baseline,1,20,20,1.0,14,6,0.7,231.0,0.19760479041916168,True,True,0
v21,regime55_baseline,2,20,20,1.0,13,7,0.65,96.0,0.07973421926910298,True,True,0
v21,regime55_baseline,3,20,20,1.0,14,6,0.7,207.0,0.173512154233026,True,True,0
v21,regime55_baseline,4,20,20,1.0,10,10,0.5,-161.0,-0.13867355727820843,False,True,0
v21,regime55_baseline,5,20,20,1.0,14,6,0.7,236.0,0.2027491408934708,True,True,0
v21,regime55_baseline,6,20,20,1.0,13,7,0.65,98.0,0.08153078202995008,True,True,0
v21,regime55_baseline,7,20,20,1.0,12,8,0.6,64.0,0.056338028169014086,True,True,0
v21,regime55_baseline,8,20,20,1.0,12,8,0.6,16.0,0.013513513513513514,True,True,0
v21,regime55_baseline,9,20,20,1.0,15,5,0.75,274.0,0.2234910277324633,True,True,0
v21,regime55_baseline,10,20,19,0.95,9,10,0.47368421052631576,-263.0,-0.22613929492691315,False,True,0
v21,regime55_baseline,11,1,1,1.0,1,0,1.0,45.0,0.8181818181818182,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,0,20,20,1.0,11,9,0.55,-241.0,-0.17971662938105892,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,1,20,20,1.0,13,7,0.65,-62.0,-0.04552129221732746,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,2,20,20,1.0,14,6,0.7,-7.0,-0.004975124378109453,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,3,20,20,1.0,18,2,0.9,433.0,0.3167520117044623,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,4,20,20,1.0,11,9,0.55,-216.0,-0.1641337386018237,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,5,20,20,1.0,12,8,0.6,-143.0,-0.10647803425167536,False,True,0
