dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_seconds_to_close
current,book_margin_baseline,split,holdout,62,45,17,0.7258064516129032,231.0,3.725806451612903,65.0,828.387
current,book_margin_baseline,split,train,182,128,54,0.7032967032967034,603.0,3.3131868131868134,63.0,817.645
current,book_margin_baseline,split,validation,61,43,18,0.7049180327868853,117.0,1.9180327868852458,65.0,800.821
current,book_margin_baseline,side,no,155,110,45,0.7096774193548387,482.0,3.109677419354839,64.0,819.258
current,book_margin_baseline,side,yes,150,106,44,0.7066666666666667,469.0,3.1266666666666665,64.0,822.111
current,book_margin_baseline,hour,0,9,6,3,0.6666666666666666,0.0,0.0,64.0,832.096
current,book_margin_baseline,hour,1,8,6,2,0.75,49.0,6.125,64.5,809.2909999999999
current,book_margin_baseline,hour,10,12,11,1,0.9166666666666666,268.0,22.333333333333332,66.0,775.8485000000001
current,book_margin_baseline,hour,11,12,8,4,0.6666666666666666,-58.0,-4.833333333333333,69.0,804.9715000000001
current,book_margin_baseline,hour,12,12,11,1,0.9166666666666666,288.0,24.0,65.0,825.0095
current,book_margin_baseline,hour,13,12,8,4,0.6666666666666666,-18.0,-1.5,67.0,827.2049999999999
current,book_margin_baseline,hour,14,11,8,3,0.7272727272727273,59.0,5.363636363636363,64.0,776.205
current,book_margin_baseline,hour,15,12,9,3,0.75,74.0,6.166666666666667,62.5,798.4590000000001
current,book_margin_baseline,hour,16,8,5,3,0.625,-57.0,-7.125,64.0,809.0225
current,book_margin_baseline,hour,17,12,8,4,0.6666666666666666,-2.0,-0.16666666666666666,64.0,800.0575
current,book_margin_baseline,hour,18,12,10,2,0.8333333333333334,204.0,17.0,62.5,801.116
current,book_margin_baseline,hour,19,12,9,3,0.75,105.0,8.75,62.0,852.205
current,book_margin_baseline,hour,2,14,8,6,0.5714285714285714,-136.0,-9.714285714285714,62.0,820.813
current,book_margin_baseline,hour,20,12,10,2,0.8333333333333334,207.0,17.25,63.0,807.9565
current,book_margin_baseline,hour,21,12,9,3,0.75,87.0,7.25,64.0,843.3575
current,book_margin_baseline,hour,22,12,9,3,0.75,88.0,7.333333333333333,62.5,827.0235
current,book_margin_baseline,hour,23,12,11,1,0.9166666666666666,281.0,23.416666666666668,63.5,817.42
current,book_margin_baseline,hour,3,16,9,7,0.5625,-165.0,-10.3125,62.0,798.6545000000001
current,book_margin_baseline,hour,4,16,8,8,0.5,-290.0,-18.125,65.5,774.5885000000001
current,book_margin_baseline,hour,5,16,11,5,0.6875,53.0,3.3125,62.5,802.289
current,book_margin_baseline,hour,6,16,15,1,0.9375,394.0,24.625,64.5,825.8985
current,book_margin_baseline,hour,7,16,9,7,0.5625,-165.0,-10.3125,63.5,813.857
current,book_margin_baseline,hour,8,16,10,6,0.625,-90.0,-5.625,65.0,826.895
current,book_margin_baseline,hour,9,15,8,7,0.5333333333333333,-225.0,-15.0,65.0,842.755
