blocker,target_pass,wilson_pass,min_test_accuracy,min_test_coverage,min_test_wilson,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_gross_pnl_cents,all_median_ask,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_gross_pnl_cents,train_median_ask,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_gross_pnl_cents,validation_median_ask,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_gross_pnl_cents,holdout_median_ask
block decel_1v5<=-1 OR block rv_ratio_5_15>=1.5,False,False,0.8928571428571429,0.75,0.7280414845132784,156,125,112,13,0.896,0.8012820512820513,0.8301771764561211,184.0,88.0,93,73,65,8,0.8904109589041096,0.7849462365591398,0.7983737801279476,59.0,88.0,31,28,25,3,0.8928571428571429,0.9032258064516129,0.7280414845132784,30.0,89.0,32,24,22,2,0.9166666666666666,0.75,0.741511978067893,95.0,87.5
block decel_1v5<=0,False,False,0.88,0.78125,0.7004420607907267,156,125,111,14,0.888,0.8012820512820513,0.8207616439023666,91.0,88.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-37.0,88.0,31,27,25,2,0.9259259259259259,0.8709677419354839,0.7663040731697686,116.0,89.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0,87.0
block decel_1v5<=-1 OR block decel_1v5<=0,False,False,0.88,0.78125,0.7004420607907267,156,125,111,14,0.888,0.8012820512820513,0.8207616439023666,91.0,88.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-37.0,88.0,31,27,25,2,0.9259259259259259,0.8709677419354839,0.7663040731697686,116.0,89.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0,87.0
block decel_1v5<=-1,False,False,0.88,0.78125,0.7004420607907267,156,130,115,15,0.8846153846153846,0.8333333333333334,0.8183363179804782,56.0,88.0,93,77,68,9,0.8831168831168831,0.8279569892473119,0.7925491643206027,14.0,88.0,31,28,25,3,0.8928571428571429,0.9032258064516129,0.7280414845132784,30.0,89.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0,87.0
block pre_15m_margin_per_current<=-2 OR block decel_1v5<=-1,False,False,0.88,0.78125,0.7004420607907267,156,127,112,15,0.8818897637795275,0.8141025641025641,0.8142522754298047,16.0,88.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-1.0,88.0,31,26,23,3,0.8846153846153846,0.8387096774193549,0.7102409678828635,5.0,89.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0,87.0
block decel_1v5<=-1 OR block rv_ratio_15_30<=0.5,False,False,0.875,0.75,0.6899611872949993,156,128,113,15,0.8828125,0.8205128205128205,0.8156338413466524,23.0,88.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-1.0,88.0,31,28,25,3,0.8928571428571429,0.9032258064516129,0.7280414845132784,30.0,89.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0,87.5
block decel_1v5<=-1 OR block margin_per_sqrt_remaining<=1,False,False,0.8695652173913043,0.71875,0.6787251772990404,156,125,110,15,0.88,0.8012820512820513,0.8114261894188213,-26.0,88.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,0.0,88.0,31,26,23,3,0.8846153846153846,0.8387096774193549,0.7102409678828635,-1.0,89.0,32,23,20,3,0.8695652173913043,0.71875,0.6787251772990404,-25.0,88.0
block rv_ratio_5_15>=1.5,False,False,0.8620689655172413,0.75,0.6944100627964797,156,126,112,14,0.8888888888888888,0.8076923076923077,0.8221164243496584,96.0,88.0,93,73,65,8,0.8904109589041096,0.7849462365591398,0.7983737801279476,59.0,88.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,89.0,32,24,22,2,0.9166666666666666,0.75,0.741511978067893,95.0,87.5
no blocker,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,131,115,16,0.8778625954198473,0.8397435897435898,0.8107911499346616,-32.0,88.0,93,77,68,9,0.8831168831168831,0.8279569892473119,0.7925491643206027,14.0,88.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,89.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0,87.0
block rv_ratio_15_30<=0.5,False,False,0.8620689655172413,0.75,0.6899611872949993,156,129,113,16,0.875968992248062,0.8269230769230769,0.8080002352347273,-65.0,88.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-1.0,88.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,89.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0,87.5
block pre_15m_margin_per_current<=-2,False,False,0.8518518518518519,0.78125,0.6752131457218702,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-72.0,88.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-1.0,88.0,31,27,23,4,0.8518518518518519,0.8709677419354839,0.6752131457218702,-83.0,89.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0,87.0
block pre_15m_margin_per_current<=-2 OR block rv_ratio_15_30<=0.5,False,False,0.8518518518518519,0.75,0.6752131457218702,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-90.0,88.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-1.0,88.0,31,27,23,4,0.8518518518518519,0.8709677419354839,0.6752131457218702,-83.0,89.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0,87.5
block margin_per_sqrt_remaining<=1,False,False,0.8518518518518519,0.71875,0.6752131457218702,156,126,110,16,0.873015873015873,0.8076923076923077,0.803656287149039,-114.0,88.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,0.0,88.0,31,27,23,4,0.8518518518518519,0.8709677419354839,0.6752131457218702,-89.0,89.0,32,23,20,3,0.8695652173913043,0.71875,0.6787251772990404,-25.0,88.0
block rv_ratio_15_30<=0.5 OR block margin_per_sqrt_remaining<=1,False,False,0.8518518518518519,0.71875,0.6752131457218702,156,125,109,16,0.872,0.8012820512820513,0.8021643758872009,-129.0,88.0,93,75,66,9,0.88,0.8064516129032258,0.7874035979525127,-15.0,88.0,31,27,23,4,0.8518518518518519,0.8709677419354839,0.6752131457218702,-89.0,89.0,32,23,20,3,0.8695652173913043,0.71875,0.6787251772990404,-25.0,88.0
