lock_name,market,registry_entry_dt,recompute_entry_dt,entry_dt_diff_sec,registry_side,recompute_side,registry_ask_cents,recompute_ask_cents,registry_win,recompute_win,registry_net_pnl_cents,recompute_net_pnl_cents,net_delta_recompute_minus_registry,mismatch_reasons
book_margin,KXBTC15M-26APR302230-30,,2026-05-01 02:16:28.787000+00:00,,,yes,,66.0,,False,,-68.0,,recompute_only
book_margin,KXBTC15M-26APR302245-45,,2026-05-01 02:31:15.054000+00:00,,,no,,63.0,,True,,35.0,,recompute_only
book_margin,KXBTC15M-26APR302300-00,,2026-05-01 02:45:46.371000+00:00,,,no,,61.0,,True,,37.0,,recompute_only
book_margin,KXBTC15M-26APR302315-15,,2026-05-01 03:01:32.704000+00:00,,,no,,67.0,,False,,-69.0,,recompute_only
book_margin,KXBTC15M-26APR302330-30,,2026-05-01 03:16:04.060000+00:00,,,yes,,72.0,,True,,26.0,,recompute_only
book_margin,KXBTC15M-26APR302345-45,,2026-05-01 03:31:49.987000+00:00,,,no,,63.0,,True,,35.0,,recompute_only
book_margin,KXBTC15M-26MAY010000-00,,2026-05-01 03:48:36.506000+00:00,,,yes,,62.0,,False,,-64.0,,recompute_only
book_margin,KXBTC15M-26MAY010015-15,,2026-05-01 04:02:07.599000+00:00,,,yes,,62.0,,True,,36.0,,recompute_only
book_margin,KXBTC15M-26MAY010030-30,,2026-05-01 04:18:38.910000+00:00,,,yes,,71.0,,False,,-73.0,,recompute_only
book_margin,KXBTC15M-26MAY010045-45,,2026-05-01 04:30:55.131000+00:00,,,yes,,61.0,,True,,37.0,,recompute_only
book_margin,KXBTC15M-26MAY010100-00,,2026-05-01 04:52:12.213000+00:00,,,yes,,64.0,,False,,-66.0,,recompute_only
book_margin,KXBTC15M-26MAY010115-15,,2026-05-01 05:04:28.364000+00:00,,,yes,,62.0,,True,,36.0,,recompute_only
book_margin,KXBTC15M-26MAY010130-30,,2026-05-01 05:16:14.396000+00:00,,,no,,61.0,,True,,37.0,,recompute_only
book_margin,KXBTC15M-26MAY010145-45,,2026-05-01 05:37:31.528000+00:00,,,no,,61.0,,False,,-63.0,,recompute_only
book_margin,KXBTC15M-26MAY010200-00,,2026-05-01 05:47:17.330000+00:00,,,yes,,63.0,,True,,35.0,,recompute_only
book_margin,KXBTC15M-26MAY010215-15,,2026-05-01 06:06:48.950000+00:00,,,yes,,65.0,,False,,-67.0,,recompute_only
book_margin,KXBTC15M-26MAY010230-30,,2026-05-01 06:16:04.667000+00:00,,,yes,,64.0,,True,,34.0,,recompute_only
book_margin,KXBTC15M-26MAY010245-45,,2026-05-01 06:32:51.577000+00:00,,,no,,61.0,,True,,37.0,,recompute_only
book_margin,KXBTC15M-26MAY010300-00,,2026-05-01 06:45:37.835000+00:00,,,yes,,71.0,,True,,27.0,,recompute_only
book_margin,KXBTC15M-26MAY010315-15,,2026-05-01 07:01:24.190000+00:00,,,no,,63.0,,False,,-65.0,,recompute_only
book_margin,KXBTC15M-26MAY010330-30,,2026-05-01 07:15:55.466000+00:00,,,no,,64.0,,True,,34.0,,recompute_only
book_margin,KXBTC15M-26MAY010345-45,,2026-05-01 07:31:28.144000+00:00,,,no,,64.0,,False,,-66.0,,recompute_only
book_margin,KXBTC15M-26MAY010400-00,,2026-05-01 07:47:14.675000+00:00,,,yes,,63.0,,True,,35.0,,recompute_only
book_margin,KXBTC15M-26MAY010415-15,,2026-05-01 08:00:45.795000+00:00,,,no,,65.0,,False,,-67.0,,recompute_only
book_margin,KXBTC15M-26MAY010430-30,,2026-05-01 08:15:47.179000+00:00,,,yes,,65.0,,True,,33.0,,recompute_only
book_margin,KXBTC15M-26MAY010445-45,,2026-05-01 08:31:03.537000+00:00,,,no,,61.0,,True,,37.0,,recompute_only
book_margin,KXBTC15M-26MAY010500-00,,2026-05-01 08:57:06.103000+00:00,,,no,,65.0,,False,,-67.0,,recompute_only
book_margin,KXBTC15M-26MAY010515-15,,2026-05-01 09:02:21.425000+00:00,,,no,,61.0,,True,,37.0,,recompute_only
book_margin,KXBTC15M-26MAY010530-30,,2026-05-01 09:17:23.073000+00:00,,,no,,64.0,,False,,-66.0,,recompute_only
book_margin,KXBTC15M-26MAY010545-45,,2026-05-01 09:30:24.305000+00:00,,,no,,70.0,,True,,28.0,,recompute_only
book_margin,KXBTC15M-26MAY010600-00,,2026-05-01 09:45:40.622000+00:00,,,no,,68.0,,True,,30.0,,recompute_only
book_margin,KXBTC15M-26MAY010615-15,,2026-05-01 10:01:11.973000+00:00,,,no,,65.0,,True,,33.0,,recompute_only
book_margin,KXBTC15M-26MAY010630-30,,2026-05-01 10:16:28.615000+00:00,,,yes,,69.0,,True,,29.0,,recompute_only
book_margin,KXBTC15M-26MAY010645-45,,2026-05-01 10:33:00.078000+00:00,,,no,,70.0,,True,,28.0,,recompute_only
