lock_name,market,registered_utc,lock_close_dt,initial_entry_dt,entry_dt,close_dt,confirm_delay_sec,side,initial_ask_cents,ask_cents,bid_cents,seconds_to_close,source_line_no,decision_key,chooser,score_value,confirmation,book_p_side,brownian_p_rv_15m,adverse_move_15m,touch_loss_rv_15m,kinetic_touch_score_15,outcome_available,outcome,win,entry_fee_cents,net_pnl_cents
kinetic_path_confirm,KXBTC15M-26MAY030545-45,2026-05-03T09:33:06.940720+00:00,2026-05-03T04:15:00+00:00,2026-05-03T09:32:08.508000+00:00,2026-05-03T09:33:08.638000+00:00,2026-05-03T09:45:00+00:00,60.13,no,73.0,72.0,70.0,711.362,38239,heartbeat:38239,kinetic_touch_score_15,0.6847919527881322,same_side_for>=60s AND confirm_score>=0.6,0.71,0.7044798709201093,65.7899999999936,0.5910402581597813,0.6847919527881322,True,yes,False,2,-74.0
kinetic_path_confirm,KXBTC15M-26MAY030600-00,2026-05-03T09:52:20.347818+00:00,2026-05-03T04:15:00+00:00,2026-05-03T09:46:09.804000+00:00,2026-05-03T09:47:09.856000+00:00,2026-05-03T10:00:00+00:00,60.052,no,71.0,79.0,78.0,770.144,38301,heartbeat:38301,kinetic_touch_score_15,0.7072982309848718,same_side_for>=60s AND confirm_score>=0.6,0.785,0.6232462493518096,8.309999999997672,0.7535075012963808,0.7072982309848718,True,yes,False,2,-81.0
kinetic_path_confirm,KXBTC15M-26MAY030645-45,2026-05-03T10:35:59.296482+00:00,2026-05-03T04:15:00+00:00,2026-05-03T10:32:14.304000+00:00,2026-05-03T10:33:14.335000+00:00,2026-05-03T10:45:00+00:00,60.031,yes,72.0,74.0,73.0,705.665,38503,heartbeat:38503,kinetic_touch_score_15,0.8081064942373453,same_side_for>=60s AND confirm_score>=0.6,0.735,0.8686798697622485,20.10000000000582,0.2626402604755029,0.8081064942373453,True,yes,True,2,24.0
kinetic_path_confirm,KXBTC15M-26MAY030700-00,2026-05-03T10:49:14.532820+00:00,2026-05-03T04:15:00+00:00,2026-05-03T10:47:00.620000+00:00,2026-05-03T10:48:00.674000+00:00,2026-05-03T11:00:00+00:00,60.054,no,78.0,75.0,74.0,719.326,38568,heartbeat:38568,kinetic_touch_score_15,0.7583993097603224,same_side_for>=60s AND confirm_score>=0.6,0.745,0.7209838877706158,0.0,0.5580322244587683,0.7583993097603224,True,no,True,2,23.0
kinetic_path_confirm,KXBTC15M-26MAY030745-45,2026-05-03T11:35:02.200054+00:00,2026-05-03T04:15:00+00:00,2026-05-03T11:30:19.809000+00:00,2026-05-03T11:31:19.922000+00:00,2026-05-03T11:45:00+00:00,60.113,yes,52.0,54.0,53.0,820.078,38759,heartbeat:38759,kinetic_touch_score_15,0.6150443081832274,same_side_for>=60s AND confirm_score>=0.6,0.535,0.7017712955128255,16.120000000009895,0.5964574089743491,0.6150443081832274,True,yes,True,2,44.0
kinetic_path_confirm,KXBTC15M-26MAY030800-00,2026-05-03T11:49:28.650377+00:00,2026-05-03T04:15:00+00:00,2026-05-03T11:48:06.497000+00:00,2026-05-03T11:49:06.598000+00:00,2026-05-03T12:00:00+00:00,60.101,yes,79.0,89.0,88.0,653.402,38873,heartbeat:38873,kinetic_touch_score_15,0.7803795179947994,same_side_for>=60s AND confirm_score>=0.6,0.885,0.6705204303016876,0.0,0.6589591393966248,0.7803795179947994,True,no,False,1,-90.0
kinetic_path_confirm,KXBTC15M-26MAY030815-15,2026-05-03T12:04:14.913071+00:00,2026-05-03T04:15:00+00:00,2026-05-03T12:02:07.615000+00:00,2026-05-03T12:03:07.699000+00:00,2026-05-03T12:15:00+00:00,60.084,yes,66.0,83.0,82.0,712.301,38957,heartbeat:38957,kinetic_touch_score_15,0.7750871147917384,same_side_for>=60s AND confirm_score>=0.6,0.825,0.7923897692080322,58.0,0.4152204615839356,0.7750871147917384,True,yes,True,1,16.0
kinetic_path_confirm,KXBTC15M-26MAY030830-30,2026-05-03T12:19:52.463148+00:00,2026-05-03T04:15:00+00:00,2026-05-03T12:17:09.012000+00:00,2026-05-03T12:18:09.136000+00:00,2026-05-03T12:30:00+00:00,60.124,no,73.0,82.0,81.0,710.864,39037,heartbeat:39037,kinetic_touch_score_15,0.6631572735859823,same_side_for>=60s AND confirm_score>=0.6,0.815,0.7421108506190666,62.83000000000175,0.5157782987618669,0.6631572735859823,True,no,True,2,16.0
kinetic_path_confirm,KXBTC15M-26MAY030845-45,2026-05-03T12:35:09.806578+00:00,2026-05-03T04:15:00+00:00,2026-05-03T12:31:10.448000+00:00,2026-05-03T12:32:10.539000+00:00,2026-05-03T12:45:00+00:00,60.091,no,65.0,73.0,71.0,769.461,39099,heartbeat:39099,kinetic_touch_score_15,0.7910206048204829,same_side_for>=60s AND confirm_score>=0.6,0.72,0.8062392165762164,0.0,0.3875215668475671,0.7910206048204829,True,no,True,2,25.0
kinetic_path_confirm,KXBTC15M-26MAY030900-00,2026-05-03T12:50:23.771196+00:00,2026-05-03T04:15:00+00:00,2026-05-03T12:45:26.959000+00:00,2026-05-03T12:47:12.161000+00:00,2026-05-03T13:00:00+00:00,105.202,yes,68.0,60.0,59.0,767.839,39165,heartbeat:39165,kinetic_touch_score_15,0.6019476189573805,same_side_for>=60s AND confirm_score>=0.6,0.595,0.5680898074573641,0.0,0.8638203850852717,0.6019476189573805,True,no,False,2,-62.0
kinetic_path_confirm,KXBTC15M-26MAY030915-15,2026-05-03T13:05:44.873974+00:00,2026-05-03T04:15:00+00:00,2026-05-03T13:01:13.244000+00:00,2026-05-03T13:04:13.661000+00:00,2026-05-03T13:15:00+00:00,180.417,no,63.0,73.0,72.0,646.339,39266,heartbeat:39266,kinetic_touch_score_15,0.7446372234682197,same_side_for>=60s AND confirm_score>=0.6,0.725,0.7201133102619732,0.0,0.5597733794760535,0.7446372234682197,True,yes,False,2,-75.0
kinetic_path_confirm,KXBTC15M-26MAY030930-30,2026-05-03T13:21:07.723771+00:00,2026-05-03T04:15:00+00:00,2026-05-03T13:17:14.806000+00:00,2026-05-03T13:18:14.887000+00:00,2026-05-03T13:30:00+00:00,60.081,no,61.0,68.0,65.0,705.113,39341,heartbeat:39341,kinetic_touch_score_15,0.6834872709964059,same_side_for>=60s AND confirm_score>=0.6,0.665,0.654128748077395,0.0,0.6917425038452101,0.6834872709964059,True,no,True,2,30.0
kinetic_path_confirm,KXBTC15M-26MAY031000-00,2026-05-03T13:55:50.414009+00:00,2026-05-03T04:15:00+00:00,2026-05-03T13:47:02.289000+00:00,2026-05-03T13:48:02.320000+00:00,2026-05-03T14:00:00+00:00,60.031,yes,85.0,80.0,78.0,717.68,39492,heartbeat:39492,kinetic_touch_score_15,0.8136550585230496,same_side_for>=60s AND confirm_score>=0.6,0.79,0.796228523822194,0.0,0.407542952355612,0.8136550585230496,True,yes,True,2,18.0
kinetic_path_confirm,KXBTC15M-26MAY031015-15,2026-05-03T14:04:49.077804+00:00,2026-05-03T04:15:00+00:00,2026-05-03T14:02:03.795000+00:00,2026-05-03T14:03:03.797000+00:00,2026-05-03T14:15:00+00:00,60.002,yes,64.0,78.0,77.0,716.203,39584,heartbeat:39584,kinetic_touch_score_15,0.8015645133377586,same_side_for>=60s AND confirm_score>=0.6,0.775,0.7908106690785555,0.0,0.4183786618428891,0.8015645133377586,True,yes,True,2,20.0
kinetic_path_confirm,KXBTC15M-26MAY031030-30,2026-05-03T14:23:25.652188+00:00,2026-05-03T04:15:00+00:00,2026-05-03T14:19:05.141000+00:00,2026-05-03T14:20:05.298000+00:00,2026-05-03T14:30:00+00:00,60.157,no,82.0,78.0,77.0,594.702,39675,heartbeat:39675,kinetic_touch_score_15,0.7272682633530759,same_side_for>=60s AND confirm_score>=0.6,0.775,0.6734275826090494,0.0,0.6531448347819011,0.7272682633530759,True,no,True,2,20.0
kinetic_path_confirm,KXBTC15M-26MAY031545-45,2026-05-03T19:33:24.570823+00:00,2026-05-03T04:15:00+00:00,2026-05-03T19:31:50.053000+00:00,2026-05-03T19:32:50.112000+00:00,2026-05-03T19:45:00+00:00,60.059,yes,62.0,87.0,86.0,729.888,41223,heartbeat:41223,kinetic_touch_score_15,0.637088930369429,same_side_for>=60s AND confirm_score>=0.6,0.865,0.6165504460616127,14.279999999998836,0.7668991078767746,0.637088930369429,True,yes,True,1,12.0
kinetic_path_confirm,KXBTC15M-26MAY031815-15,2026-05-03T22:06:19.740290+00:00,2026-05-03T04:15:00+00:00,2026-05-03T22:01:12.227000+00:00,2026-05-03T22:02:12.277000+00:00,2026-05-03T22:15:00+00:00,60.05,yes,89.0,83.0,82.0,767.723,42061,heartbeat:42061,kinetic_touch_score_15,0.830592434683538,same_side_for>=60s AND confirm_score>=0.6,0.825,0.8011948941703403,0.0,0.3976102116593194,0.830592434683538,True,yes,True,1,16.0
kinetic_path_confirm,KXBTC15M-26MAY031830-30,2026-05-03T22:22:48.532728+00:00,2026-05-03T04:15:00+00:00,2026-05-03T22:17:13.741000+00:00,2026-05-03T22:18:13.801000+00:00,2026-05-03T22:30:00+00:00,60.06,no,81.0,83.0,82.0,706.199,42187,heartbeat:42187,kinetic_touch_score_15,0.6326187757557392,same_side_for>=60s AND confirm_score>=0.6,0.825,0.6763880706518282,58.00999999999476,0.6472238586963437,0.6326187757557392,True,no,True,1,16.0
kinetic_path_confirm,KXBTC15M-26MAY031845-45,2026-05-03T22:38:58.175713+00:00,2026-05-03T04:15:00+00:00,2026-05-03T22:34:15.030000+00:00,2026-05-03T22:35:15.116000+00:00,2026-05-03T22:45:00+00:00,60.086,yes,81.0,79.0,78.0,584.884,42326,heartbeat:42326,kinetic_touch_score_15,0.7548188467943244,same_side_for>=60s AND confirm_score>=0.6,0.785,0.7719432754990885,40.51000000000931,0.456113449001823,0.7548188467943244,True,yes,True,2,19.0
kinetic_path_confirm,KXBTC15M-26MAY031900-00,2026-05-03T22:48:58.319509+00:00,2026-05-03T04:15:00+00:00,2026-05-03T22:48:01.195000+00:00,2026-05-03T22:49:01.282000+00:00,2026-05-03T23:00:00+00:00,60.087,yes,65.0,67.0,66.0,658.718,42387,heartbeat:42387,kinetic_touch_score_15,0.6569257411206918,same_side_for>=60s AND confirm_score>=0.6,0.665,0.6184456411179026,0.0,0.7631087177641949,0.6569257411206918,True,no,False,2,-69.0
kinetic_path_confirm,KXBTC15M-26MAY031915-15,2026-05-03T23:04:07.470047+00:00,2026-05-03T04:15:00+00:00,2026-05-03T23:03:02.650000+00:00,2026-05-03T23:04:02.706000+00:00,2026-05-03T23:15:00+00:00,60.056,yes,65.0,85.0,83.0,657.294,42528,heartbeat:42528,kinetic_touch_score_15,0.7589860995823969,same_side_for>=60s AND confirm_score>=0.6,0.84,0.7525081708578316,69.02999999999884,0.4949836582843367,0.7589860995823969,True,no,False,1,-86.0
kinetic_path_confirm,KXBTC15M-26MAY031930-30,2026-05-03T23:18:18.493525+00:00,2026-05-03T04:15:00+00:00,2026-05-03T23:16:03.781000+00:00,2026-05-03T23:17:03.868000+00:00,2026-05-03T23:30:00+00:00,60.087,no,68.0,75.0,74.0,776.132,42594,heartbeat:42594,kinetic_touch_score_15,0.7288421737835035,same_side_for>=60s AND confirm_score>=0.6,0.745,0.6759961379768328,0.0,0.6480077240463344,0.7288421737835035,True,no,True,2,23.0
kinetic_path_confirm,KXBTC15M-26MAY031945-45,2026-05-03T23:38:45.709997+00:00,2026-05-03T04:15:00+00:00,2026-05-03T23:35:50.577000+00:00,2026-05-03T23:36:50.691000+00:00,2026-05-03T23:45:00+00:00,60.114,no,60.0,74.0,73.0,489.309,42679,heartbeat:42679,kinetic_touch_score_15,0.6129729592460719,same_side_for>=60s AND confirm_score>=0.6,0.735,0.554338223473011,0.0,0.891323553053978,0.6129729592460719,True,no,True,2,24.0
kinetic_path_confirm,KXBTC15M-26MAY032000-00,2026-05-03T23:48:55.435142+00:00,2026-05-03T04:15:00+00:00,2026-05-03T23:47:36.490000+00:00,2026-05-03T23:48:36.632000+00:00,2026-05-04T00:00:00+00:00,60.142,no,53.0,63.0,61.0,683.368,42732,heartbeat:42732,kinetic_touch_score_15,0.6210385164437815,same_side_for>=60s AND confirm_score>=0.6,0.62,0.5892195966015296,0.0,0.8215608067969409,0.6210385164437815,True,no,True,2,35.0
kinetic_path_confirm,KXBTC15M-26MAY032015-15,2026-05-04T00:03:38.769749+00:00,2026-05-03T04:15:00+00:00,2026-05-04T00:01:07.904000+00:00,2026-05-04T00:02:08.025000+00:00,2026-05-04T00:15:00+00:00,60.121,no,69.0,69.0,68.0,771.975,42819,heartbeat:42819,kinetic_touch_score_15,0.7577734441413659,same_side_for>=60s AND confirm_score>=0.6,0.685,0.7710747670765411,0.0,0.4578504658469178,0.7577734441413659,True,no,True,2,29.0
kinetic_path_confirm,KXBTC15M-26MAY032030-30,2026-05-04T00:19:57.318285+00:00,2026-05-03T04:15:00+00:00,2026-05-04T00:17:39.359000+00:00,2026-05-04T00:18:39.474000+00:00,2026-05-04T00:30:00+00:00,60.115,no,75.0,69.0,68.0,680.526,42976,heartbeat:42976,kinetic_touch_score_15,0.7554827734556444,same_side_for>=60s AND confirm_score>=0.6,0.685,0.7671239066472628,0.0,0.4657521867054743,0.7554827734556444,True,no,True,2,29.0
kinetic_path_confirm,KXBTC15M-26MAY032045-45,2026-05-04T00:39:47.925643+00:00,2026-05-03T04:15:00+00:00,2026-05-04T00:38:11.191000+00:00,2026-05-04T00:39:11.248000+00:00,2026-05-04T00:45:00+00:00,60.057,no,78.0,80.0,79.0,348.752,43123,heartbeat:43123,kinetic_touch_score_15,0.6337392468678062,same_side_for>=60s AND confirm_score>=0.6,0.795,0.5911618679590476,35.95000000001164,0.8176762640819049,0.6337392468678062,True,no,True,2,18.0
kinetic_path_confirm,KXBTC15M-26MAY032100-00,2026-05-04T00:48:33.813916+00:00,2026-05-03T04:15:00+00:00,2026-05-04T00:46:12.052000+00:00,2026-05-04T00:47:12.115000+00:00,2026-05-04T01:00:00+00:00,60.063,yes,72.0,63.0,62.0,767.885,43161,heartbeat:43161,kinetic_touch_score_15,0.7105403911236857,same_side_for>=60s AND confirm_score>=0.6,0.625,0.7221743490982598,0.0,0.5556513018034803,0.7105403911236857,True,yes,True,2,35.0
kinetic_path_confirm,KXBTC15M-26MAY032115-15,2026-05-04T01:05:04.669595+00:00,2026-05-03T04:15:00+00:00,2026-05-04T01:02:13.838000+00:00,2026-05-04T01:03:13.909000+00:00,2026-05-04T01:15:00+00:00,60.071,no,81.0,87.0,86.0,706.091,43242,heartbeat:43242,kinetic_touch_score_15,0.7849012087975801,same_side_for>=60s AND confirm_score>=0.6,0.865,0.7445132045746939,28.720000000001164,0.5109735908506121,0.7849012087975801,True,no,True,1,12.0
kinetic_path_confirm,KXBTC15M-26MAY032130-30,2026-05-04T01:16:41.799807+00:00,2026-05-03T04:15:00+00:00,2026-05-04T01:16:00.076000+00:00,2026-05-04T01:17:00.111000+00:00,2026-05-04T01:30:00+00:00,60.035,yes,62.0,51.0,50.0,779.889,43303,heartbeat:43303,kinetic_touch_score_15,0.6565645975022378,same_side_for>=60s AND confirm_score>=0.6,0.505,0.7099488637201029,0.0,0.5801022725597942,0.6565645975022378,True,yes,True,2,47.0
kinetic_path_confirm,KXBTC15M-26MAY032145-45,2026-05-04T01:32:03.823654+00:00,2026-05-03T04:15:00+00:00,2026-05-04T01:30:46.396000+00:00,2026-05-04T01:32:16.527000+00:00,2026-05-04T01:45:00+00:00,90.131,yes,84.0,95.0,95.0,763.473,43377,heartbeat:43377,kinetic_touch_score_15,0.9120644450826128,same_side_for>=60s AND confirm_score>=0.6,0.95,0.8641289397352663,0.0,0.2717421205294674,0.9120644450826128,True,yes,True,1,4.0
kinetic_path_confirm,KXBTC15M-26MAY032200-00,2026-05-04T01:49:42.214250+00:00,2026-05-03T04:15:00+00:00,2026-05-04T01:48:02.822000+00:00,2026-05-04T01:49:02.931000+00:00,2026-05-04T02:00:00+00:00,60.109,yes,68.0,77.0,74.0,657.069,43456,heartbeat:43456,kinetic_touch_score_15,0.6954072659819351,same_side_for>=60s AND confirm_score>=0.6,0.755,0.7104929040075714,61.08999999999651,0.5790141919848573,0.6954072659819351,True,yes,True,2,21.0
kinetic_path_confirm,KXBTC15M-26MAY032215-15,2026-05-04T02:08:12.131527+00:00,2026-05-03T04:15:00+00:00,2026-05-04T02:05:34.575000+00:00,2026-05-04T02:07:04.763000+00:00,2026-05-04T02:15:00+00:00,90.188,yes,77.0,79.0,78.0,475.237,43545,heartbeat:43545,kinetic_touch_score_15,0.6793810812127309,same_side_for>=60s AND confirm_score>=0.6,0.785,0.6253616494151221,0.0,0.7492767011697559,0.6793810812127309,True,yes,True,2,19.0
kinetic_path_confirm,KXBTC15M-26MAY032230-30,2026-05-04T02:20:55.871520+00:00,2026-05-03T04:15:00+00:00,2026-05-04T02:18:50.833000+00:00,2026-05-04T02:19:50.925000+00:00,2026-05-04T02:30:00+00:00,60.092,no,70.0,70.0,69.0,609.075,43602,heartbeat:43602,kinetic_touch_score_15,0.60608156969391,same_side_for>=60s AND confirm_score>=0.6,0.695,0.6164601458215773,211.55999999999767,0.7670797083568455,0.60608156969391,True,no,True,2,28.0
