mode,family,label,observed_pass,target_pass,all_rows,all_wins,all_accuracy,all_retention,all_total_rows,all_contracts,all_contract_wins,all_trades,all_trade_wins,train_rows,train_wins,train_accuracy,train_retention,train_total_rows,train_contracts,train_contract_wins,train_trades,train_trade_wins,validation_rows,validation_wins,validation_accuracy,validation_retention,validation_total_rows,validation_contracts,validation_contract_wins,validation_trades,validation_trade_wins,holdout_rows,holdout_wins,holdout_accuracy,holdout_retention,holdout_total_rows,holdout_contracts,holdout_contract_wins,holdout_trades,holdout_trade_wins
favorite_minute_bucket,realized_vol_cushion,margin/rv15>=2,False,False,321,321,1.0,0.15077501174260216,2129,321,321,321,321,197,197,1.0,0.15426781519185592,1277,197,197,197,197,49,49,1.0,0.11502347417840375,426,49,49,49,49,75,75,1.0,0.176056338028169,426,75,75,75,75
favorite_minute_bucket,book_probability,book_mid>=0.95,False,False,502,501,0.99800796812749,0.23579145138562704,2129,502,501,502,501,321,320,0.9968847352024922,0.2513703993735317,1277,321,320,321,320,78,78,1.0,0.18309859154929578,426,78,78,78,78,103,103,1.0,0.24178403755868544,426,103,103,103,103
favorite_minute_bucket,book_probability_spread,book_mid>=0.95; spread<=5,False,False,502,501,0.99800796812749,0.23579145138562704,2129,502,501,502,501,321,320,0.9968847352024922,0.2513703993735317,1277,321,320,321,320,78,78,1.0,0.18309859154929578,426,78,78,78,78,103,103,1.0,0.24178403755868544,426,103,103,103,103
favorite_minute_bucket,book_probability_spread,book_mid>=0.95; spread<=10,False,False,502,501,0.99800796812749,0.23579145138562704,2129,502,501,502,501,321,320,0.9968847352024922,0.2513703993735317,1277,321,320,321,320,78,78,1.0,0.18309859154929578,426,78,78,78,78,103,103,1.0,0.24178403755868544,426,103,103,103,103
favorite_minute_bucket,book_probability_spread,book_mid>=0.95; spread<=2,False,False,501,500,0.998003992015968,0.2353217472992015,2129,501,500,501,500,321,320,0.9968847352024922,0.2513703993735317,1277,321,320,321,320,78,78,1.0,0.18309859154929578,426,78,78,78,78,102,102,1.0,0.23943661971830985,426,102,102,102,102
favorite_minute_bucket,brownian_rv30,Phi(margin/rv30)>=0.95,False,False,392,390,0.9948979591836735,0.18412400187881633,2129,392,390,392,390,247,245,0.9919028340080972,0.19342208300704777,1277,247,245,247,245,57,57,1.0,0.13380281690140844,426,57,57,57,57,88,88,1.0,0.20657276995305165,426,88,88,88,88
favorite_minute_bucket,brownian_rv15,Phi(margin/rv15)>=0.95,False,False,412,409,0.9927184466019418,0.1935180836073274,2129,412,409,412,409,260,257,0.9884615384615385,0.20360219263899765,1277,260,257,260,257,61,61,1.0,0.1431924882629108,426,61,61,61,61,91,91,1.0,0.2136150234741784,426,91,91,91,91
favorite_minute_bucket,book_physics_confirm,book_mid>=0.60; Phi(margin/rv15)>=0.95,False,False,412,409,0.9927184466019418,0.1935180836073274,2129,412,409,412,409,260,257,0.9884615384615385,0.20360219263899765,1277,260,257,260,257,61,61,1.0,0.1431924882629108,426,61,61,61,61,91,91,1.0,0.2136150234741784,426,91,91,91,91
favorite_minute_bucket,book_physics_confirm,book_mid>=0.70; Phi(margin/rv15)>=0.95,False,False,412,409,0.9927184466019418,0.1935180836073274,2129,412,409,412,409,260,257,0.9884615384615385,0.20360219263899765,1277,260,257,260,257,61,61,1.0,0.1431924882629108,426,61,61,61,61,91,91,1.0,0.2136150234741784,426,91,91,91,91
favorite_minute_bucket,book_physics_confirm,book_mid>=0.80; Phi(margin/rv15)>=0.95,False,False,412,409,0.9927184466019418,0.1935180836073274,2129,412,409,412,409,260,257,0.9884615384615385,0.20360219263899765,1277,260,257,260,257,61,61,1.0,0.1431924882629108,426,61,61,61,61,91,91,1.0,0.2136150234741784,426,91,91,91,91
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.95,False,False,408,405,0.9926470588235294,0.19163926726162517,2129,408,405,408,405,257,254,0.9883268482490273,0.20125293657008614,1277,257,254,257,254,61,61,1.0,0.1431924882629108,426,61,61,61,61,90,90,1.0,0.2112676056338028,426,90,90,90,90
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.90,False,False,540,536,0.9925925925925926,0.25364020666979803,2129,540,536,540,536,342,339,0.9912280701754386,0.2678151918559123,1277,342,339,342,339,83,82,0.9879518072289156,0.19483568075117372,426,83,82,83,82,115,115,1.0,0.2699530516431925,426,115,115,115,115
favorite_minute_bucket,realized_vol_cushion,margin/rv15>=1.5,False,False,462,458,0.9913419913419913,0.217003287928605,2129,462,458,462,458,289,286,0.9896193771626297,0.22631166797180893,1277,289,286,289,286,68,67,0.9852941176470589,0.1596244131455399,426,68,67,68,67,105,105,1.0,0.24647887323943662,426,105,105,105,105
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.80,False,False,632,623,0.9857594936708861,0.2968529826209488,2129,632,623,632,623,393,388,0.9872773536895675,0.307752545027408,1277,393,388,393,388,104,102,0.9807692307692307,0.24413145539906103,426,104,102,104,102,135,133,0.9851851851851852,0.31690140845070425,426,135,133,135,133
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.85,False,False,591,584,0.988155668358714,0.2775951150775012,2129,591,584,591,584,370,365,0.9864864864864865,0.2897415818324197,1277,370,365,370,365,96,94,0.9791666666666666,0.22535211267605634,426,96,94,96,94,125,125,1.0,0.2934272300469484,426,125,125,125,125
favorite_minute_bucket,realized_vol_cushion,margin/rv15>=1.25,False,False,591,584,0.988155668358714,0.2775951150775012,2129,591,584,591,584,371,366,0.9865229110512129,0.29052466718872355,1277,371,366,371,366,92,90,0.9782608695652174,0.215962441314554,426,92,90,92,90,128,128,1.0,0.3004694835680751,426,128,128,128,128
favorite_minute_bucket,brownian_rv15,Phi(margin/rv15)>=0.90,False,False,578,571,0.9878892733564014,0.271488961953969,2129,578,571,578,571,367,362,0.9863760217983651,0.2873923257635082,1277,367,362,367,362,86,84,0.9767441860465116,0.20187793427230047,426,86,84,86,84,125,125,1.0,0.2934272300469484,426,125,125,125,125
favorite_minute_bucket,book_physics_confirm,book_mid>=0.60; Phi(margin/rv15)>=0.90,False,False,578,571,0.9878892733564014,0.271488961953969,2129,578,571,578,571,367,362,0.9863760217983651,0.2873923257635082,1277,367,362,367,362,86,84,0.9767441860465116,0.20187793427230047,426,86,84,86,84,125,125,1.0,0.2934272300469484,426,125,125,125,125
favorite_minute_bucket,book_physics_confirm,book_mid>=0.70; Phi(margin/rv15)>=0.90,False,False,578,571,0.9878892733564014,0.271488961953969,2129,578,571,578,571,367,362,0.9863760217983651,0.2873923257635082,1277,367,362,367,362,86,84,0.9767441860465116,0.20187793427230047,426,86,84,86,84,125,125,1.0,0.2934272300469484,426,125,125,125,125
favorite_minute_bucket,book_physics_confirm,book_mid>=0.80; Phi(margin/rv15)>=0.90,False,False,576,569,0.9878472222222222,0.2705495537811179,2129,576,569,576,569,366,361,0.9863387978142076,0.28660924040720437,1277,366,361,366,361,86,84,0.9767441860465116,0.20187793427230047,426,86,84,86,84,124,124,1.0,0.29107981220657275,426,124,124,124,124
favorite_minute_bucket,book_probability,book_mid>=0.90,False,False,657,646,0.9832572298325722,0.3085955847815876,2129,657,646,657,646,404,398,0.9851485148514851,0.3163664839467502,1277,404,398,404,398,113,110,0.9734513274336283,0.2652582159624413,426,113,110,113,110,140,138,0.9857142857142858,0.3286384976525822,426,140,138,140,138
favorite_minute_bucket,book_probability_spread,book_mid>=0.90; spread<=5,False,False,657,646,0.9832572298325722,0.3085955847815876,2129,657,646,657,646,404,398,0.9851485148514851,0.3163664839467502,1277,404,398,404,398,113,110,0.9734513274336283,0.2652582159624413,426,113,110,113,110,140,138,0.9857142857142858,0.3286384976525822,426,140,138,140,138
favorite_minute_bucket,book_probability_spread,book_mid>=0.90; spread<=10,False,False,657,646,0.9832572298325722,0.3085955847815876,2129,657,646,657,646,404,398,0.9851485148514851,0.3163664839467502,1277,404,398,404,398,113,110,0.9734513274336283,0.2652582159624413,426,113,110,113,110,140,138,0.9857142857142858,0.3286384976525822,426,140,138,140,138
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.50,False,False,657,646,0.9832572298325722,0.3085955847815876,2129,657,646,657,646,404,398,0.9851485148514851,0.3163664839467502,1277,404,398,404,398,113,110,0.9734513274336283,0.2652582159624413,426,113,110,113,110,140,138,0.9857142857142858,0.3286384976525822,426,140,138,140,138
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.55,False,False,657,646,0.9832572298325722,0.3085955847815876,2129,657,646,657,646,404,398,0.9851485148514851,0.3163664839467502,1277,404,398,404,398,113,110,0.9734513274336283,0.2652582159624413,426,113,110,113,110,140,138,0.9857142857142858,0.3286384976525822,426,140,138,140,138
favorite_minute_bucket,book_probability_spread,book_mid>=0.90; spread<=2,False,False,656,645,0.9832317073170732,0.30812588069516206,2129,656,645,656,645,404,398,0.9851485148514851,0.3163664839467502,1277,404,398,404,398,113,110,0.9734513274336283,0.2652582159624413,426,113,110,113,110,139,137,0.9856115107913669,0.32629107981220656,426,139,137,139,137
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.60,False,False,656,645,0.9832317073170732,0.30812588069516206,2129,656,645,656,645,404,398,0.9851485148514851,0.3163664839467502,1277,404,398,404,398,113,110,0.9734513274336283,0.2652582159624413,426,113,110,113,110,139,137,0.9856115107913669,0.32629107981220656,426,139,137,139,137
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.65,False,False,654,643,0.9831804281345565,0.30718647252231096,2129,654,643,654,643,403,397,0.9851116625310173,0.3155833985904464,1277,403,397,403,397,113,110,0.9734513274336283,0.2652582159624413,426,113,110,113,110,138,136,0.9855072463768116,0.323943661971831,426,138,136,138,136
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.70,False,False,651,640,0.9831029185867896,0.3057773602630343,2129,651,640,651,640,403,397,0.9851116625310173,0.3155833985904464,1277,403,397,403,397,111,108,0.972972972972973,0.2605633802816901,426,111,108,111,108,137,135,0.9854014598540146,0.3215962441314554,426,137,135,137,135
favorite_minute_bucket,book_physics_confirm,book_mid>=0.90; Phi(margin/rv15)>=0.75,False,False,646,635,0.9829721362229102,0.3034288398309065,2129,646,635,646,635,401,395,0.9850374064837906,0.3140172278778387,1277,401,395,401,395,109,106,0.9724770642201835,0.25586854460093894,426,109,106,109,106,136,134,0.9852941176470589,0.3192488262910798,426,136,134,136,134
favorite_minute_bucket,brownian_rv30,Phi(margin/rv30)>=0.90,False,False,551,542,0.9836660617059891,0.2588069516204791,2129,551,542,551,542,346,341,0.9855491329479769,0.27094753328112764,1277,346,341,346,341,85,82,0.9647058823529412,0.19953051643192488,426,85,82,85,82,120,119,0.9916666666666667,0.28169014084507044,426,120,119,120,119
favorite_minute_bucket,realized_vol_cushion,margin/rv15>=1,False,False,705,688,0.975886524822695,0.3311413809300141,2129,705,688,705,688,441,431,0.9773242630385488,0.34534064212999216,1277,441,431,441,431,111,107,0.963963963963964,0.2605633802816901,426,111,107,111,107,153,150,0.9803921568627451,0.3591549295774648,426,153,150,153,150
favorite_minute_bucket,book_physics_confirm,book_mid>=0.80; Phi(margin/rv15)>=0.85,False,False,672,659,0.9806547619047619,0.3156411460779709,2129,672,659,672,659,426,417,0.9788732394366197,0.3335943617854346,1277,426,417,426,417,105,101,0.9619047619047619,0.24647887323943662,426,105,101,105,101,141,141,1.0,0.33098591549295775,426,141,141,141,141
favorite_minute_bucket,brownian_rv15,Phi(margin/rv15)>=0.85,False,False,681,667,0.9794419970631424,0.31986848285580083,2129,681,667,681,667,428,419,0.9789719626168224,0.3351605324980423,1277,428,419,428,419,105,101,0.9619047619047619,0.24647887323943662,426,105,101,105,101,148,147,0.9932432432432432,0.3474178403755869,426,148,147,148,147
favorite_minute_bucket,book_physics_confirm,book_mid>=0.60; Phi(margin/rv15)>=0.85,False,False,681,667,0.9794419970631424,0.31986848285580083,2129,681,667,681,667,428,419,0.9789719626168224,0.3351605324980423,1277,428,419,428,419,105,101,0.9619047619047619,0.24647887323943662,426,105,101,105,101,148,147,0.9932432432432432,0.3474178403755869,426,148,147,148,147
favorite_minute_bucket,book_physics_confirm,book_mid>=0.70; Phi(margin/rv15)>=0.85,False,False,681,667,0.9794419970631424,0.31986848285580083,2129,681,667,681,667,428,419,0.9789719626168224,0.3351605324980423,1277,428,419,428,419,105,101,0.9619047619047619,0.24647887323943662,426,105,101,105,101,148,147,0.9932432432432432,0.3474178403755869,426,148,147,148,147
favorite_minute_bucket,brownian_rv30,Phi(margin/rv30)>=0.85,False,False,668,647,0.968562874251497,0.3137623297322687,2129,668,647,668,647,415,406,0.9783132530120482,0.3249804228660924,1277,415,406,415,406,107,101,0.9439252336448598,0.2511737089201878,426,107,101,107,101,146,140,0.958904109589041,0.3427230046948357,426,146,140,146,140
favorite_minute_bucket,book_probability,book_mid>=0.85,False,False,786,763,0.9707379134860051,0.3691874119304838,2129,786,763,786,763,480,469,0.9770833333333333,0.37588097102584184,1277,480,469,480,469,142,134,0.9436619718309859,0.3333333333333333,426,142,134,142,134,164,160,0.975609756097561,0.38497652582159625,426,164,160,164,160
favorite_minute_bucket,book_probability_spread,book_mid>=0.85; spread<=5,False,False,786,763,0.9707379134860051,0.3691874119304838,2129,786,763,786,763,480,469,0.9770833333333333,0.37588097102584184,1277,480,469,480,469,142,134,0.9436619718309859,0.3333333333333333,426,142,134,142,134,164,160,0.975609756097561,0.38497652582159625,426,164,160,164,160
