lock_name,registered_utc,event_dt,market,close_dt,side,exit_reason,entry_basis_cents,exit_bid_cents,exit_target_count,p_hold,fair_drawdown_cents,d_sigma,sigma_t_dollars,btc_age_ms,book_age_ms,actual_exit_pnl_dollars,outcome_available,market_result,hold_to_settlement_pnl_dollars,suppress_exit_delta_dollars
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T01:33:40.378670+00:00,KXBTC15M-26MAY042145-45,2026-05-05T01:45:00+00:00,no,mushroom_v28_probability_collapse_full,83.0,70.0,2.0,0.704678,12.532163,0.443383,71.258998,625.0,62.0,-0.26,True,yes,-1.66,-1.4
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T03:47:03.102627+00:00,KXBTC15M-26MAY050000-00,2026-05-05T04:00:00+00:00,no,mushroom_v28_probability_collapse_full,83.0,69.0,2.0,0.710713,11.928676,0.447398,107.812311,766.0,16.0,-0.28,True,no,0.34,0.6200000000000001
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:24.273917+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,61.0,1.0,0.695467,8.453256,-0.450313,78.33433,125.0,32.0,-0.17,True,no,-0.78,-0.61
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:25.274154+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,61.0,1.0,0.719229,6.077084,-0.498282,78.238855,672.0,16.0,-0.17,True,no,-0.78,-0.61
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:43.276675+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,62.0,1.0,0.707212,7.27877,-0.477027,76.431709,110.0,16.0,-0.16,True,no,-0.78,-0.62
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:44.273886+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,60.0,1.0,0.706089,7.391087,-0.473798,76.33,125.0,16.0,-0.18,True,no,-0.78,-0.6000000000000001
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:45.275119+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,60.0,1.0,0.706315,7.36854,-0.474429,76.228434,1125.0,16.0,-0.18,True,no,-0.78,-0.6000000000000001
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:47.274105+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,59.0,1.0,0.710931,6.90694,-0.47958,76.024914,47.0,16.0,-0.19,True,no,-0.78,-0.5900000000000001
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:48.278181+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,62.0,1.0,0.711163,6.883685,-0.480225,75.922689,1047.0,16.0,-0.16,True,no,-0.78,-0.62
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:53.264862+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,60.0,1.0,0.71233,6.767019,-0.483481,75.411472,594.0,16.0,-0.18,True,no,-0.78,-0.6000000000000001
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:54.269096+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,61.0,1.0,0.690015,8.998499,-0.441404,75.305154,860.0,0.0,-0.17,True,no,-0.78,-0.61
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:08:57.275111+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,64.0,1.0,0.714821,6.517857,-0.49061,74.998544,688.0,47.0,-0.14,True,no,-0.78,-0.64
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:09:00.268676+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,62.0,1.0,0.695877,8.412283,-0.437879,74.358447,94.0,16.0,-0.16,True,no,-0.78,-0.62
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:09:01.275002+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,61.0,1.0,0.696099,8.390071,-0.438493,74.254367,1094.0,47.0,-0.17,True,no,-0.78,-0.61
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T04:09:09.273906+00:00,KXBTC15M-26MAY050015-15,2026-05-05T04:15:00+00:00,yes,mushroom_v28_probability_collapse_full,78.0,54.0,1.0,0.679752,10.024833,-0.406848,73.123207,235.0,16.0,-0.24,True,no,-0.78,-0.54
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T13:34:47.161159+00:00,KXBTC15M-26MAY050945-45,2026-05-05T13:45:00+00:00,no,mushroom_v28_probability_collapse_full,59.0,51.0,2.0,0.66917,-7.916983,0.396683,112.684535,359.0,62.0,-0.16,True,no,0.82,0.98
live_v28_collapse_sigma_drawdown_suppress_shadow,2026-05-07T01:39:26.563993+00:00,2026-05-05T13:54:51.846777+00:00,KXBTC15M-26MAY051000-00,2026-05-05T14:00:00+00:00,yes,mushroom_v28_probability_collapse_full,84.0,58.0,4.0,0.71453,12.546998,-0.471281,80.482736,234.0,0.0,-1.04,True,no,-3.36,-2.32
