rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_actual_exit_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,strict_pass
suppress_exit_if_btc_age_ms>=500,89,0.26646706586826346,-44.799899999999994,14.330000000000013,68,21,-16.19,-22.18,-6.429900000000001,False
suppress_exit_if_exit_bid_cents<=65,72,0.2155688622754491,-50.39085200000001,8.739047999999997,38,34,-14.650952000000004,-18.84,-16.899900000000002,False
suppress_exit_if_p_hold<=0.72,77,0.23053892215568864,-55.189082,3.9408180000000073,42,35,-20.449180000000002,-20.930002,-13.8099,False
suppress_exit_if_btc_age_ms<=100,116,0.3473053892215569,-57.320002,1.809898000000004,82,34,-30.880000000000003,-19.830002,-6.610000000000002,False
suppress_exit_if_sigma_t_dollars>=150,14,0.041916167664670656,-58.209900000000005,0.9200000000000017,10,4,-21.240000000000002,-22.810000000000002,-14.159899999999999,False
suppress_exit_if_btc_age_ms>=800,29,0.08682634730538923,-58.859899999999996,0.27000000000001023,21,8,-23.060000000000002,-24.82,-10.979899999999999,False
suppress_exit_if_sigma_t_dollars>=100,65,0.19461077844311378,-60.22990000000001,-1.1000000000000014,45,20,-19.17,-24.31,-16.7499,False
suppress_exit_if_fair_drawdown_cents<=-2,103,0.3083832335329341,-60.56999999999999,-1.4400999999999868,85,18,-21.62,-25.01,-13.94,False
suppress_exit_if_fair_drawdown_cents>=8,75,0.2245508982035928,-63.930034000000006,-4.800134,39,36,-32.300132000000005,-18.340002000000002,-13.2899,False
suppress_exit_if_p_hold>=0.8,75,0.2245508982035928,-65.41,-6.28009999999999,66,9,-23.96,-27.799999999999997,-13.649999999999997,False
suppress_exit_if_exit_bid_cents>=85,83,0.24850299401197604,-65.53999999999999,-6.410099999999986,73,10,-23.669999999999998,-27.49,-14.379999999999997,False
suppress_exit_if_exit_bid_cents>=80,105,0.3143712574850299,-66.69,-7.560099999999991,89,16,-26.63,-25.77,-14.289999999999997,False
suppress_exit_if_p_hold>=0.85,60,0.17964071856287425,-67.17,-8.040099999999995,53,7,-24.79,-28.11,-14.269999999999998,False
