entry_ts,market,side,qty,entry_trigger_cents,entry_fill_event_ts_list,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_accounting_source,entry_fee_cents,entry_notional_dollars,entry_exchange_qty,entry_exchange_fill_ids,entry_api_fill_ids,exit_ts,exit_trigger_cents,exit_fill_event_ts_list,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_accounting_source,exit_fee_cents,exit_notional_dollars,exit_exchange_qty,exit_exchange_fill_ids,exit_api_fill_ids,total_fees_dollars,outcome,resolution_source,accounting_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts,exit_dt_utc,market_result_full,resolved,hold_to_settlement_pnl_dollars,exit_value_delta_dollars,exit_event_dt_utc,exit_market,exit_side,exit_exit_reason,exit_stop_tier,exit_exit_bid_cents,exit_entry_basis_cents,exit_p_hold,exit_fair_hold_cents,exit_hold_net_cents,exit_exit_net_cents,exit_fair_drawdown_cents,exit_d_sigma,exit_sigma_t_dollars,exit_book_age_ms,exit_btc_age_ms,exit_match_abs_diff_seconds,matched_exit_signal,split,entry_dt_utc,position_seconds,entry_to_exit_loss_cents,fair_minus_exit_bid_cents,exit_was_hurtful,exit_was_helpful
2026-05-01 07:33:55,KXBTC15M-26MAY010745-45,yes,2.0,69,2026-05-01 07:33:55,69.0,69.0,69.0,kalshi_api,3.0,1.38,2.0,aa1a8283-433c-4909-116b-4af6f4c64237,aa1a8283-433c-4909-116b-4af6f4c64237,2026-05-01 07:34:29,53.0,2026-05-01 07:34:30,53.0,53.0,53.0,kalshi_api,4.0,1.06,2.0,31ad0b9d-6c1f-66c1-8a76-bda316ee7ed7,31ad0b9d-6c1f-66c1-8a76-bda316ee7ed7,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.32,-0.39,-28.2609,-23.1884,,,,2026-05-01 11:34:29+00:00,yes,True,0.62,-1.01,2026-05-01 11:34:29.982688+00:00,KXBTC15M-26MAY010745-45,yes,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,53.0,69.0,0.653513,65.351271,64.351271,50.0,3.648729,-0.328396,68.332231,47.0,0.0,0.982688,True,train,2026-05-01 11:33:55+00:00,34.0,16.0,12.351270999999997,True,False
2026-05-01 08:01:10,KXBTC15M-26MAY010815-15,yes,2.0,61,2026-05-01 08:01:10,61.0,61.0,61.0,kalshi_api,4.0,1.22,2.0,5f86f7f6-f961-74c6-3e39-683aaf834309,5f86f7f6-f961-74c6-3e39-683aaf834309,2026-05-01 08:01:43,41.0,2026-05-01 08:01:43,41.0,41.0,41.0,kalshi_api,4.0,0.82,2.0,be076d7f-5016-6422-3285-86ea13714124,be076d7f-5016-6422-3285-86ea13714124,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.4,-0.48,-39.3443,-32.7869,,,,2026-05-01 12:01:43+00:00,yes,True,0.78,-1.26,2026-05-01 12:01:43.855826+00:00,KXBTC15M-26MAY010815-15,yes,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,41.0,61.0,0.461257,46.125661,45.125661,38.0,14.874339,0.052771,61.49266,78.0,0.0,0.855826,True,train,2026-05-01 12:01:10+00:00,33.0,20.0,5.125661000000001,True,False
2026-05-01 08:02:26,KXBTC15M-26MAY010815-15,yes,4.0,63,2026-05-01 08:02:26|2026-05-01 08:04:27,66.0,65.5,65.5,kalshi_api,8.0,2.62,4.0,fa2a4d4d-8673-5e71-1ced-30cbb0fd471e|1cb9db8d-5812-4a01-3603-540f2e2b89f2,fa2a4d4d-8673-5e71-1ced-30cbb0fd471e|1cb9db8d-5812-4a01-3603-540f2e2b89f2,2026-05-01 08:04:57,55.0,2026-05-01 08:04:57,55.0,55.0,55.0,kalshi_api,7.0,2.2,4.0,ae20287d-d5b4-6b66-9aec-ccf837892f5f,ae20287d-d5b4-6b66-9aec-ccf837892f5f,0.15,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.42,-0.57,-21.7557,-16.0305,,,,2026-05-01 12:04:57+00:00,yes,True,1.38,-1.95,2026-05-01 12:04:57.769311+00:00,KXBTC15M-26MAY010815-15,yes,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,55.0,66.0,0.715639,71.563919,70.563919,52.25,-5.563919,-0.491954,55.218595,15.0,234.0,0.769311,True,train,2026-05-01 12:02:26+00:00,151.0,10.5,16.563919,True,False
2026-05-01 08:16:26,KXBTC15M-26MAY010830-30,yes,2.0,65,2026-05-01 08:16:27,65.0,65.0,65.0,kalshi_api,4.0,1.3,2.0,060e04c5-bf18-6ed8-a021-c523e5afc562,060e04c5-bf18-6ed8-a021-c523e5afc562,2026-05-01 08:16:57,52.0,2026-05-01 08:16:57,52.0,52.0,52.0,kalshi_api,4.0,1.04,2.0,f9949b0b-00b0-51b1-888a-197b67cb6389,f9949b0b-00b0-51b1-888a-197b67cb6389,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.26,-0.34,-26.1538,-20.0,,,,2026-05-01 12:16:57+00:00,yes,True,0.7,-1.04,2026-05-01 12:16:57.698331+00:00,KXBTC15M-26MAY010830-30,yes,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,52.0,65.0,0.619262,61.926204,60.926204,49.0,3.073796,-0.314833,73.721633,31.0,562.0,0.698331,True,train,2026-05-01 12:16:26+00:00,31.0,13.0,9.926203999999998,True,False
2026-05-01 08:46:22,KXBTC15M-26MAY010900-00,yes,2.0,68,2026-05-01 08:46:22,68.0,,68.0,bot_log_estimate,0.0,1.36,,,,2026-05-01 08:46:52,55.0,2026-05-01 08:46:53,55.0,,55.0,none,0.0,1.1,,,,0.0,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.26,-0.26,-19.1176,-19.1176,,,,2026-05-01 12:46:52+00:00,yes,True,0.64,-0.9,2026-05-01 12:46:52.991396+00:00,KXBTC15M-26MAY010900-00,yes,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,55.0,68.0,0.639109,63.910894,62.910894,52.0,4.089106,-0.358864,104.789018,0.0,750.0,0.991396,True,train,2026-05-01 12:46:22+00:00,30.0,13.0,8.910893999999999,True,False
2026-05-01 09:39:41,KXBTC15M-26MAY010945-45,no,2.0,72,2026-05-01 09:39:41,72.0,72.0,72.0,kalshi_api,3.0,1.44,2.0,23f5b93d-dd7e-41b2-cc35-7600a5876a97,23f5b93d-dd7e-41b2-cc35-7600a5876a97,2026-05-01 09:40:12,59.0,2026-05-01 09:40:12,59.0,59.0,59.0,kalshi_api,3.15,1.0915,1.85,ec95182f-df4e-50e0-68d5-76fb4125f20e,ec95182f-df4e-50e0-68d5-76fb4125f20e,0.0615,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.3485,-0.41,-28.4722,-24.2014,,,,2026-05-01 13:40:12+00:00,no,True,0.56,-0.97,2026-05-01 13:40:12.439521+00:00,KXBTC15M-26MAY010945-45,no,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,59.0,72.0,0.636998,63.699789,62.699789,56.0,8.300211,0.338609,73.536053,0.0,422.0,0.439521,True,train,2026-05-01 13:39:41+00:00,31.0,13.0,4.699789000000003,True,False
2026-05-01 11:23:55,KXBTC15M-26MAY011130-30,yes,2.0,84,2026-05-01 11:23:55,84.0,82.459,82.459,kalshi_api,2.8,2.012,2.44,a15c8ce2-3a9d-789d-1a93-9f1cb4b7b65d|c17a62d3-0ae5-5cd9-0403-32296bc50540,a15c8ce2-3a9d-789d-1a93-9f1cb4b7b65d|c17a62d3-0ae5-5cd9-0403-32296bc50540,2026-05-01 11:24:48,67.0,2026-05-01 11:24:49,67.0,67.0,67.0,kalshi_api,4.0,1.34,2.0,fefbd307-99f4-71e3-a8f2-14fed9ce3497,fefbd307-99f4-71e3-a8f2-14fed9ce3497,0.068,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.672,-0.74,-36.7793,-33.3996,,,,2026-05-01 15:24:48+00:00,yes,True,0.3508199999999999,-1.09082,2026-05-01 15:24:48.977646+00:00,KXBTC15M-26MAY011130-30,yes,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,67.0,84.0,0.719644,71.964359,70.964359,64.0,12.035641,-0.519441,85.515024,0.0,235.0,0.977646,True,train,2026-05-01 15:23:55+00:00,53.0,15.459000000000003,4.964359000000002,True,False
2026-05-01 20:41:25,KXBTC15M-26MAY012045-45,no,2.0,63,2026-05-01 20:41:25,63.0,63.0,63.0,kalshi_api,4.0,1.26,2.0,f8e413d5-536e-4dd1-e926-7d881d8a30e7,f8e413d5-536e-4dd1-e926-7d881d8a30e7,2026-05-01 20:42:08,38.0,2026-05-01 20:42:08,38.0,38.0,38.0,kalshi_api,4.0,0.76,2.0,02cff669-1577-48fd-d3b1-eb9611b8f752,02cff669-1577-48fd-d3b1-eb9611b8f752,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.5,-0.58,-46.0317,-39.6825,,,,2026-05-02 00:42:08+00:00,yes,True,-1.26,0.68,2026-05-02 00:42:08.275719+00:00,KXBTC15M-26MAY012045-45,no,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,38.0,63.0,0.5366,53.659997,52.659997,35.0,9.340003,0.084548,28.504587,0.0,312.0,0.275719,True,train,2026-05-02 00:41:25+00:00,43.0,25.0,15.659996999999997,False,True
2026-05-01 22:06:50,KXBTC15M-26MAY012215-15,yes,4.0,77,2026-05-01 22:06:50|2026-05-01 22:09:45,60.0,59.5,59.5,kalshi_api,7.0,2.38,4.0,2dfab5bd-f165-417c-dcb9-cddf5d575ca9|c4f9703f-9fbf-7b8f-568f-bb3aed6bbd8b,2dfab5bd-f165-417c-dcb9-cddf5d575ca9|c4f9703f-9fbf-7b8f-568f-bb3aed6bbd8b,2026-05-01 22:10:20,18.0,2026-05-01 22:10:20,18.0,18.0,18.0,kalshi_api,5.0,0.72,4.0,7a5f398e-97ce-50ea-8dfc-db86ff2cac48,7a5f398e-97ce-50ea-8dfc-db86ff2cac48,0.12,exited_before_settlement,bot_exit_signal,kalshi_api,,-1.66,-1.78,-74.7899,-69.7479,,,,2026-05-02 02:10:20+00:00,no,True,-2.38,0.5999999999999999,2026-05-02 02:10:20.799746+00:00,KXBTC15M-26MAY012215-15,yes,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,18.0,60.0,0.505481,50.548143,49.548143,15.75,9.451857,-0.000829,36.203977,15.0,390.0,0.799746,True,train,2026-05-02 02:06:50+00:00,210.0,41.5,32.548143,False,True
2026-05-02 17:45:54,KXBTC15M-26MAY021800-00,yes,2.0,77,2026-05-02 17:45:54,77.0,77.0,77.0,kalshi_api,3.0,1.54,2.0,446c3a03-8cbf-6c64-6bb7-2e1c64eb69dc,446c3a03-8cbf-6c64-6bb7-2e1c64eb69dc,2026-05-02 17:46:24,57.0,2026-05-02 17:46:24,57.0,57.0,57.0,kalshi_api,4.0,1.14,2.0,6fd34465-cf6d-7178-468a-4a505cbf517e,6fd34465-cf6d-7178-468a-4a505cbf517e,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.4,-0.47,-30.5195,-25.974,,,,2026-05-02 21:46:24+00:00,no,True,-1.54,1.07,2026-05-02 21:46:24.754848+00:00,KXBTC15M-26MAY021800-00,yes,mushroom_v28_probability_collapse_full,mushroom_v28_probability_collapse_full,57.0,77.0,0.569317,56.931717,55.931717,54.0,20.068283,-0.220894,160.121718,0.0,266.0,0.754848,True,train,2026-05-02 21:45:54+00:00,30.0,20.0,-0.06828300000000098,False,True
