rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,25,0.373134328358209,-23.9,16.52000000000001,18,7,-17.720000000000002,-4.84,-1.3399999999999999,15,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,28,0.417910447761194,-24.999999999999996,15.420000000000012,19,9,-16.74,-6.920000000000002,-1.3399999999999999,16,8,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,22,0.3283582089552239,-25.779999999999998,14.640000000000011,15,7,-18.28,-4.84,-2.66,14,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,15,0.22388059701492538,-26.939999999999998,13.480000000000011,10,5,-18.740000000000002,-4.84,-3.3600000000000003,8,6,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,7,0.1044776119402985,-27.759999999999998,12.66000000000001,7,0,-17.86,-4.4399999999999995,-5.46,3,4,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND exit_sigma_t_dollars>=75,11,0.16417910447761194,-28.12,12.300000000000008,7,4,-17.82,-4.84,-5.46,5,6,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,20,0.29850746268656714,-28.9,11.52000000000001,15,5,-18.62,-8.94,-1.3399999999999999,14,2,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,7,0.1044776119402985,-29.58,10.84000000000001,6,1,-14.039999999999997,-10.080000000000002,-5.46,5,2,0,True,True
suppress_collapse_exit_if_exit_p_hold<=0.6 AND exit_sigma_t_dollars>=75,13,0.19402985074626866,-30.2,10.22000000000001,7,6,-17.82,-6.920000000000002,-5.46,5,8,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=20 AND exit_btc_age_ms<=100,7,0.1044776119402985,-30.279999999999998,10.140000000000011,5,2,-19.580000000000002,-5.240000000000001,-5.46,1,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=20,12,0.1791044776119403,-30.44,9.980000000000008,7,5,-20.140000000000004,-4.84,-5.46,6,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,23,0.34328358208955223,-30.859999999999996,9.560000000000013,15,8,-16.96,-12.560000000000002,-1.3399999999999999,13,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,19,0.2835820895522388,-30.900000000000002,9.520000000000007,12,7,-18.520000000000003,-6.920000000000002,-5.46,11,8,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,22,0.3283582089552239,-31.019999999999996,9.400000000000013,16,6,-18.660000000000004,-11.020000000000001,-1.3399999999999999,14,4,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,9,0.13432835820895522,-31.14,9.280000000000008,9,0,-15.219999999999997,-14.580000000000002,-1.3399999999999999,5,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,24,0.3582089552238806,-31.159999999999997,9.260000000000012,16,8,-17.26,-12.560000000000002,-1.3399999999999999,14,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=5,14,0.208955223880597,-31.479999999999997,8.940000000000012,9,5,-16.259999999999998,-12.560000000000002,-2.66,6,6,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,7,0.1044776119402985,-31.5,8.920000000000009,5,2,-15.959999999999997,-10.080000000000002,-5.46,5,2,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=8,12,0.1791044776119403,-31.900000000000002,8.520000000000007,10,2,-15.979999999999999,-14.580000000000002,-1.3399999999999999,8,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=15,4,0.05970149253731343,-32.1,8.320000000000007,4,0,-16.56,-10.080000000000002,-5.46,2,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=300,15,0.22388059701492538,-32.260000000000005,8.160000000000004,10,5,-20.280000000000005,-6.520000000000001,-5.46,9,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=90,6,0.08955223880597014,-32.300000000000004,8.120000000000005,5,1,-17.900000000000002,-8.94,-5.46,4,2,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents<=70 AND exit_sigma_t_dollars>=50,15,0.22388059701492538,-32.68,7.740000000000009,8,7,-13.859999999999998,-13.360000000000001,-5.46,7,8,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=8,9,0.13432835820895522,-32.84,7.580000000000005,8,1,-16.919999999999998,-14.580000000000002,-1.3399999999999999,5,0,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_fair_drawdown_cents<=8,7,0.1044776119402985,-33.040000000000006,7.380000000000003,7,0,-17.12,-14.580000000000002,-1.3399999999999999,3,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=90,22,0.3283582089552239,-33.120000000000005,7.300000000000004,14,8,-19.220000000000002,-12.560000000000002,-1.3399999999999999,12,6,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=12,9,0.13432835820895522,-33.38,7.040000000000006,8,1,-17.46,-14.580000000000002,-1.3399999999999999,5,0,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents<=45 AND exit_sigma_t_dollars>=75,5,0.07462686567164178,-33.480000000000004,6.940000000000005,3,2,-17.54,-10.48,-5.46,1,4,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents<=45 AND exit_btc_age_ms<=300,9,0.13432835820895522,-33.78000000000001,6.640000000000001,5,4,-20.040000000000003,-8.280000000000001,-5.46,3,6,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND position_seconds<=45,23,0.34328358208955223,-33.84,6.580000000000005,17,6,-16.96,-13.3,-3.58,15,2,6,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND entry_to_exit_loss_cents>=10,8,0.11940298507462686,-33.90000000000001,6.519999999999996,6,2,-16.66,-14.580000000000002,-2.66,6,0,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND fair_minus_exit_bid_cents>=15,5,0.07462686567164178,-33.90000000000001,6.519999999999996,3,2,-18.360000000000003,-10.080000000000002,-5.46,3,2,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND exit_sigma_t_dollars>=75,13,0.19402985074626866,-33.98000000000001,6.439999999999998,11,2,-18.060000000000002,-14.580000000000002,-1.3399999999999999,9,0,4,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=300 AND fair_minus_exit_bid_cents>=15,6,0.08955223880597014,-34.00000000000001,6.420000000000002,4,2,-18.460000000000004,-10.080000000000002,-5.46,4,2,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=10,8,0.11940298507462686,-34.02000000000001,6.399999999999999,7,1,-18.1,-14.580000000000002,-1.3399999999999999,4,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND position_seconds<=180,11,0.16417910447761194,-34.12000000000001,6.299999999999997,9,2,-18.200000000000003,-14.580000000000002,-1.3399999999999999,7,0,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=300,13,0.19402985074626866,-34.16000000000001,6.259999999999998,9,4,-20.160000000000004,-8.54,-5.46,7,6,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=500,13,0.19402985074626866,-34.16000000000001,6.259999999999998,9,4,-20.160000000000004,-8.54,-5.46,7,6,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_sigma_t_dollars>=75,7,0.1044776119402985,-34.26000000000001,6.159999999999997,6,1,-19.860000000000003,-8.94,-5.46,5,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=180,4,0.05970149253731343,-34.26000000000001,6.159999999999997,3,1,-19.860000000000003,-8.94,-5.46,2,2,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND position_seconds>=180,5,0.07462686567164178,-34.34000000000001,6.079999999999998,3,2,-19.940000000000005,-8.94,-5.46,3,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=10,5,0.07462686567164178,-34.42000000000001,6.0,4,1,-18.880000000000006,-10.080000000000002,-5.46,3,2,0,True,True
