market,heartbeat_rows,first_entry_dt,last_entry_dt,close_dt,outcome,min_ask,median_ask,max_seconds_to_close,min_seconds_to_close,score_min_book_rv15_max,score_min_book_rv15_side,score_min_book_rv15_ask,score_min_book_rv15_sec,score_min_book_rv15_win,score_regime_blend_max,score_regime_blend_side,score_regime_blend_ask,score_regime_blend_sec,score_regime_blend_win,brownian_p_rv_30m_max,brownian_p_rv_30m_side,brownian_p_rv_30m_ask,brownian_p_rv_30m_sec,brownian_p_rv_30m_win,brownian_p_rv_15m_max,brownian_p_rv_15m_side,brownian_p_rv_15m_ask,brownian_p_rv_15m_sec,brownian_p_rv_15m_win,book_p_side_max,book_p_side_side,book_p_side_ask,book_p_side_sec,book_p_side_win,drift_p_5m_rv_15m_max,drift_p_5m_rv_15m_side,drift_p_5m_rv_15m_ask,drift_p_5m_rv_15m_sec,drift_p_5m_rv_15m_win,economical_score_min_book_rv15_max,economical_score_min_book_rv15_side,economical_score_min_book_rv15_ask,economical_score_min_book_rv15_sec,economical_score_min_book_rv15_win,source,candidate
KXBTC15M-26MAY021300-00,12,2026-05-02 16:58:37.708000+00:00,2026-05-02 16:59:52.829000+00:00,2026-05-02 17:00:00+00:00,no,1.0,50.5,82.292,7.171,0.80504911062933,no,100.0,7.171,True,0.9056310176824438,no,100.0,7.171,True,0.8351089679466674,no,100.0,7.171,True,0.80504911062933,no,100.0,7.171,True,0.995,no,100.0,7.171,True,0.8330814224682236,no,100.0,7.171,True,0.5262748065211001,yes,59.0,82.292,False,locked_interval_candidates,economical_score_min_book_rv15_20260502_1511
KXBTC15M-26MAY021330-30,118,2026-05-02 17:15:24.250000+00:00,2026-05-02 17:29:55.423000+00:00,2026-05-02 17:30:00+00:00,yes,1.0,50.5,875.75,4.577,0.8948023495210207,yes,100.0,4.577,True,0.9407241156334424,yes,100.0,4.577,True,0.8679991969603602,yes,100.0,4.577,True,0.8948023495210207,yes,100.0,4.577,True,0.995,yes,100.0,19.616,True,0.9690926437379908,yes,47.0,710.509,True,0.72,no,73.0,79.649,False,locked_interval_candidates,economical_score_min_book_rv15_20260502_1511
KXBTC15M-26MAY021300-00,12,2026-05-02 16:58:37.708000+00:00,2026-05-02 16:59:52.829000+00:00,2026-05-02 17:00:00+00:00,no,1.0,50.5,82.292,7.171,0.80504911062933,no,100.0,7.171,True,0.9056310176824438,no,100.0,7.171,True,0.8351089679466674,no,100.0,7.171,True,0.80504911062933,no,100.0,7.171,True,0.995,no,100.0,7.171,True,0.8330814224682236,no,100.0,7.171,True,0.5262748065211001,yes,59.0,82.292,False,locked_interval_candidates,raw_regime_blend_high_price_20260502_1510
KXBTC15M-26MAY021330-30,118,2026-05-02 17:15:24.250000+00:00,2026-05-02 17:29:55.423000+00:00,2026-05-02 17:30:00+00:00,yes,1.0,50.5,875.75,4.577,0.8948023495210207,yes,100.0,4.577,True,0.9407241156334424,yes,100.0,4.577,True,0.8679991969603602,yes,100.0,4.577,True,0.8948023495210207,yes,100.0,4.577,True,0.995,yes,100.0,19.616,True,0.9690926437379908,yes,47.0,710.509,True,0.72,no,73.0,79.649,False,locked_interval_candidates,raw_regime_blend_high_price_20260502_1510
KXBTC15M-26MAY021300-00,12,2026-05-02 16:58:37.708000+00:00,2026-05-02 16:59:52.829000+00:00,2026-05-02 17:00:00+00:00,no,1.0,50.5,82.292,7.171,0.80504911062933,no,100.0,7.171,True,0.9056310176824438,no,100.0,7.171,True,0.8351089679466674,no,100.0,7.171,True,0.80504911062933,no,100.0,7.171,True,0.995,no,100.0,7.171,True,0.8330814224682236,no,100.0,7.171,True,0.5262748065211001,yes,59.0,82.292,False,locked_interval_candidates,raw_score_min_book_rv15_existing_lock
KXBTC15M-26MAY021330-30,118,2026-05-02 17:15:24.250000+00:00,2026-05-02 17:29:55.423000+00:00,2026-05-02 17:30:00+00:00,yes,1.0,50.5,875.75,4.577,0.8948023495210207,yes,100.0,4.577,True,0.9407241156334424,yes,100.0,4.577,True,0.8679991969603602,yes,100.0,4.577,True,0.8948023495210207,yes,100.0,4.577,True,0.995,yes,100.0,19.616,True,0.9690926437379908,yes,47.0,710.509,True,0.72,no,73.0,79.649,False,locked_interval_candidates,raw_score_min_book_rv15_existing_lock
KXBTC15M-26MAY021300-00,12,2026-05-02 16:58:37.708000+00:00,2026-05-02 16:59:52.829000+00:00,2026-05-02 17:00:00+00:00,no,1.0,50.5,82.292,7.171,0.80504911062933,no,100.0,7.171,True,0.9056310176824438,no,100.0,7.171,True,0.8351089679466674,no,100.0,7.171,True,0.80504911062933,no,100.0,7.171,True,0.995,no,100.0,7.171,True,0.8330814224682236,no,100.0,7.171,True,0.5262748065211001,yes,59.0,82.292,False,locked_interval_candidates,staged_score_min_fallback_20260502_1511
KXBTC15M-26MAY021330-30,118,2026-05-02 17:15:24.250000+00:00,2026-05-02 17:29:55.423000+00:00,2026-05-02 17:30:00+00:00,yes,1.0,50.5,875.75,4.577,0.8948023495210207,yes,100.0,4.577,True,0.9407241156334424,yes,100.0,4.577,True,0.8679991969603602,yes,100.0,4.577,True,0.8948023495210207,yes,100.0,4.577,True,0.995,yes,100.0,19.616,True,0.9690926437379908,yes,47.0,710.509,True,0.72,no,73.0,79.649,False,locked_interval_candidates,staged_score_min_fallback_20260502_1511
KXBTC15M-26MAY021300-00,12,2026-05-02 16:58:37.708000+00:00,2026-05-02 16:59:52.829000+00:00,2026-05-02 17:00:00+00:00,no,1.0,50.5,82.292,7.171,0.80504911062933,no,100.0,7.171,True,0.9056310176824438,no,100.0,7.171,True,0.8351089679466674,no,100.0,7.171,True,0.80504911062933,no,100.0,7.171,True,0.995,no,100.0,7.171,True,0.8330814224682236,no,100.0,7.171,True,0.5262748065211001,yes,59.0,82.292,False,locked_interval_pure_physics,pure_brownian_rv15_spread4_best_high_coverage_20260502_1522
KXBTC15M-26MAY021330-30,118,2026-05-02 17:15:24.250000+00:00,2026-05-02 17:29:55.423000+00:00,2026-05-02 17:30:00+00:00,yes,1.0,50.5,875.75,4.577,0.8948023495210207,yes,100.0,4.577,True,0.9407241156334424,yes,100.0,4.577,True,0.8679991969603602,yes,100.0,4.577,True,0.8948023495210207,yes,100.0,4.577,True,0.995,yes,100.0,19.616,True,0.9690926437379908,yes,47.0,710.509,True,0.72,no,73.0,79.649,False,locked_interval_pure_physics,pure_brownian_rv15_spread4_best_high_coverage_20260502_1522
