market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,trust_state,outcome_method,outcome_source,close_dt,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv30,score_mean_book_rv15_drift5,score_min_book_rv15,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,split,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p,ask_bin,seconds_bin,rv15_bin,margin_rv15_bin,brownian_bin,adverse15_bin,time_block
KXBTC15M-26APR300045-45,KXBTC15M-26APR300045-45|2026-04-30T04:34:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300045-45|2026-04-30T04:34:00+00:00|no,2026-04-30 04:34:41.053024+00:00,2026-04-30 04:34:00+00:00,no,no,True,True,1,92.0,92.0,92.0,0.92,8.0,84.0,0.0,75508.0,75682.34,618.946976,,1,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 04:45:00+00:00,-1.0,174.3399999999965,7.007616377254713,54.28076305143571,,,58.54749083537739,2.977753572569012,0.9985481532893996,73.64416920292199,2.3673293064059604,0.9910415086278004,73.50065968628374,2.371951500083349,0.9911527934018792,73.20239322049241,2.3816161238727296,0.9913815723812124,75516.89,8.889999999999418,0.1481666666666569,0.0,266.04731027732385,0.9998484319829224,0.9998525041387766,0.9998606897795386,75587.06,79.05999999999767,0.4392222222222093,0.0,446.1952662364329,0.9999999993142944,0.9999999993629504,0.999999999454058,75668.95,160.9499999999971,0.5364999999999903,0.0,506.4050526239905,0.9999999999969302,0.9999999999972063,0.9999999999977076,75641.28,133.27999999999884,0.2221333333333314,0.0,311.828754935462,0.9999885348588012,0.9999889493015208,0.9999897702552164,75680.01,172.00999999999476,0.1911222222222164,0.0,292.6345214908373,0.9999646069323916,0.9999657427571724,0.9999680071901668,75842.25,334.25,0.1856944444444444,0.0,289.2750148488854,0.9999571741307478,0.999958519127508,0.9999612034850488,75857.3,349.3000000000029,0.0970277777777785,0.0,234.39504964355257,0.9992707216322758,0.999286219187346,0.9993176469343774,-0.0710415086278003,True,0.9555207543139002,0.9555763967009396,0.970347169541577,0.92,0.92,0.9573124525877261,0.07104150862780034,0.07115279340187919,train,1,93.0,8.0,7.0,0.93,"(90.0, 95.0]","(480.0, 720.0]","(61.763, 83.169]","(1.5, inf]","(0.8, inf]","(-inf, 0.0]",block1
KXBTC15M-26APR300100-00,KXBTC15M-26APR300100-00|2026-04-30T04:45:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300100-00|2026-04-30T04:45:00+00:00|no,2026-04-30 04:45:28.785272+00:00,2026-04-30 04:45:00+00:00,no,yes,True,False,1,43.0,41.0,42.0,0.42,58.0,-16.0,2.0,75378.94,75440.22,871.214728,,381,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:00:00+00:00,-1.0,61.27999999999884,2.076137688377311,16.081693383037777,,,118.43642644783624,0.5174083838724128,0.6975644458085362,115.32489856254752,0.5313683407817008,0.7024182220718791,96.76933044749484,0.633258489199201,0.7367175718952131,92.43548489678253,0.6629488671847912,0.7463183485410021,75429.99,51.05000000000291,0.8508333333333818,0.0,802.5385310733744,0.9999999999982858,1.0,1.0,75419.87,40.929999999993015,0.2273888888888501,0.0,259.38454898352063,0.9877489511618568,0.996323746505862,0.9974928559817,75404.12,25.17999999999301,0.08393333333331,0.0,134.40395617011188,0.8780790180309236,0.9175700431447722,0.9270309876086542,75467.99,89.05000000000291,0.1484166666666715,0.0,190.58278588066972,0.9507910771006328,0.9755495342971122,0.9803862504255324,75644.42,265.4799999999959,0.2949777777777732,0.0,318.268984432706,0.997107803648166,0.9994971812457308,0.9997125069099098,75754.32,375.3800000000047,0.208544444444447,0.0,242.9669914425789,0.9824327264088748,0.993976849450015,0.9957119257895712,75924.72,545.7799999999988,0.1516055555555552,0.0,193.3609928466208,0.9531958022158616,0.9771505587199444,0.981773946695768,-0.2824182220718791,True,0.5612091110359395,0.5783587859476066,0.6668324133676009,0.42,0.42,0.5963412702277484,0.2824182220718791,0.31671757189521316,train,2,45.0,-43.0,-45.0,0.45,"(-inf, 50.0]","(720.0, inf]","(109.368, 299.797]","(0.5, 1.0]","(0.7, 0.8]","(-inf, 0.0]",block1
KXBTC15M-26APR300115-15,KXBTC15M-26APR300115-15|2026-04-30T05:01:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300115-15|2026-04-30T05:01:00+00:00|yes,2026-04-30 05:01:00.525468+00:00,2026-04-30 05:01:00+00:00,yes,yes,True,True,1,58.0,56.0,57.0,0.57,43.0,14.0,2.0,75485.99,75467.68,839.474532,,1269,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:15:00+00:00,1.0,18.310000000012224,0.6319527117665205,4.895084656524699,,,113.02357397973503,0.1620016015711481,0.5643477036701404,109.71521139060368,0.1668866127854022,0.5662703665626421,137.0660840086558,0.1335851982088868,0.5531347053044561,113.94395395493244,0.1606930369228214,0.5638324130534378,75453.94,32.05000000000291,0.5341666666667152,0.0,466.7293125100529,0.9999895010784536,0.9996693502383504,0.9999789943474788,75478.58,7.410000000003492,0.041166666666686,0.0,52.86836823402851,0.6850505246746367,0.650145917421233,0.6786710139353964,75456.0,29.99000000000524,0.0999666666666841,0.0,102.22947071562687,0.8242726011478222,0.7721181893895563,0.8151914514507732,75484.96,1.0299999999988358,0.0017166666666647,0.0,19.7510979466106,0.57143215895807,0.5572888882679023,0.5688080906404118,75492.69,-6.69999999999709,-0.0074444444444412,6.69999999999709,12.060578484014938,0.5437660560699661,0.53505807571334,0.5421479628266431,75587.06,-101.06999999999243,-0.0561499999999957,101.06999999999243,-28.826494971784243,0.3963757718822052,0.416712504360372,0.4001386008779666,75906.04,-420.0499999999884,-0.1166805555555523,420.0499999999884,-79.64035476848505,0.2339553948346719,0.2806080325778974,0.2422937560585606,0.0037296334373578,True,0.5681351832813211,0.561567352652228,0.6535143225701548,0.5662703665626421,0.5662703665626421,0.6197356301983571,0.003729633437357882,0.016865294695543875,train,2,60.0,42.0,40.0,0.6,"(50.0, 60.0]","(720.0, inf]","(109.368, 299.797]","(0.0, 0.25]","(0.55, 0.6]","(5.0, 10.0]",block1
KXBTC15M-26APR300130-30,KXBTC15M-26APR300130-30|2026-04-30T05:17:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300130-30|2026-04-30T05:17:00+00:00|no,2026-04-30 05:17:00.106337+00:00,2026-04-30 05:17:00+00:00,no,no,True,True,1,76.0,75.0,75.5,0.755,24.5,51.0,1.0,75529.63,75591.08,779.893663,,2109,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:30:00+00:00,-1.0,61.44999999999709,2.2004129461827047,17.044325390689625,,,74.10979871476923,0.8291751032343692,0.7964973345865367,117.48735417739458,0.5230350145362327,0.699525056492912,103.25623988534684,0.5951214189886213,0.7241188438903827,117.08243264386827,0.5248438951290895,0.7001541428674429,75542.48,12.849999999991269,0.2141666666665211,0.0,228.47722615905025,0.9740942310720524,0.986541548574374,0.9744965623135596,75600.57,70.94000000000233,0.394111111111124,0.0,368.8147580734516,0.9991529131045344,0.999822758953913,0.9991837692806148,75588.52,58.88999999999942,0.196299999999998,0.0,214.5431260468956,0.966082059284712,0.981134908174856,0.9665548875097484,75574.6,44.97000000000117,0.0749500000000019,0.0,119.9030300418486,0.8462687996577218,0.8772234223055726,0.8471037809441513,75512.2,-17.430000000007567,-0.019366666666675,17.430000000007567,46.34605939322387,0.653385548811654,0.6732283062547115,0.6538889371610656,75433.25,-96.38000000000466,-0.053544444444447,96.38000000000466,19.69102708891729,0.5665515050165587,0.5756199164239234,0.5667795106740927,75728.0,198.36999999999531,0.0551027777777764,0.0,104.42430720258218,0.8129482505179856,0.844066513619891,0.8137732657400527,0.055474943507088,True,0.727262528246456,0.7395594219451913,0.8068690385925413,0.699525056492912,0.699525056492912,0.7805739288048159,0.05547494350708804,0.03088115610961728,train,2,78.0,24.0,22.0,0.78,"(70.0, 80.0]","(720.0, inf]","(109.368, 299.797]","(0.5, 1.0]","(0.65, 0.7]","(10.0, 20.0]",block1
KXBTC15M-26APR300145-45,KXBTC15M-26APR300145-45|2026-04-30T05:32:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300145-45|2026-04-30T05:32:00+00:00|yes,2026-04-30 05:32:00.501607+00:00,2026-04-30 05:32:00+00:00,yes,yes,True,True,1,84.0,83.0,83.5,0.835,16.5,67.0,1.0,75490.87,75401.12,779.498393,,2879,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:45:00+00:00,1.0,89.75,3.21459929522024,24.900179070236177,,,169.91618461610588,0.5282015965858313,0.7013202893122581,144.98884217180654,0.6190131506371331,0.7320461522008358,129.80368978357683,0.6914287271004483,0.7553519218415435,129.9570316499209,0.6906128807386824,0.7550955746784411,75471.69,19.17999999999301,0.3196666666665502,0.0,338.9296529622426,0.9902966648877234,0.995487347652224,0.9954465277727595,75400.0,90.86999999999534,0.5048333333333075,0.0,483.2667720661465,0.9995706271618928,0.999901588177562,0.9998998611004654,75409.88,80.98999999999069,0.2699666666666356,0.0,300.1885828302091,0.98079373776703,0.9896286479039322,0.9895533324509034,75528.33,-37.4600000000064,-0.062433333333344,37.4600000000064,41.083316997025015,0.611547649516718,0.6241898004964739,0.6240480833027453,75529.63,-38.76000000000931,-0.043066666666677,38.76000000000931,56.1796025414586,0.6507978352906878,0.667421546247637,0.6672360074693939,75512.2,-21.330000000001743,-0.0118500000000009,21.330000000001743,80.51294404294924,0.7106567699039972,0.7324589883099689,0.7322180505141884,75558.33,-67.4600000000064,-0.0187388888888906,67.4600000000064,75.14306622450417,0.6978643252972644,0.7186709216501689,0.7184404127049507,0.1029538477991641,True,0.7835230761004179,0.7951759609207718,0.8492799633226219,0.7320461522008358,0.7320461522008358,0.8332725932136568,0.10295384779916417,0.07964807815845643,train,1,85.0,16.0,15.0,0.85,"(80.0, 90.0]","(720.0, inf]","(109.368, 299.797]","(0.5, 1.0]","(0.7, 0.8]","(20.0, inf]",block1
KXBTC15M-26APR300200-00,KXBTC15M-26APR300200-00|2026-04-30T05:51:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300200-00|2026-04-30T05:51:00+00:00|no,2026-04-30 05:51:00.220797+00:00,2026-04-30 05:51:00+00:00,no,no,True,True,1,66.0,65.0,65.5,0.655,34.5,31.0,1.0,75657.78,75683.98,539.779203,,3730,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 06:00:00+00:00,-1.0,26.19999999999709,1.1276990574756507,8.735119338273991,,,36.02088814239758,0.7273557469328182,0.7664959719298554,83.16882033230247,0.315021902382582,0.6236274878997315,117.347371024043,0.2232687428048902,0.588336823555348,101.77597277051676,0.2574281462194671,0.6015758613508018,75640.58,-17.19999999999709,-0.2866666666666181,17.19999999999709,-128.53670485997674,0.0611137117051386,0.1366811762070099,0.1033057992882334,75647.66,-10.119999999995343,-0.0562222222221963,10.119999999995343,-4.147586301988952,0.4801131969321892,0.4859025125120004,0.4837467565477293,75664.2,6.419999999998254,0.0213999999999941,0.0,37.75127494419395,0.6750536978175434,0.6261620309289517,0.6446533843793826,75667.44,9.660000000003492,0.0161000000000058,0.0,34.89044516830023,0.6625795646393198,0.6168912506546752,0.6341316049550535,75680.0,22.220000000001164,0.0246888888888901,0.0,39.52654876739779,0.6826980325824363,0.6318788651566905,0.651128203769496,75501.13,-156.64999999999418,-0.0870277777777745,156.64999999999418,-20.77578452775117,0.401370018574914,0.4297364571395565,0.4191249759047806,75484.96,-172.81999999999243,-0.0480055555555534,172.81999999999243,0.287599482648222,0.5013795478200329,0.5009777422160105,0.5011273332755178,0.0313725121002684,True,0.6393137439498657,0.6216684117776741,0.6512270619057583,0.6236274878997315,0.6236274878997315,0.6495989859334282,0.03137251210026848,0.06666317644465203,train,2,68.0,34.0,32.0,0.68,"(60.0, 70.0]","(480.0, 720.0]","(61.763, 83.169]","(0.25, 0.5]","(0.6, 0.65]","(-inf, 0.0]",block1
KXBTC15M-26APR300630-30,KXBTC15M-26APR300630-30|2026-04-30T10:15:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300630-30|2026-04-30T10:15:00+00:00|no,2026-04-30 10:15:38.642456+00:00,2026-04-30 10:15:00+00:00,no,no,True,True,1,45.0,44.0,44.5,0.445,55.5,-11.0,1.0,76020.04,76046.47,861.357544,,4280,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:30:00+00:00,-1.0,26.430000000007567,0.900545026921157,6.975591783551103,,,89.22675652836742,0.2962115964800851,0.6164657533425375,76.96489015585004,0.3434033355532391,0.6343524747367858,88.79789080310516,0.2976422047975416,0.6170118705544274,116.22850254044464,0.2273968899393725,0.589942430789881,76067.11,47.070000000006985,0.7845000000001164,0.0,702.1649932681079,1.0,0.9999999999999988,0.9999999992353577,76098.1,78.06000000001222,0.4336666666667346,0.0,399.9720549147327,0.9999998986323272,0.9999966703458064,0.999710489997658,76115.49,95.45000000001164,0.3181666666667054,0.0,300.4852585827076,0.9999527285046346,0.9996427102901186,0.9951352498716436,76112.37,92.33000000000176,0.1538833333333362,0.0,158.97857006254338,0.980566802061838,0.9633005047584628,0.9143143051437966,76073.33,53.29000000000815,0.0592111111111201,0.0,77.43193724419314,0.8428086451131569,0.8083963532848113,0.7473597625162114,76050.56,30.520000000004075,0.0169555555555578,0.0,41.034795690498406,0.7030394621475039,0.6780004049865833,0.6379755630645834,76050.7,30.66000000000349,0.0085166666666676,0.0,33.765895083075065,0.6695671169783588,0.6481221540665153,0.6142881101412612,-0.1893524747367858,True,0.5396762373683929,0.5310059352772137,0.6931017344138067,0.445,0.445,0.6127962881219626,0.1893524747367858,0.1720118705544274,train,2,47.0,55.0,53.0,0.47,"(-inf, 50.0]","(720.0, inf]","(61.763, 83.169]","(0.25, 0.5]","(0.6, 0.65]","(-inf, 0.0]",block1
KXBTC15M-26APR300645-45,KXBTC15M-26APR300645-45|2026-04-30T10:31:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300645-45|2026-04-30T10:31:00+00:00|yes,2026-04-30 10:31:00.470382+00:00,2026-04-30 10:31:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76016.56,75967.08,839.529618,,5093,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:45:00+00:00,1.0,49.479999999995925,1.7077003985831378,13.22779040804852,,,110.6430258921157,0.4472039660976211,0.6726361009817649,87.79378694485337,0.5635934127215199,0.7134845645576559,81.82447770866072,0.6047090233337195,0.7273138242128087,94.81478818140069,0.5218595215899259,0.6991159282258175,75964.49,52.06999999999243,0.8678333333332072,0.0,778.0517868208901,1.0,1.0,1.0,76000.7,15.860000000000582,0.0881111111111143,0.0,123.4518874526653,0.9201613117893852,0.9343174193969506,0.9035472751275933,75977.2,39.36000000000058,0.1312000000000019,0.0,159.62628588159757,0.9654828864736807,0.9744618294656768,0.953866531821091,76011.05,5.509999999994761,0.0091833333333246,0.0,57.1896803252886,0.7426088125993472,0.7577024856975347,0.7268030563342158,76042.51,-25.94999999999709,-0.0288333333333301,25.94999999999709,25.27356268099864,0.6132784663778673,0.6212918187719345,0.6050949362929713,76086.96,-70.40000000000873,-0.0391111111111159,70.40000000000873,16.64506382932519,0.5751858581284721,0.5805981847567989,0.5696776148140288,76277.55,-260.99000000000524,-0.0724972222222236,260.99000000000524,-11.383565278288636,0.4484167111274516,0.4446769670664554,0.452217383956507,0.0015154354423441,True,0.7142422822788279,0.7211569121064043,0.7979891503437789,0.7134845645576559,0.7134845645576559,0.7646419466620329,0.0015154354423441152,0.012313824212808688,train,2,74.0,28.0,26.0,0.74,"(70.0, 80.0]","(720.0, inf]","(83.169, 109.368]","(0.5, 1.0]","(0.7, 0.8]","(20.0, inf]",block1
KXBTC15M-26APR300715-15,KXBTC15M-26APR300715-15|2026-04-30T11:00:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300715-15|2026-04-30T11:00:00+00:00|no,2026-04-30 11:00:19.677253+00:00,2026-04-30 11:00:00+00:00,no,yes,True,False,1,44.0,43.0,43.5,0.435,56.5,-13.0,1.0,75994.3,76009.5,880.322747,,6723,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 11:15:00+00:00,-1.0,15.19999999999709,0.5122979594082707,3.968242930168552,,,51.09660917025765,0.2974757082089258,0.6169483244548652,51.12017219832054,0.2973385915256455,0.6168959893050566,81.92860734684069,0.1855273816098038,0.5735922971860656,78.37315670536296,0.1939439552899491,0.5768901171348658,75989.64,-4.6600000000034925,-0.0776666666667248,4.6600000000034925,-53.1717333503875,0.1491392601462167,0.2581689230878352,0.2487453706660664,75984.26,-10.040000000008147,-0.055777777777823,10.040000000008147,-33.90244655493166,0.2536040645952585,0.3395085539600407,0.3326609509191227,76015.86,21.55999999999767,0.0718666666666589,0.0,78.4658614177236,0.9375994293976728,0.8309016958376232,0.8416307950229591,75998.02,3.720000000001164,0.0062000000000019,0.0,20.6580010313988,0.6569328488541394,0.5995360356870525,0.6039502024857332,76018.76,24.45999999999185,0.0271777777777687,0.0,39.125215990678015,0.7779707046625226,0.6835156477071596,0.6911867573478759,75964.49,-29.80999999999767,-0.0165611111111098,29.80999999999767,0.620877173292671,0.5048452118842868,0.5030232636993418,0.5031604132710186,76073.33,79.02999999999884,0.0219527777777774,0.0,34.525529637610695,0.7502827393991729,0.6632721195643808,0.6702224449881911,-0.1818959893050566,True,0.5259479946525283,0.5042961485930328,0.6631651395675765,0.435,0.435,0.5900886826710515,0.18189598930505663,0.13859229718606564,train,2,46.0,-44.0,-46.0,0.46,"(-inf, 50.0]","(720.0, inf]","(19.642, 61.763]","(0.25, 0.5]","(0.6, 0.65]","(-inf, 0.0]",block1
KXBTC15M-26APR300730-30,KXBTC15M-26APR300730-30|2026-04-30T11:22:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300730-30|2026-04-30T11:22:00+00:00|no,2026-04-30 11:22:00.593311+00:00,2026-04-30 11:22:00+00:00,no,no,True,True,1,79.0,78.0,78.5,0.785,21.5,57.0,1.0,76086.14,76141.65,479.406689,,7826,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 11:30:00+00:00,-1.0,55.50999999999476,2.5352406089739183,19.63788931436947,,,53.60087262975225,1.0356174680854506,0.8498096803244379,84.37846373647535,0.6578692896490689,0.7446889370827813,70.04441673622952,0.7924971409074918,0.7859645708989769,67.45618613945243,0.8229045129417594,0.7947188519313686,76113.46,27.320000000006985,0.4553333333334498,0.0,273.7998457247172,0.9994125447474806,0.9999536501684274,0.9999753508124783,76118.34,32.19999999999709,0.1788888888888727,0.0,141.2705299210981,0.9529591301684044,0.978145494361284,0.9818814140435888,76126.57,40.43000000000757,0.1347666666666919,0.0,120.11804145424018,0.9227134634857656,0.9568167410634144,0.9625178226286568,76161.72,75.58000000000175,0.1259666666666695,0.0,115.8992625910295,0.9152115383053152,0.9510026314785268,0.9571145817413744,76080.35,-5.789999999993597,-0.0064333333333262,5.789999999993597,52.42581696743151,0.732804632403608,0.7729102329167663,0.7814746640748136,76021.45,-64.69000000000233,-0.0359388888888901,64.69000000000233,38.28065627143303,0.6749697135108917,0.7076456380731054,0.7148090647289974,76009.33,-76.80999999999767,-0.0213361111111104,76.80999999999767,45.28132561608118,0.7042437569833775,0.7410111569838893,0.7489757833008409,0.0403110629172187,True,0.7648444685413907,0.7854822854494885,0.8174674668561823,0.7446889370827813,0.7446889370827813,0.8004493738219876,0.040311062917218754,0.0009645708989768353,train,2,81.0,21.0,19.0,0.81,"(70.0, 80.0]","(240.0, 480.0]","(83.169, 109.368]","(0.5, 1.0]","(0.7, 0.8]","(5.0, 10.0]",block1
