market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,blend_book_hazard_50_50,blend_book_hazard_70_30,blend_book_hazard_30_70,blend_book_rv_hazard_mean,blend_book_rv_hazard_min,blend_mean_minus_half_disagreement,blend_mean_minus_disagreement,blend_logit_book_hazard_mean,blend_logit_book_rv_hazard_mean,blend_scoremin_hazard_min,blend_hazard_kinetic_mean,blend_hazard_kinetic_min,split,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p,fair_edge_cents
KXBTC15M-26APR302230-30,heartbeat:19,live_heartbeat_two_side,heartbeat:19:yes,2026-05-01 02:17:13.847000+00:00,2026-05-01 02:17:00+00:00,yes,no,True,False,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,76692.19,76652.0,766.153,,19,True,False,synced,bid>=98,latest_quote,1.0,40.19000000000233,1.4519787250295495,11.246978842173847,,,85.90181827433608,0.4678597124877092,0.6800575422186286,95.58891680873482,0.4204462331173712,0.6629202501745215,92.90280127955567,0.4326026712484782,0.6673482757565203,73.91878664535561,0.543704812050341,0.7066776897367746,76660.69,31.5,0.525,0.0,442.4203250000024,0.999998157173292,0.999999042459955,0.9999999989195234,76675.97,16.220000000001164,0.0901111111111175,0.0,109.2288981111184,0.8734172047342783,0.8801492254103644,0.9302543354388108,76666.59,25.60000000000582,0.0853333333333527,0.0,105.56838933335052,0.8652901460334934,0.8720910959383869,0.9233781359169072,76640.06,52.13000000000466,0.0868833333333411,0.0,106.7559264833416,0.8679650510362977,0.8747455493534293,0.9256632308024992,76639.27,52.919999999998254,0.058799999999998,0.0,85.23979640000084,0.8137319830353651,0.8205638148973528,0.8755765538422122,76600.93,91.26000000000931,0.0507000000000051,0.0,79.03395710000629,0.7958278708417323,0.8025366057504563,0.8575101914357344,76586.55,105.63999999999942,0.0293444444444442,0.0,62.67233414444665,0.7439735116700699,0.7500353905828219,0.8017403393118707,0.0320797498254784,True,0.6789601250872608,0.7410701320693382,0.6629202501745215,heartbeat:19,two_side_all_heartbeats,0.6811741378782601,0.6629202501745215,0.7194341042590551,0.032079749825478454,0.027651724243479614,2026-05-01 02:30:00+00:00,0.674159499650957,0.325840500349043,0.6653034484869595,0.33469655151304045,0.5866446205264508,0.41335537947354917,0.325840500349043,0.674159499650957,0.0,0.561796325226878,0.5675527584834763,0.613148162613439,0.6301771772167883,0.5264601250872607,0.5104202501745215,0.6825181542939593,0.4123695149523923,0.6027101250872607,0.6396260750523564,0.565794175122165,0.6227801667830143,0.5104202501745215,0.5825188521571502,0.5422575375312861,0.6065047474370022,0.6257142102786099,0.5104202501745215,0.5964692022342404,0.5104202501745215,train,2,72.0,-70.0,-72.0,0.72,-9.428578972139015
KXBTC15M-26APR302245-45,heartbeat:119,live_heartbeat_two_side,heartbeat:119:no,2026-05-01 02:31:15.054000+00:00,2026-05-01 02:31:00+00:00,no,no,True,True,1,63.0,62.0,62.5,0.625,37.5,25.0,1.0,76578.0,76603.27,824.946,,119,False,False,synced,bid>=98,latest_quote,-1.0,25.270000000004075,0.8798172676910989,6.815035250946678,,,44.76057038075335,0.564559383069657,0.7138132507546876,73.24239150011924,0.345018772358941,0.6349598710076727,84.69723633326753,0.2983568424897765,0.6172845877322397,79.65025041021974,0.3172620283031996,0.6244776064114427,76597.08,19.080000000001743,0.3180000000000291,0.0,287.60282800002807,0.9999569450705714,0.9996576804707022,0.9998473855937696,76609.75,31.75,0.1763888888888889,0.0,170.78130833333742,0.9901424879792474,0.978119560842213,0.9839891748280656,76593.83,15.830000000001746,0.0527666666666724,0.0,68.79965060000887,0.8262223956381389,0.7916905343597203,0.8061434049364713,76576.75,-1.25,-0.0020833333333333,1.25,23.551362500004075,0.626104590513946,0.609518884184845,0.6162645687624697,76660.69,82.69000000000233,0.0918777777777803,0.0,101.06420526667289,0.9161850364037468,0.8836124766907473,0.8977526823984997,76654.17,76.16999999999825,0.0423166666666657,0.0,60.17896490000328,0.7943594272402207,0.7613087109720442,0.7750375347539857,76502.43,-75.57000000000698,-0.0209916666666686,75.57000000000698,7.953008550002472,0.5432340811546197,0.5374054126052433,0.5397679503003937,-0.0099598710076727,True,0.6299799355038364,0.6953940888819372,0.625,heartbeat:119,two_side_all_heartbeats,0.6211422938661199,0.625,0.6682324404299296,0.009959871007672705,0.007715412267760291,2026-05-01 02:45:00+00:00,0.7300802579846546,0.2699197420153454,0.7654308245355206,0.23456917546447942,0.7510447871771146,0.24895521282288535,0.23456917546447942,0.7654308245355206,0.0,0.5254478323099745,0.5024699640519116,0.5564739161549872,0.5765961557188012,0.44247993550383635,0.4474598710076727,0.6327244146314641,0.3525419815791593,0.5362299355038364,0.5717379613023018,0.5007219097053709,0.5691399140051151,0.4474598710076727,0.5260715102627022,0.48300310652028916,0.5374157275401588,0.5706442878871062,0.4474598710076727,0.5400921428195684,0.4474598710076727,train,2,65.0,37.0,35.0,0.65,-7.935571211289378
KXBTC15M-26APR302300-00,heartbeat:201,live_heartbeat_two_side,heartbeat:201:no,2026-05-01 02:46:01.424000+00:00,2026-05-01 02:46:00+00:00,no,no,True,True,1,62.0,61.0,61.5,0.615,38.5,23.0,1.0,76545.8,76574.18,838.576,,201,False,False,synced,bid>=98,latest_quote,-1.0,28.379999999990105,0.980034076612524,7.591311314872138,,,30.74060228823006,0.9232089772963302,0.8220508442971763,54.10745379475678,0.5245118372718591,0.7000387055987373,63.909901926043055,0.4440626435764464,0.6715013530809657,81.43026819631092,0.3485190535240779,0.6362747964633925,76563.28,17.479999999995925,0.2913333333332654,0.0,272.68514133326653,0.9999997668645686,0.9999900812480816,0.9995940345564696,76566.51,20.70999999999185,0.1150555555555102,0.0,124.86282755550768,0.9894916006449002,0.9746335466158756,0.9374077889283364,76579.29,33.48999999999069,0.1116333333333022,0.0,121.9930341332974,0.9879221514320804,0.9718578823111016,0.932950111740675,76560.6,14.80000000000291,0.0246666666666715,0.0,49.06487466666084,0.8177448663963045,0.7786730604254021,0.7265921404468931,76578.0,32.19999999999709,0.0357777777777745,0.0,58.382385777765165,0.8597079616389771,0.8195130225287561,0.763301143926284,76660.69,114.88999999999942,0.0638277777777774,0.0,81.90444257776761,0.934953693000609,0.9000016687798211,0.8427496568477896,76583.98,38.179999999993015,0.0106055555555536,0.0,37.27356435554403,0.7545507323674608,0.720127560544198,0.6764289356632754,-0.0850387055987372,True,0.6575193527993686,0.7676536190102725,0.615,heartbeat:201,two_side_all_heartbeats,0.6432506765404828,0.615,0.7150960419660373,0.08503870559873727,0.05650135308096571,2026-05-01 03:00:00+00:00,0.5999225888025255,0.40007741119747453,0.6569972938380686,0.3430027061619314,0.7274504070732151,0.27254959292678493,0.3430027061619314,0.6569972938380686,0.0,0.6100503172783583,0.5729517590052554,0.5932751586391792,0.6305673737823873,0.4650193527993686,0.5075387055987373,0.6936037830857847,0.49886962634068255,0.5612693527993686,0.5827616116796211,0.539777093919116,0.6075258037324914,0.5075387055987373,0.5681431505981821,0.5287604974638729,0.5619963276205977,0.6103236197546416,0.5075387055987373,0.6005712443422611,0.5075387055987373,train,2,64.0,38.0,36.0,0.64,-2.9676380245358445
KXBTC15M-26APR302315-15,heartbeat:271,live_heartbeat_two_side,heartbeat:271:no,2026-05-01 03:02:02.767000+00:00,2026-05-01 03:02:00+00:00,no,yes,True,False,1,65.0,64.0,64.5,0.645,35.5,29.0,1.0,76529.7,76566.01,777.233,,271,False,False,synced,bid>=98,latest_quote,-1.0,36.30999999999767,1.302418729691834,10.088492099770187,,,85.15584294298807,0.4263946987678491,0.6650898681930365,61.71835634999707,0.5883176764152338,0.7218404584749326,55.57131827784002,0.6533946129990744,0.7432490445864635,69.71915644919528,0.520803776885295,0.6987482641194982,76551.03,21.330000000001743,0.3555000000000291,0.0,312.6163315000203,0.9999997960230008,0.9999999907513144,0.9999963360912176,76542.98,13.279999999998836,0.0737777777777713,0.0,93.6525235555482,0.9354193653703712,0.9540314907624992,0.9104097435800944,76509.68,-20.020000000004075,-0.0667333333333469,20.020000000004075,-15.557348866679549,0.4004934615378496,0.3897568400383235,0.4117120665452137,76588.12,58.419999999998254,0.0973666666666637,0.0,111.98658643332874,0.9651978999694932,0.9780574593771704,0.9458908057405938,76555.49,25.79000000000815,0.0286555555555646,0.0,58.58204341111582,0.8287363454385559,0.854099211708538,0.7996179846935415,76560.37,30.669999999998254,0.0170388888888879,0.0,49.55318672777469,0.788981476764979,0.8137242916677705,0.7613817321393004,76639.27,109.57000000000698,0.030436111111113,0.0,59.96594994722141,0.834376800983637,0.8597241747519188,0.8051350296206788,-0.0768404584749326,True,0.6834202292374663,0.5891113066709274,0.645,heartbeat:271,two_side_all_heartbeats,0.6941245222932317,0.4004934615378496,0.6191508298500498,0.0768404584749326,0.09824904458646344,2026-05-01 03:15:00+00:00,0.5563190830501348,0.4436809169498652,0.5135019108270731,0.4864980891729269,0.6025034717610036,0.3974965282389964,0.4436809169498652,0.5563190830501348,0.0,0.6383925960174124,0.6662237579624024,0.6239462980087063,0.5994956441624911,0.5059202292374663,0.5443404584749325,0.5990189215450363,0.4837302631036502,0.5946702292374663,0.6148021375424797,0.5745383209324527,0.637060305649955,0.5443404584749325,0.6007196911812481,0.5643790767125413,0.5956760955347434,0.6401903174598919,0.5443404584749325,0.5716796900099844,0.5443404584749325,train,2,67.0,-65.0,-67.0,0.67,-2.9809682540108184
KXBTC15M-26APR302330-30,heartbeat:359,live_heartbeat_two_side,heartbeat:359:yes,2026-05-01 03:17:04.128000+00:00,2026-05-01 03:17:00+00:00,yes,yes,True,True,1,85.0,84.0,84.5,0.845,15.5,69.0,1.0,76732.56,76668.47,775.872,,359,True,False,synced,bid>=98,latest_quote,1.0,64.08999999999651,2.300886690967177,17.822591671252333,,,63.047327607120806,1.0165379316213543,0.8453133529867535,82.77069681579101,0.7743078464426967,0.7806256176500028,77.02036623678534,0.8321175700848171,0.7973287073446015,70.04039628087806,0.915043366445,0.8199155678693344,76700.0,32.55999999999767,0.5426666666666279,0.0,485.1298719999664,0.9999999977013704,0.9999999998499453,0.999999999997842,76664.51,68.05000000000291,0.3780555555555717,0.0,357.4127200000091,0.9999921313408504,0.999998262132505,0.9999998328013192,76651.63,80.92999999999302,0.2697666666666434,0.0,273.39440319997846,0.9995217755823014,0.9998071192434936,0.9999525710431856,76553.61,178.9499999999971,0.2982499999999951,0.0,295.49382399999274,0.9998215294415992,0.999937617009776,0.9999877254518188,76529.7,202.86000000000055,0.2254000000000006,0.0,238.971548799997,0.9980562655667918,0.9990411996609088,0.9996774533024098,76555.49,177.06999999999243,0.098372222222218,0.0,140.41425279999322,0.955097258384698,0.9658543265162992,0.9775056965399836,76692.19,40.36999999999534,0.0112138888888875,0.0,72.7905423999955,0.8104143048112118,0.827691428776806,0.8506592791690114,0.0643743823499971,True,0.8128128088250014,0.8750491310774348,0.7806256176500028,heartbeat:359,two_side_all_heartbeats,0.8211643536723008,0.7806256176500028,0.8565920404114611,0.06437438234999715,0.04767129265539849,2026-05-01 03:30:00+00:00,0.43874876469999435,0.5612512353000056,0.40534258531079703,0.594657414689203,0.3601688642613312,0.6398311357386688,0.5612512353000056,0.43874876469999435,0.0,0.7148133029450037,0.7365273195479819,0.7721566514725018,0.7876088290307319,0.7353128088250014,0.7031256176500028,0.8282171639414617,0.6612034128582358,0.7740628088250014,0.8024376852950008,0.7456879323550019,0.7762504117666685,0.7031256176500028,0.7472491419332932,0.7182478720999179,0.782291256248728,0.7817370594818546,0.7031256176500028,0.7656713907957322,0.7031256176500028,train,1,86.0,15.0,14.0,0.86,-7.826294051814543
KXBTC15M-26MAY010015-15,heartbeat:565,live_heartbeat_two_side,heartbeat:565:yes,2026-05-01 04:02:07.599000+00:00,2026-05-01 04:02:00+00:00,yes,yes,True,True,1,62.0,61.0,61.5,0.615,38.5,23.0,1.0,77126.31,77099.09,772.401,,565,False,False,synced,bid>=98,latest_quote,1.0,27.220000000001164,0.9794149010257412,7.586515201400162,,,56.68596991280211,0.4801893668199144,0.6844536264879296,78.7589609912344,0.3456114663959401,0.6351826362509144,92.42507274856968,0.2945088295905334,0.6158154412969286,219.5495640492141,0.1239811161451431,0.5493348865873934,77094.42,31.889999999999414,0.5314999999999903,0.0,437.7511314999937,0.9999999863645862,0.9999989116222854,0.9769163312160428,77090.55,35.75999999999476,0.1986666666666375,0.0,180.67033199997869,0.9891037570723908,0.9746952539372868,0.7947214486743199,77049.14,77.16999999999825,0.2572333333333275,0.0,225.90728389999663,0.9979368246937976,0.9927417301075812,0.8482502980485438,77158.64,-32.330000000001746,-0.0538833333333362,32.330000000001746,-14.399540550001085,0.4274655065518724,0.438096553987135,0.4738534224833626,77141.75,-15.440000000002328,-0.0171555555555581,15.440000000002328,13.9690317333325,0.5703888951015346,0.5600669601460467,0.525365933382975,77179.09,-52.77999999999884,-0.0293222222222215,52.77999999999884,4.571486233334998,0.5231432152441085,0.5197242559908914,0.5083062217601781,76529.7,596.6100000000006,0.1657250000000001,0.0,155.22615572500126,0.975632429227538,0.953470832856492,0.7602232909923733,-0.0201826362509144,True,0.6250913181254572,0.7493731536482372,0.615,heartbeat:565,two_side_all_heartbeats,0.6154077206484643,0.615,0.6976421558140339,0.020182636250914432,0.0008154412969285652,2026-05-01 04:15:00+00:00,0.7296347274981712,0.27036527250182885,0.7683691174061429,0.2316308825938571,0.9013302268252132,0.09866977317478676,0.2316308825938571,0.7683691174061429,0.3088000000000466,0.5257374271261887,0.5005600736860071,0.5511187135630944,0.5894123960324741,0.4325913181254572,0.44268263625091436,0.6477386830642144,0.3083989549711993,0.5288413181254572,0.5633047908752743,0.49437784537564006,0.5642884241672762,0.44268263625091436,0.5210973555639593,0.47790628696064236,0.5297270491229061,0.5656695210163317,0.44268263625091436,0.5452106596575644,0.44268263625091436,train,2,64.0,38.0,36.0,0.64,-7.43304789836683
KXBTC15M-26MAY010030-30,heartbeat:636,live_heartbeat_two_side,heartbeat:636:no,2026-05-01 04:15:38.601000+00:00,2026-05-01 04:15:00+00:00,no,no,True,True,1,60.0,59.0,59.5,0.595,40.5,19.0,1.0,77072.91,77131.71,861.399,,636,False,False,synced,bid>=98,latest_quote,-1.0,58.80000000000291,2.003434482516773,15.518536772010274,,,132.89398067566475,0.4424579631150309,0.6709210784700388,101.43966753469476,0.5796548966398369,0.7189263175258769,90.74183754634508,0.6479921675596625,0.7415049919059827,233.9228966919862,0.2513648763396888,0.5992339896533879,77134.51,61.59999999999127,1.0266666666665212,0.0,943.1696399998776,1.0,1.0,0.9999723441431312,77104.59,31.67999999999301,0.1759999999999612,0.0,210.40622399996948,0.9809696598957676,0.9897952800851352,0.8157983561994755,77091.96,19.05000000000291,0.0635000000000097,0.0,113.49883650001128,0.8684043765989885,0.894494153314821,0.6862319206260458,77080.79,7.879999999990105,0.0131333333333168,0.0,70.1130401999887,0.7552736941320284,0.7801396617333962,0.6178073514633764,77091.85,18.94000000000233,0.021044444444447,0.0,76.92766340000514,0.7758818889793027,0.8017152928535778,0.6288688891352812,77126.0,53.08999999999651,0.0294944444444425,0.0,84.20648495000124,0.7967628248290478,0.8232906693113871,0.6405672296122055,76665.0,-407.9100000000035,-0.1133083333333343,407.9100000000035,-38.80368502499792,0.3510342538086868,0.334461251300637,0.4341247601017459,-0.1239263175258769,True,0.6569631587629384,0.7274435647082885,0.595,heartbeat:636,two_side_all_heartbeats,0.6682524959529914,0.595,0.6868587705775607,0.1239263175258769,0.14650499190598276,2026-05-01 04:30:00+00:00,0.5621473649482462,0.43785263505175376,0.5169900161880345,0.48300998381196547,0.8015320206932242,0.19846797930677584,0.43785263505175376,0.5621473649482462,0.0,0.63460421278364,0.6639564894777775,0.5945521063918199,0.6218925440517189,0.4544631587629384,0.5164263175258769,0.6711440340827362,0.5246930727116526,0.5557131587629385,0.571427895257763,0.5399984222681138,0.6101175450172512,0.5164263175258769,0.5684382783380187,0.5267590116587864,0.5560636651447828,0.6137687065349453,0.5164263175258769,0.5937851758043065,0.5164263175258769,train,2,62.0,40.0,38.0,0.62,-0.6231293465054719
KXBTC15M-26MAY010045-45,heartbeat:711,live_heartbeat_two_side,heartbeat:711:yes,2026-05-01 04:32:55.231000+00:00,2026-05-01 04:32:00+00:00,yes,yes,True,True,1,68.0,67.0,67.5,0.675,32.5,35.0,1.0,77026.81,76977.88,724.769,,711,False,False,synced,bid>=98,latest_quote,1.0,48.929999999993015,1.817504149680789,14.07832660675314,,,169.71979905126236,0.2882987151382034,0.6134409547029086,124.46712488434694,0.3931158532460524,0.6528830422060214,110.19359589417192,0.4440366938109957,0.6714919725723618,99.5267860065448,0.4916264451338298,0.6885082774909113,77005.38,21.42999999999301,0.3571666666665502,0.0,307.793327833242,0.9932987033581516,0.9973905714906768,0.9990078353066164,76997.18,29.630000000004657,0.164611111111137,0.0,168.23503038890067,0.9117551134832064,0.936584971642136,0.954519423173268,77144.21,-117.40000000000872,-0.3913333333333624,117.40000000000872,-234.6962686666948,0.0296738655538674,0.0165918353026788,0.0091838363887302,77107.93,-81.11999999999534,-0.1351999999999922,81.11999999999534,-49.05876880000136,0.346734996182274,0.3280857119720747,0.3110344671984425,77132.24,-105.43000000000757,-0.1171444444444528,105.43000000000757,-35.97266185556863,0.3862855772725676,0.3720420853537937,0.3588864005074283,77126.31,-99.5,-0.0552777777777777,99.5,8.866380277770794,0.5283945238462991,0.5320650303399523,0.5354929667821812,77179.09,-152.27999999999884,-0.0422999999999996,152.27999999999884,18.27227129999325,0.5583566347339757,0.5658505869715716,0.5728330316068067,0.0221169577939785,True,0.6639415211030107,0.45251896925329627,0.6528830422060214,heartbeat:711,two_side_all_heartbeats,0.6732459862861809,0.0296738655538674,0.5392996857725799,0.022116957793978598,0.0035080274276382273,2026-05-01 04:45:00+00:00,0.6942339155879571,0.3057660844120429,0.6570160548552764,0.34298394514472363,0.6229834450181775,0.3770165549818225,0.3057660844120429,0.6942339155879571,1.0,0.5487479548678279,0.5729395643440703,0.595623977433914,0.5310913639893007,0.5014415211030108,0.49038304220602147,0.45237629421378417,0.10873347096742962,0.5826915211030108,0.6196149126618065,0.5457681295442149,0.6060886948040144,0.49038304220602147,0.5649322078955883,0.5237757209871621,0.5856975982722762,0.6085886941012486,0.49038304220602147,0.47137966820990285,0.45237629421378417,train,2,70.0,32.0,30.0,0.7,-9.14113058987514
KXBTC15M-26MAY010115-15,heartbeat:847,live_heartbeat_two_side,heartbeat:847:yes,2026-05-01 05:04:13.338000+00:00,2026-05-01 05:04:00+00:00,yes,yes,True,True,1,59.0,58.0,58.5,0.585,41.5,17.0,1.0,77047.82,77018.24,646.662,,847,False,False,synced,bid>=98,latest_quote,1.0,29.580000000001743,1.1632136747193744,9.010214380537738,,,56.27163732723801,0.5256644626845377,0.700439320344189,83.6523731346964,0.3536062264769495,0.6381829962872712,75.08278049906582,0.3939651648938305,0.6531966209703861,88.02611411151487,0.3360366443363461,0.6315783833004417,77007.62,40.20000000001164,0.670000000000194,0.0,462.8435400001272,0.999999984254616,0.9999999996463422,0.9999999271947768,77006.54,41.28000000001339,0.2293333333334077,0.0,177.88115200004987,0.9832663814271672,0.9910850986850588,0.9783485756806412,76996.99,50.83000000000175,0.1694333333333391,0.0,139.1460982000055,0.9518822977582936,0.968075717103802,0.9430308591585548,77072.26,-24.439999999987776,-0.0407333333333129,24.439999999987776,3.2393012000149177,0.5154445267509812,0.5172062544114048,0.51467749214275,77043.71,4.110000000000582,0.0045666666666673,0.0,32.533089800002166,0.6513279540181478,0.6676002313784968,0.6441539593614533,77023.43,24.39000000001397,0.0135500000000077,0.0,38.342270100006765,0.6766503758801742,0.6952077426575267,0.6684286615319683,77060.14,-12.319999999992431,-0.0034222222222201,12.319999999992431,27.36697893333644,0.6282232569184736,0.6422542098433226,0.6220602097930836,-0.0531829962872711,True,0.6115914981436356,0.725021764681855,0.585,heartbeat:847,two_side_all_heartbeats,0.619098310485193,0.585,0.6743313584378401,0.05318299628727119,0.06819662097038615,2026-05-01 05:15:00+00:00,0.7236340074254577,0.2763659925745423,0.6936067580592278,0.3063932419407722,0.7368432333991166,0.2631567666008834,0.2763659925745423,0.7236340074254577,0.0,0.5296378951734525,0.5491556072615019,0.5365689475867262,0.5732571773625557,0.40409149814363554,0.43068299628727114,0.6434679576952943,0.37155422235037167,0.5078414981436356,0.5387048988861813,0.47697809740108976,0.5512886641915141,0.43068299628727114,0.5072879007104593,0.4632871372294044,0.5080328382559886,0.5524525328082706,0.43068299628727114,0.5370754769912827,0.43068299628727114,train,2,61.0,41.0,39.0,0.61,-5.7547467191729424
KXBTC15M-26MAY010130-30,heartbeat:943,live_heartbeat_two_side,heartbeat:943:no,2026-05-01 05:17:14.474000+00:00,2026-05-01 05:17:00+00:00,no,no,True,True,1,64.0,63.0,63.5,0.635,36.5,27.0,1.0,77087.67,77124.46,765.526,,943,False,False,synced,bid>=98,latest_quote,-1.0,36.79000000000815,1.329688201107578,10.299720517076295,,,49.2632115556256,0.7468047420835868,0.772409283634792,78.19937504975844,0.4704641178602589,0.6809882677835407,80.26967112108687,0.4583300203698405,0.6766423202904582,92.7345926610225,0.396723584417829,0.6542143467310264,77114.45,26.77999999999884,0.4463333333333139,0.0,378.4697713333266,0.9999993501689356,0.9999987913184696,0.9999775995148412,77128.0,40.33000000000175,0.2240555555555652,0.0,208.31035322223775,0.9961372454638732,0.9952722634568536,0.9876578208054748,77134.97,47.30000000000291,0.1576666666666763,0.0,157.48793266668224,0.9779914678880982,0.975117915117063,0.9552711412937056,77124.83,37.16000000000349,0.0619333333333391,0.0,84.20157693334593,0.859205158334718,0.8529071906717203,0.8180568064588016,77009.12,-78.55000000000291,-0.087277777777781,78.55000000000291,-30.023408111105425,0.3505136389731454,0.3541903355230328,0.3730612736039689,77027.99,-59.679999999993015,-0.0331555555555516,59.679999999993015,11.408560177788896,0.5579961563138244,0.5565105114762731,0.5489558665790402,77132.24,44.570000000006985,0.0123805555555574,0.0,46.26763717223186,0.7229616912735775,0.7178284143459474,0.691084005353,-0.0459882677835407,True,0.6579941338917703,0.7646599118905463,0.635,heartbeat:943,two_side_all_heartbeats,0.6558211601452291,0.635,0.7173947739126818,0.045988267783540704,0.041642320290458223,2026-05-01 05:30:00+00:00,0.6380234644329186,0.3619765355670814,0.6467153594190835,0.35328464058091646,0.6915713065379472,0.3084286934620528,0.35328464058091646,0.6467153594190835,1.0,0.5852847481186029,0.5796350163775956,0.5918923740593015,0.6261915208481112,0.47549413389177037,0.49848826778354066,0.64009242746939,0.2597756823558912,0.5667441338917704,0.5940464803350621,0.5394417874484785,0.6048255118556938,0.49848826778354066,0.5660753778751122,0.5273252438945305,0.5680354610308238,0.6071463301619657,0.49848826778354066,0.5692903476264654,0.49848826778354066,train,2,66.0,36.0,34.0,0.66,-5.285366983803428
