market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,blend_book_hazard_50_50,blend_book_hazard_70_30,blend_book_hazard_30_70,blend_book_rv_hazard_mean,blend_book_rv_hazard_min,blend_mean_minus_half_disagreement,blend_mean_minus_disagreement,blend_logit_book_hazard_mean,blend_logit_book_rv_hazard_mean,blend_scoremin_hazard_min,blend_hazard_kinetic_mean,blend_hazard_kinetic_min,split,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p,fair_edge_cents
KXBTC15M-26APR302230-30,heartbeat:48,live_heartbeat_two_side,heartbeat:48:no,2026-05-01 02:20:14.066000+00:00,2026-05-01 02:20:00+00:00,no,no,True,True,1,83.0,82.0,82.5,0.825,17.5,65.0,1.0,76584.05,76652.0,585.934,,48,True,False,synced,bid>=98,latest_quote,-1.0,67.94999999999709,2.807146713355053,21.74406494237001,,,105.3762661192808,0.6448321097568687,0.7404820044575473,85.80416025451824,0.7919196435049198,0.7857962338290486,83.30113778843416,0.8157151487243134,0.7926684636079739,68.93561828529273,0.985702336327548,0.8378603986625488,76626.93,42.879999999990105,0.7146666666665017,0.0,486.6974986665671,0.9999999929508252,0.9999999974308048,0.9999999999991686,76692.19,108.13999999999942,0.6007777777777745,0.0,419.9661264444396,0.9999995071519008,0.9999997691014186,0.9999999994429788,76643.39,59.33999999999651,0.1977999999999883,0.0,183.84774519999024,0.9839291411812532,0.9863438652203792,0.996172830228635,76687.2,103.14999999999418,0.1719166666666569,0.0,168.68182016665807,0.9753445289949962,0.9785644787526576,0.992796403431669,76643.91,59.86000000000058,0.0665111111111117,0.0,106.92112137777524,0.8936373496403036,0.9003501594072407,0.939552595066443,76658.4,74.34999999999127,0.0413055555555507,0.0,92.15232938888312,0.8585851628141559,0.8656919942568284,0.909354128667362,76581.94,-2.110000000000582,-0.0005861111111112,2.110000000000582,67.60657757221922,0.7846274433849536,0.7914872480889716,0.8366347167930452,0.0392037661709513,True,0.8053981169145243,0.8649084583367673,0.7857962338290486,heartbeat:48,two_side_all_heartbeats,0.808834231803987,0.7857962338290486,0.8450246983849652,0.03920376617095134,0.03233153639202602,2026-05-01 02:30:00+00:00,0.42840753234190276,0.5715924676580972,0.4146630727840521,0.5853369272159479,0.3242792026749024,0.6757207973250976,0.5715924676580972,0.42840753234190276,0.0,0.7215351039777631,0.7304690026903661,0.7645175519888816,0.7804104661070069,0.7178981169145242,0.6982962338290486,0.819683945150775,0.6699853817762226,0.7616481169145243,0.7869888701487144,0.736307363680334,0.7696974892193658,0.6982962338290486,0.743215299374171,0.7167331095289762,0.7676158514995138,0.7737931933316375,0.6982962338290486,0.7589900894899118,0.6982962338290486,train,1,84.0,17.0,16.0,0.84,-6.62068066683625
KXBTC15M-26APR302245-45,heartbeat:122,live_heartbeat_two_side,heartbeat:122:no,2026-05-01 02:32:00.123000+00:00,2026-05-01 02:32:00+00:00,no,no,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76560.37,76603.27,779.877,,122,False,False,synced,bid>=98,latest_quote,-1.0,42.90000000000873,1.5361875320687834,11.899257456707742,,,46.36572160991957,0.9252525035829622,0.8225827107222332,61.54668069588266,0.6970319035073268,0.7571085858773168,82.53621133328012,0.5197718590059713,0.6983887023092683,77.5342857412415,0.5533036074283413,0.7099722343659582,76578.0,17.630000000004657,0.2938333333334109,0.0,272.0538585000693,0.9999950714552508,0.9995099466010866,0.9997749503593354,76600.29,39.919999999998254,0.221777777777768,0.0,215.8593880000012,0.9997736153441106,0.9955429292377034,0.9973157684971838,76597.17,36.80000000000291,0.1226666666666763,0.0,138.5649120000163,0.9878192323665052,0.9534081709039912,0.9630428687622608,76580.96,20.59000000001106,0.0343166666666851,0.0,69.6627790500231,0.871155240288549,0.8006728010237784,0.815534371792416,76692.19,131.82000000000698,0.1464666666666744,0.0,157.12598460001476,0.9946593547571716,0.9715267869808404,0.978645032044994,76639.27,78.90000000000873,0.0438333333333381,0.0,77.08460850001251,0.8947984170048477,0.8248348883524994,0.8399373137927575,76519.81,-40.55999999999767,-0.011266666666666,40.55999999999767,34.11338580000924,0.7103024443586141,0.6603117758150636,0.6700235065548948,-0.0421085858773168,True,0.7360542929386584,0.8199759394146073,0.715,heartbeat:122,two_side_all_heartbeats,0.7066943511546342,0.715,0.782196422236496,0.042108585877316806,0.016611297690731663,2026-05-01 02:45:00+00:00,0.48578282824536645,0.5142171717546336,0.6032225953814634,0.3967774046185366,0.5800555312680835,0.4199444687319165,0.3967774046185366,0.6032225953814634,0.0,0.6842411616405117,0.6079053130020488,0.6853705808202558,0.7126525040569065,0.5935542929386584,0.6146085858773168,0.7621181394119595,0.612999094991284,0.6648042929386584,0.684882575763195,0.6447260101141218,0.695572390584878,0.6146085858773168,0.6656847217070896,0.6357970528293013,0.6666916820715945,0.6987046765199849,0.6146085858773168,0.6883633626446382,0.6146085858773168,train,2,74.0,28.0,26.0,0.74,-4.129532348001504
KXBTC15M-26APR302300-00,heartbeat:233,live_heartbeat_two_side,heartbeat:233:no,2026-05-01 02:54:02.084000+00:00,2026-05-01 02:54:00+00:00,no,no,True,True,1,74.0,73.0,73.5,0.735,26.5,47.0,1.0,76546.69,76574.18,357.916,,233,False,False,synced,bid>=98,latest_quote,-1.0,27.489999999990687,1.4530621266531936,11.255370835065102,,,39.63129668352915,0.6936437184861425,0.7560471652024621,31.34666729265348,0.8769672304664217,0.8097477813256592,31.73543785612001,0.8662240654949521,0.8068163507350605,50.30681418512377,0.5464468471175771,0.707620592408098,76573.1,26.41000000000349,0.4401666666667249,0.0,185.0326926666782,0.9999999982129394,0.9999999972365172,0.9998825037517844,76573.68,26.989999999990687,0.1499444444443927,0.0,81.15751577774995,0.9951876885127614,0.9947258196873684,0.946655000872969,76568.22,21.52999999999884,0.0717666666666627,0.0,53.17643826665597,0.955094777850762,0.9530933788179932,0.8547538935383535,76571.35,24.66000000000349,0.0411000000000058,0.0,42.20034759999277,0.9108885166254836,0.90820044686774,0.7992259137134667,76603.9,57.20999999999185,0.0635666666666576,0.0,50.24152706665412,0.94550738137891,0.9433048114695186,0.8410305178176014,76596.57,49.88000000000466,0.0277111111111136,0.0,37.40825004443606,0.8836382357752213,0.8807517746097192,0.771441367992685,76698.95,152.25999999999476,0.0422944444444429,0.0,42.62785837776794,0.913066819204856,0.910400562366784,0.8016020685825918,-0.0747477813256591,True,0.7723738906628296,0.8332808530588071,0.735,heartbeat:233,two_side_all_heartbeats,0.7709081753675302,0.735,0.8014432899678501,0.07474778132565918,0.07181635073506054,2026-05-01 03:00:00+00:00,0.38050443734868167,0.6194955626513183,0.38636729852987894,0.6136327014701211,0.5847588151838039,0.4152411848161961,0.6136327014701211,0.38636729852987894,0.0,0.7526721157233569,0.7488612559555786,0.7305860578616784,0.7525955356467546,0.6398738906628296,0.6772477813256592,0.7898928462329821,0.7150050404363946,0.7061238906628295,0.7176743343976977,0.6945734469279614,0.7406651875504394,0.6772477813256592,0.7135446748264076,0.6864241621023758,0.7069561711889715,0.7445756878130353,0.6772477813256592,0.7335703137793206,0.6772477813256592,train,2,76.0,26.0,24.0,0.76,-1.5424312186964642
KXBTC15M-26APR302315-15,heartbeat:279,live_heartbeat_two_side,heartbeat:279:no,2026-05-01 03:04:03.002000+00:00,2026-05-01 03:04:00+00:00,no,yes,True,False,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,76523.21,76566.01,656.998,,279,False,False,synced,bid>=98,latest_quote,-1.0,42.79999999998836,1.6697895748695863,12.93413443028134,,,73.06516107679866,0.5857784937338516,0.7209878110788138,60.70704676828981,0.7050252364169499,0.7596027343884926,53.37635030066441,0.8018532507168366,0.7886810744013706,60.9852177692451,0.7018094148968086,0.7586009867287163,76545.99,22.77999999999884,0.3796666666666473,0.0,292.2402406666423,0.9999992600934848,0.9999999781353472,0.9999991743031912,76551.03,27.819999999992437,0.1545555555555135,0.0,144.34269088884963,0.9912893268815148,0.9965770031452535,0.9910298306129454,76542.98,19.769999999989523,0.065899999999965,0.0,86.0961681999654,0.9219372573774895,0.9466279804820114,0.9209889004124928,76546.69,23.479999999995925,0.0391333333333265,0.0,68.51052173331723,0.8704546976507823,0.9003480012171752,0.8693652287130946,76568.22,45.00999999999476,0.0500111111111052,0.0,75.6571999777623,0.8936668386343413,0.9218212665109522,0.8926200083367344,76541.98,18.769999999989523,0.0104277777777719,0.0,49.65102914442898,0.7932869078203723,0.8238679170234819,0.7922200840303251,76623.2,99.98999999999069,0.0277749999999974,0.0,61.04811944998666,0.8427004003116021,0.8736321329241803,0.8415941920242583,-0.0646027343884926,True,0.7273013671942463,0.7921799972553275,0.695,heartbeat:279,two_side_all_heartbeats,0.7418405372006853,0.695,0.7597682717920458,0.06460273438849262,0.09368107440137063,2026-05-01 03:15:00+00:00,0.48079453122301485,0.5192054687769851,0.42263785119725883,0.5773621488027412,0.4827980265425673,0.5172019734574327,0.5192054687769851,0.48079453122301485,0.0,0.6874835547050403,0.7252853967217817,0.6759917773525201,0.6986855030902692,0.5748013671942462,0.6071027343884926,0.7421888186697442,0.6113991945147341,0.6510513671942463,0.6686308203165477,0.6334719140719448,0.687235156258995,0.6071027343884926,0.6559854039966659,0.6247356517343368,0.6523477236798026,0.6906338401538031,0.6071027343884926,0.6746457765291184,0.6071027343884926,train,2,72.0,-70.0,-72.0,0.72,-2.936615984619692
KXBTC15M-26APR302330-30,heartbeat:359,live_heartbeat_two_side,heartbeat:359:yes,2026-05-01 03:17:04.128000+00:00,2026-05-01 03:17:00+00:00,yes,yes,True,True,1,85.0,84.0,84.5,0.845,15.5,69.0,1.0,76732.56,76668.47,775.872,,359,True,False,synced,bid>=98,latest_quote,1.0,64.08999999999651,2.300886690967177,17.822591671252333,,,63.047327607120806,1.0165379316213543,0.8453133529867535,82.77069681579101,0.7743078464426967,0.7806256176500028,77.02036623678534,0.8321175700848171,0.7973287073446015,70.04039628087806,0.915043366445,0.8199155678693344,76700.0,32.55999999999767,0.5426666666666279,0.0,485.1298719999664,0.9999999977013704,0.9999999998499453,0.999999999997842,76664.51,68.05000000000291,0.3780555555555717,0.0,357.4127200000091,0.9999921313408504,0.999998262132505,0.9999998328013192,76651.63,80.92999999999302,0.2697666666666434,0.0,273.39440319997846,0.9995217755823014,0.9998071192434936,0.9999525710431856,76553.61,178.9499999999971,0.2982499999999951,0.0,295.49382399999274,0.9998215294415992,0.999937617009776,0.9999877254518188,76529.7,202.86000000000055,0.2254000000000006,0.0,238.971548799997,0.9980562655667918,0.9990411996609088,0.9996774533024098,76555.49,177.06999999999243,0.098372222222218,0.0,140.41425279999322,0.955097258384698,0.9658543265162992,0.9775056965399836,76692.19,40.36999999999534,0.0112138888888875,0.0,72.7905423999955,0.8104143048112118,0.827691428776806,0.8506592791690114,0.0643743823499971,True,0.8128128088250014,0.8750491310774348,0.7806256176500028,heartbeat:359,two_side_all_heartbeats,0.8211643536723008,0.7806256176500028,0.8565920404114611,0.06437438234999715,0.04767129265539849,2026-05-01 03:30:00+00:00,0.43874876469999435,0.5612512353000056,0.40534258531079703,0.594657414689203,0.3601688642613312,0.6398311357386688,0.5612512353000056,0.43874876469999435,0.0,0.7148133029450037,0.7365273195479819,0.7721566514725018,0.7876088290307319,0.7353128088250014,0.7031256176500028,0.8282171639414617,0.6612034128582358,0.7740628088250014,0.8024376852950008,0.7456879323550019,0.7762504117666685,0.7031256176500028,0.7472491419332932,0.7182478720999179,0.782291256248728,0.7817370594818546,0.7031256176500028,0.7656713907957322,0.7031256176500028,train,1,86.0,15.0,14.0,0.86,-7.826294051814543
KXBTC15M-26APR302345-45,heartbeat:464,live_heartbeat_two_side,heartbeat:464:no,2026-05-01 03:40:20.895000+00:00,2026-05-01 03:40:00+00:00,no,no,True,True,1,95.0,95.0,95.0,0.95,5.0,90.0,0.0,77104.59,77219.61,279.105,,464,False,False,synced,bid>=98,latest_quote,-1.0,115.02000000000407,6.884771879984015,53.329213667230434,,,80.7504036271371,1.424389165051186,0.9228330755296708,96.84588351227984,1.187660185736442,0.8825163421778423,179.7832103393267,0.6397705313133126,0.7388391032194335,130.31795892635913,0.8826105085408856,0.8112766255714422,77171.23,66.63999999999942,1.110666666666657,0.0,425.0126200000014,0.9999942944513982,0.9909612873010104,0.999445586763612,77230.09,125.5,0.6972222222222222,0.0,309.6182083333374,0.9993057230555922,0.9574811181797686,0.9912461267162226,77195.82,91.23000000001048,0.3041000000000349,0.0,199.8958305000138,0.9804940429091552,0.8669033012170815,0.9374739229937676,77172.26,67.66999999999825,0.1127833333333304,0.0,146.49839225000326,0.9348215672263028,0.7924241649588353,0.8695276755093693,77293.84,189.25,0.2102777777777777,0.0,173.70957916667075,0.9635670910067472,0.8330321751661413,0.9087287341252316,76630.45,-474.1399999999994,-0.2634111111111107,474.1399999999994,41.5006418333375,0.6658646284602805,0.5912793360486706,0.6249307754047394,76577.63,-526.9599999999919,-0.1463777777777755,526.9599999999919,74.16523033333803,0.778104348387022,0.6600229988378139,0.7153591931959475,0.0674836578221577,True,0.916258171088921,0.9376701283623324,0.8825163421778423,heartbeat:464,two_side_all_heartbeats,0.8444195516097167,0.8825163421778423,0.9358537112351837,0.0674836578221577,0.2111608967805665,2026-05-01 03:45:00+00:00,0.2349673156443155,0.7650326843556845,0.5223217935611331,0.47767820643886694,0.3774467488571156,0.6225532511428844,0.47767820643886694,0.5223217935611331,0.0,0.847271244831195,0.6604908341852636,0.8961356224155974,0.8991850267065129,0.8912581710889211,0.8575163421778422,0.9173569796707521,0.8630820886466,0.9037581710889211,0.9222549026533526,0.8852614395244895,0.8966775614518948,0.8575163421778422,0.8771467659418235,0.8576159704317521,0.9144816127092182,0.9048151596249164,0.8575163421778422,0.8874366609242972,0.8575163421778422,train,1,96.0,5.0,4.0,0.96,-5.518484037508358
KXBTC15M-26MAY010000-00,heartbeat:533,live_heartbeat_two_side,heartbeat:533:no,2026-05-01 03:56:07.219000+00:00,2026-05-01 03:56:00+00:00,no,no,True,True,1,82.0,81.0,81.5,0.815,18.5,63.0,1.0,77093.44,77133.88,232.781,,533,False,False,synced,bid>=98,latest_quote,-1.0,40.44000000000233,2.6505584282751333,20.5311373017186,,,29.12537460113308,1.388479995667732,0.917504533964762,43.51268760827218,0.9293840997381714,0.8236549674956775,61.946529940601486,0.6528210706681864,0.7430641809824163,120.24643522295,0.3363093460943117,0.6316811985885571,77109.41,15.970000000001164,0.2661666666666861,0.0,102.3985428333402,0.990696270271472,0.9508360940040028,0.8027742621545696,77130.52,37.08000000000175,0.2060000000000097,0.0,88.39288600000458,0.978894194827338,0.92319885624785,0.7688600228523572,77146.12,52.679999999993015,0.1755999999999767,0.0,81.31634359999691,0.9691744104762214,0.9053556141996748,0.7505582203650178,77113.68,20.239999999990687,0.0337333333333178,0.0,48.29247906666538,0.8664677826402782,0.7821819000288437,0.6560154087465742,77081.5,-11.940000000002328,-0.0132666666666692,11.940000000002328,37.3517720666684,0.8046672372808626,0.7267349941535761,0.6219578456573933,77199.21,105.77000000000407,0.0587611111111133,0.0,54.11847020555841,0.8932023658981632,0.8088406503805667,0.6736674890803449,76528.23,-565.2100000000064,-0.1570027777777795,565.2100000000064,3.892736386113029,0.5356426634868382,0.5250531489959357,0.5129126981154952,-0.0086549674956775,True,0.8193274837478387,0.8692764593239662,0.815,heartbeat:533,two_side_all_heartbeats,0.7790320904912081,0.815,0.8484313723439474,0.008654967495677512,0.07193581901758361,2026-05-01 04:00:00+00:00,0.3526900650086451,0.6473099349913549,0.5138716380351673,0.48612836196483267,0.7366376028228858,0.2633623971771142,0.48612836196483267,0.5138716380351673,0.23880000000004656,0.7707514577443806,0.6659834352771412,0.7836257288721904,0.7990431699198124,0.7268274837478387,0.7311549674956774,0.8197223658430807,0.6964673760389677,0.7730774837478387,0.7898464902487031,0.7563084772469741,0.7899366449971182,0.7311549674956774,0.7690792269602009,0.7482218089232835,0.7758530545857147,0.7927437270742335,0.7311549674956774,0.7754386666693791,0.7311549674956774,train,2,84.0,18.0,16.0,0.84,-4.725627292576661
KXBTC15M-26MAY010030-30,heartbeat:650,live_heartbeat_two_side,heartbeat:650:yes,2026-05-01 04:19:08.946000+00:00,2026-05-01 04:19:00+00:00,yes,no,True,False,1,73.0,72.0,72.5,0.725,27.5,45.0,1.0,77169.14,77131.71,651.054,,650,False,False,synced,bid>=98,latest_quote,1.0,37.429999999993015,1.466936522400781,11.362841442403298,,,130.61835186451526,0.2865600389661747,0.6127753920285073,80.44527117437082,0.4652852734980636,0.6791364103310543,83.07173808691591,0.4505744175092487,0.6738518459372786,198.7045539879961,0.1883701165814961,0.5747067380718578,77138.87,30.270000000004075,0.5045000000000679,0.0,365.8867430000372,0.99999729555306,0.9999946977900463,0.9672156360035776,77101.06,68.08000000000175,0.3782222222222319,0.0,283.673090666666,0.9997892847666368,0.999680851741463,0.9232982776951492,77134.51,34.63000000000466,0.1154333333333488,0.0,112.58333340000311,0.9191687793632454,0.9123317311422502,0.7145024521753188,77105.8,63.33999999999651,0.1055666666666608,0.0,106.15960059998922,0.9065240464190512,0.8993623816355663,0.7034186562455718,77060.14,109.0,0.1211111111111111,0.0,116.27987333332636,0.9258346829850348,0.9192062772789816,0.7207899404635089,77152.01,17.130000000004657,0.0095166666666692,0.0,43.6258638999947,0.7061957560988665,0.7002636386686782,0.5868897292430997,76845.42,323.7200000000012,0.0899222222222225,0.0,95.97422246665988,0.8835726498602192,0.8760197585369585,0.6854519941200827,0.0458635896689456,True,0.7020682051655271,0.7744350632314333,0.6791364103310543,heartbeat:650,two_side_all_heartbeats,0.6994259229686393,0.6791364103310543,0.7500746789719653,0.04586358966894566,0.05114815406272133,2026-05-01 04:30:00+00:00,0.6417271793378914,0.35827282066210864,0.6522963081254425,0.3477036918745575,0.8505865238562844,0.14941347614371558,0.3477036918745575,0.6522963081254425,0.0,0.5828773334303705,0.5760073997184623,0.6401886667151854,0.6596055446515099,0.5645682051655272,0.5416364103310543,0.7134019610381762,0.45018969859843316,0.6333182051655271,0.6699909230993162,0.5966454872317379,0.6485909402207028,0.5416364103310543,0.6096351515788182,0.5706793629369334,0.638339970587883,0.6521975588134842,0.5416364103310543,0.6275191856846152,0.5416364103310543,train,2,75.0,-73.0,-75.0,0.75,-9.78024411865158
KXBTC15M-26MAY010045-45,heartbeat:720,live_heartbeat_two_side,heartbeat:720:yes,2026-05-01 04:35:10.431000+00:00,2026-05-01 04:35:00+00:00,yes,yes,True,True,1,79.0,78.0,78.5,0.785,21.5,57.0,1.0,77051.75,76977.88,589.569,,720,False,False,synced,bid>=98,latest_quote,1.0,73.86999999999534,3.042291184947702,23.56548618723216,,,51.90281906588165,1.423236759187014,0.9226662335825336,112.43920145772334,0.6569772734269208,0.744402235159532,96.67397398714888,0.7641146520966964,0.7776005392674652,90.4304261247954,0.8168710816208429,0.7929989472696313,77023.43,28.320000000006985,0.4720000000001164,0.0,352.14656800006395,0.9991315584147824,0.9998650615428712,0.9999507212564444,77026.81,24.94000000000233,0.1385555555555684,0.0,155.5580603333363,0.916742050437404,0.9462027260774274,0.9573015931035423,76992.02,59.729999999995925,0.1990999999999864,0.0,191.25318789998727,0.9555235847477268,0.9760543507368836,0.9827816503629618,77130.3,-78.55000000000291,-0.1309166666666715,78.55000000000291,-3.314408250007503,0.4882419467110715,0.4863251861691293,0.4853814510934795,77155.0,-103.25,-0.1147222222222222,103.25,6.233334166662019,0.522104989636197,0.5257051454125623,0.5274771761149097,77080.79,-29.0399999999936,-0.0161333333333297,29.0399999999936,64.35828679999744,0.7164687328769631,0.7472065725949716,0.7616711289969607,77195.82,-144.07000000000698,-0.0400194444444463,144.07000000000698,50.27577615832753,0.6726120843454748,0.6984873526514799,0.7108811891187463,0.040597764840468,True,0.764701117579766,0.828308606635753,0.744402235159532,heartbeat:720,two_side_all_heartbeats,0.7813002696337326,0.744402235159532,0.806925387497405,0.040597764840468065,0.007399460732534835,2026-05-01 04:45:00+00:00,0.5111955296809361,0.48880447031906393,0.4447989214650696,0.5552010785349304,0.41400210546073746,0.5859978945392625,0.48880447031906393,0.5111955296809361,1.0,0.6677229057073915,0.7108807010477047,0.7156114528536959,0.7326638113284686,0.6572011175797661,0.6369022351595319,0.7273058345293114,0.3843568287938366,0.710951117579766,0.7405706705478595,0.6813315646116723,0.7221014901063546,0.6369022351595319,0.6908598794721093,0.6596182688378639,0.7167698268765577,0.7261790321786848,0.6369022351595319,0.6821040348444216,0.6369022351595319,train,2,81.0,21.0,19.0,0.81,-8.382096782131512
KXBTC15M-26MAY010100-00,heartbeat:798,live_heartbeat_two_side,heartbeat:798:yes,2026-05-01 04:53:27.322000+00:00,2026-05-01 04:53:00+00:00,yes,no,True,False,1,73.0,71.0,72.0,0.72,28.0,44.0,2.0,77074.13,77042.93,392.678,,798,False,False,synced,bid>=98,last_decisive_quote,1.0,31.20000000001164,1.5744769565014884,12.19584606303521,,,39.22412685203511,0.7954287961006036,0.7868179425843442,53.71234252154481,0.5808720777258386,0.7193366638300586,67.9817682700124,0.458946579266523,0.6768637357316493,68.03147370427797,0.4586112618349721,0.676743326036495,77050.29,23.84000000001106,0.3973333333335176,0.0,187.2240586667507,0.999754556431406,0.997056711747841,0.9970385657767302,77026.83,47.30000000000291,0.2627777777777939,0.0,134.3870522222402,0.9938249047541712,0.975968455258629,0.975886679292704,77031.45,42.68000000000757,0.1422666666666918,0.0,87.06499013335488,0.9474857559793258,0.8998523812598838,0.8996878887898374,77014.84,59.29000000000815,0.0988166666666802,0.0,70.00313103335031,0.9037632953495304,0.8484325301586211,0.8482558268109265,77036.0,38.13000000000466,0.0423666666666718,0.0,47.836457933347006,0.8134293277661571,0.7591795959346095,0.7590194449516208,77135.07,-60.94000000000233,-0.0338555555555568,60.94000000000233,17.90566815556669,0.6305695780500853,0.6038747190697863,0.603800562644647,77130.52,-56.38999999999942,-0.0156638888888887,56.38999999999942,25.049135438900592,0.6795200642374359,0.6437380095810001,0.643637653424877,0.0006633361699414,True,0.7196683319150292,0.7956074732697948,0.7193366638300586,heartbeat:798,two_side_all_heartbeats,0.6984318678658246,0.7193366638300586,0.7652981503448828,0.0006633361699414086,0.04313626426835071,2026-05-01 05:00:00+00:00,0.5613266723398829,0.43867332766011713,0.6462725285367015,0.3537274714632985,0.64651334792701,0.35348665207299,0.3537274714632985,0.6462725285367015,0.0,0.635137662979076,0.5799228564511439,0.6635688314895382,0.6863174070874707,0.5796683319150293,0.5793366638300586,0.7371654831108945,0.5334219032580497,0.6496683319150293,0.6778009991490176,0.6215356646810409,0.672891109220039,0.5793366638300586,0.6398143407037306,0.6067375721874222,0.653000888117391,0.6759516292139923,0.5793366638300586,0.6582510734704765,0.5793366638300586,train,2,75.0,-73.0,-75.0,0.75,-7.404837078600764
