dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,logit55_edge15_locked,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,logit55_edge15_locked,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,logit55_edge15_locked,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,logit55_edge15_locked,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,logit55_edge15_locked,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,logit55_edge15_locked,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,logit55_edge15_locked,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,53.0,0.036627505183137524,68.5,True,True
current,logit55_edge15_locked,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,16,3,0.8421052631578947,238.0,0.17474302496328928,68.0,True,True
current,logit55_edge15_locked,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,logit55_edge15_locked,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,logit55_edge15_locked,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-20.0,-0.014084507042253521,69.0,False,True
current,logit55_edge15_locked,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,logit55_edge15_locked,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,16,4,0.8,196.0,0.1396011396011396,69.0,True,True
current,logit55_edge15_locked,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,logit55_edge15_locked,14,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,12,1.0,6,6,0.5,-250.0,-0.29411764705882354,68.5,False,True
current,logit65_edge10_strict,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,19,0.95,13,6,0.6842105263157895,-214.0,-0.14134742404227213,76.0,False,True
current,logit65_edge10_strict,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,18,0.9,15,3,0.8333333333333334,93.0,0.06609808102345416,74.0,True,True
current,logit65_edge10_strict,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,-128.0,-0.08376963350785341,76.0,False,True
current,logit65_edge10_strict,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,19,0.95,18,1,0.9473684210526315,301.0,0.2008005336891261,74.0,True,True
current,logit65_edge10_strict,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,14,6,0.7,-192.0,-0.12060301507537688,77.5,False,True
current,logit65_edge10_strict,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,18,2,0.9,221.0,0.13996200126662445,74.5,True,True
current,logit65_edge10_strict,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,18,0.9,14,4,0.7777777777777778,-33.0,-0.023028611304954642,77.0,False,True
current,logit65_edge10_strict,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,-64.0,-0.04092071611253197,81.0,False,True
current,logit65_edge10_strict,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,18,0.9,16,2,0.8888888888888888,189.0,0.1339475549255847,74.0,True,True
current,logit65_edge10_strict,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,334.0,0.22783083219645292,73.0,True,True
current,logit65_edge10_strict,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,18,0.9,15,3,0.8333333333333334,69.0,0.04821802935010482,77.0,True,True
current,logit65_edge10_strict,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,12,8,0.6,-386.0,-0.24337957124842372,75.5,False,True
current,logit65_edge10_strict,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,19,0.95,17,2,0.8947368421052632,162.0,0.10533159947984395,81.0,True,True
current,logit65_edge10_strict,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,18,0.9,17,1,0.9444444444444444,222.0,0.15020297699594046,79.0,True,True
current,logit65_edge10_strict,14,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,12,1.0,8,4,0.6666666666666666,-117.0,-0.12758996728462377,73.5,False,True
current,logit55_edge10_control,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,13,7,0.65,-47.0,-0.034892353377876766,64.0,False,True
current,logit55_edge10_control,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,15,5,0.75,132.0,0.09649122807017543,65.0,True,True
current,logit55_edge10_control,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,68.0,True,True
current,logit55_edge10_control,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,17,3,0.85,319.0,0.23099203475742217,66.0,True,True
current,logit55_edge10_control,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,14,6,0.7,9.0,0.006470165348670022,66.0,True,True
current,logit55_edge10_control,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,15,5,0.75,99.0,0.07066381156316917,66.5,True,True
current,logit55_edge10_control,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,53.0,0.036627505183137524,67.0,True,True
current,logit55_edge10_control,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,16,3,0.8421052631578947,195.0,0.1387900355871886,68.0,True,True
current,logit55_edge10_control,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,67.5,True,True
current,logit55_edge10_control,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,443.0,0.3264554163596168,68.0,True,True
current,logit55_edge10_control,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,15,5,0.75,49.0,0.033769813921433495,69.5,True,True
current,logit55_edge10_control,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,12,8,0.6,-241.0,-0.16724496877168632,68.5,False,True
current,logit55_edge10_control,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,16,4,0.8,170.0,0.11888111888111888,68.0,True,True
current,logit55_edge10_control,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,82.0,0.05782792665726375,69.0,True,True
current,logit55_edge10_control,14,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,12,1.0,6,6,0.5,-259.0,-0.30151338766006985,68.5,False,True
current,logit60_edge10_control,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,19,0.95,13,6,0.6842105263157895,-85.0,-0.061371841155234655,70.0,False,True
