file,candidate,combined_all_net_pnl_cents,current_all_net_pnl_cents,current_validation_net_pnl_cents,current_holdout_net_pnl_cents,v21_all_net_pnl_cents,v21_train_net_pnl_cents,v21_validation_net_pnl_cents,v21_holdout_net_pnl_cents
logit_blend_threshold_frontier_20260504_062030Z.csv,logit55_edge15_locked,1606.0,1053.0,481.0,66.0,553.0,72.0,330.0,151.0
logit_blend_threshold_frontier_20260504_062030Z.csv,logit65_edge10_strict,499.0,457.0,173.0,224.0,42.0,-433.0,383.0,92.0
logit_blend_threshold_frontier_20260504_062030Z.csv,logit55_edge10_control,2018.0,1209.0,401.0,-1.0,809.0,6.0,537.0,266.0
logit_blend_threshold_frontier_20260504_062030Z.csv,logit60_edge10_control,1182.0,741.0,205.0,-216.0,441.0,-211.0,400.0,252.0
logit_blend_threshold_frontier_20260504_062030Z.csv,logit60_edge15_control,1026.0,739.0,168.0,-61.0,287.0,-262.0,438.0,111.0
logit_blend_threshold_frontier_latest.csv,logit55_edge15_locked,1606.0,1053.0,481.0,66.0,553.0,72.0,330.0,151.0
logit_blend_threshold_frontier_latest.csv,logit65_edge10_strict,499.0,457.0,173.0,224.0,42.0,-433.0,383.0,92.0
logit_blend_threshold_frontier_latest.csv,logit55_edge10_control,2018.0,1209.0,401.0,-1.0,809.0,6.0,537.0,266.0
logit_blend_threshold_frontier_latest.csv,logit60_edge10_control,1182.0,741.0,205.0,-216.0,441.0,-211.0,400.0,252.0
logit_blend_threshold_frontier_latest.csv,logit60_edge15_control,1026.0,739.0,168.0,-61.0,287.0,-262.0,438.0,111.0
