dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,logit55_edge15_locked,split,holdout,59,43,16,0.7288135593220338,66.0,1.11864406779661,69.0
current,logit55_edge15_locked,split,train,173,126,47,0.7283236994219653,506.0,2.9248554913294798,68.0
current,logit55_edge15_locked,split,validation,57,45,12,0.7894736842105263,481.0,8.43859649122807,68.0
current,logit55_edge15_locked,side,no,143,106,37,0.7412587412587412,543.0,3.797202797202797,68.0
current,logit55_edge15_locked,side,yes,146,108,38,0.7397260273972602,510.0,3.493150684931507,68.0
current,logit55_edge15_locked,hour,0,9,6,3,0.6666666666666666,-31.0,-3.4444444444444446,68.0
current,logit55_edge15_locked,hour,1,8,6,2,0.75,28.0,3.5,68.5
current,logit55_edge15_locked,hour,10,12,11,1,0.9166666666666666,271.0,22.583333333333332,68.0
current,logit55_edge15_locked,hour,11,12,9,3,0.75,32.0,2.6666666666666665,70.5
current,logit55_edge15_locked,hour,12,12,11,1,0.9166666666666666,227.0,18.916666666666668,69.0
current,logit55_edge15_locked,hour,13,12,7,5,0.5833333333333334,-161.0,-13.416666666666666,66.0
current,logit55_edge15_locked,hour,14,11,8,3,0.7272727272727273,18.0,1.6363636363636365,68.0
current,logit55_edge15_locked,hour,15,11,8,3,0.7272727272727273,35.0,3.1818181818181817,66.0
current,logit55_edge15_locked,hour,16,8,5,3,0.625,-72.0,-9.0,68.5
current,logit55_edge15_locked,hour,17,12,10,2,0.8333333333333334,176.0,14.666666666666666,66.5
current,logit55_edge15_locked,hour,18,12,8,4,0.6666666666666666,-44.0,-3.6666666666666665,69.0
current,logit55_edge15_locked,hour,19,12,11,1,0.9166666666666666,243.0,20.25,67.5
current,logit55_edge15_locked,hour,2,14,9,5,0.6428571428571429,-85.0,-6.071428571428571,68.0
current,logit55_edge15_locked,hour,20,12,9,3,0.75,77.0,6.416666666666667,67.0
current,logit55_edge15_locked,hour,21,12,10,2,0.8333333333333334,113.0,9.416666666666666,71.5
current,logit55_edge15_locked,hour,22,12,10,2,0.8333333333333334,148.0,12.333333333333334,67.0
current,logit55_edge15_locked,hour,23,12,11,1,0.9166666666666666,277.0,23.083333333333332,64.5
current,logit55_edge15_locked,hour,3,16,9,7,0.5625,-247.0,-15.4375,69.5
current,logit55_edge15_locked,hour,4,16,12,4,0.75,87.0,5.4375,67.0
current,logit55_edge15_locked,hour,5,16,12,4,0.75,111.0,6.9375,66.5
current,logit55_edge15_locked,hour,6,12,11,1,0.9166666666666666,273.0,22.75,66.5
current,logit55_edge15_locked,hour,7,12,9,3,0.75,75.0,6.25,65.5
current,logit55_edge15_locked,hour,8,12,5,7,0.4166666666666667,-349.0,-29.083333333333332,69.0
current,logit55_edge15_locked,hour,9,12,7,5,0.5833333333333334,-149.0,-12.416666666666666,68.0
current,logit55_edge15_locked,ask,ask<=60,24,15,9,0.625,71.0,2.9583333333333335,57.5
current,logit55_edge15_locked,ask,ask<=70,181,131,50,0.7237569060773481,757.0,4.18232044198895,67.0
current,logit55_edge15_locked,ask,ask<=80,69,56,13,0.8115942028985508,324.0,4.695652173913044,74.0
current,logit55_edge15_locked,ask,ask<=95,15,12,3,0.8,-99.0,-6.6,85.0
current,logit55_edge15_locked,time,sec<=300,4,3,1,0.75,-3.0,-0.75,72.5
current,logit55_edge15_locked,time,sec<=600,42,33,9,0.7857142857142857,278.0,6.619047619047619,68.0
current,logit55_edge15_locked,time,sec<=900,243,178,65,0.7325102880658436,778.0,3.2016460905349793,68.0
current,logit55_edge15_locked,score,p<=0.60,149,108,41,0.7248322147651006,838.0,5.624161073825503,65.0
current,logit55_edge15_locked,score,p<=0.70,107,82,25,0.7663551401869159,528.0,4.934579439252336,70.0
current,logit55_edge15_locked,score,p<=0.80,28,20,8,0.7142857142857143,-266.0,-9.5,79.0
current,logit55_edge15_locked,score,p<=0.90,4,3,1,0.75,-52.0,-13.0,87.0
current,logit55_edge15_locked,score,p>0.90,1,1,0,1.0,5.0,5.0,94.0
current,logit55_edge15_locked,edge,edge<=-10,116,87,29,0.75,300.0,2.586206896551724,69.0
