dataset,candidate,label,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,logit55_edge15_locked,blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=60,292,289,214,75,0.740484429065744,0.9897260273972602,0.6870229411325369,68.0,68.44290657439447,71.0,0,0,772.401,567.0,19780.0,20347.0,1620.0,1053.0,0.08190091001011122,0.05175210104683737,3.643598615916955,3.606164383561644,0.7040484429065744,0.03643598615916954,175,173,126,47,0.7283236994219653,0.9885714285714285,0.6576157861158706,68.0,67.9364161849711,71.0,0,0,771.09,341.0,11753.0,12094.0,847.0,506.0,0.07206670637284097,0.04183892839424508,2.9248554913294798,2.8914285714285715,0.6990751445086706,0.0292485549132947,58,57,45,12,0.7894736842105263,0.9827586206896551,0.6671387891680949,68.0,68.56140350877193,71.0,0,0,773.575,111.0,3908.0,4019.0,592.0,481.0,0.15148413510747186,0.11968151281413286,8.43859649122807,8.293103448275861,0.7050877192982455,0.08438596491228079,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,69.0,69.8135593220339,71.5,0,0,774.221,115.0,4119.0,4234.0,181.0,66.0,0.04394270453993688,0.015588096362777516,1.11864406779661,1.11864406779661,0.7176271186440677,0.011186440677966147,True,True,True
current,logit65_edge10_strict,blend_logit_book_rv_hazard_mean>=0.65; fair_edge>=-10c; ask<=95; sec>=60,292,276,224,52,0.8115942028985508,0.9452054794520548,0.7613025284709043,75.0,77.77898550724638,83.0,5,0,645.275,476.0,21467.0,21943.0,933.0,457.0,0.04346205804257698,0.020826687326254388,1.6557971014492754,1.5650684931506849,0.795036231884058,0.016557971014492745,175,165,132,33,0.8,0.9428571428571428,0.7324546945752665,76.0,77.9030303030303,83.0,4,0,616.212,286.0,12854.0,13140.0,346.0,60.0,0.026917690991131164,0.0045662100456621,0.36363636363636365,0.34285714285714286,0.7963636363636364,0.0036363636363636598,58,55,45,10,0.8181818181818182,0.9482758620689655,0.6966954036336236,75.0,76.9090909090909,82.0,1,0,659.923,97.0,4230.0,4327.0,270.0,173.0,0.06382978723404255,0.03998151143979663,3.1454545454545455,2.9827586206896552,0.7867272727272726,0.031454545454545624,59,56,47,9,0.8392857142857143,0.9491525423728814,0.7219379333025048,75.0,78.26785714285714,85.0,0,0,643.718,93.0,4383.0,4476.0,317.0,224.0,0.07232489162673968,0.050044682752457555,4.0,3.7966101694915255,0.7992857142857143,0.040000000000000036,True,True,True
current,logit55_edge10_control,blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-10c; ask<=95; sec>=60,292,288,217,71,0.7534722222222222,0.9863013698630136,0.7005762408803435,68.0,69.25,73.0,0,0,765.499,547.0,19944.0,20491.0,1756.0,1209.0,0.08804653028479743,0.059001512859304085,4.197916666666667,4.140410958904109,0.7114930555555556,0.04197916666666657,175,173,130,43,0.7514450867052023,0.9885714285714285,0.6820527421897787,67.0,68.57225433526011,73.0,0,0,766.278,328.0,11863.0,12191.0,1137.0,809.0,0.09584422152912417,0.06636042982528094,4.676300578034682,4.622857142857143,0.7046820809248556,0.046763005780346645,58,57,45,12,0.7894736842105263,0.9827586206896551,0.6671387891680949,68.0,69.98245614035088,74.0,0,0,757.22,110.0,3989.0,4099.0,511.0,401.0,0.12810228127350212,0.09782873871676019,7.035087719298246,6.913793103448276,0.7191228070175439,0.07035087719298239,59,58,42,16,0.7241379310344828,0.9830508474576272,0.5979534481052067,69.0,70.55172413793103,74.75,0,0,723.1765,109.0,4092.0,4201.0,108.0,-1.0,0.026392961876832845,-0.00023803856224708403,-0.017241379310344827,-0.01694915254237288,0.7243103448275863,-0.00017241379310350968,True,False,False
current,logit60_edge10_control,blend_logit_book_rv_hazard_mean>=0.60; fair_edge>=-10c; ask<=95; sec>=60,292,283,221,62,0.7809187279151943,0.9691780821917808,0.7291423598137972,72.0,73.65017667844523,78.0,3,0,705.548,516.0,20843.0,21359.0,1257.0,741.0,0.06030801708007485,0.03469263542300669,2.618374558303887,2.537671232876712,0.7547349823321555,0.02618374558303882,175,170,136,34,0.8,0.9714285714285714,0.7335414618685494,72.0,73.77058823529411,79.75,3,0,681.4525,307.0,12541.0,12848.0,1059.0,752.0,0.0844430268718603,0.058530510585305104,4.423529411764706,4.297142857142857,0.755764705882353,0.04423529411764704,58,56,44,12,0.7857142857142857,0.9655172413793104,0.6618053643659488,73.0,73.01785714285714,75.0,0,0,709.5235,106.0,4089.0,4195.0,311.0,205.0,0.07605771582293959,0.04886769964243146,3.6607142857142856,3.5344827586206895,0.7491071428571427,0.03660714285714295,59,57,41,16,0.7192982456140351,0.9661016949152542,0.5916980132395605,72.0,73.91228070175438,80.0,0,0,709.883,103.0,4213.0,4316.0,-113.0,-216.0,-0.026821742226441965,-0.05004633920296571,-3.789473684210526,-3.6610169491525424,0.7571929824561404,-0.037894736842105314,True,False,False
current,logit60_edge15_control,blend_logit_book_rv_hazard_mean>=0.60; fair_edge>=-15c; ask<=95; sec>=60,292,287,222,65,0.7735191637630662,0.9828767123287672,0.721668135665184,72.0,72.87456445993031,75.5,0,0,718.152,546.0,20915.0,21461.0,1285.0,739.0,0.061439158498685156,0.034434555705698706,2.5749128919860627,2.530821917808219,0.7477700348432055,0.025749128919860698,175,172,135,37,0.7848837209302325,0.9828571428571429,0.7176087784739315,72.0,72.92441860465117,76.0,0,0,711.6185,325.0,12543.0,12868.0,957.0,632.0,0.07629753647452762,0.04911408144233758,3.6744186046511627,3.611428571428571,0.748139534883721,0.03674418604651153,58,57,44,13,0.7719298245614035,0.9827586206896551,0.647939889543265,72.0,72.3157894736842,75.0,0,0,755.151,110.0,4122.0,4232.0,278.0,168.0,0.06744298884036876,0.03969754253308128,2.9473684210526314,2.896551724137931,0.742456140350877,0.02947368421052643,59,58,43,15,0.7413793103448276,0.9830508474576272,0.6162261423525958,72.0,73.27586206896552,76.75,0,0,744.0885000000001,111.0,4250.0,4361.0,50.0,-61.0,0.011764705882352941,-0.013987617518917679,-1.0517241379310345,-1.0338983050847457,0.7518965517241379,-0.010517241379310316,True,False,False
current,logit55_edge15_sec600,blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=600,292,243,178,65,0.7325102880658436,0.8321917808219178,0.6735530449848468,68.0,68.08230452674897,71.0,0,0,778.863,478.0,16544.0,17022.0,1256.0,778.0,0.07591876208897486,0.045705557513805666,3.2016460905349793,2.664383561643836,0.7004938271604938,0.03201646090534982,175,144,106,38,0.7361111111111112,0.8228571428571428,0.6586668986763383,67.0,67.38888888888889,70.0,0,0,778.2429999999999,284.0,9704.0,9988.0,896.0,612.0,0.09233305853256389,0.06127352823388066,4.25,3.4971428571428573,0.6936111111111111,0.04250000000000009,58,47,35,12,0.7446808510638298,0.8103448275862069,0.6049182446958253,67.0,68.70212765957447,71.5,0,0,777.752,92.0,3229.0,3321.0,271.0,179.0,0.0839269123567668,0.05389942788316772,3.8085106382978724,3.086206896551724,0.706595744680851,0.038085106382978795,59,52,37,15,0.7115384615384616,0.8813559322033898,0.5772721196331574,69.0,69.4423076923077,71.0,0,0,805.6179999999999,102.0,3611.0,3713.0,89.0,-13.0,0.024646912212683468,-0.0035012119579854563,-0.25,-0.22033898305084745,0.7140384615384616,-0.0025000000000000577,True,False,False
current,logit55_edge10_sec600,blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-10c; ask<=95; sec>=600,292,222,168,54,0.7567567567567568,0.7602739726027398,0.6962635082308972,68.0,68.72972972972973,73.0,0,0,773.1105,425.0,15258.0,15683.0,1542.0,1117.0,0.10106173810460087,0.07122361793024294,5.031531531531532,3.8253424657534247,0.7064414414414414,0.05031531531531541,175,130,100,30,0.7692307692307693,0.7428571428571429,0.6897074403782228,66.0,67.95384615384616,72.0,0,0,776.5905,249.0,8834.0,9083.0,1166.0,917.0,0.1319900384876613,0.10095783331498404,7.053846153846154,5.24,0.6986923076923077,0.07053846153846155,58,44,33,11,0.75,0.7586206896551724,0.6055943364104085,68.0,69.5,73.0,0,0,768.5995,86.0,3058.0,3144.0,242.0,156.0,0.07913669064748201,0.04961832061068702,3.5454545454545454,2.689655172413793,0.7145454545454545,0.035454545454545516,59,48,35,13,0.7291666666666666,0.8135593220338984,0.5900303501775939,68.0,70.125,73.0,0,0,766.8915,90.0,3366.0,3456.0,134.0,44.0,0.0398098633392751,0.01273148148148148,0.9166666666666666,0.7457627118644068,0.7200000000000001,0.009166666666666545,False,True,True
current,logit60_edge15_sec600,blend_logit_book_rv_hazard_mean>=0.60; fair_edge>=-15c; ask<=95; sec>=600,292,206,158,48,0.7669902912621359,0.7054794520547946,0.7046957249975653,71.5,71.70873786407768,74.0,0,0,770.0654999999999,400.0,14772.0,15172.0,1028.0,628.0,0.06959111833197942,0.041392037964671766,3.0485436893203883,2.1506849315068495,0.736504854368932,0.030485436893203932,175,116,92,24,0.7931034482758621,0.6628571428571428,0.7105774078005253,71.0,71.16379310344827,74.0,0,0,769.929,225.0,8255.0,8480.0,945.0,720.0,0.11447607510599636,0.08490566037735849,6.206896551724138,4.114285714285714,0.7310344827586208,0.06206896551724128,58,44,32,12,0.7272727272727273,0.7586206896551724,0.581511269075488,72.5,72.04545454545455,75.0,0,0,768.5995,86.0,3170.0,3256.0,30.0,-56.0,0.00946372239747634,-0.0171990171990172,-1.2727272727272727,-0.9655172413793104,0.7400000000000001,-0.01272727272727281,59,46,34,12,0.7391304347826086,0.7796610169491526,0.5974084647198441,72.0,72.76086956521739,75.75,0,0,772.4095,89.0,3347.0,3436.0,53.0,-36.0,0.015835076187630713,-0.010477299185098952,-0.782608695652174,-0.6101694915254238,0.7469565217391304,-0.00782608695652176,False,False,False
current,logit65_edge10_sec600,blend_logit_book_rv_hazard_mean>=0.65; fair_edge>=-10c; ask<=95; sec>=600,292,149,121,28,0.8120805369127517,0.5102739726027398,0.7418104020734522,74.0,76.14765100671141,81.0,0,0,717.152,269.0,11346.0,11615.0,754.0,485.0,0.06645513837475762,0.04175634954799828,3.2550335570469797,1.6609589041095891,0.7795302013422819,0.032550335570469824,175,84,70,14,0.8333333333333334,0.48,0.7394696025466009,74.0,75.88095238095238,80.0,0,0,717.0015000000001,154.0,6374.0,6528.0,626.0,472.0,0.09821148415437715,0.07230392156862746,5.619047619047619,2.697142857142857,0.7771428571428571,0.056190476190476235,58,35,27,8,0.7714285714285715,0.603448275862069,0.6098268310800976,74.0,75.74285714285715,78.0,0,0,745.019,64.0,2651.0,2715.0,49.0,-15.0,0.01848359109769898,-0.0055248618784530384,-0.42857142857142855,-0.25862068965517243,0.7757142857142857,-0.004285714285714226,59,30,24,6,0.8,0.5084745762711864,0.6269430358685175,75.0,77.36666666666666,83.0,0,0,715.5835,51.0,2321.0,2372.0,79.0,28.0,0.034037052994398964,0.011804384485666104,0.9333333333333333,0.4745762711864407,0.7906666666666666,0.009333333333333416,False,False,False
v21,logit55_edge15_locked,blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=60,221,218,159,59,0.7293577981651376,0.9864253393665159,0.6667865949081514,67.0,68.44954128440367,71.0,0,0,779.4973125,425.0,14922.0,15347.0,978.0,553.0,0.06554081222356252,0.036033100931778195,2.536697247706422,2.502262443438914,0.7039908256880734,0.02536697247706421,132,130,92,38,0.7076923076923077,0.9848484848484849,0.6244469876657347,67.0,68.26153846153846,71.0,0,0,779.7675320000001,254.0,8874.0,9128.0,326.0,72.0,0.03673653369393735,0.007887817703768623,0.5538461538461539,0.5454545454545454,0.7021538461538461,0.005538461538461603,44,44,34,10,0.7727272727272727,1.0,0.6300764193536366,66.5,67.81818181818181,70.25,0,0,779.3057875,86.0,2984.0,3070.0,416.0,330.0,0.13941018766756033,0.10749185667752444,7.5,7.5,0.6977272727272728,0.07499999999999996,45,44,33,11,0.75,0.9777777777777777,0.6055943364104085,68.0,69.63636363636364,73.75,0,0,779.189098,85.0,3064.0,3149.0,236.0,151.0,0.07702349869451697,0.04795173070816132,3.4318181818181817,3.3555555555555556,0.7156818181818182,0.0343181818181818,True,True,True
v21,logit65_edge10_strict,blend_logit_book_rv_hazard_mean>=0.65; fair_edge>=-10c; ask<=95; sec>=60,221,211,169,42,0.8009478672985783,0.9547511312217195,0.7419045052112383,77.0,78.17061611374407,83.0,1,0,599.777083,364.0,16494.0,16858.0,406.0,42.0,0.024615011519340365,0.0024913987424368253,0.1990521327014218,0.19004524886877827,0.7989573459715641,0.001990521327014161,132,126,96,30,0.7619047619047619,0.9545454545454546,0.680487433986594,76.0,77.88095238095238,82.75,1,0,659.0472844999999,220.0,9813.0,10033.0,-213.0,-433.0,-0.021705900336288598,-0.043157579986046045,-3.4365079365079363,-3.2803030303030303,0.7962698412698411,-0.034365079365079265,44,44,39,5,0.8863636363636364,1.0,0.760208475833917,77.5,78.22727272727273,83.0,0,0,599.6370885,75.0,3442.0,3517.0,458.0,383.0,0.13306217315514235,0.10889963036678987,8.704545454545455,8.704545454545455,0.7993181818181818,0.08704545454545454,45,41,34,7,0.8292682926829268,0.9111111111111111,0.6873738759959582,78.0,79.0,84.0,0,0,599.200387,69.0,3239.0,3308.0,161.0,92.0,0.04970669959864155,0.02781136638452237,2.2439024390243905,2.0444444444444443,0.8068292682926831,0.0224390243902437,True,False,True
