dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass,fade_selected
current,book_margin_baseline,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,0
current,book_margin_baseline,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,0
current,book_margin_baseline,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,0
current,book_margin_baseline,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,0
current,book_margin_baseline,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,book_margin_baseline,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,0
current,book_margin_baseline,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,0
current,book_margin_baseline,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,0
current,book_margin_baseline,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,0
current,book_margin_baseline,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,0
current,book_margin_baseline,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,0
current,book_margin_baseline,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,0
current,book_margin_baseline,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,0
current,book_margin_baseline,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,0
current,book_margin_baseline,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,0
current,book_margin_baseline,15,13,13,1.0,10,3,0.7692307692307693,108.0,0.1210762331838565,True,True,0
v21,book_margin_baseline,0,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,True,True,0
v21,book_margin_baseline,1,20,20,1.0,11,9,0.55,-283.0,-0.20462762111352134,False,True,0
v21,book_margin_baseline,2,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,False,True,0
v21,book_margin_baseline,3,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,False,True,0
v21,book_margin_baseline,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,True,True,0
v21,book_margin_baseline,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,True,True,0
v21,book_margin_baseline,6,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,True,True,0
v21,book_margin_baseline,7,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,True,True,0
v21,book_margin_baseline,8,20,20,1.0,10,10,0.5,-332.0,-0.24924924924924924,False,True,0
v21,book_margin_baseline,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,True,True,0
v21,book_margin_baseline,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True,0
v21,book_margin_baseline,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,0,20,20,1.0,11,9,0.55,-232.0,-0.17417417417417416,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,1,20,20,1.0,14,6,0.7,49.0,0.03626943005181347,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,2,20,19,0.95,14,5,0.7368421052631579,95.0,0.07279693486590039,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,3,20,20,1.0,17,3,0.85,317.0,0.2292118582791034,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,5,20,20,1.0,12,8,0.6,-157.0,-0.1156963890935888,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,6,20,20,1.0,16,4,0.8,188.0,0.13314447592067988,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,7,20,19,0.95,15,4,0.7894736842105263,189.0,0.14416475972540047,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,8,20,20,1.0,14,6,0.7,57.0,0.04244229337304542,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,9,20,19,0.95,15,4,0.7894736842105263,192.0,0.14678899082568808,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,11,20,20,1.0,13,7,0.65,-85.0,-0.061371841155234655,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,12,20,20,1.0,16,4,0.8,242.0,0.17820324005891017,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,13,20,20,1.0,17,3,0.85,272.0,0.19047619047619047,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,14,20,20,1.0,12,8,0.6,-178.0,-0.12917271407837447,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec300_fade100,15,13,13,1.0,10,3,0.7692307692307693,102.0,0.11358574610244988,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,0,20,19,0.95,16,3,0.8421052631578947,198.0,0.14122681883024252,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,1,20,20,1.0,11,9,0.55,-290.0,-0.20863309352517986,False,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,2,20,20,1.0,12,8,0.6,-224.0,-0.15730337078651685,False,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,3,20,20,1.0,13,7,0.65,-113.0,-0.0799716914366596,False,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,5,20,20,1.0,14,6,0.7,20.0,0.014492753623188406,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,6,20,20,1.0,18,2,0.9,388.0,0.2747875354107649,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,7,20,20,1.0,17,3,0.85,326.0,0.23726346433770015,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,8,20,20,1.0,10,10,0.5,-373.0,-0.2716678805535324,False,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,9,20,20,1.0,17,3,0.85,291.0,0.20652945351312987,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec300_fade100,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,0,20,20,1.0,11,9,0.55,-232.0,-0.17417417417417416,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,1,20,20,1.0,14,6,0.7,49.0,0.03626943005181347,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,2,20,19,0.95,14,5,0.7368421052631579,95.0,0.07279693486590039,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,3,20,20,1.0,17,3,0.85,317.0,0.2292118582791034,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,5,20,20,1.0,12,8,0.6,-157.0,-0.1156963890935888,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,6,20,20,1.0,16,4,0.8,188.0,0.13314447592067988,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,7,20,19,0.95,15,4,0.7894736842105263,189.0,0.14416475972540047,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,8,20,20,1.0,14,6,0.7,57.0,0.04244229337304542,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,9,20,19,0.95,15,4,0.7894736842105263,192.0,0.14678899082568808,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,11,20,20,1.0,13,7,0.65,-85.0,-0.061371841155234655,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,12,20,20,1.0,16,4,0.8,242.0,0.17820324005891017,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,13,20,20,1.0,17,3,0.85,272.0,0.19047619047619047,True,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,14,20,20,1.0,12,8,0.6,-178.0,-0.12917271407837447,False,True,0
current,veto_signed_move_15m_le50_score0.65_sec600_fade100,15,13,13,1.0,10,3,0.7692307692307693,102.0,0.11358574610244988,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,0,20,19,0.95,16,3,0.8421052631578947,198.0,0.14122681883024252,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,1,20,20,1.0,11,9,0.55,-290.0,-0.20863309352517986,False,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,2,20,20,1.0,12,8,0.6,-224.0,-0.15730337078651685,False,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,3,20,20,1.0,13,7,0.65,-113.0,-0.0799716914366596,False,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,5,20,20,1.0,14,6,0.7,20.0,0.014492753623188406,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,6,20,20,1.0,18,2,0.9,388.0,0.2747875354107649,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,7,20,20,1.0,17,3,0.85,326.0,0.23726346433770015,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,8,20,20,1.0,11,9,0.55,-256.0,-0.1887905604719764,False,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,9,20,20,1.0,17,3,0.85,291.0,0.20652945351312987,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True,0
v21,veto_signed_move_15m_le50_score0.65_sec600_fade100,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,0,20,20,1.0,11,9,0.55,-251.0,-0.1857883049592894,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,1,20,20,1.0,14,6,0.7,22.0,0.015965166908563134,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,2,20,19,0.95,14,5,0.7368421052631579,89.0,0.06788710907704043,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,3,20,20,1.0,18,2,0.9,421.0,0.3052936910804931,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,5,20,20,1.0,15,5,0.75,153.0,0.11358574610244988,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,6,20,20,1.0,16,4,0.8,184.0,0.12994350282485875,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,7,20,19,0.95,15,4,0.7894736842105263,168.0,0.12612612612612611,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,8,20,20,1.0,13,7,0.65,-40.0,-0.029850746268656716,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,9,20,19,0.95,15,4,0.7894736842105263,185.0,0.14068441064638784,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,10,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,11,20,20,1.0,13,7,0.65,-85.0,-0.061371841155234655,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,12,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,13,20,20,1.0,16,4,0.8,165.0,0.11498257839721254,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,14,20,20,1.0,12,8,0.6,-196.0,-0.14040114613180515,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,15,13,13,1.0,10,3,0.7692307692307693,92.0,0.1013215859030837,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,0,20,19,0.95,16,3,0.8421052631578947,184.0,0.12994350282485875,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,1,20,20,1.0,12,8,0.6,-183.0,-0.13232104121475055,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,2,20,20,1.0,12,8,0.6,-251.0,-0.1729841488628532,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,3,20,20,1.0,14,6,0.7,-26.0,-0.0182328190743338,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,4,20,20,1.0,14,6,0.7,11.0,0.007919366450683946,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,5,20,20,1.0,14,6,0.7,8.0,0.005747126436781609,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,6,20,20,1.0,18,2,0.9,372.0,0.2605042016806723,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,7,20,20,1.0,17,3,0.85,326.0,0.23726346433770015,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,8,20,20,1.0,11,9,0.55,-282.0,-0.2040520984081042,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,9,20,20,1.0,16,4,0.8,190.0,0.1347517730496454,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,10,20,19,0.95,14,5,0.7368421052631579,17.0,0.012292118582791034,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,0,20,20,1.0,11,9,0.55,-251.0,-0.1857883049592894,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,1,20,20,1.0,14,6,0.7,22.0,0.015965166908563134,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,2,20,19,0.95,14,5,0.7368421052631579,92.0,0.07033639143730887,True,True,0
