dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,net_pnl_cents,positive_net,coverage_pass
current,baseline_book_margin,0,20,20,1.0,12,8,-123.0,False,True
current,baseline_book_margin,1,20,20,1.0,14,6,59.0,True,True
current,baseline_book_margin,2,20,20,1.0,15,5,139.0,True,True
current,baseline_book_margin,3,20,20,1.0,16,4,274.0,True,True
current,baseline_book_margin,4,20,20,1.0,12,8,-117.0,False,True
current,baseline_book_margin,5,20,20,1.0,12,8,-129.0,False,True
current,baseline_book_margin,6,20,20,1.0,16,4,220.0,True,True
current,baseline_book_margin,7,20,19,0.95,16,3,297.0,True,True
current,baseline_book_margin,8,20,20,1.0,14,6,75.0,True,True
current,baseline_book_margin,9,20,19,0.95,15,4,200.0,True,True
current,baseline_book_margin,10,20,20,1.0,12,8,-164.0,False,True
current,baseline_book_margin,11,20,20,1.0,13,7,-73.0,False,True
current,baseline_book_margin,12,20,20,1.0,16,4,258.0,True,True
current,baseline_book_margin,13,20,20,1.0,17,3,285.0,True,True
current,baseline_book_margin,14,20,20,1.0,11,9,-260.0,False,True
current,baseline_book_margin,15,20,20,1.0,15,5,129.0,True,True
current,baseline_book_margin,16,7,7,1.0,3,4,-185.0,False,True
v21,baseline_book_margin,0,20,19,0.95,16,3,223.0,True,True
v21,baseline_book_margin,1,20,20,1.0,11,9,-283.0,False,True
v21,baseline_book_margin,2,20,20,1.0,13,7,-104.0,False,True
v21,baseline_book_margin,3,20,20,1.0,13,7,-84.0,False,True
v21,baseline_book_margin,4,20,20,1.0,14,6,32.0,True,True
v21,baseline_book_margin,5,20,20,1.0,14,6,40.0,True,True
v21,baseline_book_margin,6,20,20,1.0,17,3,343.0,True,True
v21,baseline_book_margin,7,20,20,1.0,16,4,230.0,True,True
v21,baseline_book_margin,8,20,20,1.0,10,10,-332.0,False,True
v21,baseline_book_margin,9,20,20,1.0,17,3,292.0,True,True
v21,baseline_book_margin,10,20,19,0.95,14,5,31.0,True,True
v21,baseline_book_margin,11,1,1,1.0,1,0,37.0,True,True
current,veto_trend150_ask0,0,20,18,0.9,11,7,-85.0,False,True
current,veto_trend150_ask0,1,20,19,0.95,13,6,26.0,True,True
current,veto_trend150_ask0,2,20,9,0.45,6,3,-21.0,False,False
current,veto_trend150_ask0,3,20,17,0.85,13,4,172.0,True,True
current,veto_trend150_ask0,4,20,17,0.85,10,7,-124.0,False,True
current,veto_trend150_ask0,5,20,19,0.95,12,7,-54.0,False,True
current,veto_trend150_ask0,6,20,20,1.0,16,4,220.0,True,True
current,veto_trend150_ask0,7,20,19,0.95,16,3,297.0,True,True
current,veto_trend150_ask0,8,20,18,0.9,13,5,110.0,True,True
current,veto_trend150_ask0,9,20,19,0.95,15,4,200.0,True,True
current,veto_trend150_ask0,10,20,19,0.95,11,8,-193.0,False,True
current,veto_trend150_ask0,11,20,19,0.95,12,7,-109.0,False,True
current,veto_trend150_ask0,12,20,19,0.95,15,4,229.0,True,True
current,veto_trend150_ask0,13,20,11,0.55,9,2,108.0,True,False
current,veto_trend150_ask0,14,20,15,0.75,8,7,-213.0,False,False
current,veto_trend150_ask0,15,20,16,0.8,12,4,87.0,True,True
current,veto_trend150_ask0,16,7,1,0.14285714285714285,1,0,31.0,True,False
v21,veto_trend150_ask0,0,20,16,0.8,14,2,262.0,True,True
v21,veto_trend150_ask0,1,20,14,0.7,9,5,-73.0,False,False
v21,veto_trend150_ask0,2,20,19,0.95,13,6,-36.0,False,True
v21,veto_trend150_ask0,3,20,18,0.9,11,7,-145.0,False,True
v21,veto_trend150_ask0,4,20,20,1.0,14,6,32.0,True,True
v21,veto_trend150_ask0,5,20,13,0.65,10,3,124.0,True,False
v21,veto_trend150_ask0,6,20,16,0.8,13,3,213.0,True,True
v21,veto_trend150_ask0,7,20,13,0.65,10,3,129.0,True,False
v21,veto_trend150_ask0,8,20,20,1.0,10,10,-332.0,False,True
v21,veto_trend150_ask0,9,20,19,0.95,17,2,367.0,True,True
v21,veto_trend150_ask0,10,20,19,0.95,14,5,31.0,True,True
v21,veto_trend150_ask0,11,1,1,1.0,1,0,37.0,True,True
current,fade_trend150_ask0_fade40,0,20,20,1.0,12,8,-57.0,False,True
current,fade_trend150_ask0_fade40,1,20,20,1.0,13,7,-12.0,False,True
current,fade_trend150_ask0_fade40,2,20,20,1.0,8,12,-237.0,False,True
current,fade_trend150_ask0_fade40,3,20,20,1.0,13,7,55.0,True,True
current,fade_trend150_ask0_fade40,4,20,20,1.0,11,9,-146.0,False,True
current,fade_trend150_ask0_fade40,5,20,20,1.0,13,7,16.0,True,True
current,fade_trend150_ask0_fade40,6,20,20,1.0,16,4,220.0,True,True
current,fade_trend150_ask0_fade40,7,20,19,0.95,16,3,297.0,True,True
current,fade_trend150_ask0_fade40,8,20,20,1.0,14,6,135.0,True,True
current,fade_trend150_ask0_fade40,9,20,19,0.95,15,4,200.0,True,True
current,fade_trend150_ask0_fade40,10,20,20,1.0,11,9,-227.0,False,True
current,fade_trend150_ask0_fade40,11,20,20,1.0,12,8,-150.0,False,True
current,fade_trend150_ask0_fade40,12,20,20,1.0,15,5,195.0,True,True
current,fade_trend150_ask0_fade40,13,20,20,1.0,10,10,-116.0,False,True
current,fade_trend150_ask0_fade40,14,20,20,1.0,10,10,-192.0,False,True
current,fade_trend150_ask0_fade40,15,20,20,1.0,13,7,24.0,True,True
current,fade_trend150_ask0_fade40,16,7,7,1.0,5,2,216.0,True,True
v21,fade_trend150_ask0_fade40,0,20,19,0.95,15,4,289.0,True,True
v21,fade_trend150_ask0_fade40,1,20,20,1.0,13,7,106.0,True,True
v21,fade_trend150_ask0_fade40,2,20,20,1.0,14,6,27.0,True,True
v21,fade_trend150_ask0_fade40,3,20,20,1.0,11,9,-216.0,False,True
v21,fade_trend150_ask0_fade40,4,20,20,1.0,14,6,32.0,True,True
v21,fade_trend150_ask0_fade40,5,20,20,1.0,13,7,172.0,True,True
v21,fade_trend150_ask0_fade40,6,20,20,1.0,13,7,63.0,True,True
v21,fade_trend150_ask0_fade40,7,20,20,1.0,11,9,-8.0,False,True
v21,fade_trend150_ask0_fade40,8,20,20,1.0,10,10,-332.0,False,True
v21,fade_trend150_ask0_fade40,9,20,20,1.0,18,2,437.0,True,True
v21,fade_trend150_ask0_fade40,10,20,19,0.95,14,5,31.0,True,True
v21,fade_trend150_ask0_fade40,11,1,1,1.0,1,0,37.0,True,True
current,fade_trend150_ask0_fade45,0,20,20,1.0,12,8,-57.0,False,True
current,fade_trend150_ask0_fade45,1,20,20,1.0,13,7,-12.0,False,True
current,fade_trend150_ask0_fade45,2,20,20,1.0,8,12,-237.0,False,True
current,fade_trend150_ask0_fade45,3,20,20,1.0,13,7,55.0,True,True
current,fade_trend150_ask0_fade45,4,20,20,1.0,11,9,-146.0,False,True
current,fade_trend150_ask0_fade45,5,20,20,1.0,13,7,16.0,True,True
current,fade_trend150_ask0_fade45,6,20,20,1.0,16,4,220.0,True,True
current,fade_trend150_ask0_fade45,7,20,19,0.95,16,3,297.0,True,True
current,fade_trend150_ask0_fade45,8,20,20,1.0,14,6,135.0,True,True
