model,split,bin,rows,mean_pred,realized,error
v28_live_surface,all,"[0.500,0.550]",872,0.5246336797187166,0.5263761467889908,-0.0017424670702742562
v28_live_surface,all,"[0.550,0.600]",660,0.5738555840648012,0.6196969696969697,-0.04584138563216855
v28_live_surface,all,"[0.600,0.650]",452,0.6241410907517156,0.672566371681416,-0.04842528092970033
v28_live_surface,all,"[0.650,0.700]",357,0.67408829372962,0.7142857142857143,-0.04019742055609432
v28_live_surface,all,"[0.700,0.750]",300,0.7241040011858718,0.76,-0.035895998814128194
v28_live_surface,all,"[0.750,0.800]",300,0.7745250460591818,0.8033333333333333,-0.028808287274151523
v28_live_surface,all,"[0.800,0.850]",269,0.8269130872908907,0.8884758364312267,-0.06156274914033599
v28_live_surface,all,"[0.850,0.900]",303,0.8760340524262156,0.9240924092409241,-0.04805835681470849
v28_live_surface,all,"[0.900,0.950]",374,0.9259718072885607,0.9385026737967914,-0.012530866508230765
v28_live_surface,all,"[0.950,0.975]",290,0.9632326259438703,0.9551724137931035,0.008060212150766799
v28_live_surface,all,"[0.975,1.000]",721,0.9926693587129423,0.9944521497919556,-0.0017827910790133572
v28_live_surface,train,"[0.500,0.550]",546,0.5246177003840304,0.5311355311355311,-0.006517830751500697
v28_live_surface,train,"[0.550,0.600]",419,0.5733958441163107,0.6181384248210023,-0.044742580704691615
v28_live_surface,train,"[0.600,0.650]",291,0.6240172085176949,0.7010309278350515,-0.07701371931735657
v28_live_surface,train,"[0.650,0.700]",214,0.6745957010689436,0.719626168224299,-0.045030467155355414
v28_live_surface,train,"[0.700,0.750]",182,0.7237430338081338,0.7692307692307693,-0.04548773542263551
v28_live_surface,train,"[0.750,0.800]",171,0.7740568765939931,0.8245614035087719,-0.0505045269147788
v28_live_surface,train,"[0.800,0.850]",177,0.8270715166724396,0.8870056497175142,-0.059934133045074556
v28_live_surface,train,"[0.850,0.900]",188,0.8758732077147309,0.925531914893617,-0.0496587071788861
v28_live_surface,train,"[0.900,0.950]",228,0.925772369539285,0.9473684210526315,-0.021596051513346537
v28_live_surface,train,"[0.950,0.975]",158,0.9625811206977537,0.9556962025316456,0.006884918166108145
v28_live_surface,train,"[0.975,1.000]",364,0.992502789918317,0.9945054945054945,-0.0020027045871775506
v28_live_surface,validation,"[0.500,0.550]",149,0.5235297929367955,0.4899328859060403,0.033596907030755185
v28_live_surface,validation,"[0.550,0.600]",107,0.5749642280638644,0.5981308411214953,-0.023166613057630903
v28_live_surface,validation,"[0.600,0.650]",80,0.6251578658052939,0.65,-0.024842134194706156
v28_live_surface,validation,"[0.650,0.700]",61,0.672791611040358,0.7049180327868853,-0.032126421746527245
v28_live_surface,validation,"[0.700,0.750]",59,0.7253166279334604,0.6610169491525424,0.06429967878091802
v28_live_surface,validation,"[0.750,0.800]",58,0.7753798527866788,0.7586206896551724,0.016759163131506383
v28_live_surface,validation,"[0.800,0.850]",42,0.8255723227311698,0.8809523809523809,-0.05538005822121117
v28_live_surface,validation,"[0.850,0.900]",73,0.877946321917837,0.9178082191780822,-0.03986189726024525
v28_live_surface,validation,"[0.900,0.950]",86,0.9279760566901568,0.9418604651162791,-0.013884408426122263
v28_live_surface,validation,"[0.950,0.975]",73,0.9644826695214084,0.9452054794520548,0.019277190069353578
v28_live_surface,validation,"[0.975,1.000]",194,0.9920031572008501,0.9948453608247423,-0.0028422036238922033
v28_live_surface,holdout,"[0.500,0.550]",177,0.5256122325280097,0.5423728813559322,-0.016760648827922497
v28_live_surface,holdout,"[0.550,0.600]",134,0.5744078686209034,0.6417910447761194,-0.06738317615521594
v28_live_surface,holdout,"[0.600,0.650]",81,0.6235819268728734,0.5925925925925926,0.030989334280280834
v28_live_surface,holdout,"[0.650,0.700]",82,0.6737286897470557,0.7073170731707317,-0.03358838342367598
v28_live_surface,holdout,"[0.700,0.750]",59,0.7240048670272378,0.8305084745762712,-0.10650360754903343
v28_live_surface,holdout,"[0.750,0.800]",71,0.7749543163176668,0.7887323943661971,-0.013778078048530373
v28_live_surface,holdout,"[0.800,0.850]",50,0.8274784895103733,0.9,-0.07252151048962674
v28_live_surface,holdout,"[0.850,0.900]",42,0.8734303174945671,0.9285714285714286,-0.05514111107686148
v28_live_surface,holdout,"[0.900,0.950]",60,0.9238569132601874,0.9,0.02385691326018735
v28_live_surface,holdout,"[0.950,0.975]",59,0.9634306708205836,0.9661016949152542,-0.002671024094670571
v28_live_surface,holdout,"[0.975,1.000]",163,0.993834230704289,0.9938650306748467,-3.079997055766004e-05
v28_avg60,all,"[0.500,0.550]",842,0.5246684017302826,0.5285035629453682,-0.0038351612150855363
v28_avg60,all,"[0.550,0.600]",626,0.5734298649434569,0.6086261980830671,-0.035196333139610125
v28_avg60,all,"[0.600,0.650]",461,0.6238471209363446,0.6724511930585684,-0.04860407212222373
v28_avg60,all,"[0.650,0.700]",350,0.6748397423570559,0.7057142857142857,-0.030874543357229833
