policy,base_name,label,current_all_net_pnl_cents,v21_all_net_pnl_cents,combined_all_net_pnl_cents,combined_oos_net_pnl_cents,min_split_coverage,current_all_accuracy,v21_all_accuracy,current_touch_preempts,v21_touch_preempts,all_splits_positive,oos_positive,min_positive_block_rate,worst_block_net_cents,strict_pass
p80_ask90_sec0_baseline,p80_ask90_sec0,choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0,117.0,348.0,465.0,299.0,0.8181818181818182,0.8562091503267973,0.8797814207650273,0,0,False,False,0.5,-210.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask55_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=55, age<=180s",-182.0,348.0,166.0,286.0,0.8181818181818182,0.8398692810457516,0.8797814207650273,7,0,False,False,0.46153846153846156,-210.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.5_ask55_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=55, age<=180s",-182.0,348.0,166.0,286.0,0.8181818181818182,0.8398692810457516,0.8797814207650273,7,0,False,False,0.46153846153846156,-210.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.5_ask55_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=55, age<=180s",-182.0,348.0,166.0,286.0,0.8181818181818182,0.8398692810457516,0.8797814207650273,7,0,False,False,0.46153846153846156,-210.0,False
p80_ask95_sec120_baseline,p80_ask95_sec120,choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120,44.0,299.0,343.0,244.0,0.8409090909090909,0.8562091503267973,0.8854166666666666,0,0,False,False,0.5384615384615384,-240.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask55_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=55, age<=180s",-255.0,299.0,44.0,231.0,0.8409090909090909,0.8398692810457516,0.8854166666666666,7,0,False,False,0.5,-240.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.5_ask55_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=55, age<=180s",-255.0,299.0,44.0,231.0,0.8409090909090909,0.8398692810457516,0.8854166666666666,7,0,False,False,0.5,-240.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=55, age<=180s",-255.0,299.0,44.0,231.0,0.8409090909090909,0.8398692810457516,0.8854166666666666,7,0,False,False,0.5,-240.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.5_ask60_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=60, age<=180s",-841.0,299.0,-542.0,-19.0,0.8409090909090909,0.8104575163398693,0.8854166666666666,20,0,False,False,0.46153846153846156,-240.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask60_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=60, age<=180s",-751.0,348.0,-403.0,-20.0,0.8181818181818182,0.8137254901960784,0.8797814207650273,17,0,False,False,0.4230769230769231,-212.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.5_ask60_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=60, age<=180s",-839.0,348.0,-491.0,-35.0,0.8181818181818182,0.8071895424836601,0.8797814207650273,21,0,False,False,0.38461538461538464,-212.0,False
