label,override_chooser,min_override_score,override_ask_max,min_delay_sec,max_seconds_to_close,max_ask_worse,current_coverage_pass,v21_coverage_pass,both_coverage_pass,current_oos_positive,v21_oos_positive,both_oos_positive,current_delta_vs_v2_cents,v21_delta_vs_v2_cents,combined_delta_vs_v2_cents,min_oos_switch_roi,current_all_base_markets,current_all_markets,current_all_wins,current_all_losses,current_all_accuracy,current_all_coverage,current_all_switch_net_pnl_cents,current_all_switch_cost_cents,current_all_switch_roi_on_cost,current_all_overrides,current_train_base_markets,current_train_markets,current_train_wins,current_train_losses,current_train_accuracy,current_train_coverage,current_train_switch_net_pnl_cents,current_train_switch_cost_cents,current_train_switch_roi_on_cost,current_train_overrides,current_validation_base_markets,current_validation_markets,current_validation_wins,current_validation_losses,current_validation_accuracy,current_validation_coverage,current_validation_switch_net_pnl_cents,current_validation_switch_cost_cents,current_validation_switch_roi_on_cost,current_validation_overrides,current_holdout_base_markets,current_holdout_markets,current_holdout_wins,current_holdout_losses,current_holdout_accuracy,current_holdout_coverage,current_holdout_switch_net_pnl_cents,current_holdout_switch_cost_cents,current_holdout_switch_roi_on_cost,current_holdout_overrides,v21_all_base_markets,v21_all_markets,v21_all_wins,v21_all_losses,v21_all_accuracy,v21_all_coverage,v21_all_switch_net_pnl_cents,v21_all_switch_cost_cents,v21_all_switch_roi_on_cost,v21_all_overrides,v21_train_base_markets,v21_train_markets,v21_train_wins,v21_train_losses,v21_train_accuracy,v21_train_coverage,v21_train_switch_net_pnl_cents,v21_train_switch_cost_cents,v21_train_switch_roi_on_cost,v21_train_overrides,v21_validation_base_markets,v21_validation_markets,v21_validation_wins,v21_validation_losses,v21_validation_accuracy,v21_validation_coverage,v21_validation_switch_net_pnl_cents,v21_validation_switch_cost_cents,v21_validation_switch_roi_on_cost,v21_validation_overrides,v21_holdout_base_markets,v21_holdout_markets,v21_holdout_wins,v21_holdout_losses,v21_holdout_accuracy,v21_holdout_coverage,v21_holdout_switch_net_pnl_cents,v21_holdout_switch_cost_cents,v21_holdout_switch_roi_on_cost,v21_holdout_overrides
base=v2; override=brownian_p_rv_15m>=0.65; ask<=80; delay>=60s; sec_to_close<=660; ask_worse<=none,brownian_p_rv_15m,0.65,80.0,60.0,660.0,,True,True,True,False,False,False,-1600.0,-2480.0,-4080.0,-0.070347473886165,249,247,185,62,0.7489878542510121,0.9919678714859438,-1321.0,22421.0,-0.05891797868070113,97,149,149,108,41,0.7248322147651006,1.0,-1355.0,13833.0,-0.0979541675703029,63,50,48,39,9,0.8125,0.96,364.0,3897.0,0.09340518347446754,13,50,50,38,12,0.76,1.0,-330.0,4691.0,-0.070347473886165,21,221,219,162,57,0.7397260273972602,0.9909502262443439,-1197.0,19457.0,-0.06152027547926196,79,132,131,94,37,0.7175572519083969,0.9924242424242424,-1067.0,11748.0,-0.09082397003745318,49,44,44,33,11,0.75,1.0,-238.0,3973.0,-0.059904354392146995,17,45,44,35,9,0.7954545454545454,0.9777777777777777,108.0,3736.0,0.028907922912205567,13
base=v2; override=brownian_p_rv_15m>=0.65; ask<=80; delay>=60s; sec_to_close<=660; ask_worse<=30c,brownian_p_rv_15m,0.65,80.0,60.0,660.0,30.0,True,True,True,False,False,False,-1566.0,-2144.0,-3710.0,-0.07732406602953953,249,247,184,63,0.7449392712550608,0.9919678714859438,-1287.0,22304.0,-0.057702654232424676,96,149,149,108,41,0.7248322147651006,1.0,-1295.0,13803.0,-0.09382018401796711,63,50,48,39,9,0.8125,0.96,364.0,3897.0,0.09340518347446754,13,50,50,37,13,0.74,1.0,-356.0,4604.0,-0.07732406602953953,20,221,219,161,58,0.7351598173515982,0.9909502262443439,-861.0,18889.0,-0.04558208481126581,72,132,131,93,38,0.7099236641221374,0.9924242424242424,-865.0,11347.0,-0.07623160306688993,44,44,44,34,10,0.7727272727272727,1.0,-62.0,3885.0,-0.01595881595881596,16,45,44,34,10,0.7727272727272727,0.9777777777777777,66.0,3657.0,0.01804757998359311,12
base=v2; override=brownian_p_rv_15m>=0.65; ask<=80; delay>=60s; sec_to_close<=600; ask_worse<=none,brownian_p_rv_15m,0.65,80.0,60.0,600.0,,True,True,True,False,False,False,-1482.0,-2484.0,-3966.0,-0.07145969498910676,249,247,181,66,0.7327935222672065,0.9919678714859438,-1203.0,21562.0,-0.05579259808923105,85,149,149,105,44,0.7046979865771812,1.0,-1259.0,13285.0,-0.09476853594279262,56,50,48,38,10,0.7916666666666666,0.96,384.0,3687.0,0.10414971521562245,10,50,50,38,12,0.76,1.0,-328.0,4590.0,-0.07145969498910676,19,221,219,158,61,0.7214611872146118,0.9909502262443439,-1201.0,18859.0,-0.06368312211676123,71,132,131,91,40,0.6946564885496184,0.9924242424242424,-1055.0,11242.0,-0.09384451165273083,42,44,44,32,12,0.7272727272727273,1.0,-248.0,3878.0,-0.06395048994326973,16,45,44,35,9,0.7954545454545454,0.9777777777777777,102.0,3739.0,0.027280021396095214,13
base=v2; override=brownian_p_rv_15m>=0.65; ask<=80; delay>=60s; sec_to_close<=600; ask_worse<=30c,brownian_p_rv_15m,0.65,80.0,60.0,600.0,30.0,True,True,True,False,False,False,-1416.0,-2276.0,-3692.0,-0.07145969498910676,249,247,181,66,0.7327935222672065,0.9919678714859438,-1137.0,21529.0,-0.05281248548469506,85,149,149,105,44,0.7046979865771812,1.0,-1193.0,13252.0,-0.09002414729852098,56,50,48,38,10,0.7916666666666666,0.96,384.0,3687.0,0.10414971521562245,10,50,50,38,12,0.76,1.0,-328.0,4590.0,-0.07145969498910676,19,221,219,157,62,0.7168949771689498,0.9909502262443439,-993.0,18455.0,-0.05380655648875644,66,132,131,90,41,0.6870229007633588,0.9924242424242424,-965.0,10997.0,-0.08775120487405656,39,44,44,33,11,0.75,1.0,-88.0,3798.0,-0.02317008952080042,15,45,44,34,10,0.7727272727272727,0.9777777777777777,60.0,3660.0,0.01639344262295082,12
base=v2; override=brownian_p_rv_15m>=0.65; ask<=90; delay>=60s; sec_to_close<=660; ask_worse<=none,brownian_p_rv_15m,0.65,90.0,60.0,660.0,,True,True,True,False,False,False,-1580.0,-3688.0,-5268.0,-0.12629679747406405,249,247,199,48,0.805668016194332,0.9919678714859438,-1301.0,23811.0,-0.05463861240603082,111,149,149,117,32,0.785234899328859,1.0,-1303.0,14707.0,-0.08859726660773781,72,50,48,42,6,0.875,0.96,414.0,4172.0,0.09923298178331735,16,50,50,40,10,0.8,1.0,-412.0,4932.0,-0.08353609083536091,23,221,219,165,54,0.7534246575342466,0.9909502262443439,-2405.0,21161.0,-0.11365247389064789,98,132,131,97,34,0.7404580152671756,0.9924242424242424,-1611.0,12720.0,-0.12665094339622643,60,44,44,34,10,0.7727272727272727,1.0,-560.0,4434.0,-0.12629679747406405,22,45,44,34,10,0.7727272727272727,0.9777777777777777,-234.0,4007.0,-0.05839780384327427,16
base=v2; override=brownian_p_rv_15m>=0.65; ask<=90; delay>=60s; sec_to_close<=660; ask_worse<=30c,brownian_p_rv_15m,0.65,90.0,60.0,660.0,30.0,True,True,True,False,False,False,-1622.0,-3128.0,-4750.0,-0.07129455909943715,249,247,189,58,0.7651821862348178,0.9919678714859438,-1343.0,22832.0,-0.05882095304835319,101,149,149,110,39,0.738255033557047,1.0,-1367.0,14039.0,-0.09737160766436356,65,50,48,40,8,0.8333333333333334,0.96,366.0,3996.0,0.0915915915915916,14,50,50,39,11,0.78,1.0,-342.0,4797.0,-0.07129455909943715,22,221,219,159,60,0.726027397260274,0.9909502262443439,-1845.0,19781.0,-0.09327132096456195,82,132,131,92,39,0.7022900763358778,0.9924242424242424,-1349.0,11789.0,-0.11442870472474341,49,44,44,34,10,0.7727272727272727,1.0,-228.0,4068.0,-0.05604719764011799,18,45,44,33,11,0.75,0.9777777777777777,-268.0,3924.0,-0.06829765545361875,15
base=v2; override=brownian_p_rv_15m>=0.65; ask<=90; delay>=60s; sec_to_close<=600; ask_worse<=none,brownian_p_rv_15m,0.65,90.0,60.0,600.0,,True,True,True,False,False,False,-1250.0,-3444.0,-4694.0,-0.12291007681879801,249,247,201,46,0.8137651821862348,0.9919678714859438,-971.0,23446.0,-0.04141431374221616,105,149,149,117,32,0.785234899328859,1.0,-1167.0,14439.0,-0.08082277166008726,68,50,48,43,5,0.8958333333333334,0.96,492.0,4133.0,0.11904185821437213,15,50,50,41,9,0.82,1.0,-296.0,4874.0,-0.060730406237176855,22,221,219,165,54,0.7534246575342466,0.9909502262443439,-2161.0,20739.0,-0.10419981677033609,92,132,131,97,34,0.7404580152671756,0.9924242424242424,-1349.0,12289.0,-0.10977296769468631,54,44,44,34,10,0.7727272727272727,1.0,-544.0,4426.0,-0.12291007681879801,22,45,44,34,10,0.7727272727272727,0.9777777777777777,-268.0,4024.0,-0.06660039761431412,16
base=v2; override=brownian_p_rv_15m>=0.65; ask<=90; delay>=60s; sec_to_close<=600; ask_worse<=30c,brownian_p_rv_15m,0.65,90.0,60.0,600.0,30.0,True,True,True,False,False,False,-1400.0,-3070.0,-4470.0,-0.06380306455664406,249,247,187,60,0.757085020242915,0.9919678714859438,-1121.0,22121.0,-0.0506758283983545,91,149,149,108,41,0.7248322147651006,1.0,-1235.0,13573.0,-0.09098946437780889,59,50,48,39,9,0.8125,0.96,406.0,3776.0,0.10752118644067797,11,50,50,40,10,0.8,1.0,-292.0,4772.0,-0.06119027661357921,21,221,219,157,62,0.7168949771689498,0.9909502262443439,-1787.0,19352.0,-0.0923418768085986,76,132,131,91,40,0.6946564885496184,0.9924242424242424,-1395.0,11612.0,-0.12013434378229418,46,44,44,33,11,0.75,1.0,-254.0,3981.0,-0.06380306455664406,17,45,44,33,11,0.75,0.9777777777777777,-138.0,3759.0,-0.03671189146049481,13
base=v2; override=brownian_p_rv_15m>=0.70; ask<=80; delay>=60s; sec_to_close<=660; ask_worse<=none,brownian_p_rv_15m,0.7,80.0,60.0,660.0,,True,True,True,False,True,False,-750.0,-1262.0,-2012.0,-0.10926573426573427,249,247,186,61,0.7530364372469636,0.9919678714859438,-471.0,20896.0,-0.02254019908116386,74,149,149,112,37,0.7516778523489933,1.0,-363.0,12737.0,-0.028499646698594644,47,50,48,38,10,0.7916666666666666,0.96,392.0,3583.0,0.10940552609545073,8,50,50,36,14,0.72,1.0,-500.0,4576.0,-0.10926573426573427,19,221,219,164,55,0.7488584474885844,0.9909502262443439,21.0,17648.0,0.0011899365367180417,53,132,131,96,35,0.732824427480916,0.9924242424242424,-351.0,10790.0,-0.03253012048192771,35,44,44,35,9,0.7954545454545454,1.0,192.0,3558.0,0.05396290050590219,11,45,44,33,11,0.75,0.9777777777777777,180.0,3300.0,0.05454545454545454,7
base=v2; override=brownian_p_rv_15m>=0.70; ask<=80; delay>=60s; sec_to_close<=660; ask_worse<=30c,brownian_p_rv_15m,0.7,80.0,60.0,660.0,30.0,True,True,True,False,True,False,-716.0,-1086.0,-1802.0,-0.11717531744263755,249,247,185,62,0.7489878542510121,0.9919678714859438,-437.0,20779.0,-0.02103084845276481,73,149,149,112,37,0.7516778523489933,1.0,-303.0,12707.0,-0.023845124734398364,47,50,48,38,10,0.7916666666666666,0.96,392.0,3583.0,0.10940552609545073,8,50,50,35,15,0.7,1.0,-526.0,4489.0,-0.11717531744263755,18,221,219,162,57,0.7397260273972602,0.9909502262443439,197.0,17160.0,0.01148018648018648,47,132,131,94,37,0.7175572519083969,0.9924242424242424,-299.0,10464.0,-0.02857415902140673,31,44,44,35,9,0.7954545454545454,1.0,316.0,3396.0,0.09305064782096584,9,45,44,33,11,0.75,0.9777777777777777,180.0,3300.0,0.05454545454545454,7
base=v2; override=brownian_p_rv_15m>=0.70; ask<=80; delay>=60s; sec_to_close<=600; ask_worse<=none,brownian_p_rv_15m,0.7,80.0,60.0,600.0,,True,True,True,False,True,False,-1056.0,-1600.0,-2656.0,-0.1082072443833104,249,247,177,70,0.7165991902834008,0.9919678714859438,-777.0,20049.0,-0.03875505012718839,63,149,149,106,43,0.7114093959731543,1.0,-609.0,12260.0,-0.04967373572593801,41,50,48,36,12,0.75,0.96,304.0,3427.0,0.08870732419025387,6,50,50,35,15,0.7,1.0,-472.0,4362.0,-0.1082072443833104,16,221,219,157,62,0.7168949771689498,0.9909502262443439,-317.0,17117.0,-0.018519600397265877,46,132,131,92,39,0.7022900763358778,0.9924242424242424,-565.0,10497.0,-0.053824902353053254,31,44,44,32,12,0.7272727272727273,1.0,68.0,3320.0,0.020481927710843374,8,45,44,33,11,0.75,0.9777777777777777,180.0,3300.0,0.05454545454545454,7
