feature_set,gate,feature_count,spearman_pred_vs_pnl,top_quartile_net_dollars,entries,wins,losses,flats,win_rate_ex_flat,net_dollars,avg_cents_per_entry,positive_windows,traded_windows,window_net_cents,window_entries,locked_train200_entries,locked_train200_net_dollars,locked_train200_avg_cents_per_entry,locked_train200_wins,locked_train200_losses
base_ev,robust_ev_overlay,7,-0.07345443706316682,-5.98,87,47,39,1,0.5465116279069767,12.52,14.39080459770115,3,4,"-54.0,550.0,386.0,370.0","18,15,30,24",81,10.08,12.444444444444445,42,39
social_pinball,robust_ev_overlay,55,0.010335094702661257,2.68,29,16,13,0,0.5517241379310345,4.23,14.586206896551724,3,4,"-130.0,222.0,121.0,210.0","9,5,6,9",30,3.91,13.033333333333333,17,13
phi_only,robust_ev_overlay,31,-0.08098768786943848,-3.72,46,22,23,1,0.4888888888888889,3.9,8.478260869565217,3,4,"-92.0,264.0,160.0,58.0","13,10,11,12",75,9.24,12.32,39,36
standard6_social_pinball_control,ev_all,79,-0.006741137130710435,0.4799999999999999,92,44,48,0,0.4782608695652174,2.99,3.25,3,4,"-298.0,185.0,54.0,358.0","32,30,13,17",130,-0.5100000000000005,-0.3923076923076927,55,73
pinball_only,robust_ev_overlay,37,-0.0010828748043458496,1.64,41,19,22,0,0.4634146341463415,2.52,6.146341463414634,3,4,"-212.0,206.0,34.0,224.0","12,6,15,8",30,3.25,10.833333333333334,14,16
phi_pinball,robust_ev_overlay,68,-0.004281237207149722,2.05,31,15,16,0,0.4838709677419355,1.89,6.096774193548387,3,4,"-206.0,110.0,125.0,160.0","9,3,5,14",30,1.8699999999999997,6.2333333333333325,14,16
social_only,robust_ev_overlay,18,-0.05198134224283402,-2.97,23,11,12,0,0.4782608695652174,1.83,7.956521739130435,3,4,"-214.0,188.0,87.0,122.0","4,6,7,6",29,1.6,5.517241379310345,14,15
all3_phi_social_pinball,robust_ev_overlay,79,-0.01364045032820285,2.25,25,11,14,0,0.44,1.21,4.84,3,4,"-274.0,50.0,135.0,210.0","6,2,8,9",21,1.2699999999999998,6.047619047619047,10,11
phi_social,robust_ev_overlay,42,-0.05524938928342313,-7.51,23,10,13,0,0.43478260869565216,0.88,3.8260869565217392,3,4,"-274.0,26.0,136.0,200.0","6,3,5,9",41,3.36,8.195121951219512,19,22
social_pinball,ev_all,55,0.010335094702661257,2.68,91,44,47,0,0.4835164835164835,2.09,2.2967032967032965,2,4,"-28.0,95.0,-120.0,262.0","28,26,20,17",97,1.3699999999999997,1.4123711340206182,46,50
standard6_social_pinball_control,robust_ev_overlay,79,-0.006741137130710435,0.4799999999999999,22,10,12,0,0.45454545454545453,1.81,8.227272727272727,2,3,"-142.0,0.0,85.0,238.0","10,0,4,8",41,4.95,12.073170731707316,21,20
pinball_only,ev_all,37,-0.0010828748043458496,1.64,124,56,68,0,0.45161290322580644,0.9499999999999998,0.7661290322580644,2,4,"-62.0,107.0,-206.0,256.0","38,30,38,18",119,0.6899999999999994,0.5798319327731087,53,64
phi_only,ev_all,31,-0.08098768786943848,-3.72,168,72,94,2,0.43373493975903615,0.11999999999999972,0.07142857142857126,2,4,"-80.0,-26.0,68.0,50.0","49,33,62,24",215,4.77,2.2186046511627904,98,114
base_ev,ev_all,7,-0.07345443706316682,-5.98,211,97,110,4,0.46859903381642515,1.7299999999999995,0.8199052132701419,1,4,"-116.0,-63.0,-44.0,396.0","55,64,41,51",230,3.4099999999999993,1.4826086956521736,103,123
phi_pinball,ev_all,68,-0.004281237207149722,2.05,98,45,53,0,0.45918367346938777,-0.03000000000000016,-0.030612244897959346,1,4,"-190.0,-33.0,-48.0,268.0","29,35,17,17",96,-1.8700000000000003,-1.947916666666667,43,52
all3_phi_social_pinball,ev_all,79,-0.01364045032820285,2.25,93,41,52,0,0.44086021505376344,-2.12,-2.2795698924731185,1,4,"-388.0,-15.0,-97.0,288.0","22,37,17,17",67,-1.7900000000000003,-2.6716417910447765,31,36
phi_social,ev_all,42,-0.05524938928342313,-7.51,110,46,64,0,0.41818181818181815,-5.28,-4.8,1,4,"-402.0,-263.0,-65.0,202.0","29,34,31,16",126,-2.8400000000000007,-2.2539682539682544,54,72
social_only,ev_all,18,-0.05198134224283402,-2.97,89,37,51,1,0.42045454545454547,-4.8,-5.393258426966292,0,4,"-260.0,-43.0,-175.0,-2.0","11,49,18,11",44,-2.48,-5.636363636363637,18,26
