model,score_column,thesis,edge_floor_cents,current_all_base_markets,current_all_markets,current_all_wins,current_all_losses,current_all_accuracy,current_all_coverage,current_all_wilson95_lower,current_all_median_ask,current_all_mean_ask,current_all_p75_ask,current_all_ask_ge_95,current_all_ask_eq_100,current_all_median_seconds_to_close,current_all_entry_fee_cents,current_all_ask_cost_cents,current_all_entry_cost_cents,current_all_gross_pnl_cents,current_all_net_pnl_cents,current_all_gross_roi_on_ask,current_all_net_roi_on_cost,current_all_net_edge_per_selected_cents,current_all_net_edge_per_base_market_cents,current_all_fee_aware_break_even_accuracy,current_all_accuracy_minus_break_even,current_train_base_markets,current_train_markets,current_train_wins,current_train_losses,current_train_accuracy,current_train_coverage,current_train_wilson95_lower,current_train_median_ask,current_train_mean_ask,current_train_p75_ask,current_train_ask_ge_95,current_train_ask_eq_100,current_train_median_seconds_to_close,current_train_entry_fee_cents,current_train_ask_cost_cents,current_train_entry_cost_cents,current_train_gross_pnl_cents,current_train_net_pnl_cents,current_train_gross_roi_on_ask,current_train_net_roi_on_cost,current_train_net_edge_per_selected_cents,current_train_net_edge_per_base_market_cents,current_train_fee_aware_break_even_accuracy,current_train_accuracy_minus_break_even,current_validation_base_markets,current_validation_markets,current_validation_wins,current_validation_losses,current_validation_accuracy,current_validation_coverage,current_validation_wilson95_lower,current_validation_median_ask,current_validation_mean_ask,current_validation_p75_ask,current_validation_ask_ge_95,current_validation_ask_eq_100,current_validation_median_seconds_to_close,current_validation_entry_fee_cents,current_validation_ask_cost_cents,current_validation_entry_cost_cents,current_validation_gross_pnl_cents,current_validation_net_pnl_cents,current_validation_gross_roi_on_ask,current_validation_net_roi_on_cost,current_validation_net_edge_per_selected_cents,current_validation_net_edge_per_base_market_cents,current_validation_fee_aware_break_even_accuracy,current_validation_accuracy_minus_break_even,current_holdout_base_markets,current_holdout_markets,current_holdout_wins,current_holdout_losses,current_holdout_accuracy,current_holdout_coverage,current_holdout_wilson95_lower,current_holdout_median_ask,current_holdout_mean_ask,current_holdout_p75_ask,current_holdout_ask_ge_95,current_holdout_ask_eq_100,current_holdout_median_seconds_to_close,current_holdout_entry_fee_cents,current_holdout_ask_cost_cents,current_holdout_entry_cost_cents,current_holdout_gross_pnl_cents,current_holdout_net_pnl_cents,current_holdout_gross_roi_on_ask,current_holdout_net_roi_on_cost,current_holdout_net_edge_per_selected_cents,current_holdout_net_edge_per_base_market_cents,current_holdout_fee_aware_break_even_accuracy,current_holdout_accuracy_minus_break_even,v21_all_base_markets,v21_all_markets,v21_all_wins,v21_all_losses,v21_all_accuracy,v21_all_coverage,v21_all_wilson95_lower,v21_all_median_ask,v21_all_mean_ask,v21_all_p75_ask,v21_all_ask_ge_95,v21_all_ask_eq_100,v21_all_median_seconds_to_close,v21_all_entry_fee_cents,v21_all_ask_cost_cents,v21_all_entry_cost_cents,v21_all_gross_pnl_cents,v21_all_net_pnl_cents,v21_all_gross_roi_on_ask,v21_all_net_roi_on_cost,v21_all_net_edge_per_selected_cents,v21_all_net_edge_per_base_market_cents,v21_all_fee_aware_break_even_accuracy,v21_all_accuracy_minus_break_even,v21_train_base_markets,v21_train_markets,v21_train_wins,v21_train_losses,v21_train_accuracy,v21_train_coverage,v21_train_wilson95_lower,v21_train_median_ask,v21_train_mean_ask,v21_train_p75_ask,v21_train_ask_ge_95,v21_train_ask_eq_100,v21_train_median_seconds_to_close,v21_train_entry_fee_cents,v21_train_ask_cost_cents,v21_train_entry_cost_cents,v21_train_gross_pnl_cents,v21_train_net_pnl_cents,v21_train_gross_roi_on_ask,v21_train_net_roi_on_cost,v21_train_net_edge_per_selected_cents,v21_train_net_edge_per_base_market_cents,v21_train_fee_aware_break_even_accuracy,v21_train_accuracy_minus_break_even,v21_validation_base_markets,v21_validation_markets,v21_validation_wins,v21_validation_losses,v21_validation_accuracy,v21_validation_coverage,v21_validation_wilson95_lower,v21_validation_median_ask,v21_validation_mean_ask,v21_validation_p75_ask,v21_validation_ask_ge_95,v21_validation_ask_eq_100,v21_validation_median_seconds_to_close,v21_validation_entry_fee_cents,v21_validation_ask_cost_cents,v21_validation_entry_cost_cents,v21_validation_gross_pnl_cents,v21_validation_net_pnl_cents,v21_validation_gross_roi_on_ask,v21_validation_net_roi_on_cost,v21_validation_net_edge_per_selected_cents,v21_validation_net_edge_per_base_market_cents,v21_validation_fee_aware_break_even_accuracy,v21_validation_accuracy_minus_break_even,v21_holdout_base_markets,v21_holdout_markets,v21_holdout_wins,v21_holdout_losses,v21_holdout_accuracy,v21_holdout_coverage,v21_holdout_wilson95_lower,v21_holdout_median_ask,v21_holdout_mean_ask,v21_holdout_p75_ask,v21_holdout_ask_ge_95,v21_holdout_ask_eq_100,v21_holdout_median_seconds_to_close,v21_holdout_entry_fee_cents,v21_holdout_ask_cost_cents,v21_holdout_entry_cost_cents,v21_holdout_gross_pnl_cents,v21_holdout_net_pnl_cents,v21_holdout_gross_roi_on_ask,v21_holdout_net_roi_on_cost,v21_holdout_net_edge_per_selected_cents,v21_holdout_net_edge_per_base_market_cents,v21_holdout_fee_aware_break_even_accuracy,v21_holdout_accuracy_minus_break_even,combined_train_net_pnl_cents,combined_all_net_pnl_cents,min_train_coverage,min_oos_coverage,min_all_coverage,strict_80_oos_coverage_pass,loose_75_oos_coverage_pass,both_oos_positive,both_all_positive,train_selected
book,book_p_side,market-implied terminal probability,-70.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,False
book,book_p_side,market-implied terminal probability,-60.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,False
book,book_p_side,market-implied terminal probability,-50.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,False
book,book_p_side,market-implied terminal probability,-40.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,False
book,book_p_side,market-implied terminal probability,-30.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,False
book,book_p_side,market-implied terminal probability,-20.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,False
book,book_p_side,market-implied terminal probability,-15.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,False
book,book_p_side,market-implied terminal probability,-10.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,False
book,book_p_side,market-implied terminal probability,-5.0,295,294,171,123,0.5816326530612245,0.9966101694915255,0.5245478655756914,56.0,57.76190476190476,61.0,0,0,867.922,585.0,16982.0,17567.0,118.0,-467.0,0.006948533741608762,-0.026583935788694713,-1.58843537414966,-1.583050847457627,0.597517006802721,-0.01588435374149655,177,177,111,66,0.6271186440677966,1.0,0.5538877369807071,56.0,57.45762711864407,60.0,0,0,867.699,353.0,10170.0,10523.0,930.0,577.0,0.09144542772861357,0.05483227216573221,3.2598870056497176,3.2598870056497176,0.5945197740112994,0.0325988700564972,59,58,27,31,0.46551724137931033,0.9830508474576272,0.34332022325286254,55.0,57.48275862068966,61.0,0,0,866.6075,116.0,3334.0,3450.0,-634.0,-750.0,-0.19016196760647872,-0.21739130434782608,-12.931034482758621,-12.711864406779661,0.5948275862068966,-0.12931034482758624,59,59,33,26,0.559322033898305,1.0,0.4328935482915867,57.0,58.94915254237288,61.5,0,0,869.782,116.0,3478.0,3594.0,-178.0,-294.0,-0.05117883841288096,-0.08180300500834725,-4.983050847457627,-4.983050847457627,0.6091525423728813,-0.04983050847457626,221,221,131,90,0.5927601809954751,1.0,0.5269351794929911,56.0,57.71493212669683,61.0,0,0,872.013388,439.0,12755.0,13194.0,345.0,-94.0,0.027048216385731086,-0.007124450507806579,-0.4253393665158371,-0.4253393665158371,0.5970135746606334,-0.0042533936651583115,132,132,75,57,0.5681818181818182,1.0,0.48293502754942846,56.0,57.916666666666664,61.0,0,0,871.844981,262.0,7645.0,7907.0,-145.0,-407.0,-0.01896664486592544,-0.051473378019476414,-3.0833333333333335,-3.0833333333333335,0.5990151515151516,-0.03083333333333338,44,44,27,17,0.6136363636363636,1.0,0.4662357539237828,55.0,56.47727272727273,60.0,0,0,872.9999475,88.0,2485.0,2573.0,215.0,127.0,0.08651911468812877,0.049358725223474544,2.8863636363636362,2.8863636363636362,0.5847727272727273,0.028863636363636314,45,45,29,16,0.6444444444444445,1.0,0.4983581419637688,55.0,58.333333333333336,61.0,0,0,872.199887,89.0,2625.0,2714.0,275.0,186.0,0.10476190476190476,0.06853352984524687,4.133333333333334,4.133333333333334,0.6031111111111112,0.04133333333333333,170.0,-561.0,1.0,0.9830508474576272,0.9966101694915255,True,True,False,False,True
book,book_p_side,market-implied terminal probability,0.0,295,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,177,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,59,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,59,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,221,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,132,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,44,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,45,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
