dataset,candidate,label,guard,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,book_margin,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=none,none,328,326,229,97,0.7024539877300614,0.9939024390243902,0.650701830192196,64.0,65.74539877300613,68.0,0,0,818.6895,649.0,21433.0,22082.0,1467.0,818.0,0.06844585452339849,0.037043746037496605,2.5092024539877302,2.4939024390243905,0.677361963190184,0.025092024539877356,196,194,138,56,0.711340206185567,0.9897959183673469,0.6439610153449159,63.0,65.04639175257732,67.0,0,0,816.4894999999999,387.0,12619.0,13006.0,1181.0,794.0,0.09358903241144306,0.06104874673227741,4.092783505154639,4.051020408163265,0.6704123711340206,0.0409278350515464,66,66,46,20,0.696969696969697,1.0,0.5778119305445574,65.0,66.77272727272727,69.0,0,0,815.931,131.0,4407.0,4538.0,193.0,62.0,0.04379396414794645,0.013662406346408109,0.9393939393939394,0.9393939393939394,0.6875757575757576,0.009393939393939399,66,66,45,21,0.6818181818181818,1.0,0.5621255011195574,65.0,66.77272727272727,69.0,0,0,825.7405,131.0,4407.0,4538.0,93.0,-38.0,0.02110279101429544,-0.008373732921992068,-0.5757575757575758,-0.5757575757575758,0.6875757575757575,-0.005757575757575739,True,False,False
current,book_margin__only_follow_prev1,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=only_follow_prev1,only_follow_prev1,328,222,151,71,0.6801801801801802,0.676829268292683,0.6162092049252144,64.0,66.41891891891892,68.0,1,0,763.9369999999999,437.0,14745.0,15182.0,355.0,-82.0,0.024075957951848085,-0.005401132920563825,-0.36936936936936937,-0.25,0.6838738738738739,-0.003693693693693656,196,129,89,40,0.689922480620155,0.6581632653061225,0.6055856295845823,64.0,65.84496124031008,67.0,0,0,762.67,255.0,8494.0,8749.0,406.0,151.0,0.04779844596185543,0.017259115327465997,1.1705426356589148,0.7704081632653061,0.6782170542635659,0.01170542635658911,66,40,23,17,0.575,0.6060606060606061,0.4219506854199107,64.0,66.55,68.0,0,0,734.6485,78.0,2662.0,2740.0,-362.0,-440.0,-0.13598797896318557,-0.16058394160583941,-11.0,-6.666666666666667,0.685,-0.1100000000000001,66,53,39,14,0.7358490566037735,0.803030303030303,0.6041933558938148,66.0,67.71698113207547,70.0,1,0,771.816,104.0,3589.0,3693.0,311.0,207.0,0.0866536639732516,0.056051990251827784,3.9056603773584904,3.1363636363636362,0.6967924528301885,0.039056603773585,False,False,False
current,book_margin__only_fade_prev1,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=only_fade_prev1,only_fade_prev1,328,236,164,72,0.6949152542372882,0.7195121951219512,0.6334375004195962,64.0,66.42796610169492,69.0,0,0,772.1445,468.0,15677.0,16145.0,723.0,255.0,0.046118517573515344,0.015794363580055745,1.0805084745762712,0.7774390243902439,0.6841101694915254,0.010805084745762805,196,139,96,43,0.6906474820143885,0.7091836734693877,0.6095459841941793,63.0,65.8273381294964,68.5,0,0,772.401,275.0,9150.0,9425.0,450.0,175.0,0.04918032786885246,0.01856763925729443,1.2589928057553956,0.8928571428571429,0.6780575539568344,0.0125899280575541,66,50,42,8,0.84,0.7575757575757576,0.7148578393696501,66.5,67.74,70.75,0,0,773.4784999999999,99.0,3387.0,3486.0,813.0,714.0,0.2400354295837024,0.20481927710843373,14.28,10.818181818181818,0.6972,0.14279999999999993,66,47,26,21,0.5531914893617021,0.7121212121212122,0.4124545983821873,65.0,66.80851063829788,69.5,0,0,769.297,94.0,3140.0,3234.0,-540.0,-634.0,-0.17197452229299362,-0.19604205318491033,-13.48936170212766,-9.606060606060606,0.6880851063829788,-0.13489361702127667,False,False,False
current,book_margin__skip_follow_prev1,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=skip_follow_prev1,skip_follow_prev1,328,237,164,73,0.6919831223628692,0.7225609756097561,0.6305340398925027,64.0,66.42616033755274,69.0,0,0,772.317,470.0,15743.0,16213.0,657.0,187.0,0.04173283364034809,0.01153395423425646,0.7890295358649789,0.5701219512195121,0.6840928270042194,0.007890295358649824,196,140,96,44,0.6857142857142857,0.7142857142857143,0.6047278731107846,63.0,65.82857142857142,68.25,0,0,772.691,277.0,9216.0,9493.0,384.0,107.0,0.041666666666666664,0.011271463183398294,0.7642857142857142,0.5459183673469388,0.6780714285714285,0.0076428571428571734,66,50,42,8,0.84,0.7575757575757576,0.7148578393696501,66.5,67.74,70.75,0,0,773.4784999999999,99.0,3387.0,3486.0,813.0,714.0,0.2400354295837024,0.20481927710843373,14.28,10.818181818181818,0.6972,0.14279999999999993,66,47,26,21,0.5531914893617021,0.7121212121212122,0.4124545983821873,65.0,66.80851063829788,69.5,0,0,769.297,94.0,3140.0,3234.0,-540.0,-634.0,-0.17197452229299362,-0.19604205318491033,-13.48936170212766,-9.606060606060606,0.6880851063829788,-0.13489361702127667,False,False,False
current,book_margin__skip_fade_prev1,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=skip_fade_prev1,skip_fade_prev1,328,223,151,72,0.6771300448430493,0.6798780487804879,0.613209875288563,64.0,66.4170403587444,68.0,1,0,765.204,439.0,14811.0,15250.0,289.0,-150.0,0.019512524475052327,-0.009836065573770493,-0.672645739910314,-0.4573170731707317,0.6838565022421524,-0.006726457399103158,196,130,89,41,0.6846153846153846,0.6632653061224489,0.6004164680449111,64.0,65.84615384615384,66.75,0,0,763.9975,257.0,8560.0,8817.0,340.0,83.0,0.0397196261682243,0.009413632754905296,0.6384615384615384,0.42346938775510207,0.6782307692307691,0.006384615384615544,66,40,23,17,0.575,0.6060606060606061,0.4219506854199107,64.0,66.55,68.0,0,0,734.6485,78.0,2662.0,2740.0,-362.0,-440.0,-0.13598797896318557,-0.16058394160583941,-11.0,-6.666666666666667,0.685,-0.1100000000000001,66,53,39,14,0.7358490566037735,0.803030303030303,0.6041933558938148,66.0,67.71698113207547,70.0,1,0,771.816,104.0,3589.0,3693.0,311.0,207.0,0.0866536639732516,0.056051990251827784,3.9056603773584904,3.1363636363636362,0.6967924528301885,0.039056603773585,False,False,False
current,book_margin__skip_follow_2streak,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=skip_follow_2streak,skip_follow_2streak,328,288,199,89,0.6909722222222222,0.8780487804878049,0.6353833305204057,64.0,66.10069444444444,68.0,0,0,791.6115,572.0,19037.0,19609.0,863.0,291.0,0.045332773020959186,0.014840124432658473,1.0104166666666667,0.8871951219512195,0.6808680555555555,0.010104166666666692,196,170,116,54,0.6823529411764706,0.8673469387755102,0.6089994541492108,64.0,65.37058823529412,68.0,0,0,791.6115,338.0,11113.0,11451.0,487.0,149.0,0.0438225501664717,0.013011964020609553,0.8764705882352941,0.7602040816326531,0.6735882352941176,0.008764705882353008,66,64,48,16,0.75,0.9696969696969697,0.631837235413303,65.5,67.125,69.0,0,0,802.9655,127.0,4296.0,4423.0,504.0,377.0,0.11731843575418995,0.08523626497852137,5.890625,5.712121212121212,0.6910937500000001,0.05890624999999994,66,54,35,19,0.6481481481481481,0.8181818181818182,0.5148483072023631,65.0,67.18518518518519,69.75,0,0,776.4165,107.0,3628.0,3735.0,-128.0,-235.0,-0.03528114663726571,-0.06291834002677377,-4.351851851851852,-3.5606060606060606,0.6916666666666669,-0.043518518518518734,True,False,False
current,book_margin__skip_fade_2streak,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=skip_fade_2streak,skip_fade_2streak,328,278,192,86,0.6906474820143885,0.8475609756097561,0.6340228849401965,64.0,65.87050359712231,68.0,0,0,798.1469999999999,551.0,18312.0,18863.0,888.0,337.0,0.04849279161205767,0.017865662938026824,1.2122302158273381,1.0274390243902438,0.678525179856115,0.012122302158273479,196,164,113,51,0.6890243902439024,0.8367346938775511,0.6145354387133837,64.0,65.48780487804878,68.0,0,0,800.425,326.0,10740.0,11066.0,560.0,234.0,0.0521415270018622,0.02114585215976866,1.4268292682926829,1.1938775510204083,0.6747560975609755,0.014268292682926842,66,55,39,16,0.7090909090909091,0.8333333333333334,0.5785927950724502,64.0,66.54545454545455,69.0,0,0,773.382,108.0,3660.0,3768.0,240.0,132.0,0.06557377049180328,0.03503184713375796,2.4,2.0,0.6850909090909091,0.02400000000000002,66,59,40,19,0.6779661016949152,0.8939393939393939,0.5510500442652536,65.0,66.30508474576271,68.5,0,0,808.907,117.0,3912.0,4029.0,88.0,-29.0,0.022494887525562373,-0.0071978158351948375,-0.4915254237288136,-0.4393939393939394,0.6828813559322033,-0.004915254237288114,True,False,False
current,book_margin__skip_follow_3streak,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=skip_follow_3streak,skip_follow_3streak,328,309,213,96,0.6893203883495146,0.9420731707317073,0.6356624353732622,64.0,65.8284789644013,68.0,0,0,810.737,614.0,20341.0,20955.0,959.0,345.0,0.04714615800599774,0.0164638511095204,1.116504854368932,1.0518292682926829,0.6781553398058251,0.011165048543689493,196,182,125,57,0.6868131868131868,0.9285714285714286,0.6161595774027799,63.5,65.17032967032966,67.75,0,0,809.9960000000001,362.0,11861.0,12223.0,639.0,277.0,0.053874040974622714,0.022662194224003927,1.521978021978022,1.413265306122449,0.6715934065934065,0.015219780219780321,66,66,47,19,0.7121212121212122,1.0,0.5936275059135345,65.0,66.81818181818181,69.0,0,0,812.8975,131.0,4410.0,4541.0,290.0,159.0,0.06575963718820861,0.03501431402774719,2.409090909090909,2.409090909090909,0.6880303030303031,0.024090909090909052,66,61,41,20,0.6721311475409836,0.9242424242424242,0.5472180631353664,65.0,66.72131147540983,68.0,0,0,807.319,121.0,4070.0,4191.0,30.0,-91.0,0.007371007371007371,-0.0217131949415414,-1.4918032786885247,-1.378787878787879,0.6870491803278689,-0.014918032786885305,True,False,False
current,book_margin__skip_fade_3streak,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=skip_fade_3streak,skip_fade_3streak,328,303,214,89,0.7062706270627063,0.9237804878048781,0.6526604113447196,64.0,66.02970297029702,68.0,0,0,811.213,601.0,20007.0,20608.0,1393.0,792.0,0.0696256310291398,0.038431677018633544,2.613861386138614,2.4146341463414633,0.6801320132013201,0.026138613861386162,196,179,129,50,0.7206703910614525,0.9132653061224489,0.6508355382193725,64.0,65.55865921787709,68.0,0,0,811.213,356.0,11735.0,12091.0,1165.0,809.0,0.09927567106945036,0.06690927135886196,4.5195530726256985,4.127551020408164,0.6754748603351955,0.04519553072625693,66,63,45,18,0.7142857142857143,0.9545454545454546,0.5929728343259287,65.0,66.92063492063492,69.0,0,0,795.194,124.0,4216.0,4340.0,284.0,160.0,0.06736242884250475,0.03686635944700461,2.5396825396825395,2.4242424242424243,0.6888888888888891,0.025396825396825196,66,61,40,21,0.6557377049180327,0.9242424242424242,0.5304974914056818,65.0,66.49180327868852,69.0,0,0,822.12,121.0,4056.0,4177.0,-56.0,-177.0,-0.013806706114398421,-0.04237491022264783,-2.901639344262295,-2.6818181818181817,0.6847540983606558,-0.02901639344262308,True,False,False
current,book_margin__skip_follow_after_flip,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; prev_guard=skip_follow_after_flip,skip_follow_after_flip,328,275,195,80,0.7090909090909091,0.8384146341463414,0.6528237860079737,64.0,65.96727272727273,69.0,0,0,809.023,547.0,18141.0,18688.0,1359.0,812.0,0.07491318008930048,0.043450342465753425,2.9527272727272726,2.475609756097561,0.6795636363636364,0.029527272727272735,196,164,119,45,0.725609756097561,0.8367346938775511,0.6527441738553477,63.0,65.39024390243902,68.0,0,0,810.1179999999999,326.0,10724.0,11050.0,1176.0,850.0,0.10966057441253264,0.07692307692307693,5.182926829268292,4.336734693877551,0.6737804878048781,0.05182926829268286,66,52,40,12,0.7692307692307693,0.7878787878787878,0.6386621744190016,66.0,67.26923076923077,70.0,0,0,802.9655,103.0,3498.0,3601.0,502.0,399.0,0.14351057747284163,0.11080255484587614,7.673076923076923,6.045454545454546,0.6925000000000001,0.07673076923076916,66,59,36,23,0.6101694915254238,0.8939393939393939,0.4826634180541162,65.0,66.42372881355932,69.0,0,0,807.319,118.0,3919.0,4037.0,-319.0,-437.0,-0.08139831589691247,-0.10824869952935348,-7.406779661016949,-6.621212121212121,0.6842372881355933,-0.07406779661016949,False,False,False
