model,feature_set,c_value,features,train_rows,train_logloss
prob3_C0.05,prob3,0.05,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",25104,0.4281809428651814
prob3_C0.1,prob3,0.1,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",25104,0.4275419676868382
prob3_C0.25,prob3,0.25,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",25104,0.4271634224566031
prob_gap_margin_C0.05,prob_gap_margin,0.05,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",25104,0.42812553611384535
prob_gap_margin_C0.1,prob_gap_margin,0.1,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",25104,0.4274861495393079
prob_gap_margin_C0.25,prob_gap_margin,0.25,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",25104,0.4271442551901571
prob_path_compact_C0.05,prob_path_compact,0.05,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",25104,0.4277379737092665
prob_path_compact_C0.1,prob_path_compact,0.1,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",25104,0.4271558169721677
prob_path_compact_C0.25,prob_path_compact,0.25,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",25104,0.42682738016049815
prob_micro_full_C0.05,prob_micro_full,0.05,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,logit_drift_p_15m_rv_15m,abs_book_rv15_gap,abs_book_rv30_gap,margin_per_rv_sigma_15m,margin_per_rv_sigma_30m,adverse_move_5m,adverse_move_15m,signed_move_5m,signed_move_15m,spread_cents,seconds_to_close",25104,0.4274303045734403
prob_micro_full_C0.1,prob_micro_full,0.1,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,logit_drift_p_15m_rv_15m,abs_book_rv15_gap,abs_book_rv30_gap,margin_per_rv_sigma_15m,margin_per_rv_sigma_30m,adverse_move_5m,adverse_move_15m,signed_move_5m,signed_move_15m,spread_cents,seconds_to_close",25104,0.42676762776140964
prob_micro_full_C0.25,prob_micro_full,0.25,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,logit_drift_p_15m_rv_15m,abs_book_rv15_gap,abs_book_rv30_gap,margin_per_rv_sigma_15m,margin_per_rv_sigma_30m,adverse_move_5m,adverse_move_15m,signed_move_5m,signed_move_15m,spread_cents,seconds_to_close",25104,0.42639941601200726
