dataset,model,edge_floor_cents,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_wilson95_lower,all_coverage,all_net_pnl_cents,all_net_roi_on_cost,all_median_ask,all_brier,all_logloss,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_wilson95_lower,train_coverage,train_net_pnl_cents,train_net_roi_on_cost,train_median_ask,train_brier,train_logloss,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_wilson95_lower,validation_coverage,validation_net_pnl_cents,validation_net_roi_on_cost,validation_median_ask,validation_brier,validation_logloss,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_wilson95_lower,holdout_coverage,holdout_net_pnl_cents,holdout_net_roi_on_cost,holdout_median_ask,holdout_brier,holdout_logloss,oos_positive,oos_coverage_pass
current,prob3_C0.05,-30.0,307,305,179,126,0.5868852459016394,0.5308787508233015,0.993485342019544,-310.0,-0.017023613399231193,56.0,0.2426915992527299,0.6779609924764183,184,182,116,66,0.6373626373626373,0.5653445528089827,0.9891304347826086,787.0,0.07278276149079811,56.0,0.24269414248982746,0.6787581927746188,61,61,28,33,0.45901639344262296,0.34012932293855763,1.0,-814.0,-0.22523519645821805,55.0,0.25200531007919197,0.6971160959208788,62,62,35,27,0.5645161290322581,0.4409298797214877,1.0,-283.0,-0.07480835315886862,57.5,0.23352064393715014,0.6567746736960214,False,True
v21,prob3_C0.05,-30.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,276.0,0.02119164619164619,56.0,0.23297835230666056,0.6576631406060568,132,131,76,55,0.5801526717557252,0.49453635953136416,0.9924242424242424,-208.0,-0.02663934426229508,56.0,0.23300324817233312,0.657442028406728,44,44,26,18,0.5909090909090909,0.444097537410319,1.0,32.0,0.012461059190031152,55.0,0.23828165198637832,0.6695273468195702,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.227600930845054,0.6464572457132719,True,True
current,prob3_C0.05,-20.0,307,305,179,126,0.5868852459016394,0.5308787508233015,0.993485342019544,-310.0,-0.017023613399231193,56.0,0.2426915992527299,0.6779609924764183,184,182,116,66,0.6373626373626373,0.5653445528089827,0.9891304347826086,787.0,0.07278276149079811,56.0,0.24269414248982746,0.6787581927746188,61,61,28,33,0.45901639344262296,0.34012932293855763,1.0,-814.0,-0.22523519645821805,55.0,0.25200531007919197,0.6971160959208788,62,62,35,27,0.5645161290322581,0.4409298797214877,1.0,-283.0,-0.07480835315886862,57.5,0.23352064393715014,0.6567746736960214,False,True
v21,prob3_C0.05,-20.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,276.0,0.02119164619164619,56.0,0.23297835230666056,0.6576631406060568,132,131,76,55,0.5801526717557252,0.49453635953136416,0.9924242424242424,-208.0,-0.02663934426229508,56.0,0.23300324817233312,0.657442028406728,44,44,26,18,0.5909090909090909,0.444097537410319,1.0,32.0,0.012461059190031152,55.0,0.23828165198637832,0.6695273468195702,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.227600930845054,0.6464572457132719,True,True
current,prob3_C0.05,-15.0,307,305,179,126,0.5868852459016394,0.5308787508233015,0.993485342019544,-310.0,-0.017023613399231193,56.0,0.2426915992527299,0.6779609924764183,184,182,116,66,0.6373626373626373,0.5653445528089827,0.9891304347826086,787.0,0.07278276149079811,56.0,0.24269414248982746,0.6787581927746188,61,61,28,33,0.45901639344262296,0.34012932293855763,1.0,-814.0,-0.22523519645821805,55.0,0.25200531007919197,0.6971160959208788,62,62,35,27,0.5645161290322581,0.4409298797214877,1.0,-283.0,-0.07480835315886862,57.5,0.23352064393715014,0.6567746736960214,False,True
v21,prob3_C0.05,-15.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,276.0,0.02119164619164619,56.0,0.23297835230666056,0.6576631406060568,132,131,76,55,0.5801526717557252,0.49453635953136416,0.9924242424242424,-208.0,-0.02663934426229508,56.0,0.23300324817233312,0.657442028406728,44,44,26,18,0.5909090909090909,0.444097537410319,1.0,32.0,0.012461059190031152,55.0,0.23828165198637832,0.6695273468195702,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.227600930845054,0.6464572457132719,True,True
current,prob3_C0.05,-10.0,307,305,179,126,0.5868852459016394,0.5308787508233015,0.993485342019544,-310.0,-0.017023613399231193,56.0,0.2426915992527299,0.6779609924764183,184,182,116,66,0.6373626373626373,0.5653445528089827,0.9891304347826086,787.0,0.07278276149079811,56.0,0.24269414248982746,0.6787581927746188,61,61,28,33,0.45901639344262296,0.34012932293855763,1.0,-814.0,-0.22523519645821805,55.0,0.25200531007919197,0.6971160959208788,62,62,35,27,0.5645161290322581,0.4409298797214877,1.0,-283.0,-0.07480835315886862,57.5,0.23352064393715014,0.6567746736960214,False,True
v21,prob3_C0.05,-10.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,276.0,0.02119164619164619,56.0,0.23297835230666056,0.6576631406060568,132,131,76,55,0.5801526717557252,0.49453635953136416,0.9924242424242424,-208.0,-0.02663934426229508,56.0,0.23300324817233312,0.657442028406728,44,44,26,18,0.5909090909090909,0.444097537410319,1.0,32.0,0.012461059190031152,55.0,0.23828165198637832,0.6695273468195702,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.227600930845054,0.6464572457132719,True,True
current,prob3_C0.05,-5.0,307,305,177,128,0.580327868852459,0.5242804648000084,0.993485342019544,-564.0,-0.03088042049934297,56.0,0.24296630062912558,0.6788651130295197,184,182,114,68,0.6263736263736264,0.5541599417576814,0.9891304347826086,548.0,0.050497604128271284,56.0,0.24436966840388602,0.6832705235231681,61,61,28,33,0.45901639344262296,0.34012932293855763,1.0,-835.0,-0.2297111416781293,55.0,0.2484047467060926,0.6887002558761721,62,62,35,27,0.5645161290322581,0.4409298797214877,1.0,-277.0,-0.07333862854117024,57.5,0.23349600795652223,0.6562565900700066,False,True
v21,prob3_C0.05,-5.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,229.0,0.017519700099456813,56.0,0.2325472701398663,0.6566540750498616,132,131,76,55,0.5801526717557252,0.49453635953136416,0.9924242424242424,-251.0,-0.03197044962425169,56.0,0.2324079016423249,0.6560608668599373,44,44,26,18,0.5909090909090909,0.444097537410319,1.0,32.0,0.012461059190031152,55.0,0.23828165198637832,0.6695273468195702,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,448.0,0.1689291101055807,55.0,0.22722782632012528,0.6455469458456098,True,True
current,prob3_C0.05,0.0,307,178,132,46,0.7415730337078652,0.6726375084188437,0.5798045602605864,318.0,0.024685607824871916,67.0,0.17009127155050532,0.5134116813604539,184,112,80,32,0.7142857142857143,0.6246078206764126,0.6086956521739131,12.0,0.0015022533800701052,65.5,0.18538246192090166,0.5515999214495119,61,38,31,7,0.8157894736842105,0.6658114192886859,0.6229508196721312,146.0,0.04942450914014895,79.0,0.13155528870726965,0.4144403256700609,62,28,21,7,0.75,0.5664432968100103,0.45161290322580644,160.0,0.08247422680412371,63.0,0.16122534392759702,0.494976989441184,True,False
v21,prob3_C0.05,0.0,221,43,38,5,0.8837209302325582,0.7552083818991787,0.19457013574660634,259.0,0.07314317989268568,86.0,0.08249355299810211,0.2923751769584772,132,21,19,2,0.9047619047619048,0.7108586092608175,0.1590909090909091,141.0,0.0801591813530415,86.0,0.0736533299013103,0.2758037413242618,44,7,6,1,0.8571428571428571,0.48687217072568106,0.1590909090909091,34.0,0.06007067137809187,86.0,0.05799086515719615,0.22936418932533492,45,15,13,2,0.8666666666666667,0.6211801716767764,0.3333333333333333,84.0,0.06907894736842106,84.0,0.10630445299270014,0.3449803144085118,True,False
