lock_name,group_col,group,markets,wins,losses,accuracy,net_pnl_cents,median_ask
original,ask_bin,"(70.0, 80.0]",4,2,2,0.5,-109.0,74.0
challenger,ask_bin,"(50.0, 60.0]",3,1,2,0.3333333333333333,-78.0,59.0
original,ask_bin,"(-inf, 50.0]",1,0,1,0.0,-49.0,47.0
touch_hazard,ask_bin,"(-inf, 50.0]",1,0,1,0.0,-49.0,47.0
challenger,ask_bin,"(70.0, 80.0]",3,2,1,0.6666666666666666,-32.0,73.0
original,ask_bin,"(60.0, 70.0]",3,2,1,0.6666666666666666,1.0,65.0
touch_hazard,ask_bin,"(60.0, 70.0]",3,2,1,0.6666666666666666,10.0,61.0
original,ask_bin,"(50.0, 60.0]",5,3,2,0.6,15.0,54.0
original,ask_bin,"(80.0, 90.0]",1,1,0,1.0,16.0,83.0
challenger,ask_bin,"(60.0, 70.0]",4,3,1,0.75,38.0,64.0
touch_hazard,ask_bin,"(50.0, 60.0]",4,3,1,0.75,62.0,58.5
original,margin_bin,"(0.0, 0.25]",10,4,6,0.4,-218.0,59.0
challenger,margin_bin,"(0.0, 0.25]",7,3,4,0.42857142857142855,-148.0,61.0
touch_hazard,margin_bin,"(0.0, 0.25]",3,1,2,0.3333333333333333,-66.0,54.0
challenger,margin_bin,"(0.25, 0.5]",1,1,0,1.0,33.0,65.0
original,margin_bin,"(0.25, 0.5]",1,1,0,1.0,33.0,65.0
challenger,margin_bin,"(0.5, 1.0]",2,2,0,1.0,43.0,76.5
original,margin_bin,"(0.5, 1.0]",3,3,0,1.0,59.0,80.0
touch_hazard,margin_bin,"(-inf, 0.0]",5,4,1,0.8,89.0,61.0
original,adverse15_bin,"(-inf, 0.0]",11,5,6,0.45454545454545453,-185.0,59.0
challenger,adverse15_bin,"(-inf, 0.0]",8,4,4,0.5,-115.0,62.0
touch_hazard,adverse15_bin,"(-inf, 0.0]",3,1,2,0.3333333333333333,-71.0,59.0
challenger,adverse15_bin,"(0.0, 10.0]",1,1,0,1.0,18.0,80.0
original,adverse15_bin,"(0.0, 10.0]",1,1,0,1.0,18.0,80.0
challenger,adverse15_bin,"(25.0, 50.0]",1,1,0,1.0,25.0,73.0
original,adverse15_bin,"(25.0, 50.0]",2,2,0,1.0,41.0,78.0
touch_hazard,adverse15_bin,"(50.0, inf]",5,4,1,0.8,94.0,61.0
original,touch_loss_bin,"(0.75, 0.9]",5,2,3,0.4,-98.0,59.0
challenger,touch_loss_bin,nan,4,2,2,0.5,-85.0,69.0
original,touch_loss_bin,nan,7,4,3,0.5714285714285714,-69.0,65.0
touch_hazard,touch_loss_bin,"(0.75, 0.9]",1,0,1,0.0,-49.0,47.0
touch_hazard,touch_loss_bin,"(0.9, 0.99]",2,1,1,0.5,-17.0,56.5
challenger,touch_loss_bin,"(0.75, 0.9]",5,3,2,0.6,-12.0,61.0
original,touch_loss_bin,"(-inf, 0.5]",1,1,0,1.0,16.0,83.0
challenger,touch_loss_bin,"(0.5, 0.75]",1,1,0,1.0,25.0,73.0
original,touch_loss_bin,"(0.5, 0.75]",1,1,0,1.0,25.0,73.0
touch_hazard,touch_loss_bin,"(0.99, inf]",5,4,1,0.8,89.0,61.0
