name,path,fresh_metric_source,label,overlay,lock_close_dt,fresh_base_markets,fresh_markets,fresh_wins,fresh_losses,fresh_accuracy,fresh_break_even,fresh_coverage,fresh_net_pnl_cents,fresh_net_roi,fresh_avg_entry_cost_cents,all_accuracy,all_break_even,all_net_pnl_cents,all_net_roi,posterior_alpha,posterior_beta,prob_win_rate_gt_break_even,posterior_mean_win_rate,posterior_p05_win_rate,posterior_p95_win_rate,posterior_mean_edge_cents,posterior_p05_edge_cents,posterior_p95_edge_cents,posterior_extra_perfect_wins_to_gate,posterior_ready
original,logs\edge_research\profit_frontier_fresh_validation_latest.json,registered_signal_readiness,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.55; ask<=95; sec_to_close>=120; adverse15<=10_or_margin_rv15>=0.5,,2026-05-02T20:30:00+00:00,200,137,92,45,0.6715328467153284,0.6636496350364963,0.685,108.0,0.011878574571051475,66.36496350364963,0.6575342465753424,0.6556506849315068,55.0,0.002872812744841995,93.0,46.0,0.56336,0.6691857974212488,0.6027069811796467,0.7330016278737441,0.553616238475241,-6.094265385684958,6.9351992837247805,27,False
frontier_v2,logs\edge_research\profit_frontier_v2_fresh_validation_latest.json,registered_signal_readiness,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.55; ask<=95; sec_to_close>=120,,2026-05-03T13:30:00+00:00,142,115,71,44,0.6173913043478261,0.6320869565217392,0.8098591549295775,-169.0,-0.023249415325354243,63.208695652173915,0.6279863481228669,0.6273037542662117,20.0,0.001088139281828074,72.0,45.0,0.36169,0.6155501051366525,0.5408916762619064,0.6881113389032877,-1.6536851385086588,-9.119528025983282,5.60243823815485,31,False
frontier_v2_continuous,logs\edge_research\profit_frontier_v2_continuous_validation_latest.json,registered_signal_readiness,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.55; ask<=95; sec_to_close>=120,,2026-05-03T22:00:00+00:00,109,106,65,41,0.6132075471698113,0.6335849056603774,0.9724770642201835,-216.0,-0.03216200119118523,63.35849056603774,0.6279863481228669,0.6273037542662117,20.0,0.001088139281828074,66.0,42.0,0.32064,0.6111448574309055,0.5335701060157206,0.6869172644353236,-2.2440048229472125,-10.001479964465668,5.333235877494624,32,False
book_margin,logs\edge_research\profit_frontier_book_margin_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0,,2026-05-03T22:15:00+00:00,108,105,73,32,0.6952380952380952,0.6823809523809524,0.9722222222222222,135.0,0.01884159106769016,68.23809523809524,0.7098976109215017,0.6761774744027303,988.0,0.049868766404199474,74.0,33.0,0.593105,0.6917309678190136,0.6171822801290964,0.762745199199971,0.9350015438061199,-6.5198672251856085,8.036424681901854,24,False
book_margin_early,logs\edge_research\profit_frontier_book_margin_early_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=480; margin_rv15>=0,,2026-05-03T23:15:00+00:00,104,101,70,31,0.693069306930693,0.6826732673267327,0.9711538461538461,105.0,0.015228426395939087,68.26732673267327,0.712280701754386,0.6765614035087719,1018.0,0.0527953531791308,71.0,32.0,0.56869,0.6894331279661778,0.6129719409333616,0.7619956322708126,0.6759860639445197,-6.970132639337107,7.9322364944079915,24,False
book_margin_gap015,logs\edge_research\profit_frontier_book_margin_gap015_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; abs_book_rv15_gap<=0.15,,2026-05-03T23:45:00+00:00,102,89,61,28,0.6853932584269663,0.6731460674157304,0.8725490196078431,109.0,0.018193957603071274,67.31460674157303,0.7159090909090909,0.6679166666666666,1267.0,0.07185391028185788,62.0,29.0,0.574885,0.6811395436261506,0.5986857172837362,0.7590823231586279,0.7993476210420295,-7.446035013199411,8.593625574289762,22,False
book_margin_adverse100,logs\edge_research\profit_frontier_book_margin_adverse100_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; adverse_move_15m<=100,,2026-05-04T03:00:00+00:00,90,69,46,23,0.6666666666666666,0.6771014492753623,0.7666666666666667,-72.0,-0.015410958904109588,67.71014492753623,0.7201492537313433,0.6767537313432836,1163.0,0.06412306335116061,47.0,24.0,0.40344,0.6619429500860899,0.5677385969142039,0.7507391378025265,-1.515849918927241,-10.936285236115843,7.363768852716421,26,False
book_margin_delayed_adv100_brownian55,logs\edge_research\profit_book_margin_delayed_adv100_brownian55_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; delayed until adverse_move_15m<=100 and brownian_p_rv_15m>=0.55,,2026-05-04T04:15:00+00:00,85,81,55,26,0.6790123456790124,0.7112345679012345,0.9529411764705882,-261.0,-0.04530463461204652,71.12345679012346,0.7406143344709898,0.691877133105802,1428.0,0.07044198895027624,56.0,27.0,0.242055,0.6746776670521349,0.5880343438643113,0.7560852316888255,-3.6556900849099505,-12.320022403692322,4.485066378759093,38,False
book_hour04_v2_switch,logs\edge_research\profit_book_hour04_v2_switch_validation_latest.json,registered_signal_readiness,,,2026-05-04T03:45:00+00:00,87,85,52,33,0.611764705882353,0.6483529411764706,0.9770114942528736,-311.0,-0.0564325893667211,64.83529411764705,0.726962457337884,0.6737201365187713,1560.0,0.0790273556231003,53.0,34.0,0.22974,0.6093288427698669,0.5222103425345318,0.6937152192394695,-3.9024098406603764,-12.614259864193873,4.536227806299903,34,False
book_refmargin_score_switch,logs\edge_research\profit_book_refmargin_score_switch_validation_latest.json,registered_signal_readiness,,,2026-05-04T04:30:00+00:00,84,78,55,23,0.7051282051282052,0.7198717948717949,0.9285714285714286,-115.0,-0.020480854853072127,71.98717948717949,0.7568493150684932,0.714623287671233,1233.0,0.05908851296305171,56.0,24.0,0.360545,0.7000569471134892,0.6135266069899361,0.7810353300773281,-1.9814847758305727,-10.634518788185876,6.116353520553307,33,False
