name,effective_boundary,observed_post_lock_markets,resolved_post_lock_markets,unclosed_post_lock_markets,outcome_lag_markets,registered_markets,registered_resolved_markets,registered_pending_markets,registered_observed_coverage,registered_resolved_coverage,registered_observed_coverage_pass,registered_resolved_coverage_pass,recomputed_selected_markets,recomputed_observed_coverage,recomputed_observed_coverage_pass,coverage_state,missing_observed_markets,missing_resolved_markets,registry_only_markets
original,2026-05-02T21:30:00+00:00,204,201,0,3,138,138,0,0.6764705882352942,0.6865671641791045,False,False,203,0.9950980392156863,True,fail,66,63,0
frontier_v2,2026-05-03T13:45:00+00:00,145,143,0,2,116,116,0,0.8,0.8111888111888111,True,True,145,1.0,True,pass,29,27,0
frontier_v2_continuous,2026-05-03T22:15:00+00:00,112,110,0,2,107,107,0,0.9553571428571429,0.9727272727272728,True,True,112,1.0,True,pass,5,3,0
book_margin,2026-05-03T22:30:00+00:00,111,109,0,2,106,106,0,0.954954954954955,0.9724770642201835,True,True,111,1.0,True,pass,5,3,0
book_p80_profit_frontier,2026-05-04T13:30:00+00:00,54,53,0,1,42,42,0,0.7777777777777778,0.7924528301886793,False,False,53,0.9814814814814815,True,fail,12,11,0
book_p80_ask90_frontier,2026-05-04T13:45:00+00:00,53,52,0,1,41,41,0,0.7735849056603774,0.7884615384615384,False,False,53,1.0,True,fail,12,11,0
book_margin_early,2026-05-03T23:30:00+00:00,107,105,0,2,102,102,0,0.9532710280373832,0.9714285714285714,True,True,106,0.9906542056074766,True,pass,5,3,0
book_margin_gap015,2026-05-04T00:00:00+00:00,105,103,0,2,90,90,0,0.8571428571428571,0.8737864077669902,True,True,96,0.9142857142857143,True,pass,15,13,0
book_margin_adverse100,2026-05-04T03:00:00+00:00,93,91,0,2,70,70,0,0.7526881720430108,0.7692307692307693,False,False,74,0.7956989247311828,False,fail,23,21,0
book_margin_delayed_adv100_brownian55,2026-05-04T04:15:00+00:00,88,86,0,2,82,82,0,0.9318181818181818,0.9534883720930233,True,True,88,1.0,True,pass,6,4,0
