name,path,fresh_metric_source,label,overlay,lock_close_dt,fresh_base_markets,fresh_markets,fresh_wins,fresh_losses,fresh_accuracy,fresh_break_even,fallback_break_even_for_empty_fresh,fresh_wilson_lower,fresh_wilson_minus_break_even,fresh_coverage,fresh_coverage_pass,fresh_positive_net,fresh_net_pnl_cents,fresh_net_roi,fresh_median_ask,all_accuracy,all_break_even,all_wilson_lower,all_net_pnl_cents,all_net_roi,all_coverage,fresh_ev_wilson_pass,extra_perfect_wins_for_fresh_ev_wilson,selected_n_needed_at_all_accuracy,additional_selected_n_needed_at_all_accuracy,completion_ready
original,logs\edge_research\profit_frontier_fresh_validation_latest.json,registered_signal_readiness,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.55; ask<=95; sec_to_close>=120; adverse15<=10_or_margin_rv15>=0.5,,2026-05-02T20:30:00+00:00,200,137,92,45,0.6715328467153284,0.6636496350364963,0.6556506849315068,0.5891489046040097,-0.07450073043248662,0.685,False,True,108.0,0.011878574571051475,,0.6575342465753424,0.6556506849315068,0.6013762790378052,55.0,0.002872812744841995,0.9898305084745763,False,33,,,False
frontier_v2,logs\edge_research\profit_frontier_v2_fresh_validation_latest.json,registered_signal_readiness,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.55; ask<=95; sec_to_close>=120,,2026-05-03T13:30:00+00:00,142,115,71,44,0.6173913043478261,0.6320869565217392,0.6273037542662117,0.5261324102277726,-0.10595454629396661,0.8098591549295775,True,False,-169.0,-0.023249415325354243,,0.6279863481228669,0.6273037542662117,0.5713206128846628,20.0,0.001088139281828074,0.9932203389830508,False,37,,,False
frontier_v2_continuous,logs\edge_research\profit_frontier_v2_continuous_validation_latest.json,registered_signal_readiness,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.55; ask<=95; sec_to_close>=120,,2026-05-03T22:00:00+00:00,109,106,65,41,0.6132075471698113,0.6335849056603774,0.6273037542662117,0.5180855693317342,-0.11549933632864318,0.9724770642201835,True,False,-216.0,-0.03216200119118523,,0.6279863481228669,0.6273037542662117,0.5713206128846628,20.0,0.001088139281828074,0.9932203389830508,False,37,,,False
book_margin,logs\edge_research\profit_frontier_book_margin_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0,,2026-05-03T22:15:00+00:00,108,105,73,32,0.6952380952380952,0.6823809523809524,0.6761774744027303,0.6015967557520172,-0.08078419662893521,0.9722222222222222,True,True,135.0,0.01884159106769016,,0.7098976109215017,0.6761774744027303,0.6554849789037972,988.0,0.049868766404199474,0.9932203389830508,False,30,689.0,584.0,False
book_margin_early,logs\edge_research\profit_frontier_book_margin_early_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=480; margin_rv15>=0,,2026-05-03T23:15:00+00:00,104,101,70,31,0.693069306930693,0.6826732673267327,0.6765614035087719,0.5974265174495046,-0.08524674987722813,0.9711538461538461,True,True,105.0,0.015228426395939087,,0.712280701754386,0.6765614035087719,0.6571742236963677,1018.0,0.0527953531791308,0.9661016949152542,False,30,608.0,507.0,False
book_margin_gap015,logs\edge_research\profit_frontier_book_margin_gap015_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; abs_book_rv15_gap<=0.15,,2026-05-03T23:45:00+00:00,102,89,61,28,0.6853932584269663,0.6731460674157304,0.6679166666666666,0.5829550301758069,-0.0901910372399235,0.8725490196078431,True,True,109.0,0.018193957603071274,,0.7159090909090909,0.6679166666666666,0.6587146784276703,1267.0,0.07185391028185788,0.8949152542372881,False,27,334.0,245.0,False
book_margin_adverse100,logs\edge_research\profit_frontier_book_margin_adverse100_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; adverse_move_15m<=100,,2026-05-04T03:00:00+00:00,90,69,46,23,0.6666666666666666,0.6771014492753623,0.6767537313432836,0.5492647542871832,-0.12783669498817907,0.7666666666666667,False,False,-72.0,-0.015410958904109588,,0.7201492537313433,0.6767537313432836,0.6635816589269738,1163.0,0.06412306335116061,0.9084745762711864,False,31,407.0,338.0,False
book_margin_delayed_adv100_brownian55,logs\edge_research\profit_book_margin_delayed_adv100_brownian55_validation_latest.json,registered_signal_readiness,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; delayed until adverse_move_15m<=100 and brownian_p_rv_15m>=0.55,,2026-05-04T04:15:00+00:00,85,81,55,26,0.6790123456790124,0.7112345679012345,0.691877133105802,0.5712362384861901,-0.13999832941504442,0.9529411764705882,True,False,-261.0,-0.04530463461204652,,0.7406143344709898,0.691877133105802,0.687543085272201,1428.0,0.07044198895027624,0.9932203389830508,False,44,308.0,227.0,False
book_hour04_v2_switch,logs\edge_research\profit_book_hour04_v2_switch_validation_latest.json,registered_signal_readiness,,,2026-05-04T03:45:00+00:00,87,85,52,33,0.611764705882353,0.6483529411764706,0.6737201365187713,0.5054771123296357,-0.14287582884683492,0.9770114942528736,True,False,-311.0,-0.0564325893667211,,0.726962457337884,0.6737201365187713,0.6732583626839566,1560.0,0.0790273556231003,0.9932203389830508,False,39,260.0,175.0,False
book_refmargin_score_switch,logs\edge_research\profit_book_refmargin_score_switch_validation_latest.json,registered_signal_readiness,,,2026-05-04T04:30:00+00:00,84,78,55,23,0.7051282051282052,0.7198717948717949,0.714623287671233,0.5962420576035731,-0.1236297372682218,0.9285714285714286,True,False,-115.0,-0.020480854853072127,,0.7568493150684932,0.714623287671233,0.7045171643411514,1233.0,0.05908851296305171,0.9898305084745763,False,38,403.0,325.0,False
