candidate,block,start_close_dt,end_close_dt,base_markets,selected_markets,coverage,wins,losses,net_pnl_cents,positive_and_coverage
all_majority,0,2026-05-02 22:15:00+00:00,2026-05-03 04:15:00+00:00,12,0,0.0,0,0,0.0,False
all_majority,1,2026-05-03 09:30:00+00:00,2026-05-03 12:15:00+00:00,12,5,0.4166666666666667,3,2,-13.0,False
all_majority,2,2026-05-03 12:30:00+00:00,2026-05-03 20:15:00+00:00,12,9,0.75,6,3,52.0,False
all_majority,3,2026-05-03 20:30:00+00:00,2026-05-04 00:00:00+00:00,12,8,0.6666666666666666,5,3,11.0,False
all_majority,4,2026-05-04 00:15:00+00:00,2026-05-04 03:00:00+00:00,12,12,1.0,11,1,287.0,True
all_majority,5,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,11,0.9166666666666666,4,7,-284.0,False
all_majority,6,2026-05-04 06:15:00+00:00,2026-05-04 09:00:00+00:00,12,12,1.0,9,3,164.0,True
all_majority,7,2026-05-04 09:15:00+00:00,2026-05-04 13:15:00+00:00,12,12,1.0,9,3,170.0,True
all_majority,8,2026-05-04 13:30:00+00:00,2026-05-04 16:15:00+00:00,12,11,0.9166666666666666,6,5,-67.0,False
all_share60_margin4,0,2026-05-02 22:15:00+00:00,2026-05-03 04:15:00+00:00,12,0,0.0,0,0,0.0,False
all_share60_margin4,1,2026-05-03 09:30:00+00:00,2026-05-03 12:15:00+00:00,12,5,0.4166666666666667,3,2,-13.0,False
all_share60_margin4,2,2026-05-03 12:30:00+00:00,2026-05-03 20:15:00+00:00,12,9,0.75,6,3,52.0,False
all_share60_margin4,3,2026-05-03 20:30:00+00:00,2026-05-04 00:00:00+00:00,12,7,0.5833333333333334,5,2,70.0,False
all_share60_margin4,4,2026-05-04 00:15:00+00:00,2026-05-04 03:00:00+00:00,12,11,0.9166666666666666,10,1,250.0,True
all_share60_margin4,5,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,11,0.9166666666666666,4,7,-284.0,False
all_share60_margin4,6,2026-05-04 06:15:00+00:00,2026-05-04 09:00:00+00:00,12,12,1.0,9,3,164.0,True
all_share60_margin4,7,2026-05-04 09:15:00+00:00,2026-05-04 13:15:00+00:00,12,12,1.0,9,3,170.0,True
all_share60_margin4,8,2026-05-04 13:30:00+00:00,2026-05-04 16:15:00+00:00,12,10,0.8333333333333334,5,5,-107.0,False
all_share70_margin8,0,2026-05-02 22:15:00+00:00,2026-05-03 04:15:00+00:00,12,0,0.0,0,0,0.0,False
