candidate,label,resolved_markets,pending_markets,universe_resolved_markets,wins,losses,accuracy,break_even,wilson95_lower,wilson_minus_break_even,coverage,registered_coverage,net_pnl_cents,roi,avg_entry_cost_cents,positive_block_rate,worst_block_net_pnl_cents,posterior_extra_perfect_wins_to_gate,ready_like_stress_pass,posterior_alpha,posterior_beta,prob_win_rate_gt_break_even,posterior_mean_win_rate,posterior_p05_win_rate,posterior_p95_win_rate,posterior_mean_edge_cents,posterior_p05_edge_cents,posterior_p95_edge_cents
majority60_path_veto,share>=60%; margin>=4; skip if path-confirmation disagrees,70,0,108,49,21,0.7,0.6282857142857143,0.5845568276122731,-0.043728886673441214,0.6481481481481481,0.6481481481481481,502.0,0.11414279217826284,62.82857142857143,0.3333333333333333,-170.0,6,False,50.0,22.0,0.88664,0.6944561461197684,0.6027433212380544,0.7798545963530616,6.617043183405435,-2.5542393047659955,15.156888206734733
core_no_impulse_share70_margin8,exclude impulse family; share>=70%; vote margin>=8,69,0,108,47,22,0.6811594202898551,0.6194202898550725,0.5641587428411312,-0.05526154701394126,0.6388888888888888,0.6388888888888888,426.0,0.09967243799719233,61.94202898550725,0.3333333333333333,-108.0,8,False,48.0,23.0,0.8457,0.6758699213106278,0.5822709150542685,0.7639260971043655,5.644963145555548,-3.7149374800804,14.450580724929305
all_opposition_le4,all registered locks; opposing votes<=4,64,0,108,44,20,0.6875,0.62453125,0.5660766429725185,-0.05845460702748151,0.5925925925925926,0.5925925925925926,403.0,0.10082561921441081,62.453125,0.1111111111111111,-108.0,8,False,45.0,21.0,0.8431,0.6819852922747833,0.5851884442235556,0.7719758429971113,5.745404227478317,-3.9342805776444334,14.744459299711128
all_share70_margin8,all registered locks; share>=70%; vote margin>=8,68,0,108,46,22,0.6764705882352942,0.620735294117647,0.5584449810050397,-0.062290313112607354,0.6296296296296297,0.6296296296296297,379.0,0.08978914949064203,62.0735294117647,0.3333333333333333,-108.0,9,False,47.0,23.0,0.81977,0.6716352411273928,0.5770494349849461,0.7604011127644094,5.089994700974592,-4.36858591327009,13.966581864676234
book_hazard_agree_majority,book and hazard family majorities must agree with market majority,32,0,108,23,9,0.71875,0.6128125,0.5462549057408342,-0.06655759425916574,0.2962962962962963,0.2962962962962963,339.0,0.1728709841917389,61.28125,0.2222222222222222,-107.0,4,False,24.0,10.0,0.880715,0.7056855060988984,0.5725342117188307,0.825157351127217,9.28730060988983,-4.027828828116939,21.2344851127217
all_majority,all registered locks; simple majority,80,0,108,53,27,0.6625,0.6225,0.5535652339817697,-0.06893476601823034,0.7407407407407407,0.7407407407407407,320.0,0.0642570281124498,62.25,0.3333333333333333,-284.0,12,False,54.0,28.0,0.759125,0.6585691322285016,0.5711197980006988,0.7418082258315234,3.6069132228501535,-5.138020199930117,11.930822583152347
book_touch_agree_majority,book and touch family majorities must agree with market majority,43,0,108,30,13,0.6976744186046512,0.6265116279069768,0.5489463582227039,-0.07756526968427291,0.39814814814814814,0.39814814814814814,306.0,0.11358574610244988,62.651162790697676,0.0,-226.0,8,False,31.0,14.0,0.81833,0.6889185950563078,0.5716965405622844,0.7961411724698864,6.240696714933125,-5.481508734469246,16.96295445629096
all_share60_margin4,all registered locks; share>=60%; vote margin>=4,77,0,108,51,26,0.6623376623376623,0.6231168831168832,0.551246483089225,-0.07187040002765821,0.7129629629629629,0.7129629629629629,302.0,0.06294289287203002,62.311688311688314,0.3333333333333333,-284.0,13,False,52.0,27.0,0.74977,0.6584195020119337,0.5691985162655034,0.7433200329225566,3.530261889505042,-5.391836685137973,12.020314980567335
core_no_impulse_share60_margin4,exclude impulse family; share>=60%; vote margin>=4,77,0,108,51,26,0.6623376623376623,0.6231168831168832,0.551246483089225,-0.07187040002765821,0.7129629629629629,0.7129629629629629,302.0,0.06294289287203002,62.311688311688314,0.3333333333333333,-284.0,13,False,52.0,27.0,0.750245,0.6583587107061378,0.5689947442288066,0.7429996162092265,3.5241827589254604,-5.4122138888076545,11.988273309234339
majority60_hazard_veto,share>=60%; margin>=4; skip if hazard family disagrees,77,0,108,51,26,0.6623376623376623,0.6231168831168832,0.551246483089225,-0.07187040002765821,0.7129629629629629,0.7129629629629629,302.0,0.06294289287203002,62.311688311688314,0.3333333333333333,-284.0,13,False,52.0,27.0,0.748015,0.6582780421814075,0.5688764404608768,0.743168416879676,3.5161159064524203,-5.424044265600628,12.00515337627929
book_v2_touch_agree_majority,"book, v2/frontier, and touch family majorities must agree",40,0,108,28,12,0.7,0.62525,0.5456998118185505,-0.07955018818144943,0.37037037037037035,0.37037037037037035,299.0,0.11955217912834866,62.525,0.0,-226.0,7,False,29.0,13.0,0.822415,0.690664079368605,0.5695996311613439,0.8012448431268213,6.5414079368605185,-5.5650368838656,17.599484312682126
book_score_touch_agree_majority,"book, score, and touch family majorities must agree",40,0,108,28,12,0.7,0.62775,0.5456998118185505,-0.08205018818144949,0.37037037037037035,0.37037037037037035,289.0,0.11509358821186778,62.775,0.0,-171.0,8,False,29.0,13.0,0.813415,0.690485645192826,0.5691722095486537,0.8013048680321377,6.273564519282564,-5.857779045134636,17.355486803213783
core_no_path_share60_margin4,exclude path-confirmation; share>=60%; vote margin>=4,76,0,108,50,26,0.6578947368421053,0.6228947368421053,0.5459589781543773,-0.07693575868772795,0.7037037037037037,0.7037037037037037,266.0,0.05618926911702577,62.28947368421053,0.3333333333333333,-215.0,14,False,51.0,27.0,0.72167,0.6537825616489819,0.5633220652533005,0.7393856524642891,3.088782480687669,-5.9572671588804775,11.649091562218377
majority60_touch_veto,share>=60%; margin>=4; skip if touch family disagrees,59,0,108,39,20,0.6610169491525424,0.6222033898305085,0.5337247056692838,-0.08847868416122473,0.5462962962962963,0.5462962962962963,229.0,0.062380822664124216,62.220338983050844,0.1111111111111111,-226.0,13,False,40.0,21.0,0.715185,0.6556911999096625,0.5532329931876367,0.752143230098339,3.348781007915402,-6.897039664287174,12.993984026783059
