lock_name,rule,kept,base,retention,wins,losses,accuracy,net_pnl_cents,net_delta_vs_base,diagnostic_only
book_margin_gap015,blend>=0.50,57,89,0.6404494382022472,44,13,0.7719298245614035,532.0,423.0,True
book_margin,touch_loss<=0.95,82,105,0.780952380952381,61,21,0.7439024390243902,505.0,370.0,True
book_margin_early,touch_loss<=0.95,80,101,0.7920792079207921,59,21,0.7375,441.0,336.0,True
impulse_reversal_book_margin_fade,blend>=0.50,28,58,0.4827586206896552,23,5,0.8214285714285714,429.0,346.0,True
impulse_reversal_book_margin_fade,touch_loss<=0.95,30,58,0.5172413793103449,24,6,0.8,415.0,332.0,True
kinetic_combo_price_guard,blend>=0.45,60,100,0.6,43,17,0.7166666666666667,408.0,216.0,True
book_margin_early,blend>=0.50,63,101,0.6237623762376238,47,16,0.746031746031746,382.0,277.0,True
book_margin,blend>=0.50,63,105,0.6,47,16,0.746031746031746,382.0,247.0,True
kinetic_path_confirm,ask<=70,46,118,0.3898305084745763,34,12,0.7391304347826086,373.0,380.0,True
book_margin_gap015,touch_loss<=0.95,76,89,0.8539325842696629,55,21,0.7236842105263158,361.0,252.0,True
book_margin,score>=0.60,48,105,0.45714285714285713,37,11,0.7708333333333334,330.0,195.0,True
kinetic_combo_price_guard,ask<=60,30,100,0.3,21,9,0.7,329.0,137.0,True
kinetic_price_guard,ask<=60,39,107,0.3644859813084112,26,13,0.6666666666666666,313.0,302.0,True
book_margin,book>=0.65,41,105,0.3904761904761905,33,8,0.8048780487804879,285.0,150.0,True
book_margin,signal_score>=0.65,41,105,0.3904761904761905,33,8,0.8048780487804879,285.0,150.0,True
book_margin_gap015,adverse15<=100,70,89,0.7865168539325843,50,20,0.7142857142857143,283.0,174.0,True
book_margin_early,adverse15<=50,75,101,0.7425742574257426,54,21,0.72,282.0,177.0,True
book_margin,adverse15<=50,78,105,0.7428571428571429,56,22,0.717948717948718,280.0,145.0,True
kinetic_combo_price_guard,blend>=0.50,57,100,0.57,40,17,0.7017543859649122,277.0,85.0,True
impulse_reversal_book_margin_fade,impulse_over_margin<=20,50,58,0.8620689655172413,30,20,0.6,274.0,191.0,True
logit_blend_edge10,adverse15<=0,47,75,0.6266666666666667,32,15,0.6808510638297872,271.0,140.0,True
book_margin_early,score>=0.60,46,101,0.45544554455445546,35,11,0.7608695652173914,266.0,161.0,True
book_margin_gap015,book>=0.65,28,89,0.3146067415730337,23,5,0.8214285714285714,262.0,153.0,True
book_margin_gap015,signal_score>=0.65,28,89,0.3146067415730337,23,5,0.8214285714285714,262.0,153.0,True
book_margin_gap015,blend>=0.45,69,89,0.7752808988764045,49,20,0.7101449275362319,258.0,149.0,True
kinetic_guard,ask<=60,28,126,0.2222222222222222,19,9,0.6785714285714286,253.0,181.0,True
book_margin_gap015,adverse15<=50,66,89,0.7415730337078652,47,19,0.7121212121212122,248.0,139.0,True
