dataset,policy,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,coverage_pass,positive_net
current,frontier_v2,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,13,7,0.65,60.0,0.04838709677419355,58.5,True,True
current,frontier_v2,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,13,7,0.65,79.0,0.0647010647010647,59.0,True,True
current,frontier_v2,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,20,1.0,13,7,0.65,50.0,0.04,61.0,True,True
current,frontier_v2,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,15,5,0.75,207.0,0.16009280742459397,62.5,True,True
current,frontier_v2,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,7,13,0.35,-460.0,-0.39655172413793105,54.5,True,False
current,frontier_v2,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,11,9,0.55,-76.0,-0.06462585034013606,59.0,True,False
current,frontier_v2,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,17,3,0.85,401.0,0.3086989992301771,63.5,True,True
current,frontier_v2,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,12,7,0.631578947368421,27.0,0.023017902813299233,58.0,True,True
current,frontier_v2,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,13,7,0.65,26.0,0.02040816326530612,61.5,True,True
current,frontier_v2,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,14,5,0.7368421052631579,238.0,0.20481927710843373,60.0,True,True
current,frontier_v2,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,12,8,0.6,-39.0,-0.031476997578692496,59.0,True,False
current,frontier_v2,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,11,9,0.55,-181.0,-0.141295862607338,62.5,True,False
current,frontier_v2,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,12,8,0.6,-41.0,-0.033037872683319904,62.0,True,False
current,frontier_v2,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,15,5,0.75,79.0,0.055594651653764954,68.0,True,True
current,frontier_v2,14,2026-05-04 03:15:00+00:00,2026-05-04 03:15:00+00:00,1,1,1.0,0,1,0.0,-64.0,-1.0,62.0,True,False
current,book_margin,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,63.0,True,False
current,book_margin,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,64.5,True,True
current,book_margin,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,63.5,True,True
current,book_margin,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,63.0,True,True
current,book_margin,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,62.5,True,False
current,book_margin,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,62.0,True,False
